trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
2.8,13.5,3.35,2.5,0.0,20.15,"",0.3,2.5,0.5
0.7,5.5,2.0,0.0,0.0,8.3,"",0.3,0.0,0.5
4.63,17.5,2.0,0.0,0.0,20.3,"",0.3,0.0,0.5
3.76,19.5,5.7,0.0,0.0,28.5,"",0.3,2.5,0.5
0.67,4.5,0.0,0.0,0.0,5.3,"",0.3,0.0,0.5
2.84,16.0,4.2,0.0,0.0,21.0,"",0.3,0.0,0.5
1.15,7.5,1.7,0.0,0.0,10.0,"",0.3,0.0,0.5
14.5,41.5,2.0,0.0,0.0,44.3,"",0.3,0.0,0.5
2.46,10.5,1.0,0.0,0.0,14.8,"",0.3,2.5,0.5
2.19,9.5,2.56,0.0,0.0,15.36,"",0.3,2.5,0.5
0.7,5.0,1.66,0.0,0.0,9.96,"",0.3,2.5,0.5
1.0,5.5,0.0,0.0,0.0,6.3,"",0.3,0.0,0.5
1.4,8.0,1.76,0.0,0.0,10.56,"",0.3,0.0,0.5
1.43,7.5,2.7,0.0,0.0,13.5,"",0.3,2.5,0.5
3.46,13.0,3.26,0.0,0.0,19.56,"",0.3,2.5,0.5
0.86,6.0,1.4,0.0,0.0,10.7,"",0.3,2.5,0.5
1.53,10.0,0.0,0.0,0.0,13.3,"",0.3,2.5,0.5
1.85,9.0,2.35,0.0,0.0,14.65,"",0.3,2.5,0.5
0.71,8.5,2.36,0.0,0.0,14.16,"",0.3,2.5,0.5
0.43,4.0,1.46,0.0,0.0,8.76,"",0.3,2.5,0.5
0.87,7.0,2.06,0.0,0.0,12.36,"",0.3,2.5,0.5
1.37,7.5,2.16,0.0,0.0,12.96,"",0.3,2.5,0.5
1.42,6.5,1.96,0.0,0.0,11.76,"",0.3,2.5,0.5
1.35,8.5,2.36,0.0,0.0,14.16,"",0.3,2.5,0.5
2.14,9.5,2.0,0.0,0.0,14.8,"",0.3,2.5,0.5
0.61,5.5,2.2,0.0,0.0,11.0,"",0.3,2.5,0.5
1.32,6.0,2.32,0.0,0.0,11.62,"",0.3,2.5,0.5
1.66,7.0,1.0,0.0,0.0,11.3,"",0.3,2.5,0.5
0.78,5.0,1.24,0.0,0.0,9.54,"",0.3,2.5,0.5
1.81,8.5,2.0,0.0,0.0,13.8,"",0.3,2.5,0.5
5.56,26.5,0.0,0.0,0.0,29.8,"",0.3,2.5,0.5
5.45,19.5,3.0,0.0,6.12,29.42,"",0.3,0.0,0.5
1.92,13.0,4.08,0.0,0.0,20.38,"",0.3,2.5,0.5
0.82,5.5,0.0,0.0,0.0,8.8,"",0.3,2.5,0.5
1.98,10.0,3.33,0.0,0.0,16.63,"",0.3,2.5,0.5
1.46,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
0.85,5.0,1.66,0.0,0.0,9.96,"",0.3,2.5,0.5
0.01,7.0,0.0,0.0,0.0,10.3,"",0.3,2.5,0.5
3.13,12.5,1.11,0.0,0.0,16.91,"",0.3,2.5,0.5
1.36,8.5,0.0,0.0,0.0,11.8,"",0.3,2.5,0.5
1.49,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
2.32,12.5,0.0,0.0,0.0,15.8,"",0.3,2.5,0.5
1.9,7.5,2.15,2.5,0.0,12.95,"",0.3,2.5,0.5
2.5,11.0,3.55,2.5,0.0,17.85,"",0.3,2.5,0.5
0.8,5.5,1.75,2.5,0.0,10.55,"",0.3,2.5,0.5
3.7,16.0,2.0,2.5,0.0,21.3,"",0.3,2.5,0.5
4.3,18.0,2.0,2.5,0.0,23.3,"",0.3,2.5,0.5
0.7,4.5,1.55,2.5,0.0,9.35,"",0.3,2.5,0.5
2.2,12.0,3.05,2.5,0.0,18.35,"",0.3,2.5,0.5
1.4,6.0,2.75,2.5,0.0,12.05,"",0.3,2.5,0.5
1.2,9.5,2.0,2.5,0.0,14.8,"",0.3,2.5,0.5
1.1,6.5,2.45,2.5,0.0,12.25,"",0.3,2.5,0.5
2.2,10.0,2.65,2.5,0.0,15.95,"",0.3,2.5,0.5
1.05,7.5,2.16,0.0,0.0,12.96,"",0.3,2.5,0.5
1.74,7.5,2.16,0.0,0.0,12.96,"",0.3,2.5,0.5
1.5,7.5,0.0,2.5,0.0,10.8,"",0.3,2.5,0.5
1.7,9.0,2.46,2.5,0.0,14.76,"",0.3,2.5,0.5
4.7,20.5,4.75,2.5,0.0,28.55,"",0.3,2.5,0.5
1.5,9.0,3.08,0.0,0.0,15.38,"",0.3,2.5,0.5
1.36,7.0,2.06,0.0,0.0,12.36,"",0.3,2.5,0.5
2.3,13.5,1.68,2.5,0.0,18.48,"",0.3,2.5,0.5
1.01,6.5,0.0,0.0,0.0,9.8,"",0.3,2.5,0.5
1.14,7.5,3.24,0.0,0.0,14.04,"",0.3,2.5,0.5
1.45,10.5,2.76,0.0,0.0,16.56,"",0.3,2.5,0.5
0.8,5.5,1.76,0.0,0.0,10.56,"",0.3,2.5,0.5
0.72,-5.0,0.0,0.0,0.0,-8.3,"",-0.3,-2.5,-0.5
0.72,5.0,0.0,0.0,0.0,8.3,"",0.3,2.5,0.5
3.62,14.0,2.8,0.0,0.0,20.1,"",0.3,2.5,0.5
4.78,20.0,0.0,0.0,0.0,23.3,"",0.3,2.5,0.5
2.04,11.5,1.0,0.0,0.0,13.3,"",0.3,0.0,0.5
12.2,35.5,5.0,0.0,0.0,41.3,"",0.3,0.0,0.5
0.7,4.5,1.55,2.5,0.0,9.35,"",0.3,2.5,0.5
0.9,6.0,2.75,2.5,0.0,12.05,"",0.3,2.5,0.5
2.74,14.0,4.32,0.0,0.0,21.62,"",0.3,2.5,0.5
2.28,10.5,1.5,0.0,0.0,15.3,"",0.3,2.5,0.5
4.23,16.5,0.0,0.0,0.0,19.8,"",0.3,2.5,0.5
0.52,4.0,0.0,0.0,0.0,7.3,"",0.3,2.5,0.5
2.5,10.0,2.65,2.5,0.0,15.95,"",0.3,2.5,0.5
2.4,11.0,1.0,2.5,0.0,15.3,"",0.3,2.5,0.5
0.9,6.0,2.05,3.5,0.0,12.35,"",0.3,2.5,0.5
0.7,6.5,3.2,3.5,0.0,14.0,"",0.3,2.5,0.5
3.5,18.0,0.0,3.5,0.0,22.3,"",0.3,2.5,0.5
1.42,8.5,2.36,0.0,0.0,14.16,"",0.3,2.5,0.5
2.89,14.0,0.0,0.0,0.0,17.3,"",0.3,2.5,0.5
1.78,9.5,1.28,0.0,0.0,14.08,"",0.3,2.5,0.5
2.04,9.0,2.46,0.0,0.0,14.76,"",0.3,2.5,0.5
1.56,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
2.71,12.5,4.0,0.0,0.0,19.8,"",0.3,2.5,0.5
2.44,12.0,3.06,0.0,0.0,18.36,"",0.3,2.5,0.5
4.55,17.0,2.0,0.0,0.0,22.3,"",0.3,2.5,0.5
0.53,4.5,2.34,0.0,0.0,10.14,"",0.3,2.5,0.5
