trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
4.03,14.5,4.7,1.0,0.0,23.5,"",0.3,2.5,0.5
3.31,12.0,0.0,1.0,0.0,16.3,"",0.3,2.5,0.5
1.5,7.0,2.25,3.5,0.0,13.55,"",0.3,2.5,0.5
1.0,6.0,2.05,3.5,0.0,12.35,"",0.3,2.5,0.5
3.98,15.0,3.86,1.0,0.0,23.16,"",0.3,2.5,0.5
0.62,4.0,2.08,1.0,0.0,10.38,"",0.3,2.5,0.5
0.97,6.0,1.05,1.0,0.0,11.35,"",0.3,2.5,0.5
3.8,13.5,2.0,1.0,0.0,19.8,"",0.3,2.5,0.5
0.73,5.0,1.0,1.0,0.0,10.3,"",0.3,2.5,0.5
1.66,7.0,0.0,1.0,0.0,11.3,"",0.3,2.5,0.5
1.62,9.0,2.66,1.0,0.0,15.96,"",0.3,2.5,0.5
2.33,10.0,2.14,1.0,0.0,16.44,"",0.3,2.5,0.5
0.76,5.5,2.45,1.0,0.0,12.25,"",0.3,2.5,0.5
1.44,7.0,0.0,1.0,0.0,11.3,"",0.3,2.5,0.5
2.43,10.0,2.86,1.0,0.0,17.16,"",0.3,2.5,0.5
7.8,22.5,3.0,1.0,0.0,29.8,"",0.3,2.5,0.5
1.65,8.0,0.0,1.0,0.0,12.3,"",0.3,2.5,0.5
1.86,7.5,2.36,1.0,0.0,14.16,"",0.3,2.5,0.5
3.33,11.0,3.06,1.0,0.0,18.36,"",0.3,2.5,0.5
1.6,8.0,1.84,1.0,0.0,14.14,"",0.3,2.5,0.5
1.47,6.5,1.0,1.0,0.0,11.8,"",0.3,2.5,0.5
1.15,5.5,0.0,1.0,0.0,9.8,"",0.3,2.5,0.5
0.92,5.0,1.0,1.0,0.0,10.3,"",0.3,2.5,0.5
0.73,5.0,1.4,1.0,0.0,10.7,"",0.3,2.5,0.5
1.36,6.5,1.0,1.0,0.0,11.8,"",0.3,2.5,0.5
1.82,8.5,2.56,1.0,0.0,15.36,"",0.3,2.5,0.5
0.78,5.0,2.79,1.0,0.0,12.09,"",0.3,2.5,0.5
