trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
1.9,9.0,1.75,1.0,0.0,12.55,"",0.3,0.0,0.5
0.55,4.0,1.66,1.0,0.0,9.96,"",0.3,2.5,0.5
1.3,7.5,0.0,1.0,0.0,9.3,"",0.3,0.0,0.5
1.0,6.5,3.2,3.5,0.0,14.0,"",0.3,2.5,0.5
18.18,52.0,11.96,4.5,0.0,71.76,"",0.3,2.5,0.5
1.62,7.5,2.95,1.0,0.0,14.75,"",0.3,2.5,0.5
0.64,4.0,1.66,1.0,0.0,9.96,"",0.3,2.5,0.5
2.01,9.0,2.66,1.0,0.0,15.96,"",0.3,2.5,0.5
1.25,6.5,2.7,1.0,0.0,13.5,"",0.3,2.5,0.5
4.66,20.0,6.08,1.0,0.0,30.38,"",0.3,2.5,0.5
1.84,8.5,1.28,1.0,0.0,14.08,"",0.3,2.5,0.5
2.39,11.5,0.0,1.0,0.0,13.3,"",0.3,0.0,0.5
1.79,8.5,2.56,1.0,0.0,15.36,"",0.3,2.5,0.5
0.74,5.0,2.0,1.0,0.0,11.3,"",0.3,2.5,0.5
0.53,4.0,0.0,1.0,0.0,8.3,"",0.3,2.5,0.5
1.29,9.0,0.0,1.0,0.0,13.3,"",0.3,2.5,0.5
0.62,5.0,1.86,1.0,0.0,11.16,"",0.3,2.5,0.5
14.3,42.0,0.0,1.0,6.12,52.42,"",0.3,2.5,0.5
1.2,6.5,1.5,1.0,0.0,12.3,"",0.3,2.5,0.5
2.48,12.5,0.0,1.0,0.0,16.8,"",0.3,2.5,0.5
0.85,5.0,1.86,1.0,0.0,11.16,"",0.3,2.5,0.5
0.56,5.0,0.0,1.0,0.0,9.3,"",0.3,2.5,0.5
0.53,4.0,1.66,1.0,0.0,9.96,"",0.3,2.5,0.5
2.14,9.0,2.66,1.0,0.0,15.96,"",0.3,2.5,0.5
5.4,18.5,4.55,3.5,0.0,27.35,"",0.3,2.5,0.5
2.34,10.0,0.0,1.0,0.0,14.3,"",0.3,2.5,0.5
1.1,6.5,1.08,3.5,0.0,11.88,"",0.3,2.5,0.5
5.5,20.0,0.0,3.5,0.0,24.3,"",0.3,2.5,0.5
1.35,6.5,2.16,1.0,0.0,12.96,"",0.3,2.5,0.5
1.05,5.5,1.96,1.0,0.0,11.76,"",0.3,2.5,0.5
1.21,7.0,0.0,1.0,0.0,11.3,"",0.3,2.5,0.5
3.49,16.0,5.08,1.0,0.0,25.38,"",0.3,2.5,0.5
4.08,15.0,3.86,1.0,0.0,23.16,"",0.3,2.5,0.5
1.2,7.0,1.0,1.0,0.0,12.3,"",0.3,2.5,0.5
1.62,9.0,2.66,1.0,0.0,15.96,"",0.3,2.5,0.5
6.88,20.5,0.0,1.0,0.0,22.3,"",0.3,0.0,0.5
0.61,4.5,1.76,1.0,0.0,10.56,"",0.3,2.5,0.5
4.13,16.0,4.0,1.0,0.0,24.3,"",0.3,2.5,0.5
1.59,9.0,2.66,1.0,0.0,15.96,"",0.3,2.5,0.5
1.59,8.5,2.56,1.0,0.0,15.36,"",0.3,2.5,0.5
1.1,5.5,1.95,3.5,0.0,11.75,"",0.3,2.5,0.5
1.4,8.0,3.08,3.5,0.0,15.38,"",0.3,2.5,0.5
1.1,6.5,0.5,3.5,0.0,11.3,"",0.3,2.5,0.5
0.8,5.5,1.95,3.5,0.0,11.75,"",0.3,2.5,0.5
1.2,6.5,2.15,3.5,0.0,12.95,"",0.3,2.5,0.5
3.0,12.5,0.0,1.0,0.0,14.3,"",0.3,0.0,0.5
0.97,7.0,0.0,1.0,0.0,11.3,"",0.3,2.5,0.5
10.95,38.0,0.0,1.0,0.0,39.8,"",0.3,0.0,0.5
3.6,13.5,2.0,3.5,0.0,19.8,"",0.3,2.5,0.5
1.4,8.0,1.0,3.5,0.0,13.3,"",0.3,2.5,0.5
0.8,5.0,1.85,3.5,0.0,11.15,"",0.3,2.5,0.5
0.8,5.5,2.45,3.5,0.0,12.25,"",0.3,2.5,0.5
4.3,20.5,1.0,3.5,0.0,25.8,"",0.3,2.5,0.5
0.9,6.0,3.05,3.5,0.0,13.35,"",0.3,2.5,0.5
0.6,5.5,2.5,3.5,0.0,12.3,"",0.3,2.5,0.5
4.8,17.0,4.25,3.5,0.0,25.55,"",0.3,2.5,0.5
1.4,7.0,0.0,3.5,0.0,11.3,"",0.3,2.5,0.5
1.83,8.5,3.2,1.0,0.0,16.0,"",0.3,2.5,0.5
0.46,4.0,0.0,1.0,0.0,8.3,"",0.3,2.5,0.5
2.01,9.0,2.66,1.0,0.0,15.96,"",0.3,2.5,0.5
0.69,5.5,0.0,1.0,0.0,9.8,"",0.3,2.5,0.5
0.92,7.0,1.0,1.0,0.0,12.3,"",0.3,2.5,0.5
