trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
0.73,4.5,1.56,0.0,0.0,9.36,"",0.3,2.5,0.5
1.17,7.0,1.0,0.0,0.0,11.3,"",0.3,2.5,0.5
0.48,4.5,0.0,0.0,0.0,7.8,"",0.3,2.5,0.5
2.81,15.5,1.88,0.0,0.0,20.68,"",0.3,2.5,0.5
0.33,5.5,0.0,0.0,0.0,8.8,"",0.3,2.5,0.5
0.9,6.0,0.0,2.5,0.0,9.3,"",0.3,2.5,0.5
0.8,6.0,1.36,0.0,0.0,8.16,"",0.3,0.0,0.5
1.52,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
0.63,4.0,1.46,0.0,0.0,8.76,"",0.3,2.5,0.5
0.64,5.0,1.66,0.0,0.0,9.96,"",0.3,2.5,0.5
1.57,8.5,1.77,0.0,0.0,13.57,"",0.3,2.5,0.5
1.19,7.0,0.0,0.0,0.0,10.3,"",0.3,2.5,0.5
1.93,8.0,0.0,0.0,0.0,11.3,"",0.3,2.5,0.5
4.26,18.0,0.0,0.0,0.0,21.3,"",0.3,2.5,0.5
2.55,11.0,2.86,0.0,0.0,17.16,"",0.3,2.5,0.5
1.15,6.0,1.86,0.0,0.0,11.16,"",0.3,2.5,0.5
0.71,7.0,1.54,0.0,0.0,11.84,"",0.3,2.5,0.5
0.53,7.0,2.58,0.0,0.0,12.88,"",0.3,2.5,0.5
0.83,5.5,1.76,0.0,0.0,10.56,"",0.3,2.5,0.5
0.93,6.5,1.96,0.0,0.0,11.76,"",0.3,2.5,0.5
2.11,11.0,3.58,0.0,0.0,17.88,"",0.3,2.5,0.5
0.2,3.5,0.0,2.5,0.0,6.8,"",0.3,2.5,0.5
1.4,10.0,0.0,2.5,0.0,13.3,"",0.3,2.5,0.5
2.41,11.0,3.0,0.0,0.0,17.3,"",0.3,2.5,0.5
1.98,9.5,2.56,0.0,0.0,15.36,"",0.3,2.5,0.5
0.82,6.0,0.0,0.0,0.0,9.3,"",0.3,2.5,0.5
1.61,9.0,1.0,0.0,0.0,10.8,"",0.3,0.0,0.5
1.44,7.0,2.58,0.0,0.0,12.88,"",0.3,2.5,0.5
3.67,17.0,6.09,0.0,0.0,26.39,"",0.3,2.5,0.5
1.06,7.5,2.16,0.0,0.0,12.96,"",0.3,2.5,0.5
2.6,13.0,0.0,0.0,0.0,13.8,"",0.3,0.0,0.5
4.24,18.0,0.0,0.0,0.0,21.3,"",0.3,2.5,0.5
4.12,18.0,4.26,0.0,0.0,25.56,"",0.3,2.5,0.5
1.12,5.5,0.0,0.0,0.0,6.3,"",0.3,0.0,0.5
0.41,3.5,1.36,0.0,0.0,8.16,"",0.3,2.5,0.5
3.4,14.5,4.45,2.5,0.0,22.25,"",0.3,2.5,0.5
1.55,8.0,0.0,0.0,0.0,11.3,"",0.3,2.5,0.5
0.55,4.5,0.0,0.0,0.0,7.8,"",0.3,2.5,0.5
3.09,14.0,3.46,0.0,0.0,20.76,"",0.3,2.5,0.5
2.1,11.5,2.95,2.5,0.0,17.75,"",0.3,2.5,0.5
2.0,10.0,3.95,2.5,0.0,17.25,"",0.3,2.5,0.5
1.2,7.0,1.5,2.5,0.0,11.8,"",0.3,2.5,0.5
0.53,4.5,0.0,0.0,0.0,7.8,"",0.3,2.5,0.5
3.2,13.0,4.08,0.0,0.0,20.38,"",0.3,2.5,0.5
2.66,10.5,2.76,0.0,0.0,16.56,"",0.3,2.5,0.5
1.3,6.0,1.5,2.5,0.0,10.8,"",0.3,2.5,0.5
1.1,6.0,0.0,0.0,0.0,6.8,"",0.3,0.0,0.5
0.5,3.5,0.0,2.5,0.0,6.8,"",0.3,2.5,0.5
0.7,5.0,0.6,2.5,0.0,8.9,"",0.3,2.5,0.5
1.3,8.5,0.0,2.5,0.0,11.8,"",0.3,2.5,0.5
4.6,19.0,0.0,2.5,0.0,22.3,"",0.3,2.5,0.5
3.06,12.0,3.83,0.0,0.0,19.13,"",0.3,2.5,0.5
5.05,19.5,4.56,0.0,0.0,27.36,"",0.3,2.5,0.5
0.77,5.0,1.7,0.0,0.0,10.0,"",0.3,2.5,0.5
1.5,7.0,0.0,2.5,0.0,10.3,"",0.3,2.5,0.5
1.0,6.5,1.95,2.5,0.0,11.75,"",0.3,2.5,0.5
3.4,13.5,3.36,2.5,0.0,20.16,"",0.3,2.5,0.5
3.68,16.5,0.0,0.0,0.0,19.8,"",0.3,2.5,0.5
1.57,11.0,0.0,0.0,0.0,11.8,"",0.3,0.0,0.5
1.51,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
1.11,6.5,2.0,0.0,0.0,11.8,"",0.3,2.5,0.5
2.07,10.0,1.33,0.0,0.0,14.63,"",0.3,2.5,0.5
1.66,10.0,2.66,0.0,0.0,15.96,"",0.3,2.5,0.5
1.98,9.5,0.0,0.0,0.0,12.8,"",0.3,2.5,0.5
1.05,6.5,2.0,0.0,0.0,11.8,"",0.3,2.5,0.5
1.16,6.0,1.0,0.0,0.0,10.3,"",0.3,2.5,0.5
1.33,7.5,1.62,0.0,0.0,12.42,"",0.3,2.5,0.5
2.31,9.0,0.98,0.0,0.0,13.28,"",0.3,2.5,0.5
0.98,7.0,10.0,0.0,0.0,20.3,"",0.3,2.5,0.5
0.69,5.0,2.49,0.0,0.0,10.79,"",0.3,2.5,0.5
1.97,9.0,1.0,0.0,0.0,13.3,"",0.3,2.5,0.5
2.49,12.0,4.59,0.0,0.0,19.89,"",0.3,2.5,0.5
2.74,12.5,3.16,0.0,0.0,18.96,"",0.3,2.5,0.5
0.82,5.5,0.0,0.0,0.0,8.8,"",0.3,2.5,0.5
2.48,11.0,0.0,0.0,0.0,14.3,"",0.3,2.5,0.5
2.2,12.0,0.0,0.0,0.0,12.8,"",0.3,0.0,0.5
5.7,21.0,5.0,2.5,0.0,29.3,"",0.3,2.5,0.5
1.52,7.5,0.0,0.0,0.0,10.8,"",0.3,2.5,0.5
3.71,18.0,0.0,0.0,0.0,21.3,"",0.3,2.5,0.5
1.36,9.0,0.0,0.0,0.0,12.3,"",0.3,2.5,0.5
2.58,11.5,1.48,0.0,0.0,16.28,"",0.3,2.5,0.5
5.53,21.5,0.0,0.0,0.0,24.8,"",0.3,2.5,0.5
