trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
0.0,11.2,0.0,0.0,0.0,12.0,"",0.3,0.0,0.5
7.1,23.0,4.0,1.0,0.0,28.8,"",0.3,0.0,0.5
13.08,36.5,5.0,1.0,0.0,43.3,"",0.3,0.0,0.5
2.3,11.5,0.0,3.5,0.0,15.8,"",0.3,2.5,0.5
1.8,8.0,2.45,3.5,0.0,14.75,"",0.3,2.5,0.5
2.57,11.0,3.06,1.0,0.0,18.36,"",0.3,2.5,0.5
1.46,6.5,2.16,1.0,0.0,12.96,"",0.3,2.5,0.5
2.28,9.5,2.76,1.0,0.0,16.56,"",0.3,2.5,0.5
1.06,6.0,0.0,1.0,0.0,10.3,"",0.3,2.5,0.5
0.8,4.5,1.0,1.0,0.0,9.8,"",0.3,2.5,0.5
1.86,10.0,2.86,1.0,0.0,17.16,"",0.3,2.5,0.5
2.6,11.5,0.0,1.0,0.0,15.8,"",0.3,2.5,0.5
1.14,7.0,2.26,1.0,0.0,13.56,"",0.3,2.5,0.5
9.56,47.5,2.75,1.0,6.12,58.17,"",0.3,0.0,0.5
1.52,8.0,2.0,1.0,0.0,14.3,"",0.3,2.5,0.5
1.25,6.5,1.0,1.0,0.0,11.8,"",0.3,2.5,0.5
2.13,11.0,3.06,1.0,0.0,18.36,"",0.3,2.5,0.5
1.51,7.0,2.82,1.0,0.0,14.12,"",0.3,2.5,0.5
1.48,7.0,2.2,1.0,0.0,11.0,"",0.3,0.0,0.5
0.83,5.5,1.96,1.0,0.0,11.76,"",0.3,2.5,0.5
1.1,6.5,0.0,3.5,0.0,10.8,"",0.3,2.5,0.5
0.9,5.5,2.45,3.5,0.0,12.25,"",0.3,2.5,0.5
0.6,4.0,2.05,3.5,0.0,10.35,"",0.3,2.5,0.5
0.69,5.5,2.94,1.0,0.0,12.74,"",0.3,2.5,0.5
1.74,8.0,0.0,1.0,0.0,12.3,"",0.3,2.5,0.5
3.22,13.0,3.46,1.0,0.0,20.76,"",0.3,2.5,0.5
10.69,35.0,2.75,1.0,6.12,45.67,"",0.3,0.0,0.5
0.92,4.5,1.76,1.0,0.0,10.56,"",0.3,2.5,0.5
1.09,7.0,0.0,1.0,0.0,11.3,"",0.3,2.5,0.5
0.7,5.0,1.85,3.5,0.0,11.15,"",0.3,2.5,0.5
1.2,6.5,0.0,3.5,0.0,10.8,"",0.3,2.5,0.5
0.4,3.5,1.0,3.5,0.0,8.8,"",0.3,2.5,0.5
0.3,3.5,1.55,3.5,0.0,9.35,"",0.3,2.5,0.5
0.8,5.5,1.95,3.5,0.0,11.75,"",0.3,2.5,0.5
2.11,9.0,0.0,1.0,0.0,13.3,"",0.3,2.5,0.5
0.92,5.0,1.86,1.0,0.0,11.16,"",0.3,2.5,0.5
1.06,8.0,10.01,1.0,0.0,22.31,"",0.3,2.5,0.5
1.19,6.0,2.06,1.0,0.0,12.36,"",0.3,2.5,0.5
1.75,8.5,1.92,1.0,0.0,14.72,"",0.3,2.5,0.5
7.0,26.5,6.15,3.5,0.0,36.95,"",0.3,2.5,0.5
0.0,36.2,0.0,0.0,0.0,37.0,"",0.3,0.0,0.5
1.89,8.0,0.0,1.0,0.0,12.3,"",0.3,2.5,0.5
2.2,11.5,2.0,3.5,0.0,17.8,"",0.3,2.5,0.5
0.7,5.0,1.85,3.5,0.0,11.15,"",0.3,2.5,0.5
0.9,5.0,1.85,3.5,0.0,11.15,"",0.3,2.5,0.5
0.0,24.2,0.0,0.0,6.12,31.12,"",0.3,0.0,0.5
3.48,16.5,4.16,1.0,0.0,24.96,"",0.3,2.5,0.5
3.51,14.5,3.76,1.0,0.0,22.56,"",0.3,2.5,0.5
0.68,5.0,1.0,1.0,0.0,10.3,"",0.3,2.5,0.5
1.77,9.0,0.0,1.0,0.0,13.3,"",0.3,2.5,0.5
0.38,3.5,2.0,1.0,0.0,9.8,"",0.3,2.5,0.5
1.8,9.5,2.76,1.0,0.0,16.56,"",0.3,2.5,0.5
0.95,6.5,0.0,1.0,0.0,10.8,"",0.3,2.5,0.5
1.71,7.5,2.36,1.0,0.0,14.16,"",0.3,2.5,0.5
1.84,9.0,0.0,1.0,0.0,13.3,"",0.3,2.5,0.5
16.3,58.5,2.75,0.0,6.12,68.17,"",0.3,0.0,0.5
7.7,23.0,4.0,1.0,0.0,31.3,"",0.3,2.5,0.5
6.86,26.5,0.0,1.0,0.0,28.3,"",0.3,0.0,0.5
1.52,8.0,2.46,1.0,0.0,14.76,"",0.3,2.5,0.5
0.8,4.5,2.0,1.0,0.0,10.8,"",0.3,2.5,0.5
1.56,7.5,2.36,1.0,0.0,14.16,"",0.3,2.5,0.5
1.02,6.0,2.0,1.0,0.0,12.3,"",0.3,2.5,0.5
2.4,12.5,0.0,3.5,0.0,16.8,"",0.3,2.5,0.5
0.78,6.5,1.0,1.0,0.0,11.8,"",0.3,2.5,0.5
1.69,9.0,2.0,1.0,0.0,15.3,"",0.3,2.5,0.5
1.8,8.5,0.0,3.5,0.0,12.8,"",0.3,2.5,0.5
4.8,18.0,2.0,3.5,0.0,24.3,"",0.3,2.5,0.5
2.35,10.0,2.95,1.0,0.0,14.75,"",0.3,0.0,0.5
0.64,5.0,0.0,1.0,0.0,9.3,"",0.3,2.5,0.5
0.91,6.0,2.06,1.0,0.0,12.36,"",0.3,2.5,0.5
0.77,6.0,1.1,1.0,0.0,11.4,"",0.3,2.5,0.5
2.11,9.5,2.76,1.0,0.0,16.56,"",0.3,2.5,0.5
10.23,32.5,3.0,1.0,6.12,45.92,"",0.3,2.5,0.5
1.1,6.0,2.06,1.0,0.0,12.36,"",0.3,2.5,0.5
0.93,6.0,1.0,1.0,0.0,11.3,"",0.3,2.5,0.5
4.25,15.5,0.0,1.0,0.0,19.8,"",0.3,2.5,0.5
0.88,5.5,2.45,1.0,0.0,12.25,"",0.3,2.5,0.5
3.36,16.0,0.0,1.0,0.0,20.3,"",0.3,2.5,0.5
0.71,4.5,2.64,1.0,0.0,11.44,"",0.3,2.5,0.5
1.6,8.0,1.0,1.0,0.0,13.3,"",0.3,2.5,0.5
2.28,9.5,2.0,1.0,0.0,15.8,"",0.3,2.5,0.5
2.0,11.5,0.0,3.5,0.0,15.8,"",0.3,2.5,0.5
2.19,11.0,3.82,1.0,0.0,19.12,"",0.3,2.5,0.5
0.76,4.5,1.76,1.0,0.0,10.56,"",0.3,2.5,0.5
1.94,8.5,2.56,1.0,0.0,15.36,"",0.3,2.5,0.5
9.0,26.5,5.0,1.0,0.0,33.3,"",0.3,0.0,0.5
3.21,12.5,3.36,1.0,0.0,20.16,"",0.3,2.5,0.5
3.34,13.5,3.56,1.0,0.0,21.36,"",0.3,2.5,0.5
4.47,15.0,3.0,1.0,0.0,22.3,"",0.3,2.5,0.5
2.7,13.0,2.6,3.5,0.0,19.9,"",0.3,2.5,0.5
19.23,52.0,12.68,4.5,6.12,76.1,"",0.3,0.0,0.5
2.66,10.0,2.86,1.0,0.0,17.16,"",0.3,2.5,0.5
2.38,10.5,2.96,1.0,0.0,17.76,"",0.3,2.5,0.5
6.14,20.5,2.0,1.0,0.0,26.8,"",0.3,2.5,0.5
2.98,12.5,0.0,1.0,0.0,16.8,"",0.3,2.5,0.5
1.63,8.0,2.46,1.0,0.0,14.76,"",0.3,2.5,0.5
0.6,5.0,1.85,3.5,0.0,11.15,"",0.3,2.5,0.5
0.6,4.5,2.6,3.5,0.0,11.4,"",0.3,2.5,0.5
1.27,6.0,2.0,1.0,0.0,12.3,"",0.3,2.5,0.5
