trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
1.36,6.5,2.16,1.0,0.0,12.96,"",0.3,2.5,0.5
1.05,5.5,2.94,1.0,0.0,12.74,"",0.3,2.5,0.5
0.62,-4.5,0.0,-1.0,0.0,-8.8,"",-0.3,-2.5,-0.5
0.62,4.5,0.0,1.0,0.0,8.8,"",0.3,2.5,0.5
0.01,2.5,0.0,1.0,0.0,6.8,"",0.3,2.5,0.5
0.91,5.5,1.47,1.0,0.0,11.27,"",0.3,2.5,0.5
0.8,4.5,0.0,3.5,0.0,8.8,"",0.3,2.5,0.5
0.81,5.5,1.96,1.0,0.0,11.76,"",0.3,2.5,0.5
3.26,15.5,3.96,1.0,0.0,23.76,"",0.3,2.5,0.5
1.03,6.5,1.2,1.0,0.0,12.0,"",0.3,2.5,0.5
3.07,13.0,3.11,1.0,0.0,20.41,"",0.3,2.5,0.5
1.45,7.0,2.26,1.0,0.0,13.56,"",0.3,2.5,0.5
8.97,26.0,0.0,1.0,6.12,36.42,"",0.3,2.5,0.5
3.01,12.0,1.63,1.0,0.0,17.93,"",0.3,2.5,0.5
0.47,3.5,1.56,1.0,0.0,9.36,"",0.3,2.5,0.5
1.44,7.5,1.0,1.0,0.0,12.8,"",0.3,2.5,0.5
3.25,12.0,1.0,1.0,0.0,17.3,"",0.3,2.5,0.5
3.21,12.0,0.0,1.0,0.0,16.3,"",0.3,2.5,0.5
2.2,9.5,3.45,3.5,0.0,17.25,"",0.3,2.5,0.5
1.3,7.0,2.25,3.5,0.0,13.55,"",0.3,2.5,0.5
2.43,10.0,2.7,1.0,0.0,17.0,"",0.3,2.5,0.5
2.78,10.5,2.0,1.0,0.0,16.8,"",0.3,2.5,0.5
3.2,14.5,2.0,1.0,0.0,20.8,"",0.3,2.5,0.5
1.35,7.5,0.0,1.0,0.0,11.8,"",0.3,2.5,0.5
2.64,13.5,3.56,1.0,0.0,21.36,"",0.3,2.5,0.5
2.18,8.5,2.0,1.0,0.0,14.8,"",0.3,2.5,0.5
10.63,40.0,8.86,1.0,0.0,53.16,"",0.3,2.5,0.5
0.8,5.0,2.3,3.5,0.0,11.6,"",0.3,2.5,0.5
1.1,7.0,2.0,3.5,0.0,13.3,"",0.3,2.5,0.5
1.64,12.0,1.08,1.0,0.0,17.38,"",0.3,2.5,0.5
0.94,5.0,0.0,1.0,0.0,9.3,"",0.3,2.5,0.5
16.3,47.0,11.45,3.5,6.12,68.87,"",0.3,2.5,0.5
2.7,12.5,0.0,3.5,0.0,16.8,"",0.3,2.5,0.5
1.9,9.0,2.0,3.5,0.0,15.3,"",0.3,2.5,0.5
1.3,7.0,2.26,3.5,0.0,13.56,"",0.3,2.5,0.5
1.2,6.5,1.75,3.5,0.0,12.55,"",0.3,2.5,0.5
5.76,20.5,0.0,1.0,0.0,24.8,"",0.3,2.5,0.5
1.38,9.0,2.66,1.0,0.0,15.96,"",0.3,2.5,0.5
15.38,44.0,5.0,1.0,6.12,59.42,"",0.3,2.5,0.5
5.19,20.5,20.0,1.0,0.0,42.3,"",0.3,0.0,0.5
18.4,52.0,0.0,7.0,6.12,65.92,"",0.3,2.5,0.5
1.1,5.5,2.9,3.5,0.0,12.7,"",0.3,2.5,0.5
1.2,7.0,2.25,3.5,0.0,13.55,"",0.3,2.5,0.5
3.0,12.5,3.35,3.5,0.0,20.15,"",0.3,2.5,0.5
2.74,13.0,2.5,1.0,0.0,19.8,"",0.3,2.5,0.5
1.52,8.5,2.56,1.0,0.0,15.36,"",0.3,2.5,0.5
4.9,20.0,4.85,3.5,0.0,29.15,"",0.3,2.5,0.5
1.97,8.0,2.46,1.0,0.0,14.76,"",0.3,2.5,0.5
6.16,24.5,7.2,1.0,0.0,36.0,"",0.3,2.5,0.5
0.5,5.0,2.3,3.5,0.0,11.6,"",0.3,2.5,0.5
2.6,11.0,5.0,3.5,0.0,20.3,"",0.3,2.5,0.5
1.88,8.0,2.46,1.0,0.0,14.76,"",0.3,2.5,0.5
9.18,31.0,1.0,1.0,0.0,36.3,"",0.3,2.5,0.5
1.18,7.0,0.0,1.0,0.0,8.8,"",0.3,0.0,0.5
3.97,13.5,3.56,1.0,0.0,21.36,"",0.3,2.5,0.5
0.56,4.5,1.76,1.0,0.0,10.56,"",0.3,2.5,0.5
1.33,7.0,2.26,1.0,0.0,13.56,"",0.3,2.5,0.5
1.69,7.5,2.0,1.0,0.0,13.8,"",0.3,2.5,0.5
0.88,6.5,0.0,1.0,0.0,10.8,"",0.3,2.5,0.5
5.6,22.0,1.0,3.5,0.0,27.3,"",0.3,2.5,0.5
7.1,24.5,5.24,3.5,6.12,40.16,"",0.3,2.5,0.5
1.17,6.0,2.06,1.0,0.0,12.36,"",0.3,2.5,0.5
0.84,6.0,0.0,1.0,0.0,10.3,"",0.3,2.5,0.5
1.36,6.5,2.16,1.0,0.0,12.96,"",0.3,2.5,0.5
2.1,10.0,0.0,1.0,0.0,14.3,"",0.3,2.5,0.5
1.84,8.0,1.84,1.0,0.0,14.14,"",0.3,2.5,0.5
1.09,6.5,2.7,1.0,0.0,13.5,"",0.3,2.5,0.5
2.7,12.0,1.0,1.0,0.0,17.3,"",0.3,2.5,0.5
1.97,9.0,2.0,1.0,0.0,15.3,"",0.3,2.5,0.5
2.73,11.0,0.0,1.0,0.0,15.3,"",0.3,2.5,0.5
2.0,11.0,3.06,1.0,0.0,18.36,"",0.3,2.5,0.5
3.29,13.5,1.2,1.0,0.0,19.0,"",0.3,2.5,0.5
3.1,11.5,1.5,3.5,0.0,17.3,"",0.3,2.5,0.5
0.9,6.0,0.0,3.5,0.0,10.3,"",0.3,2.5,0.5
1.7,7.5,2.35,3.5,0.0,14.15,"",0.3,2.5,0.5
3.3,15.0,2.0,3.5,0.0,21.3,"",0.3,2.5,0.5
1.59,7.5,1.0,1.0,0.0,12.8,"",0.3,2.5,0.5
0.0,-52.0,0.0,-4.5,0.0,-59.8,"",-0.3,-2.5,-0.5
0.0,52.0,0.0,4.5,0.0,59.8,"",0.3,2.5,0.5
0.76,9.5,8.0,1.0,0.0,21.8,"",0.3,2.5,0.5
4.16,13.5,4.0,1.0,0.0,21.8,"",0.3,2.5,0.5
1.46,7.5,2.95,1.0,0.0,14.75,"",0.3,2.5,0.5
0.36,3.5,0.0,1.0,0.0,7.8,"",0.3,2.5,0.5
1.7,7.5,1.5,3.5,0.0,13.3,"",0.3,2.5,0.5
6.4,23.5,5.55,3.5,0.0,33.35,"",0.3,2.5,0.5
2.08,9.5,2.48,1.0,0.0,16.28,"",0.3,2.5,0.5
