trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
0.4,3.5,0.0,2.5,0.0,6.8,"",0.3,2.5,0.5
0.6,4.5,1.55,2.5,0.0,9.35,"",0.3,2.5,0.5
1.1,6.5,0.0,2.5,0.0,9.8,"",0.3,2.5,0.5
2.5,13.5,4.2,2.5,0.0,21.0,"",0.3,2.5,0.5
3.4,15.0,3.65,2.5,0.0,21.95,"",0.3,2.5,0.5
3.4,14.0,0.0,2.5,0.0,17.3,"",0.3,2.5,0.5
4.44,16.0,5.79,0.0,0.0,25.09,"",0.3,2.5,0.5
4.7,19.0,0.0,2.5,0.0,22.3,"",0.3,2.5,0.5
3.48,14.0,0.0,0.0,0.0,17.3,"",0.3,2.5,0.5
0.83,5.5,1.76,0.0,0.0,10.56,"",0.3,2.5,0.5
14.29,42.0,0.0,0.0,0.0,45.3,"",0.3,2.5,0.5
1.18,6.0,0.0,0.0,0.0,9.3,"",0.3,2.5,0.5
1.6,8.5,0.0,2.5,0.0,11.8,"",0.3,2.5,0.5
2.4,11.5,2.95,2.5,0.0,17.75,"",0.3,2.5,0.5
1.22,6.5,2.45,0.0,0.0,12.25,"",0.3,2.5,0.5
6.3,19.5,0.0,0.0,0.0,22.8,"",0.3,2.5,0.5
3.39,13.5,3.36,0.0,0.0,20.16,"",0.3,2.5,0.5
1.08,5.5,1.0,0.0,0.0,9.8,"",0.3,2.5,0.5
1.23,6.5,2.45,0.0,0.0,12.25,"",0.3,2.5,0.5
4.05,15.5,0.0,0.0,0.0,16.3,"",0.3,0.0,0.5
1.02,7.0,0.0,0.0,0.0,7.8,"",0.3,0.0,0.5
18.4,51.5,10.0,2.5,6.12,70.92,"",0.3,2.5,0.5
0.48,4.5,0.0,0.0,0.0,7.8,"",0.3,2.5,0.5
1.94,10.5,0.0,0.0,0.0,13.8,"",0.3,2.5,0.5
9.72,31.0,0.0,0.0,0.0,31.8,"",0.3,0.0,0.5
1.13,7.5,2.7,0.0,0.0,13.5,"",0.3,2.5,0.5
2.99,10.5,3.45,0.0,0.0,17.25,"",0.3,2.5,0.5
2.61,12.0,3.06,0.0,0.0,18.36,"",0.3,2.5,0.5
1.58,8.5,1.0,0.0,0.0,12.8,"",0.3,2.5,0.5
0.25,3.5,0.0,0.0,0.0,4.3,"",0.3,0.0,0.5
1.6,8.0,2.25,2.5,0.0,13.55,"",0.3,2.5,0.5
0.64,4.5,0.0,0.0,0.0,7.8,"",0.3,2.5,0.5
0.72,6.0,1.0,0.0,0.0,10.3,"",0.3,2.5,0.5
2.68,10.5,2.76,0.0,0.0,16.56,"",0.3,2.5,0.5
0.48,4.0,0.0,0.0,0.0,7.3,"",0.3,2.5,0.5
2.94,13.0,3.26,0.0,0.0,19.56,"",0.3,2.5,0.5
2.16,10.0,1.0,0.0,0.0,14.3,"",0.3,2.5,0.5
0.69,5.5,1.0,0.0,0.0,9.8,"",0.3,2.5,0.5
2.86,11.5,0.0,0.0,0.0,14.8,"",0.3,2.5,0.5
1.06,5.0,0.0,0.0,0.0,8.3,"",0.3,2.5,0.5
1.01,7.0,2.06,0.0,0.0,12.36,"",0.3,2.5,0.5
0.86,5.5,1.32,0.0,0.0,10.12,"",0.3,2.5,0.5
