trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
12.5,36.0,0.0,2.5,0.0,39.3,"",0.3,2.5,0.5
0.48,4.5,0.0,0.0,0.0,7.8,"",0.3,2.5,0.5
2.28,9.5,1.28,0.0,0.0,14.08,"",0.3,2.5,0.5
5.51,21.5,4.96,0.0,0.0,29.76,"",0.3,2.5,0.5
1.97,10.0,2.66,0.0,0.0,15.96,"",0.3,2.5,0.5
1.55,8.5,2.36,0.0,0.0,14.16,"",0.3,2.5,0.5
1.24,6.0,1.75,0.0,0.0,11.05,"",0.3,2.5,0.5
0.71,4.5,0.0,0.0,0.0,7.8,"",0.3,2.5,0.5
2.0,9.0,2.46,0.0,0.0,14.76,"",0.3,2.5,0.5
1.2,7.5,3.2,2.5,0.0,14.0,"",0.3,2.5,0.5
0.5,5.0,1.65,2.5,0.0,9.95,"",0.3,2.5,0.5
3.1,13.5,1.5,2.5,0.0,18.3,"",0.3,2.5,0.5
1.7,9.0,2.45,2.5,0.0,14.75,"",0.3,2.5,0.5
0.6,5.5,2.2,2.5,0.0,11.0,"",0.3,2.5,0.5
2.31,11.5,2.96,0.0,0.0,17.76,"",0.3,2.5,0.5
1.72,9.0,2.46,0.0,0.0,14.76,"",0.3,2.5,0.5
0.03,2.5,0.0,0.0,0.0,3.3,"",0.3,0.0,0.5
0.94,5.5,0.0,0.0,0.0,8.8,"",0.3,2.5,0.5
1.08,6.0,1.86,0.0,0.0,11.16,"",0.3,2.5,0.5
1.14,6.5,1.0,0.0,0.0,10.8,"",0.3,2.5,0.5
0.88,6.5,1.96,0.0,0.0,11.76,"",0.3,2.5,0.5
1.26,6.5,2.2,0.0,0.0,12.0,"",0.3,2.5,0.5
1.36,7.0,0.0,0.0,0.0,10.3,"",0.3,2.5,0.5
0.66,5.5,2.64,0.0,0.0,11.44,"",0.3,2.5,0.5
2.49,11.0,2.86,0.0,0.0,17.16,"",0.3,2.5,0.5
