trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
2.45,11.0,2.86,0.0,0.0,17.16,"",0.3,2.5,0.5
1.42,7.5,2.5,0.0,0.0,13.3,"",0.3,2.5,0.5
1.5,7.0,2.05,2.5,0.0,12.35,"",0.3,2.5,0.5
1.8,8.0,0.0,2.5,0.0,11.3,"",0.3,2.5,0.5
1.9,12.0,3.8,2.5,0.0,19.1,"",0.3,2.5,0.5
1.1,7.5,1.0,2.5,0.0,11.8,"",0.3,2.5,0.5
2.5,12.0,0.0,2.5,0.0,15.3,"",0.3,2.5,0.5
1.11,6.5,0.0,0.0,0.0,7.3,"",0.3,0.0,0.5
0.9,5.0,1.66,2.5,0.0,9.96,"",0.3,2.5,0.5
0.9,5.5,0.0,2.5,0.0,8.8,"",0.3,2.5,0.5
0.5,5.0,1.65,2.5,0.0,9.95,"",0.3,2.5,0.5
2.1,10.0,2.0,2.5,0.0,15.3,"",0.3,2.5,0.5
0.72,5.5,0.0,0.0,0.0,8.8,"",0.3,2.5,0.5
1.51,7.0,2.58,0.0,0.0,12.88,"",0.3,2.5,0.5
2.31,10.0,2.16,0.0,0.0,12.96,"",0.3,0.0,0.5
0.82,4.5,1.56,0.0,0.0,9.36,"",0.3,2.5,0.5
0.82,7.5,2.16,0.0,0.0,12.96,"",0.3,2.5,0.5
2.84,11.0,3.58,0.0,0.0,17.88,"",0.3,2.5,0.5
2.89,11.5,2.96,0.0,0.0,17.76,"",0.3,2.5,0.5
0.59,4.0,1.46,0.0,0.0,8.76,"",0.3,2.5,0.5
1.9,10.0,0.0,0.0,0.0,13.3,"",0.3,2.5,0.5
1.7,7.5,2.7,0.0,0.0,13.5,"",0.3,2.5,0.5
1.18,6.0,1.86,0.0,0.0,11.16,"",0.3,2.5,0.5
2.6,11.5,3.7,2.5,0.0,18.5,"",0.3,2.5,0.5
2.7,11.5,2.95,2.5,0.0,17.75,"",0.3,2.5,0.5
2.4,11.0,0.0,2.5,0.0,14.3,"",0.3,2.5,0.5
3.89,55.5,10.0,0.0,0.0,71.3,"",0.3,0.0,0.5
0.95,5.5,1.76,0.0,0.0,10.56,"",0.3,2.5,0.5
1.21,7.5,2.16,0.0,0.0,12.96,"",0.3,2.5,0.5
1.73,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
1.42,7.0,0.0,0.0,0.0,10.3,"",0.3,2.5,0.5
1.62,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
11.7,32.0,10.0,0.0,0.0,42.8,"",0.3,0.0,0.5
0.82,5.5,0.44,0.0,0.0,9.24,"",0.3,2.5,0.5
0.3,4.5,0.0,2.5,0.0,7.8,"",0.3,2.5,0.5
18.7,52.0,10.0,2.5,6.12,71.42,"",0.3,2.5,0.5
12.8,42.0,8.55,0.0,0.0,51.35,"",0.3,0.0,0.5
2.5,11.5,2.95,2.5,0.0,17.75,"",0.3,2.5,0.5
2.5,11.5,0.0,2.5,0.0,14.8,"",0.3,2.5,0.5
0.8,6.0,5.0,0.0,0.0,14.3,"",0.3,2.5,0.5
0.35,3.5,0.0,0.0,0.0,6.8,"",0.3,2.5,0.5
1.3,6.5,1.0,0.0,0.0,10.8,"",0.3,2.5,0.5
1.62,-8.0,0.0,0.0,0.0,-11.3,"",-0.3,-2.5,-0.5
1.62,8.0,0.0,0.0,0.0,11.3,"",0.3,2.5,0.5
5.77,19.5,4.56,0.0,0.0,27.36,"",0.3,2.5,0.5
1.8,8.5,2.35,2.5,0.0,14.15,"",0.3,2.5,0.5
0.4,4.0,2.0,2.5,0.0,9.3,"",0.3,2.5,0.5
1.2,7.0,2.05,2.5,0.0,12.35,"",0.3,2.5,0.5
3.87,14.0,2.6,0.0,0.0,19.9,"",0.3,2.5,0.5
2.61,11.5,2.22,0.0,0.0,17.02,"",0.3,2.5,0.5
4.68,18.0,4.26,0.0,0.0,25.56,"",0.3,2.5,0.5
1.32,9.0,2.46,0.0,0.0,14.76,"",0.3,2.5,0.5
0.94,-5.0,0.0,0.0,0.0,-8.3,"",-0.3,-2.5,-0.5
0.94,5.0,0.0,0.0,0.0,8.3,"",0.3,2.5,0.5
1.41,7.5,2.16,0.0,0.0,12.96,"",0.3,2.5,0.5
2.9,15.5,3.75,2.5,0.0,22.55,"",0.3,2.5,0.5
1.04,5.0,0.0,0.0,0.0,8.3,"",0.3,2.5,0.5
1.47,7.0,2.06,0.0,0.0,12.36,"",0.3,2.5,0.5
2.52,10.5,4.14,0.0,0.0,17.94,"",0.3,2.5,0.5
1.72,10.5,2.76,0.0,0.0,16.56,"",0.3,2.5,0.5
2.23,9.0,2.46,0.0,0.0,14.76,"",0.3,2.5,0.5
3.2,15.5,3.0,2.5,0.0,21.8,"",0.3,2.5,0.5
1.2,6.5,1.96,0.0,0.0,11.76,"",0.3,2.5,0.5
2.46,11.5,2.96,0.0,0.0,17.76,"",0.3,2.5,0.5
0.88,7.0,1.54,0.0,0.0,11.84,"",0.3,2.5,0.5
0.55,5.5,2.64,0.0,0.0,11.44,"",0.3,2.5,0.5
2.86,12.5,3.95,0.0,0.0,19.75,"",0.3,2.5,0.5
0.81,6.0,0.0,0.0,0.0,9.3,"",0.3,2.5,0.5
2.06,10.0,2.66,0.0,0.0,15.96,"",0.3,2.5,0.5
0.98,6.0,0.0,0.0,0.0,9.3,"",0.3,2.5,0.5
3.63,14.0,0.0,0.0,0.0,17.3,"",0.3,2.5,0.5
1.1,8.0,0.0,2.5,0.0,11.3,"",0.3,2.5,0.5
1.4,8.0,2.25,2.5,0.0,13.55,"",0.3,2.5,0.5
2.38,11.5,2.96,0.0,0.0,17.76,"",0.3,2.5,0.5
2.67,11.0,2.86,0.0,0.0,17.16,"",0.3,2.5,0.5
2.35,10.0,3.33,0.0,0.0,16.63,"",0.3,2.5,0.5
1.1,7.0,0.0,0.0,0.0,10.3,"",0.3,2.5,0.5
2.44,14.5,3.56,0.0,0.0,21.36,"",0.3,2.5,0.5
0.53,4.5,1.56,0.0,0.0,9.36,"",0.3,2.5,0.5
1.22,6.0,2.33,0.0,0.0,11.63,"",0.3,2.5,0.5
1.07,-6.5,0.0,0.0,0.0,-9.8,"",-0.3,-2.5,-0.5
1.07,6.5,0.0,0.0,0.0,9.8,"",0.3,2.5,0.5
1.68,9.5,2.56,0.0,0.0,15.36,"",0.3,2.5,0.5
4.13,14.5,0.0,0.0,0.0,17.8,"",0.3,2.5,0.5
2.06,9.5,2.56,0.0,0.0,15.36,"",0.3,2.5,0.5
1.97,10.5,2.76,0.0,0.0,16.56,"",0.3,2.5,0.5
0.84,5.0,0.0,0.0,0.0,8.3,"",0.3,2.5,0.5
2.4,10.5,2.0,2.5,0.0,15.8,"",0.3,2.5,0.5
1.15,7.0,2.06,0.0,0.0,12.36,"",0.3,2.5,0.5
4.72,17.0,0.0,0.0,0.0,20.3,"",0.3,2.5,0.5
1.7,9.5,3.2,2.5,0.0,16.0,"",0.3,2.5,0.5
0.4,4.0,1.45,2.5,0.0,8.75,"",0.3,2.5,0.5
