trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
0.93,5.5,1.0,0.0,0.0,9.8,"",0.3,2.5,0.5
0.79,6.0,0.0,0.0,0.0,9.3,"",0.3,2.5,0.5
0.9,6.0,2.32,0.0,0.0,11.62,"",0.3,2.5,0.5
1.87,9.5,2.56,0.0,0.0,15.36,"",0.3,2.5,0.5
1.08,6.5,0.0,0.0,0.0,9.8,"",0.3,2.5,0.5
1.6,9.5,1.0,2.5,0.0,13.8,"",0.3,2.5,0.5
0.79,5.5,1.5,0.0,0.0,10.3,"",0.3,2.5,0.5
0.73,6.0,2.32,0.0,0.0,11.62,"",0.3,2.5,0.5
2.2,10.5,2.75,2.5,0.0,16.55,"",0.3,2.5,0.5
1.0,7.0,1.0,2.5,0.0,11.3,"",0.3,2.5,0.5
1.2,8.0,2.25,2.5,0.0,13.55,"",0.3,2.5,0.5
1.7,8.5,2.95,0.0,0.0,14.75,"",0.3,2.5,0.5
3.11,13.0,3.26,0.0,0.0,19.56,"",0.3,2.5,0.5
0.63,4.5,1.56,0.0,0.0,9.36,"",0.3,2.5,0.5
2.1,11.5,2.95,2.5,0.0,17.75,"",0.3,2.5,0.5
2.6,14.5,0.0,2.5,0.0,17.8,"",0.3,2.5,0.5
2.22,8.5,2.36,0.0,0.0,14.16,"",0.3,2.5,0.5
0.82,5.0,1.66,0.0,0.0,9.96,"",0.3,2.5,0.5
1.52,6.5,1.47,0.0,0.0,11.27,"",0.3,2.5,0.5
0.65,4.5,0.0,0.0,0.0,7.8,"",0.3,2.5,0.5
4.0,13.5,2.7,0.0,0.0,17.0,"",0.3,0.0,0.5
5.5,19.5,4.55,2.5,0.0,27.35,"",0.3,2.5,0.5
0.57,3.5,1.0,0.0,0.0,7.8,"",0.3,2.5,0.5
1.05,6.5,1.96,0.0,0.0,11.76,"",0.3,2.5,0.5
1.27,8.5,0.0,0.0,0.0,11.8,"",0.3,2.5,0.5
1.31,7.5,2.16,0.0,0.0,12.96,"",0.3,2.5,0.5
1.65,9.0,2.46,0.0,0.0,14.76,"",0.3,2.5,0.5
3.5,13.5,3.36,0.0,0.0,20.16,"",0.3,2.5,0.5
0.8,7.0,0.0,2.5,0.0,10.3,"",0.3,2.5,0.5
1.2,8.0,2.8,2.5,0.0,14.1,"",0.3,2.5,0.5
2.09,13.5,4.2,0.0,0.0,21.0,"",0.3,2.5,0.5
0.91,5.0,0.83,0.0,0.0,9.13,"",0.3,2.5,0.5
0.7,5.5,2.2,2.5,0.0,11.0,"",0.3,2.5,0.5
3.7,14.0,0.0,2.5,0.0,17.3,"",0.3,2.5,0.5
1.54,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
1.33,7.0,2.06,0.0,0.0,12.36,"",0.3,2.5,0.5
2.15,11.5,2.96,0.0,0.0,17.76,"",0.3,2.5,0.5
3.5,15.5,2.26,2.5,0.0,21.06,"",0.3,2.5,0.5
2.51,13.5,2.0,0.0,0.0,18.8,"",0.3,2.5,0.5
0.71,5.5,1.76,0.0,0.0,10.56,"",0.3,2.5,0.5
1.39,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
4.05,17.0,5.08,0.0,0.0,25.38,"",0.3,2.5,0.5
1.15,7.0,2.06,0.0,0.0,12.36,"",0.3,2.5,0.5
1.9,10.0,2.65,2.5,0.0,15.95,"",0.3,2.5,0.5
1.0,6.0,0.0,2.5,0.0,9.3,"",0.3,2.5,0.5
1.05,5.5,2.2,0.0,0.0,11.0,"",0.3,2.5,0.5
1.98,11.0,3.58,0.0,0.0,17.88,"",0.3,2.5,0.5
0.2,3.0,0.0,0.0,0.0,3.8,"",0.3,0.0,0.5
2.7,13.0,2.0,0.0,0.0,18.3,"",0.3,2.5,0.5
1.62,9.0,2.45,0.0,0.0,12.25,"",0.3,0.0,0.5
0.86,6.0,0.0,0.0,0.0,6.8,"",0.3,0.0,0.5
1.35,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
1.95,9.0,0.0,0.0,0.0,12.3,"",0.3,2.5,0.5
2.09,11.0,0.0,0.0,0.0,14.3,"",0.3,2.5,0.5
1.9,11.5,4.4,2.5,0.0,19.2,"",0.3,2.5,0.5
3.4,17.0,0.0,0.0,0.0,20.3,"",0.3,2.5,0.5
4.8,19.5,4.55,2.5,0.0,27.35,"",0.3,2.5,0.5
1.9,11.5,0.0,2.5,0.0,14.8,"",0.3,2.5,0.5
