trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
1.5,8.0,0.0,3.5,0.0,12.3,"",0.3,2.5,0.5
0.5,4.0,1.66,3.5,0.0,9.96,"",0.3,2.5,0.5
2.32,9.5,1.66,1.0,0.0,15.46,"",0.3,2.5,0.5
0.68,-4.5,0.0,-1.0,0.0,-8.8,"",-0.3,-2.5,-0.5
0.68,4.5,0.0,1.0,0.0,8.8,"",0.3,2.5,0.5
0.66,4.0,0.0,1.0,0.0,8.3,"",0.3,2.5,0.5
0.96,6.0,0.0,1.0,0.0,10.3,"",0.3,2.5,0.5
2.11,10.5,0.0,1.0,0.0,14.8,"",0.3,2.5,0.5
1.2,7.0,0.0,1.0,0.0,11.3,"",0.3,2.5,0.5
1.03,5.5,2.45,1.0,0.0,12.25,"",0.3,2.5,0.5
1.95,7.5,3.54,1.0,0.0,15.34,"",0.3,2.5,0.5
3.31,13.0,2.96,1.0,0.0,17.76,"",0.3,0.0,0.5
12.32,39.5,8.26,1.0,0.0,49.56,"",0.3,0.0,0.5
7.39,26.5,0.0,1.0,0.0,30.8,"",0.3,2.5,0.5
1.13,7.0,2.82,1.0,0.0,14.12,"",0.3,2.5,0.5
2.0,11.0,2.5,3.5,0.0,17.8,"",0.3,2.5,0.5
4.5,15.0,0.0,3.5,0.0,19.3,"",0.3,2.5,0.5
2.0,9.5,2.07,3.5,0.0,15.87,"",0.3,2.5,0.5
2.5,11.5,3.95,3.5,0.0,19.75,"",0.3,2.5,0.5
0.8,4.5,0.0,3.5,0.0,8.8,"",0.3,2.5,0.5
0.68,4.5,1.76,1.0,0.0,10.56,"",0.3,2.5,0.5
1.07,5.0,1.86,1.0,0.0,11.16,"",0.3,2.5,0.5
1.25,7.5,0.7,1.0,0.0,12.5,"",0.3,2.5,0.5
1.69,9.5,0.0,1.0,0.0,13.8,"",0.3,2.5,0.5
3.03,13.5,2.67,1.0,0.0,20.47,"",0.3,2.5,0.5
10.5,32.0,5.0,1.0,0.0,38.8,"",0.3,0.0,0.5
1.27,7.0,2.0,1.0,0.0,13.3,"",0.3,2.5,0.5
5.67,22.0,1.0,1.0,0.0,27.3,"",0.3,2.5,0.5
1.2,7.0,0.0,3.5,0.0,11.3,"",0.3,2.5,0.5
1.5,6.5,2.7,3.5,0.0,13.5,"",0.3,2.5,0.5
1.6,7.5,2.35,3.5,0.0,14.15,"",0.3,2.5,0.5
3.0,12.5,3.36,3.5,0.0,20.16,"",0.3,2.5,0.5
0.9,5.5,2.45,3.5,0.0,12.25,"",0.3,2.5,0.5
2.1,8.5,2.55,3.5,0.0,15.35,"",0.3,2.5,0.5
2.0,10.0,0.0,1.0,0.0,11.8,"",0.3,0.0,0.5
1.58,8.5,2.56,1.0,0.0,15.36,"",0.3,2.5,0.5
0.61,6.0,2.0,1.0,0.0,12.3,"",0.3,2.5,0.5
