trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
1.65,9.0,0.0,0.0,0.0,12.3,"",0.3,2.5,0.5
0.55,5.0,0.0,0.0,0.0,8.3,"",0.3,2.5,0.5
2.56,11.0,2.86,0.0,0.0,17.16,"",0.3,2.5,0.5
0.6,5.0,2.45,2.5,0.0,10.75,"",0.3,2.5,0.5
0.79,5.5,0.0,0.0,0.0,8.8,"",0.3,2.5,0.5
4.72,18.0,5.32,0.0,0.0,26.62,"",0.3,2.5,0.5
5.06,22.0,0.0,0.0,0.0,25.3,"",0.3,2.5,0.5
10.25,32.0,7.06,0.0,0.0,42.36,"",0.3,2.5,0.5
0.68,5.5,0.0,0.0,0.0,8.8,"",0.3,2.5,0.5
1.07,5.0,1.66,0.0,0.0,9.96,"",0.3,2.5,0.5
5.96,23.5,5.36,0.0,0.0,32.16,"",0.3,2.5,0.5
0.43,3.5,0.0,0.0,0.0,4.3,"",0.3,0.0,0.5
2.16,10.0,0.0,0.0,0.0,10.8,"",0.3,0.0,0.5
1.7,10.0,1.5,2.5,0.0,14.8,"",0.3,2.5,0.5
1.52,7.5,1.0,0.0,0.0,11.8,"",0.3,2.5,0.5
0.72,5.5,2.2,0.0,0.0,11.0,"",0.3,2.5,0.5
3.08,11.5,1.0,0.0,0.0,15.8,"",0.3,2.5,0.5
0.82,5.5,2.2,0.0,0.0,11.0,"",0.3,2.5,0.5
6.67,22.0,6.33,0.0,0.0,31.63,"",0.3,2.5,0.5
1.9,9.5,0.0,2.5,0.0,12.8,"",0.3,2.5,0.5
3.0,12.5,3.15,2.5,0.0,18.95,"",0.3,2.5,0.5
1.0,6.5,1.95,2.5,0.0,11.75,"",0.3,2.5,0.5
0.61,4.0,1.46,0.0,0.0,8.76,"",0.3,2.5,0.5
0.43,3.5,1.7,0.0,0.0,8.5,"",0.3,2.5,0.5
4.73,17.5,4.16,0.0,0.0,24.96,"",0.3,2.5,0.5
2.1,10.5,3.45,2.5,0.0,17.25,"",0.3,2.5,0.5
1.32,6.0,0.0,0.0,0.0,9.3,"",0.3,2.5,0.5
1.92,9.5,2.56,0.0,0.0,15.36,"",0.3,2.5,0.5
5.22,19.5,1.0,0.0,0.0,23.8,"",0.3,2.5,0.5
5.08,19.5,4.56,0.0,0.0,27.36,"",0.3,2.5,0.5
0.82,5.0,1.24,0.0,0.0,9.54,"",0.3,2.5,0.5
0.84,5.5,1.0,0.0,0.0,9.8,"",0.3,2.5,0.5
1.06,6.5,2.45,0.0,0.0,12.25,"",0.3,2.5,0.5
1.02,6.5,2.94,0.0,0.0,12.74,"",0.3,2.5,0.5
2.36,11.0,2.86,0.0,0.0,17.16,"",0.3,2.5,0.5
0.53,4.0,1.46,0.0,0.0,8.76,"",0.3,2.5,0.5
1.13,10.0,0.0,0.0,0.0,10.8,"",0.3,0.0,0.5
1.26,6.0,1.86,0.0,0.0,11.16,"",0.3,2.5,0.5
3.01,14.5,3.56,0.0,0.0,21.36,"",0.3,2.5,0.5
5.29,20.5,0.0,0.0,0.0,23.8,"",0.3,2.5,0.5
0.75,4.5,0.0,0.0,0.0,7.8,"",0.3,2.5,0.5
1.01,6.0,0.0,0.0,0.0,9.3,"",0.3,2.5,0.5
0.75,5.0,0.7,0.0,0.0,9.0,"",0.3,2.5,0.5
4.42,18.0,3.5,0.0,0.0,24.8,"",0.3,2.5,0.5
4.92,18.0,4.0,0.0,0.0,25.3,"",0.3,2.5,0.5
4.42,16.5,3.96,0.0,0.0,23.76,"",0.3,2.5,0.5
3.1,12.0,3.06,2.5,0.0,18.36,"",0.3,2.5,0.5
1.37,10.0,2.66,0.0,0.0,15.96,"",0.3,2.5,0.5
2.2,9.0,3.08,0.0,0.0,15.38,"",0.3,2.5,0.5
0.26,3.5,1.36,0.0,0.0,8.16,"",0.3,2.5,0.5
0.79,5.0,0.0,0.0,0.0,8.3,"",0.3,2.5,0.5
3.51,15.5,3.76,0.0,0.0,22.56,"",0.3,2.5,0.5
0.85,6.0,0.0,0.0,0.0,6.8,"",0.3,0.0,0.5
1.9,9.5,2.55,2.5,0.0,15.35,"",0.3,2.5,0.5
2.3,11.5,2.95,2.5,0.0,17.75,"",0.3,2.5,0.5
0.6,4.0,2.0,2.5,0.0,9.3,"",0.3,2.5,0.5
2.9,14.0,0.0,2.5,0.0,17.3,"",0.3,2.5,0.5
2.02,9.0,1.0,0.0,0.0,13.3,"",0.3,2.5,0.5
10.2,29.5,0.0,0.0,6.12,36.42,"",0.3,0.0,0.5
0.45,4.5,1.32,0.0,0.0,6.62,"",0.3,0.0,0.5
1.63,8.5,1.42,0.0,0.0,13.22,"",0.3,2.5,0.5
7.23,26.0,5.86,0.0,0.0,35.16,"",0.3,2.5,0.5
3.69,14.0,1.7,0.0,0.0,19.0,"",0.3,2.5,0.5
1.59,8.5,2.36,0.0,0.0,14.16,"",0.3,2.5,0.5
0.7,4.0,1.1,2.5,0.0,8.4,"",0.3,2.5,0.5
2.5,10.0,3.0,2.5,0.0,16.3,"",0.3,2.5,0.5
5.8,22.5,0.0,2.5,0.0,25.8,"",0.3,2.5,0.5
1.19,6.5,1.96,0.0,0.0,11.76,"",0.3,2.5,0.5
1.02,6.0,1.86,0.0,0.0,11.16,"",0.3,2.5,0.5
1.73,9.0,2.46,0.0,0.0,14.76,"",0.3,2.5,0.5
3.47,13.0,2.0,0.0,0.0,18.3,"",0.3,2.5,0.5
1.17,6.5,1.96,0.0,0.0,11.76,"",0.3,2.5,0.5
1.12,6.5,1.96,0.0,0.0,11.76,"",0.3,2.5,0.5
0.7,5.0,0.0,0.0,0.0,8.3,"",0.3,2.5,0.5
0.96,8.0,2.26,0.0,0.0,13.56,"",0.3,2.5,0.5
0.93,6.5,1.96,0.0,0.0,11.76,"",0.3,2.5,0.5
4.37,16.0,3.86,0.0,0.0,23.16,"",0.3,2.5,0.5
2.2,10.0,2.0,2.5,0.0,15.3,"",0.3,2.5,0.5
3.25,15.5,3.76,0.0,0.0,22.56,"",0.3,2.5,0.5
1.48,6.5,1.96,0.0,0.0,11.76,"",0.3,2.5,0.5
1.65,9.0,3.08,0.0,0.0,15.38,"",0.3,2.5,0.5
2.64,12.5,2.37,0.0,0.0,18.17,"",0.3,2.5,0.5
2.62,12.0,3.06,0.0,0.0,18.36,"",0.3,2.5,0.5
0.83,5.0,1.66,0.0,0.0,9.96,"",0.3,2.5,0.5
1.8,9.0,2.45,2.5,0.0,14.75,"",0.3,2.5,0.5
0.8,5.5,1.2,2.5,0.0,10.0,"",0.3,2.5,0.5
1.3,7.5,4.0,2.5,0.0,14.8,"",0.3,2.5,0.5
4.18,14.5,3.56,0.0,0.0,21.36,"",0.3,2.5,0.5
0.5,5.0,1.66,0.0,0.0,9.96,"",0.3,2.5,0.5
3.66,16.0,3.86,0.0,0.0,23.16,"",0.3,2.5,0.5
4.3,18.0,4.25,2.5,0.0,25.55,"",0.3,2.5,0.5
1.54,9.5,2.0,0.0,0.0,14.8,"",0.3,2.5,0.5
4.33,18.5,4.36,0.0,0.0,26.16,"",0.3,2.5,0.5
4.7,18.5,4.35,2.5,0.0,26.15,"",0.3,2.5,0.5
5.0,20.0,0.0,2.5,0.0,23.3,"",0.3,2.5,0.5
0.75,4.5,2.0,0.0,0.0,9.8,"",0.3,2.5,0.5
1.34,8.0,1.0,0.0,0.0,12.3,"",0.3,2.5,0.5
1.49,7.0,0.0,0.0,0.0,10.3,"",0.3,2.5,0.5
2.05,11.0,2.2,0.0,0.0,16.5,"",0.3,2.5,0.5
2.0,9.5,2.2,0.0,0.0,15.0,"",0.3,2.5,0.5
1.96,9.5,1.28,0.0,0.0,14.08,"",0.3,2.5,0.5
2.84,11.5,4.44,0.0,0.0,19.24,"",0.3,2.5,0.5
6.39,23.5,0.0,0.0,0.0,26.8,"",0.3,2.5,0.5
3.44,15.5,3.76,0.0,0.0,22.56,"",0.3,2.5,0.5
2.5,11.5,3.8,3.0,0.0,19.1,"",0.3,2.5,0.5
0.5,5.0,1.75,3.0,0.0,10.55,"",0.3,2.5,0.5
1.9,9.0,0.0,3.0,0.0,12.8,"",0.3,2.5,0.5
0.8,5.5,1.0,3.0,0.0,10.3,"",0.3,2.5,0.5
1.0,6.5,2.0,3.0,0.0,12.3,"",0.3,2.5,0.5
1.7,7.5,0.0,2.5,0.0,10.8,"",0.3,2.5,0.5
0.6,5.5,1.0,2.5,0.0,9.8,"",0.3,2.5,0.5
2.0,8.5,1.0,2.5,0.0,12.8,"",0.3,2.5,0.5
9.4,30.0,4.0,2.5,0.0,37.3,"",0.3,2.5,0.5
0.7,5.0,1.65,2.5,0.0,9.95,"",0.3,2.5,0.5
16.08,42.5,0.0,0.0,0.0,43.3,"",0.3,0.0,0.5
1.2,6.5,0.0,0.0,0.0,7.3,"",0.3,0.0,0.5
0.0,60.03,0.0,0.0,0.0,60.83,"",0.3,0.0,0.5
1.28,6.0,2.0,0.0,0.0,11.3,"",0.3,2.5,0.5
1.35,7.5,1.08,0.0,0.0,11.88,"",0.3,2.5,0.5
1.7,7.5,2.16,0.0,0.0,12.96,"",0.3,2.5,0.5
1.87,7.5,1.7,0.0,0.0,12.5,"",0.3,2.5,0.5
0.7,5.0,1.65,2.5,0.0,9.95,"",0.3,2.5,0.5
2.8,13.0,0.0,2.5,0.0,16.3,"",0.3,2.5,0.5
2.4,11.5,0.0,2.5,0.0,14.8,"",0.3,2.5,0.5
0.53,4.5,1.95,0.0,0.0,9.75,"",0.3,2.5,0.5
1.39,7.0,2.58,0.0,0.0,12.88,"",0.3,2.5,0.5
1.82,9.0,1.5,0.0,0.0,13.8,"",0.3,2.5,0.5
9.31,30.5,0.0,0.0,0.0,33.8,"",0.3,2.5,0.5
9.34,28.5,0.0,0.0,0.0,29.3,"",0.3,0.0,0.5
2.84,12.0,3.06,0.0,0.0,18.36,"",0.3,2.5,0.5
1.68,7.5,1.62,0.0,0.0,12.42,"",0.3,2.5,0.5
5.26,19.5,4.56,0.0,0.0,27.36,"",0.3,2.5,0.5
2.92,12.0,3.06,0.0,0.0,18.36,"",0.3,2.5,0.5
1.17,6.5,0.0,0.0,0.0,9.8,"",0.3,2.5,0.5
0.74,4.5,1.0,0.0,0.0,8.8,"",0.3,2.5,0.5
0.07,2.5,1.74,0.0,0.0,7.54,"",0.3,2.5,0.5
1.07,7.0,0.0,0.0,0.0,10.3,"",0.3,2.5,0.5
3.7,14.5,2.0,2.5,0.0,19.8,"",0.3,2.5,0.5
1.8,8.5,2.36,2.5,0.0,14.16,"",0.3,2.5,0.5
1.88,9.0,2.46,0.0,0.0,14.76,"",0.3,2.5,0.5
18.8,85.0,8.58,0.0,6.12,100.0,"",0.3,0.0,0.0
1.76,9.0,3.08,0.0,0.0,15.38,"",0.3,2.5,0.5
8.53,31.0,5.0,0.0,0.0,39.3,"",0.3,2.5,0.5
1.43,7.5,1.66,0.0,0.0,9.96,"",0.3,0.0,0.5
1.71,-8.5,0.0,0.0,0.0,-11.8,"",-0.3,-2.5,-0.5
1.71,8.5,0.0,0.0,0.0,11.8,"",0.3,2.5,0.5
0.53,5.0,1.66,0.0,0.0,9.96,"",0.3,2.5,0.5
