trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
1.5,12.5,0.0,2.5,0.0,15.8,"",0.3,2.5,0.5
0.98,5.0,2.08,0.0,0.0,10.38,"",0.3,2.5,0.5
1.4,7.0,2.06,0.0,0.0,12.36,"",0.3,2.5,0.5
2.24,10.0,0.0,0.0,0.0,13.3,"",0.3,2.5,0.5
1.38,7.5,2.16,0.0,0.0,12.96,"",0.3,2.5,0.5
2.62,11.0,3.58,0.0,0.0,17.88,"",0.3,2.5,0.5
1.88,11.0,2.86,0.0,0.0,17.16,"",0.3,2.5,0.5
1.29,6.5,1.96,0.0,0.0,11.76,"",0.3,2.5,0.5
4.2,20.5,2.0,2.5,0.0,25.8,"",0.3,2.5,0.5
0.3,3.0,0.0,0.0,0.0,3.8,"",0.3,0.0,0.5
2.26,12.0,3.06,0.0,0.0,18.36,"",0.3,2.5,0.5
15.3,44.0,8.95,0.0,0.0,53.75,"",0.3,0.0,0.5
0.65,5.5,1.0,0.0,0.0,9.8,"",0.3,2.5,0.5
1.3,6.0,0.0,0.0,0.0,9.3,"",0.3,2.5,0.5
5.22,22.5,0.0,0.0,0.0,25.8,"",0.3,2.5,0.5
1.04,6.0,1.0,0.0,0.0,10.3,"",0.3,2.5,0.5
2.27,13.0,3.26,0.0,0.0,19.56,"",0.3,2.5,0.5
1.3,9.5,0.0,2.5,0.0,12.8,"",0.3,2.5,0.5
1.2,7.5,2.15,2.5,0.0,12.95,"",0.3,2.5,0.5
0.6,4.5,0.0,2.5,0.0,7.8,"",0.3,2.5,0.5
0.9,5.5,1.75,2.5,0.0,10.55,"",0.3,2.5,0.5
1.7,8.0,1.0,2.5,0.0,12.3,"",0.3,2.5,0.5
0.5,5.0,1.65,2.5,0.0,9.95,"",0.3,2.5,0.5
1.3,10.0,0.0,2.5,0.0,13.3,"",0.3,2.5,0.5
0.78,5.0,1.66,0.0,0.0,9.96,"",0.3,2.5,0.5
6.89,22.5,5.16,0.0,0.0,30.96,"",0.3,2.5,0.5
2.21,11.0,0.0,0.0,0.0,14.3,"",0.3,2.5,0.5
0.8,5.5,1.75,2.5,0.0,10.55,"",0.3,2.5,0.5
1.99,11.5,1.0,0.0,0.0,15.8,"",0.3,2.5,0.5
1.75,12.0,3.06,0.0,0.0,18.36,"",0.3,2.5,0.5
4.21,17.5,5.0,0.0,0.0,25.8,"",0.3,2.5,0.5
1.36,17.0,2.8,0.0,0.0,23.1,"",0.3,2.5,0.5
6.9,24.5,5.55,2.5,0.0,33.35,"",0.3,2.5,0.5
1.54,9.0,2.46,0.0,0.0,14.76,"",0.3,2.5,0.5
5.37,24.5,1.0,0.0,0.0,28.8,"",0.3,2.5,0.5
0.8,5.0,1.66,0.0,0.0,9.96,"",0.3,2.5,0.5
9.4,30.0,0.0,2.5,6.12,39.42,"",0.3,2.5,0.5
3.72,13.5,3.36,0.0,0.0,20.16,"",0.3,2.5,0.5
1.91,11.0,2.86,0.0,0.0,17.16,"",0.3,2.5,0.5
1.32,9.0,0.0,0.0,0.0,12.3,"",0.3,2.5,0.5
0.63,5.5,1.76,0.0,0.0,10.56,"",0.3,2.5,0.5
3.7,17.5,0.0,0.0,0.0,20.8,"",0.3,2.5,0.5
1.2,13.0,0.0,2.5,0.0,16.3,"",0.3,2.5,0.5
0.62,4.5,1.56,0.0,0.0,9.36,"",0.3,2.5,0.5
1.06,13.5,4.2,0.0,0.0,21.0,"",0.3,2.5,0.5
2.8,15.5,0.0,0.0,0.0,18.8,"",0.3,2.5,0.5
3.46,14.0,0.0,0.0,0.0,17.3,"",0.3,2.5,0.5
1.53,9.0,0.0,0.0,0.0,12.3,"",0.3,2.5,0.5
0.71,4.0,1.82,0.0,0.0,9.12,"",0.3,2.5,0.5
0.68,4.0,1.46,0.0,0.0,8.76,"",0.3,2.5,0.5
2.9,12.5,3.16,0.0,0.0,18.96,"",0.3,2.5,0.5
13.37,39.0,0.0,0.0,6.12,48.42,"",0.3,2.5,0.5
1.4,8.5,2.36,0.0,0.0,14.16,"",0.3,2.5,0.5
0.84,4.5,1.56,0.0,0.0,9.36,"",0.3,2.5,0.5
1.81,10.0,3.99,0.0,0.0,17.29,"",0.3,2.5,0.5
1.0,6.5,0.98,2.5,0.0,10.78,"",0.3,2.5,0.5
5.7,18.5,1.0,2.5,0.0,22.8,"",0.3,2.5,0.5
1.8,14.0,0.0,0.0,0.0,14.8,"",0.3,0.0,0.5
0.4,4.5,0.0,2.5,0.0,7.8,"",0.3,2.5,0.5
0.8,5.5,1.0,2.5,0.0,9.8,"",0.3,2.5,0.5
1.7,10.0,0.0,2.5,0.0,13.3,"",0.3,2.5,0.5
1.4,7.5,2.7,2.5,0.0,13.5,"",0.3,2.5,0.5
2.4,12.0,0.0,2.5,0.0,15.3,"",0.3,2.5,0.5
0.48,5.5,0.0,0.0,0.0,8.8,"",0.3,2.5,0.5
2.59,14.0,3.46,0.0,0.0,20.76,"",0.3,2.5,0.5
1.6,8.5,2.35,2.5,0.0,14.15,"",0.3,2.5,0.5
1.2,6.0,1.85,2.5,0.0,11.15,"",0.3,2.5,0.5
2.2,9.0,3.05,2.5,0.0,15.35,"",0.3,2.5,0.5
1.7,10.5,0.0,2.5,0.0,13.8,"",0.3,2.5,0.5
1.4,7.5,2.15,2.5,0.0,12.95,"",0.3,2.5,0.5
6.0,24.5,0.0,2.5,0.0,27.8,"",0.3,2.5,0.5
