trip_distance,fare_amount,tip_amount,extra,tolls_amount,total_amount,airport_fee,improvement_surcharge,congestion_surcharge,mta_tax
0.0,22.03,3.53,0.0,0.0,27.06,"",1.0,"",0.5
1.34,10.84,0.0,0.0,0.0,14.84,"",1.0,"",0.5
0.0,16.32,0.0,0.0,0.0,20.32,"",1.0,"",0.5
0.78,13.95,0.0,0.0,0.0,17.95,"",1.0,"",0.5
1.0,9.3,2.66,0.0,0.0,15.96,"",1.0,"",0.5
2.41,17.91,0.0,0.0,0.0,21.91,"",1.0,"",0.5
5.03,28.65,9.8,0.0,0.0,42.45,"",1.0,"",0.5
3.86,1.01,0.0,0.0,0.0,5.01,"",1.0,"",0.5
2.2,11.17,2.02,0.0,0.0,17.19,"",1.0,"",0.5
4.23,26.65,0.0,0.0,0.0,30.65,"",1.0,"",0.5
3.42,20.99,0.0,0.0,0.0,24.99,"",1.0,"",0.5
0.4,4.4,1.26,0.0,0.0,9.66,"",1.0,"",0.5
0.0,11.49,0.0,0.0,0.0,15.49,"",1.0,"",0.5
0.0,8.08,0.0,0.0,0.0,12.08,"",1.0,"",0.5
1.25,10.28,0.0,0.0,0.0,14.28,"",1.0,"",0.5
1.56,11.83,3.0,0.0,0.0,18.83,"",1.0,"",0.5
1.29,11.0,3.0,0.0,0.0,18.0,"",1.0,"",0.5
2.39,13.89,0.0,0.0,0.0,17.89,"",1.0,"",0.5
2.38,14.59,3.72,0.0,0.0,22.31,"",1.0,"",0.5
2.3,21.9,5.18,0.0,0.0,31.08,"",1.0,"",0.5
2.2,13.5,3.5,0.0,0.0,21.0,"",1.0,"",0.5
3.52,20.46,1.0,0.0,0.0,25.46,"",1.0,"",0.5
0.8,7.2,1.68,0.0,0.0,12.88,"",1.0,"",0.5
4.73,25.26,5.85,0.0,0.0,35.11,"",1.0,"",0.5
13.8,61.1,9.39,0.0,0.0,71.99,"",1.0,"",0.5
2.5,19.1,3.46,0.0,0.0,26.56,"",1.0,"",0.5
0.83,7.84,0.0,0.0,0.0,11.84,"",1.0,"",0.5
0.82,10.23,0.0,0.0,0.0,14.23,"",1.0,"",0.5
1.0,8.6,1.89,0.0,0.0,14.49,"",1.0,"",0.5
3.4,17.03,3.15,0.0,0.0,24.18,"",1.0,"",0.5
2.72,16.25,4.05,0.0,0.0,24.3,"",1.0,"",0.5
6.51,34.85,0.0,0.0,0.0,38.85,"",1.0,"",0.5
2.94,25.16,0.0,0.0,0.0,29.16,"",1.0,"",0.5
0.0,11.64,0.0,0.0,0.0,15.64,"",1.0,"",0.5
7.04,33.4,7.48,0.0,0.0,44.88,"",1.0,"",0.5
2.22,13.34,3.47,0.0,0.0,20.81,"",1.0,"",0.5
1.86,11.28,0.0,0.0,0.0,15.28,"",1.0,"",0.5
4.43,23.96,0.0,0.0,0.0,27.96,"",1.0,"",0.5
5.17,-0.93,0.0,0.0,0.0,3.07,"",1.0,"",0.5
3.29,17.46,0.0,0.0,0.0,21.46,"",1.0,"",0.5
0.47,11.0,4.5,0.0,0.0,19.5,"",1.0,"",0.5
5.93,29.93,6.79,0.0,0.0,40.72,"",1.0,"",0.5
2.74,17.08,2.11,0.0,0.0,23.19,"",1.0,"",0.5
1.43,11.34,0.0,0.0,0.0,15.34,"",1.0,"",0.5
0.16,15.88,0.0,0.0,0.0,19.88,"",1.0,"",0.5
5.13,25.1,5.82,0.0,0.0,34.92,"",1.0,"",0.5
2.5,14.9,2.83,0.0,0.0,21.73,"",1.0,"",0.5
0.0,13.46,0.0,0.0,0.0,17.46,"",1.0,"",0.5
0.0,20.0,4.0,0.0,0.0,24.0,"",0.0,"",0.0
6.73,35.91,0.0,0.0,0.0,39.91,"",1.0,"",0.5
11.11,44.74,7.31,0.0,0.0,56.05,"",1.0,"",0.5
1.04,12.64,0.0,0.0,0.0,16.64,"",1.0,"",0.5
2.69,18.27,2.23,0.0,0.0,24.5,"",1.0,"",0.5
3.3,15.6,2.94,0.0,0.0,22.54,"",1.0,"",0.5
2.24,15.46,2.92,0.0,0.0,22.38,"",1.0,"",0.5
1.86,13.16,2.57,0.0,0.0,19.73,"",1.0,"",0.5
3.86,18.58,0.0,0.0,0.0,22.58,"",1.0,"",0.5
21.45,56.3,14.41,0.0,14.75,86.46,"",1.0,"",0.0
0.52,78.52,2.0,0.0,0.0,84.52,"",1.0,"",0.5
2.3,15.6,1.96,0.0,0.0,21.56,"",1.0,"",0.5
3.13,20.63,4.93,0.0,0.0,29.56,"",1.0,"",0.5
4.3,23.35,5.47,0.0,0.0,32.82,"",1.0,"",0.5
0.0,12.0,2.4,0.0,0.0,20.4,"",1.0,"",0.5
2.77,18.94,4.59,0.0,0.0,27.53,"",1.0,"",0.5
5.95,31.53,7.11,0.0,0.0,42.64,"",1.0,"",0.5
2.3,15.6,3.92,0.0,0.0,23.52,"",1.0,"",0.5
0.0,13.88,0.0,0.0,0.0,17.88,"",1.0,"",0.5
0.6,5.8,1.47,0.0,0.0,11.27,"",1.0,"",0.5
0.7,11.0,3.75,0.0,0.0,18.75,"",1.0,"",0.5
1.03,10.31,0.0,0.0,0.0,14.31,"",1.0,"",0.5
6.26,25.89,2.74,0.0,0.0,30.13,"",1.0,"",0.5
7.18,46.78,0.0,0.0,0.0,50.78,"",1.0,"",0.5
2.9,20.92,0.0,0.0,0.0,24.92,"",1.0,"",0.5
3.4,16.3,2.03,0.0,0.0,22.33,"",1.0,"",0.5
1.15,11.0,1.0,0.0,0.0,16.0,"",1.0,"",0.5
8.25,26.4,6.08,0.0,0.0,36.48,"",1.0,"",0.5
1.2,9.3,3.32,0.0,0.0,16.62,"",1.0,"",0.5
8.6,34.39,0.0,0.0,0.0,38.39,"",1.0,"",0.5
5.09,-0.38,0.0,0.0,0.0,3.62,"",1.0,"",0.5
19.34,67.65,0.0,0.0,0.0,71.65,"",1.0,"",0.5
0.5,5.1,0.91,0.0,0.0,10.01,"",1.0,"",0.5
2.88,4.69,3.74,0.0,0.0,12.43,"",1.0,"",0.5
2.44,14.2,0.0,0.0,0.0,18.2,"",1.0,"",0.5
2.11,16.19,0.0,0.0,0.0,20.19,"",1.0,"",0.5
1.87,12.38,3.28,0.0,0.0,19.66,"",1.0,"",0.5
0.0,19.65,0.0,0.0,0.0,23.65,"",1.0,"",0.5
47.77,143.19,30.15,0.0,6.55,180.89,"",1.0,"",0.0
0.0,21.75,0.0,0.0,0.0,25.75,"",1.0,"",0.5
4.35,22.11,5.22,0.0,0.0,31.33,"",1.0,"",0.5
0.0,8.0,2.4,0.0,0.0,16.4,"",1.0,"",0.5
