range_start,range_end,locationid,total
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,43,163433
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,63,1955
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,169,2253
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,245,127
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,264,90979
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,197,4407
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,160,3941
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,91,2904
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,58,325
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,102,1949
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,21,1515
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,237,527457
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,167,2009
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,256,27797
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,71,2500
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,122,872
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,173,2978
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,87,83752
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,159,3503
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,44,176
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,248,1239
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,114,125117
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,23,570
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,47,1372
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,67,1574
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,7,42222
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,18,2051
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,204,49
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,181,31913
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,233,191640
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,186,272295
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,195,3084
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,205,3410
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,132,127341
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,42,57214
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,10,8631
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,194,1494
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,136,1775
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,64,1351
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,217,5682
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,94,952
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,147,1231
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,232,60349
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,36,8738
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,33,31926
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,65,16928
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,226,26867
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,240,468
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,8,258
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,218,2879
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,206,292
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,128,772
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,120,537
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,50,143189
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,25,19945
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,261,52381
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,189,10655
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,259,1507
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,76,5115
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,179,14575
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,5,207
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,35,2410
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,227,2188
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,15,1346
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,69,4809
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,172,100
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,19,1060
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,163,300274
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,249,220933
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,183,733
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,134,3775
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,192,1077
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,28,3642
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,162,321422
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,207,968
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,116,36102
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,176,61
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,252,2193
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,79,279814
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,242,1923
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,193,12069
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,59,84
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,93,2048
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,221,208
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,138,128836
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,99,8
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,62,5718
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,235,2388
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,246,218674
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,127,9394
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,86,2551
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,11,811
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,92,6167
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,238,311522
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,155,2575
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,187,64
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,75,170242
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,80,16495
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,52,8008
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,84,62
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,82,7985
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,108,928
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,225,11235
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,164,243202
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,12,5937
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,148,125933
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,1,27206
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,224,51547
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,178,1162
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,184,94
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,152,22221
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,239,366010
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,113,158997
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,219,3947
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,180,1336
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,150,895
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,125,55859
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,241,2049
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,31,772
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,168,8419
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,109,128
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,41,88475
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,45,31234
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,161,439901
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,243,24371
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,201,1079
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,27,174
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,57,289
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,32,1017
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,139,2041
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,29,1553
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,236,575255
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,234,292457
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,229,276345
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,126,1336
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,170,378932
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,105,9
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,129,19296
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,171,1915
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,208,1690
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,56,3341
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,213,2454
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,156,128
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,68,306386
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,135,3382
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,222,945
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,70,5396
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,137,178242
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,151,129920
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,115,149
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,175,1154
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,210,1971
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,46,272
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,72,2721
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,77,1423
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,131,2320
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,101,1097
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,9,1120
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,2,9
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,182,1673
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,251,155
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,73,904
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,3,894
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,200,4007
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,53,1632
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,81,899
2022-01-01T00:00:00.000-08:00,2022-05-01T00:00:00.000-07:00,55,1886
