passenger_count,tip_amount,total_amount
1.0,2.26,13.56
1.0,2.0,17.3
1.0,2.08,10.38
1.0,0.0,9.3
1.0,2.79,12.09
1.0,6.54,28.34
1.0,3.58,17.88
1.0,6.7,33.5
1.0,8.9,38.7
1.0,1.32,10.12
1.0,3.46,20.76
1.0,0.76,11.56
1.0,0.0,15.8
1.0,0.0,20.3
1.0,0.0,10.8
1.0,0.0,7.8
1.0,0.0,33.92
5.0,0.0,15.3
5.0,4.26,25.56
2.0,2.0,13.3
1.0,3.36,20.16
1.0,1.86,11.16
1.0,1.2,14.5
1.0,2.16,12.96
1.0,1.65,9.95
1.0,0.0,12.3
1.0,1.08,11.88
1.0,3.26,19.56
1.0,2.56,15.36
1.0,4.86,29.16
1.0,1.96,11.76
1.0,0.0,10.8
2.0,1.0,14.3
2.0,4.29,18.59
1.0,2.25,13.55
1.0,1.03,11.33
1.0,2.0,14.8
1.0,3.76,22.56
2.0,1.2,12.5
2.0,3.0,13.3
2.0,2.88,16.68
6.0,5.86,35.16
1.0,3.15,18.95
1.0,4.15,24.95
1.0,1.2,13.0
1.0,2.65,15.95
1.0,0.0,8.8
1.0,2.06,12.36
1.0,3.96,23.76
1.0,1.9,20.7
1.0,2.26,13.56
1.0,3.16,18.96
1.0,2.76,16.56
1.0,2.76,16.56
1.0,1.96,11.76
1.0,1.0,18.3
1.0,2.75,16.55
1.0,3.46,20.76
1.0,5.86,35.16
1.0,0.0,-9.8
1.0,0.0,9.8
1.0,2.0,31.8
3.0,4.0,14.3
1.0,2.46,14.76
1.0,1.0,10.3
1.0,1.0,12.3
1.0,2.35,14.15
1.0,0.0,10.8
1.0,6.0,21.3
1.0,1.0,11.8
1.0,80.0,107.3
1.0,0.0,26.3
1.0,1.74,7.54
1.0,2.96,17.76
1.0,0.0,9.8
1.0,1.2,14.5
1.0,4.2,21.0
1.0,0.0,15.3
1.0,4.58,22.88
1.0,1.46,8.76
1.0,3.15,18.95
1.0,0.0,17.3
1.0,3.15,18.95
1.0,1.95,11.75
1.0,0.0,9.8
2.0,0.0,13.3
1.0,1.86,11.16
1.0,2.66,15.96
1.0,2.25,13.55
1.0,0.0,9.3
1.0,2.0,15.3
1.0,0.0,6.3
1.0,0.0,21.3
1.0,2.79,12.09
1.0,1.86,11.16
1.0,0.0,25.3
2.0,3.5,15.3
1.0,2.2,12.0
1.0,2.15,12.95
2.0,2.75,12.05
1.0,6.8,34.1
1.0,0.0,11.8
1.0,1.0,12.3
2.0,0.0,10.3
2.0,1.0,9.8
1.0,2.06,12.36
1.0,1.96,11.76
1.0,2.16,12.96
1.0,2.96,17.76
2.0,2.7,20.0
1.0,3.02,19.82
1.0,2.26,13.56
2.0,1.5,12.8
1.0,0.0,10.8
1.0,3.3,16.6
1.0,2.66,15.96
1.0,1.4,10.7
1.0,0.0,30.3
1.0,3.06,18.36
1.0,1.0,16.3
1.0,3.0,18.8
1.0,1.65,9.95
1.0,2.25,13.55
1.0,2.36,14.16
1.0,2.36,14.16
1.0,1.0,10.8
1.0,25.33,109.38
5.0,3.0,16.3
5.0,1.84,14.14
1.0,0.0,30.8
1.0,3.86,23.16
1.0,1.86,11.16
1.0,0.0,13.3
1.0,2.25,13.55
1.0,2.16,12.96
1.0,2.5,27.42
1.0,12.07,60.37
1.0,1.96,11.76
1.0,2.05,12.35
2.0,3.2,16.0
1.0,1.75,10.55
2.0,0.0,44.3
2.0,0.0,55.8
1.0,1.0,13.3
1.0,2.95,17.75
2.0,2.06,12.36
2.0,1.2,12.0
1.0,2.96,17.76
1.0,1.46,8.76
1.0,0.0,25.3
1.0,1.53,16.83
1.0,2.58,12.88
5.0,5.2,26.0
6.0,1.86,11.16
1.0,2.95,17.75
1.0,0.69,14.49
1.0,2.0,19.3
1.0,1.5,13.3
1.0,2.15,12.95
2.0,2.15,12.95
1.0,1.0,17.8
1.0,0.0,10.8
1.0,1.7,13.0
1.0,0.0,16.3
3.0,1.86,11.16
1.0,9.0,18.3
1.0,0.0,17.3
1.0,0.0,13.3
1.0,2.7,13.5
1.0,1.0,10.8
1.0,12.68,76.1
3.0,0.0,6.8
1.0,0.0,21.3
1.0,3.2,24.5
1.0,3.58,17.88
1.0,2.16,12.96
1.0,4.46,26.76
1.0,1.36,8.16
1.0,2.0,18.3
4.0,5.0,41.42
1.0,6.65,19.95
0.0,0.0,9.3
1.0,3.25,19.55
2.0,2.75,16.55
1.0,0.93,10.23
1.0,2.0,13.8
1.0,3.76,22.56
1.0,1.5,14.3
1.0,4.4,19.2
1.0,10.0,24.3
1.0,3.76,22.56
1.0,2.0,11.8
2.0,2.15,12.95
1.0,3.95,23.75
1.0,1.53,16.83
1.0,3.09,13.39
1.0,2.03,22.33
1.0,2.25,13.55
1.0,1.95,11.75
1.0,1.0,12.3
2.0,3.26,19.56
1.0,1.0,13.8
1.0,2.9,12.7
1.0,3.45,20.75
1.0,2.15,12.95
2.0,1.0,22.8
1.0,1.0,12.3
1.0,1.0,20.8
1.0,2.16,12.96
1.0,3.16,18.96
1.0,5.46,32.76
1.0,5.26,31.56
2.0,1.96,11.76
2.0,2.56,15.36
5.0,3.69,15.99
5.0,7.12,42.72
1.0,2.06,12.36
1.0,2.16,12.96
0.0,2.0,9.8
1.0,1.3,12.6
1.0,2.79,12.09
1.0,1.54,11.84
2.0,3.36,20.16
1.0,0.0,9.3
1.0,3.0,16.3
1.0,3.65,21.95
1.0,0.0,10.3
1.0,0.0,7.3
1.0,0.0,9.8
1.0,4.7,23.5
1.0,0.0,12.3
1.0,0.0,12.8
1.0,1.76,10.56
1.0,3.76,22.56
1.0,0.0,4.3
2.0,1.0,14.8
1.0,2.22,18.52
1.0,0.0,9.8
1.0,1.0,11.3
1.0,5.25,31.55
4.0,2.46,14.76
1.0,2.06,12.36
3.0,0.0,10.3
1.0,2.25,13.55
2.0,10.0,19.8
2.0,1.24,11.54
2.0,2.45,12.25
1.0,4.85,21.15
1.0,1.77,13.57
1.0,0.0,17.8
1.0,0.0,13.3
1.0,2.55,15.35
1.0,2.85,17.15
1.0,2.5,20.3
1.0,0.0,14.8
1.0,0.0,35.8
1.0,1.85,11.15
1.0,3.55,17.85
2.0,6.85,41.15
1.0,1.0,12.8
1.0,2.66,15.96
1.0,0.0,13.3
1.0,1.7,13.0
1.0,0.0,41.8
1.0,1.76,10.56
1.0,0.0,22.8
1.0,0.0,6.8
1.0,3.7,18.5
1.0,0.0,12.8
1.0,4.16,24.96
1.0,3.76,22.56
5.0,2.56,15.36
5.0,2.79,12.09
5.0,0.0,14.3
1.0,2.0,13.8
1.0,1.5,14.8
1.0,1.0,20.3
1.0,2.65,15.95
1.0,1.96,11.76
1.0,1.0,18.3
1.0,0.0,12.8
2.0,4.35,26.15
1.0,1.32,10.12
1.0,4.46,26.76
2.0,3.06,18.36
2.0,1.0,14.3
3.0,2.66,15.96
1.0,3.36,20.16
1.0,1.0,11.3
1.0,1.86,11.16
1.0,2.16,12.96
1.0,2.75,16.55
1.0,0.0,11.3
1.0,0.0,7.3
1.0,1.46,8.76
1.0,1.7,8.5
1.0,2.0,30.8
1.0,0.0,32.8
1.0,3.45,17.25
1.0,2.35,14.15
1.0,1.5,13.3
2.0,2.0,13.8
1.0,2.26,13.56
1.0,2.0,12.8
4.0,1.96,11.76
5.0,0.0,26.3
1.0,1.0,12.8
1.0,4.76,28.56
1.0,0.0,-11.3
1.0,0.0,11.3
1.0,4.58,22.88
1.0,1.0,10.3
1.0,4.56,27.36
2.0,8.36,41.78
1.0,0.0,17.3
1.0,2.96,17.76
1.0,2.06,12.36
1.0,3.0,17.8
1.0,2.0,10.3
1.0,1.0,15.8
3.0,4.06,24.36
1.0,3.0,13.3
1.0,4.45,22.25
1.0,2.56,15.36
1.0,6.0,57.42
1.0,0.0,22.3
1.0,1.0,11.8
1.0,2.6,11.4
3.0,2.14,16.44
1.0,3.76,22.56
1.0,2.0,16.8
1.0,3.45,20.75
1.0,0.0,52.8
1.0,4.66,27.96
1.0,3.76,22.56
1.0,0.0,12.3
1.0,0.0,5.3
2.0,0.0,7.8
1.0,3.08,15.38
1.0,3.06,18.36
2.0,0.0,-32.3
2.0,0.0,32.3
3.0,0.0,10.8
3.0,0.0,9.8
3.0,1.0,12.3
3.0,2.96,17.76
2.0,0.0,9.8
1.0,4.14,17.94
2.0,2.06,12.36
1.0,3.56,21.36
1.0,2.76,16.56
1.0,2.0,24.8
1.0,5.16,30.96
1.0,3.7,24.0
2.0,0.0,12.3
1.0,1.48,16.28
1.0,2.35,14.15
1.0,1.0,9.8
1.0,2.56,15.36
1.0,5.16,30.96
1.0,1.62,12.42
3.0,2.64,11.44
5.0,2.96,17.76
3.0,12.73,55.15
0.0,4.05,24.35
6.0,2.25,13.55
1.0,2.36,14.16
1.0,1.96,11.76
1.0,3.46,20.76
1.0,2.58,12.88
1.0,1.92,14.72
1.0,2.0,15.3
1.0,3.0,25.8
1.0,2.96,17.76
1.0,0.0,17.8
2.0,0.0,13.8
1.0,2.56,15.36
1.0,2.26,13.56
1.0,3.2,16.0
1.0,3.34,25.64
6.0,3.36,20.16
6.0,2.26,13.56
6.0,4.99,31.29
1.0,2.0,11.3
1.0,13.35,80.27
1.0,1.76,10.56
1.0,1.0,10.8
1.0,0.0,13.3
1.0,2.82,21.62
1.0,1.46,8.76
2.0,2.25,13.55
1.0,3.05,15.35
2.0,1.0,8.8
1.0,2.5,17.3
1.0,1.2,12.0
1.0,2.2,20.5
1.0,1.76,10.56
1.0,2.96,17.76
1.0,2.86,17.16
1.0,2.16,12.96
1.0,3.36,20.16
1.0,1.0,13.8
1.0,0.0,48.0
1.0,0.0,12.3
0.0,1.0,15.3
0.0,2.55,15.35
0.0,4.55,27.35
1.0,6.86,34.28
1.0,2.05,12.35
1.0,0.0,8.3
2.0,0.0,11.3
1.0,3.7,18.5
1.0,3.2,14.0
1.0,3.0,14.8
1.0,2.7,13.5
4.0,0.5,10.8
3.0,1.0,17.3
5.0,2.05,12.35
1.0,2.15,12.95
1.0,1.95,11.75
1.0,0.0,9.3
1.0,2.0,19.8
1.0,3.0,27.8
1.0,0.0,17.3
1.0,2.36,14.16
1.0,1.0,11.3
1.0,1.5,14.3
1.0,2.44,18.74
1.0,3.15,18.95
1.0,1.0,21.8
1.0,2.95,17.75
3.0,2.25,13.55
1.0,4.15,24.95
1.0,1.0,10.3
1.0,3.2,23.0
0.0,2.65,15.95
0.0,1.0,13.3
0.0,1.0,12.3
1.0,1.86,11.16
1.0,0.98,10.78
1.0,2.16,12.96
1.0,1.86,11.16
1.0,2.05,12.35
1.0,2.96,17.76
1.0,3.0,20.3
1.0,0.0,6.8
1.0,1.0,15.3
0.0,2.6,11.4
0.0,1.75,10.55
0.0,0.0,9.3
0.0,0.0,9.3
2.0,1.4,10.7
1.0,5.76,34.56
2.0,9.46,56.76
2.0,8.6,37.4
1.0,6.54,28.34
1.0,0.0,16.3
1.0,1.0,11.8
3.0,2.79,12.09
3.0,3.36,20.16
5.0,2.76,16.56
5.0,2.96,17.76
5.0,2.46,14.76
1.0,1.7,10.0
2.0,2.65,15.95
4.0,0.0,8.8
1.0,0.0,10.8
2.0,2.06,12.36
1.0,0.0,43.3
2.0,1.96,11.76
1.0,2.95,14.75
1.0,0.0,62.3
1.0,0.93,10.23
1.0,3.56,21.36
1.0,1.0,16.8
1.0,1.84,14.14
2.0,2.46,14.76
1.0,0.0,9.8
1.0,0.0,7.8
1.0,1.0,16.3
1.0,1.66,9.96
1.0,0.0,16.3
1.0,1.7,13.0
1.0,1.0,11.3
1.0,2.65,15.95
5.0,2.36,14.16
5.0,3.46,20.76
1.0,1.5,13.8
1.0,2.75,16.55
1.0,10.0,22.8
1.0,2.86,17.16
1.0,2.85,17.15
1.0,5.45,32.75
1.0,2.36,14.16
1.0,0.0,14.8
1.0,0.0,12.3
1.0,2.36,14.16
1.0,2.96,17.76
1.0,2.96,17.76
1.0,2.0,13.8
1.0,0.0,15.8
1.0,2.75,16.55
1.0,4.74,20.54
1.0,2.46,14.76
2.0,3.46,20.76
1.0,2.25,13.55
1.0,2.2,18.0
1.0,2.0,16.3
1.0,3.36,20.16
1.0,4.38,26.3
1.0,3.06,18.36
1.0,4.82,24.12
1.0,0.0,19.8
3.0,0.0,26.8
1.0,2.37,18.17
1.0,1.35,8.15
1.0,1.75,10.55
1.0,1.0,12.3
1.0,1.65,9.95
1.0,0.0,12.8
1.0,1.95,11.75
6.0,0.0,11.3
6.0,2.0,15.3
5.0,1.28,19.58
1.0,2.25,13.55
2.0,0.0,30.3
3.0,3.06,18.36
1.0,1.0,11.8
1.0,0.52,10.82
1.0,1.0,28.3
1.0,2.64,11.44
1.0,2.0,17.8
1.0,3.32,16.62
1.0,2.06,12.36
1.0,1.2,11.5
1.0,3.94,30.24
6.0,0.0,14.8
6.0,1.33,14.63
6.0,3.66,21.96
1.0,5.0,64.8
3.0,2.36,14.16
3.0,0.0,22.8
2.0,0.0,16.8
2.0,1.0,17.8
2.0,7.89,34.19
1.0,1.96,11.76
1.0,5.0,68.42
1.0,0.0,3.8
2.0,0.0,16.3
2.0,1.5,22.8
2.0,2.06,12.36
1.0,3.7,18.5
1.0,9.0,80.55
1.0,2.0,15.8
1.0,1.86,11.16
1.0,1.53,16.83
2.0,3.8,16.6
2.0,1.7,16.0
1.0,3.33,16.63
1.0,2.06,12.36
1.0,1.18,12.98
1.0,3.0,18.8
2.0,2.45,12.25
2.0,1.0,9.3
2.0,4.82,24.12
1.0,3.26,19.56
1.0,0.0,11.3
1.0,6.84,29.64
1.0,4.86,29.16
1.0,2.0,15.3
1.0,6.05,36.35
2.0,0.0,18.3
2.0,3.56,21.36
1.0,4.56,27.36
1.0,3.25,23.55
1.0,0.0,14.8
1.0,2.95,14.75
1.0,2.83,14.13
1.0,1.5,24.3
3.0,3.24,14.04
3.0,1.25,13.05
3.0,1.46,8.76
1.0,1.76,10.56
1.0,1.0,12.8
1.0,5.3,23.1
2.0,4.16,24.96
1.0,1.4,13.2
1.0,0.0,11.3
6.0,2.0,13.3
6.0,4.0,13.3
6.0,0.0,7.8
6.0,1.62,12.42
1.0,2.95,14.75
1.0,4.0,14.3
6.0,0.0,15.3
6.0,4.86,29.16
1.0,0.0,15.3
1.0,1.0,12.3
2.0,2.18,15.48
1.0,0.0,9.8
1.0,2.0,17.8
2.0,3.26,19.56
1.0,5.0,13.8
1.0,3.06,18.36
1.0,19.78,85.7
2.0,2.0,12.3
1.0,0.0,10.8
1.0,2.46,14.76
1.0,1.32,10.12
1.0,0.0,9.8
1.0,2.75,16.55
1.0,3.05,18.35
1.0,1.0,22.3
1.0,2.05,12.35
