passenger_count,tip_amount,total_amount
2.0,2.86,17.16
1.0,0.0,12.8
1.0,0.0,13.3
1.0,0.0,7.8
1.0,2.15,12.95
1.0,2.06,12.36
1.0,8.8,49.9
1.0,0.0,8.3
1.0,2.65,15.95
1.0,1.65,9.95
1.0,2.46,14.76
1.0,0.0,9.8
1.0,3.05,18.35
2.0,0.0,42.85
1.0,3.0,24.3
1.0,3.36,20.16
1.0,0.0,9.8
1.0,3.0,13.8
1.0,0.0,28.8
1.0,2.83,14.13
1.0,2.0,12.8
1.0,0.0,57.0
2.0,7.05,42.4
1.0,1.86,11.16
1.0,2.06,12.36
1.0,0.0,11.3
1.0,0.0,9.8
1.0,0.0,13.8
1.0,2.46,14.76
1.0,2.0,16.3
1.0,2.9,12.7
1.0,1.0,9.3
0.0,2.0,11.8
0.0,3.6,17.9
0.0,0.0,8.8
0.0,3.55,21.35
5.0,2.06,12.36
5.0,0.0,16.3
1.0,0.0,30.8
1.0,4.62,27.72
4.0,3.46,20.76
2.0,4.16,26.21
1.0,2.86,17.16
1.0,1.96,11.76
4.0,0.0,22.3
3.0,1.0,9.8
3.0,0.0,10.8
1.0,2.26,13.56
1.0,3.7,18.5
1.0,3.66,21.96
5.0,1.96,11.76
1.0,2.76,16.56
1.0,2.96,17.76
1.0,0.0,6.8
1.0,1.96,11.76
1.0,0.0,8.3
1.0,0.0,9.3
1.0,2.46,14.76
1.0,2.45,12.25
1.0,2.58,12.88
1.0,3.83,19.13
1.0,1.0,17.3
1.0,2.16,12.96
1.0,3.0,17.3
6.0,3.32,16.62
6.0,0.0,15.3
5.0,2.95,17.75
1.0,0.0,6.8
3.0,6.0,40.3
2.0,2.86,17.16
1.0,1.29,5.59
3.0,5.34,23.14
1.0,3.45,17.25
2.0,4.15,24.95
1.0,0.0,15.8
1.0,1.96,11.76
1.0,8.47,50.82
1.0,2.96,17.76
1.0,0.0,8.8
1.0,5.79,25.09
1.0,2.0,27.3
1.0,4.3,21.6
1.0,0.0,14.3
1.0,2.76,16.56
1.0,1.56,9.36
1.0,4.46,26.76
6.0,0.0,61.85
2.0,0.0,10.3
1.0,2.56,15.36
1.0,0.0,12.8
1.0,5.2,26.0
1.0,2.96,17.76
1.0,0.0,14.3
1.0,3.06,18.36
1.0,1.82,9.12
1.0,1.5,11.3
1.0,1.56,9.36
1.0,0.0,6.8
1.0,1.56,9.36
1.0,0.0,10.3
1.0,1.5,14.3
1.0,4.46,26.76
1.0,2.36,14.16
1.0,3.7,18.5
3.0,3.36,20.16
1.0,1.77,13.57
2.0,0.0,15.8
1.0,0.0,26.3
1.0,1.0,21.3
1.0,2.06,12.36
1.0,1.76,10.56
1.0,1.0,14.8
1.0,4.97,29.82
5.0,2.36,14.16
5.0,3.0,15.3
5.0,3.2,24.5
1.0,2.76,16.56
1.0,2.26,13.56
1.0,3.26,19.56
2.0,10.0,71.85
2.0,5.45,27.25
1.0,0.0,8.8
1.0,3.0,14.8
2.0,18.56,80.41
3.0,3.54,15.34
1.0,0.0,11.3
1.0,0.0,-5.8
1.0,0.0,5.8
1.0,0.0,17.3
3.0,0.0,9.8
1.0,1.0,11.3
1.0,3.2,16.0
1.0,0.0,11.8
1.0,9.67,59.27
1.0,2.82,14.12
1.0,1.0,15.3
