passenger_count,tip_amount,total_amount
1.0,0.0,7.3
1.0,4.95,24.75
2.0,1.0,17.3
4.0,2.35,14.15
3.0,2.0,16.8
2.0,1.0,9.3
1.0,2.25,13.55
1.0,2.05,12.35
0.0,3.2,14.0
0.0,2.15,12.95
1.0,2.46,14.76
1.0,1.36,8.16
1.0,2.66,15.96
1.0,10.89,47.19
1.0,0.0,6.3
1.0,2.25,13.55
1.0,1.95,11.75
1.0,3.2,16.0
1.0,3.46,20.76
1.0,0.0,15.3
1.0,3.05,13.35
1.0,8.0,34.8
2.0,0.0,37.85
2.0,0.0,4.3
1.0,0.0,8.3
3.0,5.06,30.36
3.0,2.16,12.96
1.0,3.86,23.16
1.0,3.06,18.36
1.0,1.0,11.8
1.0,0.0,19.8
1.0,2.66,15.96
1.0,0.0,12.3
1.0,3.06,18.36
1.0,1.0,12.8
1.0,0.0,8.8
1.0,7.15,43.0
1.0,1.95,11.75
1.0,1.75,10.55
1.0,1.65,9.95
1.0,0.0,13.3
2.0,0.0,11.8
1.0,1.85,11.15
1.0,2.16,12.96
1.0,3.56,21.36
1.0,0.0,10.3
1.0,3.82,19.12
3.0,2.08,10.38
1.0,2.33,11.63
1.0,2.46,14.76
1.0,1.66,9.96
2.0,0.0,-8.8
2.0,0.0,8.8
1.0,2.0,18.3
1.0,0.0,7.3
1.0,13.82,69.12
1.0,0.0,8.8
1.0,3.96,23.76
1.0,1.32,10.12
1.0,1.65,9.95
2.0,0.0,9.3
1.0,0.0,9.3
1.0,2.2,11.0
1.0,3.46,20.76
1.0,2.5,21.8
1.0,1.26,7.56
1.0,1.66,9.96
1.0,0.96,5.76
1.0,6.08,30.38
3.0,2.0,17.8
1.0,0.0,15.8
1.0,1.0,13.3
1.0,1.82,9.12
1.0,0.0,7.3
1.0,2.26,13.56
2.0,5.0,26.8
2.0,1.23,13.53
1.0,2.0,11.3
2.0,3.66,21.96
3.0,0.0,-6.3
3.0,0.0,6.3
4.0,0.0,7.3
3.0,2.26,13.56
3.0,3.56,21.36
1.0,1.45,8.75
1.0,2.25,13.55
1.0,0.0,9.3
1.0,2.55,15.35
1.0,1.65,9.95
1.0,1.08,11.88
1.0,2.36,14.16
1.0,1.76,10.56
1.0,0.0,7.8
1.0,0.0,7.8
1.0,8.0,80.4
2.0,1.75,10.55
1.0,0.0,10.3
1.0,2.25,13.55
1.0,0.0,11.3
2.0,3.86,23.16
0.0,1.65,9.95
1.0,3.06,18.36
1.0,2.16,12.96
1.0,8.11,48.66
1.0,1.83,20.13
1.0,8.58,51.5
1.0,1.95,9.75
1.0,1.5,13.3
1.0,4.46,26.76
1.0,1.66,9.96
2.0,2.37,18.17
1.0,2.55,15.35
1.0,2.85,17.15
6.0,1.76,10.56
1.0,0.0,19.05
1.0,0.0,7.8
0.0,0.0,6.3
1.0,4.65,27.95
1.0,3.75,22.55
1.0,0.0,7.3
1.0,1.66,9.96
1.0,1.0,9.3
1.0,2.16,12.96
1.0,0.0,8.8
1.0,1.76,10.56
1.0,6.56,39.36
2.0,2.32,11.62
3.0,0.0,7.3
3.0,2.56,15.36
1.0,2.75,16.55
1.0,1.7,13.0
1.0,1.75,10.55
1.0,2.15,12.95
2.0,1.0,10.3
1.0,0.0,13.8
1.0,0.0,10.3
2.0,2.96,17.76
1.0,1.0,11.3
1.0,0.0,10.8
1.0,3.24,14.04
1.0,0.0,14.8
2.0,0.0,9.3
1.0,0.0,48.0
1.0,0.0,8.8
1.0,2.56,15.36
6.0,2.0,12.8
1.0,2.96,17.76
1.0,1.18,12.98
4.0,2.26,13.56
5.0,0.0,11.8
4.0,1.0,16.3
1.0,1.05,6.35
1.0,3.3,16.6
2.0,1.95,11.75
1.0,3.55,21.35
2.0,4.0,15.8
1.0,1.96,11.76
1.0,1.0,15.3
1.0,2.16,12.96
2.0,6.08,30.38
1.0,0.0,38.0
1.0,3.85,23.15
1.0,1.85,14.15
1.0,12.3,73.9
1.0,0.0,69.3
1.0,7.0,60.17
2.0,1.5,15.8
1.0,4.95,29.75
2.0,1.38,15.18
4.0,3.36,20.16
3.0,2.0,15.3
3.0,0.0,7.8
1.0,2.38,9.18
1.0,0.0,6.8
1.0,0.0,11.8
1.0,1.0,10.8
1.0,1.0,8.8
1.0,0.0,6.8
1.0,3.95,19.75
1.0,3.04,23.34
1.0,2.0,11.3
1.0,0.0,18.8
1.0,3.99,17.29
5.0,1.02,7.82
1.0,1.75,10.55
2.0,0.0,9.8
1.0,0.0,12.8
2.0,4.95,24.75
1.0,1.96,11.76
1.0,1.5,9.8
1.0,3.7,22.0
1.0,3.36,20.16
1.0,1.46,8.76
1.0,2.36,14.16
1.0,7.07,42.42
