passenger_count,tip_amount,total_amount
"",0.0,29.0
"",0.0,39.5
"",0.0,22.0
"",5.91,45.33
"",6.14,67.56
"",0.0,55.73
"",0.0,33.36
"",0.0,54.6
"",3.11,18.01
"",2.96,17.76
"",0.0,68.09
"",0.0,32.31
"",0.0,70.39
"",0.0,60.0
"",1.86,11.16
"",4.34,23.79
"",4.33,23.53
"",2.6,19.13
"",2.0,13.78
"",2.65,15.44
"",0.0,69.06
"",0.0,18.48
"",0.0,39.2
"",0.0,20.81
"",0.0,23.24
"",0.0,16.38
"",4.0,28.95
"",1.58,11.88
"",0.0,10.3
"",0.0,42.92
"",0.0,37.9
"",0.0,29.32
"",2.49,18.36
"",0.0,43.8
"",2.0,12.3
"",0.0,26.88
"",0.0,24.66
"",0.0,56.05
"",0.0,30.68
"",2.02,21.13
"",0.0,36.11
"",0.0,46.5
"",1.03,19.56
"",0.0,52.4
"",1.47,11.27
"",0.0,52.4
"",0.0,40.53
"",0.0,57.3
"",0.0,26.47
"",0.0,37.2
"",0.0,22.35
"",0.0,25.3
"",0.0,26.36
"",3.62,26.31
"",0.0,25.41
"",1.05,11.35
"",2.1,12.4
"",0.0,29.0
"",2.67,15.55
"",0.0,54.77
"",0.22,10.66
"",2.0,18.6
"",1.0,17.91
"",0.0,58.85
"",2.4,20.4
"",1.4,10.7
"",11.54,58.68
"",2.78,16.16
"",0.0,43.0
"",0.0,48.17
"",0.0,70.8
"",10.0,23.99
"",3.39,23.63
"",0.0,30.9
"",2.1,12.4
"",0.0,43.0
"",2.8,18.8
"",2.0,29.8
"",0.0,61.43
"",0.0,29.32
"",0.0,22.0
"",0.0,37.42
"",0.0,57.3
"",0.0,17.96
"",2.1,12.4
"",3.59,20.65
"",3.87,21.32
"",0.0,43.0
"",1.94,49.84
"",0.0,38.54
"",1.0,21.27
"",0.0,21.2
"",2.1,12.4
"",7.23,33.8
"",3.06,18.36
"",2.64,19.37
"",1.0,11.3
"",1.43,15.73
"",0.0,34.08
"",2.0,18.09
"",0.0,45.3
"",9.0,41.0
"",0.53,10.83
"",5.44,24.37
"",2.81,16.32
"",0.0,27.97
"",0.0,35.59
"",0.0,73.5
"",0.0,73.5
"",0.0,70.8
"",1.83,12.13
"",0.0,68.1
"",3.09,17.19
"",18.35,122.54
"",0.0,32.62
"",0.0,20.64
"",0.16,7.96
"",2.0,16.33
"",0.0,57.3
"",0.0,60.0
"",3.02,17.48
"",2.1,12.4
"",0.0,16.88
"",0.0,46.5
"",0.0,43.0
"",0.0,57.3
"",4.33,23.72
"",0.0,39.5
"",0.0,54.6
"",1.15,26.15
"",0.0,13.11
"",0.0,21.63
"",2.0,21.61
"",4.51,26.89
"",0.0,32.11
"",2.0,20.99
"",1.0,12.51
"",5.18,28.02
"",0.0,33.54
"",3.72,23.16
"",0.0,29.0
"",0.0,29.0
"",5.69,32.32
"",0.0,66.38
"",0.0,39.5
"",0.0,51.77
"",0.0,15.01
"",0.0,25.5
"",0.0,49.2
"",0.0,25.0
"",2.9,16.84
"",0.0,25.5
"",0.0,49.2
"",0.0,43.0
"",0.0,60.0
"",0.0,33.06
"",0.0,44.29
"",0.0,18.5
"",0.0,29.0
"",10.0,31.2
"",0.0,34.09
"",1.0,11.3
"",0.0,46.5
"",0.0,76.0
"",0.0,88.5
"",2.1,12.4
"",10.0,33.56
"",6.32,35.79
"",0.0,42.58
"",4.98,28.39
"",0.0,38.54
"",0.0,27.86
"",0.0,25.5
"",0.0,42.45
"",7.8,45.5
"",4.5,41.58
"",2.0,29.51
"",0.0,55.46
"",2.0,24.0
"",0.0,22.11
"",0.0,54.59
"",0.0,27.57
"",0.0,87.7
"",1.18,12.98
"",0.0,31.08
"",4.3,24.64
"",0.0,36.04
"",0.0,49.49
"",0.0,39.29
"",0.0,59.13
"",0.0,35.82
"",0.0,25.74
"",0.0,25.88
"",0.0,27.86
"",0.0,38.54
"",0.0,17.6
"",0.0,31.79
"",0.0,34.09
"",0.0,27.68
"",0.0,35.57
"",0.0,49.2
"",0.0,19.78
"",2.0,22.44
"",0.0,41.24
"",0.0,37.67
"",7.49,42.04
"",0.0,60.93
"",0.0,42.83
"",0.0,32.27
"",0.0,20.56
"",0.0,30.16
"",0.0,44.73
"",0.0,27.91
"",8.42,46.3
"",0.0,22.2
"",0.0,26.36
"",0.0,32.11
"",0.0,22.2
"",0.0,30.26
"",1.58,11.88
"",0.0,36.88
"",0.0,26.84
"",0.0,37.12
"",15.01,88.36
"",0.0,48.82
"",0.0,24.29
"",0.0,23.85
"",0.0,32.08
"",2.85,13.51
"",0.0,53.22
"",0.0,20.49
"",0.0,37.9
"",0.0,35.34
"",0.0,21.63
"",0.0,29.29
"",0.0,53.8
"",0.0,37.67
"",0.0,24.69
"",0.0,31.63
"",0.0,21.63
"",0.0,21.63
"",0.0,24.42
"",0.0,34.95
"",0.0,48.21
"",0.0,56.45
"",0.0,31.08
"",0.0,54.34
"",0.0,30.36
"",1.43,14.98
"",0.0,23.61
"",3.18,18.41
"",0.0,39.11
"",0.0,48.17
"",0.0,34.85
"",0.0,51.47
"",0.0,57.35
"",0.0,17.8
"",0.0,22.73
"",0.0,62.39
"",0.0,37.9
"",0.0,41.99
"",0.0,17.6
"",0.0,30.74
"",3.01,16.78
"",0.0,52.03
"",2.87,16.42
"",0.0,57.35
"",0.0,29.88
"",6.9,20.7
"",0.0,52.11
"",0.0,19.63
"",0.0,41.32
"",0.0,26.36
"",0.0,41.38
"",0.0,41.31
"",0.0,27.91
"",0.0,25.39
"",1.0,20.96
"",8.21,45.08
"",0.0,41.67
"",0.0,39.67
"",0.0,51.16
"",3.0,14.67
"",4.98,28.36
"",0.0,19.67
"",5.0,21.35
"",0.0,39.5
"",0.0,17.66
"",0.0,22.01
"",0.0,30.32
"",0.0,21.63
"",0.0,22.29
"",0.0,45.68
"",0.0,43.0
"",0.0,35.18
"",0.0,33.68
"",0.0,29.19
"",0.0,53.49
"",0.0,33.44
"",0.0,18.94
"",0.0,29.5
"",0.0,62.7
"",0.0,33.68
"",0.0,23.11
"",0.0,51.03
"",0.0,35.34
"",2.0,16.33
"",0.0,54.43
"",0.0,25.54
"",0.0,52.51
"",10.76,56.43
"",0.0,29.45
"",0.0,15.39
"",0.0,47.65
"",0.0,43.0
"",0.0,37.06
"",0.0,17.66
"",0.0,17.6
"",0.0,34.86
"",0.0,26.41
"",0.0,30.26
"",0.0,20.74
"",0.0,36.41
"",0.0,36.11
"",0.0,26.36
