passenger_count,tip_amount,total_amount
2.0,1.95,9.75
2.0,2.06,12.36
1.0,2.45,14.75
1.0,1.0,26.85
2.0,6.95,43.0
1.0,1.85,11.15
1.0,2.15,12.95
6.0,12.62,75.72
1.0,2.0,18.3
1.0,1.65,9.95
1.0,2.36,14.16
1.0,3.56,21.36
1.0,1.0,10.3
1.0,1.08,11.88
1.0,2.86,17.16
2.0,0.0,13.3
1.0,1.46,8.76
1.0,2.58,12.88
2.0,0.0,13.3
2.0,2.58,12.88
1.0,5.08,25.38
1.0,25.0,58.85
1.0,0.0,9.8
1.0,2.55,15.35
1.0,3.26,19.56
1.0,0.0,33.55
0.0,8.0,49.6
1.0,1.96,11.76
1.0,1.56,9.36
1.0,2.56,15.36
1.0,3.06,18.36
1.0,1.5,13.3
6.0,2.36,14.16
5.0,2.79,12.09
3.0,2.86,17.16
4.0,4.56,27.36
1.0,0.0,14.3
1.0,0.0,7.3
1.0,1.66,9.96
1.0,0.0,19.8
1.0,2.36,14.16
1.0,1.2,16.0
1.0,1.0,11.8
1.0,0.62,12.92
1.0,2.14,16.44
1.0,1.63,17.93
1.0,0.0,12.8
1.0,3.5,25.3
1.0,0.0,21.8
1.0,2.05,12.35
1.0,0.0,10.3
1.0,1.0,12.8
1.0,0.0,41.55
1.0,5.9,25.7
1.0,0.0,25.8
1.0,1.5,12.3
2.0,2.0,24.8
6.0,0.0,63.1
1.0,1.9,65.0
2.0,1.65,9.95
1.0,2.95,17.75
1.0,2.3,11.6
1.0,0.0,7.3
1.0,0.0,31.35
1.0,0.98,10.78
1.0,5.15,39.0
1.0,2.6,11.4
1.0,0.0,40.3
1.0,0.0,18.3
1.0,1.56,9.36
1.0,8.47,52.07
1.0,2.07,15.87
1.0,0.0,26.55
4.0,2.36,14.16
1.0,0.0,8.8
1.0,0.0,12.8
1.0,0.0,10.8
1.0,0.0,13.8
1.0,0.0,38.8
1.0,8.6,51.7
1.0,0.0,63.1
1.0,1.76,10.56
1.0,1.86,11.16
1.0,2.65,15.95
1.0,2.66,15.96
1.0,1.66,9.96
1.0,4.06,24.36
