passenger_count,tip_amount,total_amount
1.0,4.0,10.8
1.0,0.0,-56.42
1.0,0.0,56.42
4.0,0.0,10.3
1.0,3.26,19.56
1.0,1.5,18.3
1.0,0.0,-59.8
1.0,0.0,59.8
1.0,3.0,21.8
1.0,2.0,14.8
1.0,0.0,26.8
1.0,1.2,11.5
0.0,0.0,11.8
0.0,3.25,19.55
1.0,0.05,59.85
1.0,2.35,14.15
1.0,0.0,11.8
2.0,2.06,12.36
2.0,0.0,9.8
2.0,3.46,20.76
1.0,1.0,13.3
1.0,2.15,12.95
1.0,3.05,18.35
0.0,2.0,25.3
1.0,1.08,11.88
1.0,2.36,14.16
1.0,1.56,9.36
1.0,1.18,10.98
1.0,0.0,61.05
1.0,0.0,108.92
0.0,0.0,15.3
0.0,0.78,8.58
0.0,1.0,12.3
0.0,1.95,11.75
0.0,1.95,11.75
1.0,2.88,19.18
1.0,0.0,13.3
2.0,0.0,16.3
1.0,1.0,14.8
1.0,3.36,20.16
1.0,1.0,9.8
2.0,0.0,27.55
1.0,4.0,48.42
4.0,2.5,18.8
4.0,2.86,17.16
5.0,3.54,15.34
4.0,2.95,14.75
1.0,2.56,15.36
1.0,5.94,25.74
1.0,0.0,10.3
1.0,0.0,10.8
1.0,0.0,9.8
2.0,2.15,12.95
1.0,3.7,18.5
1.0,0.0,12.3
1.0,4.25,25.55
1.0,2.76,16.56
2.0,3.76,22.56
1.0,2.16,12.96
1.0,2.36,14.16
1.0,0.0,10.3
1.0,0.0,18.3
3.0,0.0,9.3
1.0,2.7,13.5
1.0,5.78,34.7
1.0,5.0,28.8
1.0,11.96,71.76
1.0,0.0,11.8
1.0,0.0,10.3
1.0,2.0,13.8
1.0,3.86,23.16
1.0,0.0,23.8
1.0,0.0,8.8
1.0,1.65,9.95
1.0,0.0,22.8
1.0,4.45,22.25
1.0,1.0,19.3
3.0,3.76,22.56
4.0,8.0,57.42
2.0,3.0,29.3
1.0,0.0,60.55
0.0,2.45,14.75
1.0,0.0,9.3
1.0,3.55,21.35
1.0,2.45,14.75
6.0,1.92,14.72
6.0,2.36,14.16
6.0,0.0,30.8
1.0,3.7,18.5
1.0,4.45,22.25
1.0,1.66,9.96
1.0,0.0,7.3
1.0,1.7,8.5
1.0,1.0,11.8
1.0,3.0,26.3
1.0,0.0,28.3
1.0,2.05,12.35
1.0,0.0,11.3
1.0,2.0,17.3
2.0,1.65,9.95
1.0,1.95,11.75
1.0,2.35,14.15
4.0,2.35,14.15
2.0,0.0,19.8
1.0,3.08,15.38
1.0,3.84,16.64
1.0,1.0,11.3
1.0,2.0,15.3
1.0,2.55,15.35
1.0,3.0,24.8
3.0,5.0,65.67
1.0,2.86,17.16
1.0,1.76,10.56
1.0,4.96,29.76
0.0,3.26,19.56
1.0,0.0,13.8
1.0,0.0,25.8
1.0,1.92,14.72
1.0,1.0,11.8
2.0,2.66,15.96
1.0,3.57,27.37
2.0,0.0,14.3
2.0,1.08,11.88
1.0,4.3,21.6
3.0,1.5,12.3
1.0,1.96,11.76
1.0,3.39,14.69
1.0,20.15,87.32
1.0,0.36,18.16
1.0,2.08,10.38
1.0,3.06,18.36
1.0,5.96,35.76
1.0,1.0,16.3
1.0,0.7,9.0
1.0,0.0,12.3
1.0,1.75,14.05
1.0,2.16,12.96
1.0,1.86,11.16
1.0,2.0,12.3
1.0,1.13,12.43
1.0,2.76,16.56
1.0,0.0,9.8
1.0,0.0,9.8
1.0,9.89,75.81
1.0,2.16,12.96
1.0,2.96,17.76
1.0,1.0,11.8
1.0,4.08,20.38
1.0,2.66,15.96
1.0,4.0,20.8
1.0,0.0,19.8
1.0,2.06,12.36
1.0,2.0,15.3
1.0,2.86,17.16
1.0,3.96,23.76
1.0,0.0,61.0
1.0,3.26,19.56
2.0,4.0,16.8
2.0,1.86,11.16
1.0,3.96,23.76
1.0,2.35,14.15
1.0,0.0,11.3
1.0,5.0,50.8
3.0,0.0,6.8
2.0,3.86,23.16
1.0,2.06,12.36
1.0,2.76,16.56
1.0,0.0,13.8
1.0,2.26,13.56
3.0,2.56,15.36
2.0,2.56,15.36
1.0,1.0,21.8
1.0,4.05,20.35
5.0,0.0,14.8
5.0,2.46,14.76
5.0,0.0,11.3
2.0,3.36,20.16
1.0,0.0,12.3
5.0,5.34,23.14
5.0,0.0,10.3
2.0,2.86,17.16
3.0,1.66,9.96
2.0,4.26,25.56
1.0,0.0,52.8
1.0,0.0,30.8
2.0,2.36,14.16
2.0,1.66,9.96
2.0,3.84,16.64
1.0,0.0,7.8
2.0,12.65,76.07
1.0,1.0,8.8
1.0,0.0,9.8
1.0,7.2,36.0
3.0,2.66,17.46
3.0,4.2,21.0
1.0,4.46,26.76
1.0,2.56,15.36
1.0,1.0,12.3
1.0,0.0,10.3
3.0,2.55,15.35
1.0,1.96,11.76
1.0,0.7,16.0
1.0,0.0,14.3
1.0,0.0,14.3
1.0,0.8,11.6
1.0,0.0,14.8
1.0,2.0,12.8
2.0,2.36,14.16
1.0,1.0,14.8
1.0,0.0,17.3
1.0,2.95,14.75
1.0,10.14,43.94
1.0,0.93,10.23
1.0,2.16,12.96
5.0,2.26,30.56
6.0,3.54,15.34
1.0,3.56,21.36
1.0,0.0,12.3
1.0,2.16,12.96
1.0,3.06,18.36
1.0,4.45,22.25
1.0,2.06,12.36
1.0,0.0,17.3
1.0,4.1,17.9
1.0,3.45,17.25
1.0,2.58,12.88
1.0,0.0,15.3
1.0,3.46,20.76
1.0,2.26,13.56
1.0,1.7,15.0
1.0,4.05,24.35
1.0,2.2,12.0
1.0,1.7,19.5
1.0,0.0,12.8
1.0,3.05,18.35
1.0,0.0,6.8
1.0,15.0,80.92
1.0,0.0,17.6
1.0,3.16,18.96
1.0,1.0,12.3
1.0,1.5,14.8
1.0,0.0,63.92
1.0,3.75,22.55
1.0,1.5,15.3
1.0,1.66,9.96
1.0,2.79,12.09
1.0,0.0,8.3
1.0,2.5,20.8
1.0,0.0,9.3
1.0,1.25,12.55
1.0,3.56,21.36
1.0,4.36,26.16
1.0,0.0,13.3
1.0,2.45,12.25
1.0,1.35,8.15
1.0,0.0,10.8
2.0,0.0,13.8
1.0,3.96,23.76
1.0,1.65,9.95
1.0,3.65,21.95
1.0,0.0,10.8
1.0,1.0,10.3
1.0,0.0,9.8
1.0,4.7,23.5
1.0,0.0,6.8
5.0,5.0,16.8
5.0,1.0,13.3
4.0,4.06,24.36
2.0,2.16,12.96
1.0,3.36,20.16
1.0,2.36,14.16
1.0,0.0,9.3
1.0,3.09,13.39
1.0,3.06,18.36
1.0,2.46,14.76
1.0,2.86,17.16
1.0,2.45,12.25
1.0,1.0,8.8
1.0,3.34,25.64
1.0,0.0,10.8
1.0,2.0,22.3
3.0,1.33,14.63
3.0,0.0,9.3
1.0,4.74,20.54
1.0,0.0,10.3
1.0,3.15,18.95
1.0,4.0,24.3
1.0,2.0,22.8
1.0,6.39,27.69
1.0,6.16,36.96
1.0,2.65,15.95
2.0,0.0,11.8
1.0,0.0,21.8
2.0,4.2,21.0
2.0,0.0,12.3
2.0,5.34,23.14
1.0,2.65,15.95
1.0,3.55,21.35
1.0,1.0,14.8
1.0,2.16,12.96
1.0,0.0,16.8
1.0,4.45,22.25
1.0,16.48,82.4
1.0,1.93,21.23
1.0,3.26,19.56
1.0,3.3,16.6
2.0,0.0,10.3
1.0,2.85,17.15
1.0,0.0,11.8
1.0,1.0,11.8
2.0,0.0,11.8
1.0,3.0,25.3
1.0,5.86,35.16
1.0,11.98,71.9
1.0,0.0,39.3
1.0,3.86,23.16
1.0,2.96,17.76
1.0,1.96,11.76
1.0,3.32,16.62
1.0,14.9,44.7
1.0,2.16,12.96
1.0,3.09,13.39
1.0,2.26,13.56
1.0,9.48,47.4
1.0,1.76,10.56
1.0,0.0,14.3
1.0,2.26,15.56
1.0,2.0,17.8
1.0,2.06,12.36
1.0,2.22,17.02
1.0,2.96,17.76
3.0,2.35,14.15
1.0,1.95,11.75
3.0,2.45,14.75
1.0,0.0,33.0
1.0,3.06,18.36
1.0,2.0,18.3
1.0,2.0,12.3
2.0,5.0,18.8
1.0,2.65,15.95
1.0,5.05,30.35
0.0,0.0,8.8
0.0,1.85,11.15
1.0,2.65,15.95
4.0,1.0,17.8
1.0,2.36,14.16
1.0,2.34,10.14
1.0,2.86,17.16
2.0,0.0,21.8
3.0,3.5,18.8
1.0,4.86,29.16
1.0,0.0,21.3
1.0,0.0,12.8
3.0,3.65,15.95
3.0,1.32,10.12
1.0,0.0,15.8
1.0,5.56,33.36
1.0,3.0,20.3
1.0,3.0,23.3
1.0,2.96,17.76
1.0,2.85,17.15
1.0,2.2,11.0
1.0,1.0,13.3
1.0,2.46,14.76
1.0,2.45,12.25
1.0,2.16,12.96
1.0,10.65,64.07
2.0,0.0,22.3
1.0,0.52,10.82
1.0,3.05,18.35
1.0,0.0,15.8
1.0,2.45,14.75
1.0,5.0,50.67
2.0,1.0,13.3
1.0,5.0,13.8
1.0,10.25,61.55
1.0,2.82,14.12
1.0,0.0,9.3
1.0,0.0,11.8
1.0,3.86,23.16
1.0,4.46,26.76
1.0,2.66,15.96
1.0,1.62,12.42
1.0,2.06,12.36
1.0,3.66,21.96
1.0,1.0,20.8
1.0,2.65,15.95
1.0,1.65,9.95
1.0,0.0,9.3
1.0,0.0,12.8
2.0,2.25,13.55
1.0,3.46,20.76
1.0,2.36,14.16
1.0,0.0,22.8
5.0,0.0,12.3
5.0,3.76,22.56
1.0,0.0,16.3
1.0,3.45,20.75
1.0,2.0,16.3
1.0,2.56,15.36
1.0,0.8,14.6
1.0,0.0,15.8
1.0,2.66,15.96
1.0,0.0,8.3
1.0,1.54,11.84
1.0,20.0,38.3
1.0,3.3,16.6
1.0,1.56,9.36
1.0,2.86,17.16
1.0,1.2,12.0
1.0,1.24,9.54
1.0,1.96,11.76
1.0,1.0,13.3
1.0,2.95,14.75
1.0,1.0,13.3
1.0,2.46,14.76
1.0,3.46,20.76
1.0,2.06,12.36
1.0,2.55,15.35
1.0,2.76,16.56
1.0,1.0,14.3
1.0,4.05,29.35
1.0,12.68,76.1
1.0,0.0,11.3
1.0,1.66,9.96
1.0,2.56,15.36
2.0,0.0,18.8
2.0,0.0,7.8
2.0,3.95,19.75
1.0,3.7,18.5
1.0,3.56,21.36
1.0,1.17,24.47
1.0,2.66,17.46
1.0,1.73,19.03
2.0,2.45,14.75
1.0,1.0,15.8
1.0,1.36,8.16
1.0,1.5,14.8
1.0,1.76,10.56
2.0,0.0,13.3
1.0,3.06,18.36
1.0,1.66,9.96
1.0,0.0,29.8
2.0,1.0,13.8
2.0,1.5,25.8
5.0,2.56,15.36
5.0,1.0,11.8
1.0,5.0,19.3
1.0,2.75,12.05
