passenger_count,tip_amount,total_amount
1.0,6.82,34.12
1.0,2.95,17.75
1.0,1.0,14.3
1.0,0.0,9.8
1.0,2.55,12.85
1.0,5.55,33.35
2.0,0.0,63.1
1.0,0.0,48.05
0.0,8.25,49.6
1.0,8.3,36.1
1.0,1.0,10.3
1.0,6.05,36.35
1.0,2.16,12.96
1.0,0.0,18.8
1.0,0.0,18.8
1.0,1.75,19.05
1.0,12.62,75.72
2.0,4.35,26.15
1.0,1.95,11.75
1.0,0.0,37.55
1.0,0.0,17.3
1.0,1.5,11.3
3.0,5.95,29.75
1.0,1.76,10.56
1.0,3.7,18.5
1.0,2.0,23.8
1.0,2.76,16.56
1.0,0.0,15.3
1.0,2.2,11.0
1.0,2.26,13.56
1.0,4.25,18.55
2.0,6.2,27.0
1.0,2.0,13.8
3.0,4.06,24.36
3.0,0.0,9.3
3.0,0.0,15.8
1.0,1.46,8.76
1.0,1.76,11.56
1.0,4.56,27.36
1.0,0.0,12.8
1.0,4.45,22.25
1.0,5.0,18.8
1.0,1.0,8.3
1.0,0.0,6.8
1.0,3.76,22.56
3.0,4.21,46.31
2.0,0.0,10.8
1.0,1.86,11.16
2.0,2.16,12.96
2.0,5.94,25.74
1.0,3.76,22.56
2.0,0.0,8.3
1.0,2.7,13.5
1.0,0.0,49.5
1.0,1.0,9.3
1.0,3.65,21.95
1.0,0.0,41.1
1.0,2.95,17.75
1.0,1.75,10.55
1.0,0.0,15.8
0.0,2.55,15.35
0.0,3.55,21.35
2.0,2.8,14.1
1.0,0.0,11.8
1.0,2.15,12.95
1.0,2.0,17.3
1.0,1.75,10.55
1.0,2.07,15.87
1.0,2.0,18.3
2.0,3.0,17.8
1.0,2.05,10.35
2.0,0.0,8.3
2.0,0.0,10.8
1.0,2.2,11.0
1.0,3.32,16.62
1.0,2.5,24.3
1.0,2.19,9.49
1.0,1.86,11.16
1.0,0.0,-7.8
1.0,0.0,7.8
3.0,18.9,82.0
1.0,2.0,45.1
1.0,5.0,56.05
1.0,2.0,15.3
1.0,1.0,15.8
1.0,2.26,13.56
1.0,2.45,14.75
2.0,5.26,31.56
1.0,5.46,34.01
1.0,0.0,14.8
1.0,4.05,24.35
1.0,2.86,17.16
1.0,1.0,15.8
1.0,0.0,14.8
1.0,3.36,20.16
1.0,1.5,12.8
1.0,2.95,14.75
1.0,1.77,13.57
1.0,0.0,23.3
1.0,3.26,19.56
2.0,0.0,7.3
2.0,1.66,9.96
2.0,0.0,22.3
2.0,0.0,8.8
1.0,3.2,14.0
1.0,4.15,24.95
1.0,1.89,8.19
1.0,3.5,28.3
1.0,2.86,17.16
1.0,2.96,17.76
1.0,0.0,19.8
2.0,3.5,26.8
2.0,0.0,61.85
1.0,6.57,39.42
2.0,2.06,12.36
2.0,2.05,12.35
1.0,0.0,20.3
1.0,4.7,23.5
1.0,1.55,9.35
1.0,0.0,14.8
1.0,3.8,16.6
1.0,0.0,9.3
1.0,1.96,11.76
1.0,0.0,18.8
0.0,12.0,48.8
2.0,0.0,8.8
2.0,1.0,11.8
1.0,2.26,13.56
1.0,1.95,9.75
5.0,2.36,14.16
4.0,5.86,35.16
3.0,0.0,12.8
4.0,5.82,29.12
6.0,0.0,9.3
6.0,1.0,12.3
6.0,3.24,14.04
6.0,3.32,16.62
1.0,0.0,8.3
1.0,1.75,10.55
1.0,4.85,29.15
1.0,0.0,61.85
4.0,1.0,11.3
4.0,1.58,7.88
3.0,2.56,15.36
1.0,0.0,13.3
1.0,3.39,14.69
1.0,2.96,17.76
1.0,1.0,9.3
1.0,2.86,17.16
1.0,2.46,14.76
1.0,0.0,11.3
1.0,2.0,9.3
1.0,1.56,9.36
1.0,0.0,19.3
1.0,1.0,14.8
1.0,3.15,18.95
1.0,2.05,12.35
1.0,2.16,12.96
1.0,7.45,37.3
3.0,3.96,23.76
4.0,3.82,19.12
1.0,6.84,29.64
1.0,1.2,10.0
1.0,2.0,18.8
1.0,1.46,8.76
1.0,0.0,7.8
1.0,0.0,15.3
1.0,2.0,18.8
1.0,8.91,53.46
1.0,0.0,15.8
1.0,2.16,12.96
1.0,4.74,20.54
1.0,2.05,12.35
1.0,1.73,19.03
1.0,0.0,41.55
4.0,1.5,10.3
4.0,1.0,13.3
3.0,0.0,11.8
4.0,3.09,13.39
4.0,1.76,10.56
1.0,2.22,17.02
1.0,2.46,14.76
