passenger_count,tip_amount,total_amount
5.0,2.06,12.36
5.0,3.96,23.76
1.0,0.0,12.3
1.0,2.0,18.3
1.0,1.7,8.5
1.0,2.55,15.35
3.0,0.0,59.8
3.0,4.46,26.76
2.0,0.0,59.8
2.0,5.19,22.49
1.0,0.0,15.8
2.0,2.79,12.09
1.0,2.0,19.8
1.0,0.0,17.8
2.0,2.0,15.8
1.0,0.0,12.3
1.0,0.0,11.3
1.0,0.0,10.8
1.0,1.76,10.56
1.0,0.0,11.3
1.0,1.0,6.8
1.0,3.36,20.16
1.0,2.46,14.76
1.0,0.0,9.3
2.0,8.05,40.35
1.0,3.0,24.3
1.0,4.0,13.3
1.0,1.0,14.8
1.0,6.68,40.1
1.0,2.16,12.96
1.0,2.46,14.76
1.0,2.5,18.8
1.0,2.06,12.36
1.0,4.26,25.56
2.0,3.45,20.75
1.0,2.0,25.3
1.0,0.0,12.3
2.0,1.86,11.16
1.0,3.76,22.56
1.0,0.0,10.3
1.0,3.2,16.0
1.0,2.46,14.76
1.0,0.0,15.8
1.0,1.0,16.3
0.0,0.0,9.3
1.0,2.56,15.36
1.0,1.56,9.36
1.0,1.86,11.16
1.0,2.0,15.3
1.0,4.86,29.16
1.0,0.0,10.0
3.0,2.36,14.16
1.0,1.46,8.76
1.0,4.7,23.5
1.0,2.86,17.16
1.0,5.0,17.8
1.0,9.35,56.15
1.0,2.05,12.35
1.0,0.0,9.8
1.0,0.0,15.8
1.0,2.96,17.76
1.0,1.0,16.3
1.0,2.32,11.62
1.0,2.46,14.76
1.0,1.76,10.56
1.0,0.0,14.3
1.0,2.25,13.55
1.0,4.0,13.3
1.0,2.7,13.5
1.0,0.0,23.8
2.0,2.86,17.16
1.0,3.24,14.04
1.0,0.0,13.3
1.0,2.46,14.76
1.0,2.46,14.76
1.0,1.86,11.16
1.0,2.66,15.96
1.0,0.11,11.91
1.0,3.96,23.76
1.0,3.15,18.95
1.0,4.0,13.8
1.0,0.0,26.8
1.0,0.0,4.8
1.0,0.0,6.8
1.0,5.34,23.14
2.0,1.68,18.48
1.0,2.76,16.56
2.0,0.0,-17.8
2.0,0.0,17.8
2.0,1.62,12.42
2.0,2.26,13.56
2.0,1.56,9.36
2.0,2.26,13.56
2.0,2.16,12.96
2.0,2.16,12.96
1.0,2.16,12.96
1.0,3.16,18.96
1.0,1.76,10.56
1.0,0.0,11.8
1.0,4.58,22.88
6.0,1.0,8.8
1.0,4.26,25.56
1.0,0.0,27.3
6.0,3.09,13.39
6.0,2.06,12.36
6.0,2.0,19.3
6.0,2.46,14.76
1.0,3.46,20.76
1.0,0.0,8.8
1.0,1.0,11.8
1.0,1.06,9.86
1.0,1.5,9.3
1.0,2.0,12.8
1.0,0.0,10.3
1.0,2.58,12.88
5.0,0.0,15.3
5.0,2.0,13.3
1.0,0.0,11.3
1.0,1.86,11.16
1.0,2.06,12.36
1.0,3.16,18.96
1.0,1.0,11.3
2.0,1.58,17.38
2.0,1.0,20.8
1.0,0.0,18.3
1.0,1.1,9.9
1.0,2.76,16.56
3.0,1.2,13.0
1.0,2.35,14.15
1.0,0.0,11.8
2.0,1.12,10.42
3.0,2.66,15.96
1.0,3.2,16.0
1.0,2.56,15.36
1.0,1.95,11.75
1.0,0.0,24.3
1.0,2.22,14.02
1.0,0.0,11.3
1.0,2.66,15.96
2.0,2.05,12.35
1.0,2.75,16.55
3.0,2.0,20.3
1.0,0.0,10.8
1.0,0.0,14.8
1.0,5.0,55.3
1.0,0.0,11.3
1.0,0.0,14.8
1.0,0.0,12.3
1.0,0.0,12.3
1.0,0.0,4.3
1.0,2.86,17.16
1.0,1.0,16.3
1.0,1.85,11.15
1.0,0.0,8.3
1.0,1.7,11.0
1.0,2.06,12.36
1.0,1.0,15.3
