passenger_count,tip_amount,total_amount
"",1.95,14.99
"",3.28,19.58
"",4.7,27.81
"",0.0,23.98
"",2.95,27.07
"",2.67,20.47
"",0.0,39.5
"",0.0,47.69
"",4.11,17.84
"",1.43,15.73
"",0.0,48.54
"",0.0,13.4
"",0.87,11.87
"",9.2,53.7
"",4.18,20.8
"",3.16,18.96
"",0.0,30.99
"",3.86,24.51
"",3.0,17.87
"",13.97,60.54
"",0.0,26.36
"",2.49,18.99
"",3.33,25.2
"",2.84,17.06
"",4.25,32.55
"",1.23,13.53
"",0.0,48.89
"",0.0,36.0
"",0.0,58.06
"",2.37,18.17
"",0.0,72.29
"",0.0,48.82
"",2.0,15.3
"",2.32,11.3
"",0.0,23.09
"",3.01,18.04
"",5.0,37.24
"",2.06,12.36
"",2.0,20.9
"",4.07,24.17
"",9.37,57.2
"",2.78,21.1
"",5.37,31.66
"",7.69,45.09
"",3.1,36.1
"",2.48,18.88
"",0.0,12.45
"",3.47,20.69
"",1.0,12.58
"",2.0,15.45
"",3.88,22.83
"",2.17,13.17
"",1.47,16.18
"",0.0,45.02
"",4.2,24.91
"",2.53,16.6
"",1.0,20.01
"",0.0,22.99
"",0.0,20.97
"",5.6,33.29
"",1.25,9.55
"",0.0,31.17
"",0.0,10.39
"",0.0,46.68
"",5.77,34.01
"",2.86,17.14
"",4.76,28.15
"",1.7,13.0
"",0.0,70.67
"",0.0,51.03
"",12.62,75.72
"",0.0,45.61
"",1.13,12.43
"",1.85,14.15
"",0.0,44.73
"",2.35,17.97
"",0.0,15.0
"",2.49,15.01
"",2.02,22.02
"",2.82,21.62
"",0.0,31.95
"",1.36,15.02
"",2.07,15.87
"",0.0,21.11
"",3.66,21.96
"",1.92,14.64
"",0.0,27.6
"",0.0,32.61
"",2.82,21.62
"",1.0,12.09
"",3.1,18.53
"",0.0,42.73
"",6.83,34.13
"",3.04,18.2
"",1.67,12.67
"",5.58,32.87
"",5.69,27.25
"",3.08,18.19
"",0.0,24.42
"",0.0,62.7
"",1.85,14.15
"",0.0,68.12
"",0.0,78.5
"",0.0,18.48
"",0.0,56.03
"",1.32,10.12
"",2.0,19.19
"",0.0,25.5
"",2.36,14.16
"",3.83,19.13
"",1.67,12.67
"",2.0,24.64
"",4.17,31.97
"",4.15,24.11
"",3.27,19.55
"",0.0,66.48
"",6.02,35.45
"",2.3,17.61
"",0.0,41.99
"",2.56,15.36
"",0.0,60.18
"",1.09,12.09
"",5.74,33.83
"",0.0,15.7
"",2.37,18.17
"",1.22,13.54
"",4.56,27.36
"",2.18,13.25
"",3.74,22.26
"",0.0,41.92
"",3.23,19.3
"",5.54,38.95
"",0.0,30.74
"",0.0,24.56
"",2.0,15.3
"",1.47,11.27
"",0.0,18.5
"",2.37,18.17
"",0.0,54.6
"",1.74,18.96
"",1.0,17.49
"",3.2,24.5
"",3.51,20.91
"",1.76,10.56
"",0.0,27.92
"",0.0,27.11
"",2.3,24.89
"",0.0,32.96
"",4.4,28.15
"",2.0,15.3
"",0.0,28.31
"",4.1,22.81
