passenger_count,tip_amount,total_amount
2.0,0.0,11.3
1.0,2.96,17.76
1.0,7.2,18.0
1.0,0.0,11.8
1.0,3.16,18.96
1.0,3.08,15.38
3.0,4.06,24.36
2.0,1.0,20.3
1.0,0.0,-15.8
1.0,0.0,15.8
1.0,0.0,11.3
1.0,2.7,13.5
1.0,4.76,28.56
1.0,2.74,21.04
2.0,1.95,9.75
5.0,2.64,11.44
5.0,0.0,12.3
1.0,2.0,22.3
2.0,1.86,11.16
1.0,0.0,14.3
1.0,1.96,11.76
1.0,3.86,23.16
2.0,2.7,13.5
3.0,5.0,17.8
1.0,0.0,17.3
1.0,1.86,11.16
1.0,0.0,9.3
1.0,1.76,10.56
2.0,1.76,10.56
1.0,1.86,11.16
1.0,2.16,12.96
1.0,3.46,20.76
1.0,2.0,18.3
1.0,4.75,28.55
1.0,1.0,12.8
1.0,3.06,18.36
1.0,2.2,11.0
1.0,2.7,13.5
1.0,3.55,21.35
2.0,0.0,10.8
1.0,0.0,10.8
1.0,1.0,14.3
6.0,2.96,17.76
6.0,2.86,17.16
6.0,3.54,15.34
1.0,3.16,18.96
1.0,0.0,9.3
1.0,2.3,17.6
2.0,0.0,9.8
1.0,1.38,15.18
6.0,2.86,17.16
6.0,5.0,29.3
1.0,2.06,12.36
1.0,0.0,11.3
1.0,2.16,12.96
1.0,4.06,24.36
1.0,3.0,32.8
3.0,2.26,13.56
3.0,2.16,12.96
3.0,7.66,45.96
1.0,2.79,12.09
1.0,3.16,18.96
1.0,2.5,13.8
1.0,2.0,19.8
2.0,2.08,17.88
1.0,0.0,7.3
1.0,0.0,6.8
2.0,3.05,18.35
2.0,3.85,23.15
1.0,2.0,14.3
1.0,0.0,13.8
1.0,1.86,11.16
1.0,1.0,10.3
1.0,2.06,12.36
3.0,0.0,15.8
3.0,4.86,29.16
1.0,0.0,57.3
1.0,0.0,57.3
1.0,2.64,11.44
1.0,2.26,13.56
1.0,0.0,8.8
1.0,0.0,9.8
1.0,2.06,12.36
1.0,3.26,19.56
1.0,0.0,45.0
1.0,6.18,37.1
1.0,1.0,15.3
