passenger_count,tip_amount,total_amount
1.0,4.45,22.25
1.0,0.0,150.8
2.0,5.0,66.42
4.0,3.46,20.76
1.0,2.55,15.35
1.0,0.0,15.3
2.0,2.05,12.35
2.0,2.0,13.8
1.0,1.95,11.75
1.0,2.75,18.05
1.0,3.7,18.5
1.0,5.98,29.9
1.0,0.0,10.3
1.0,1.47,11.27
1.0,0.0,13.8
1.0,2.0,15.8
1.0,2.25,13.55
1.0,5.56,33.36
1.0,3.16,18.96
1.0,0.0,33.3
3.0,1.56,9.36
1.0,1.0,8.8
1.0,0.0,15.8
3.0,0.0,12.8
2.0,2.0,21.3
2.0,3.24,14.04
2.0,2.0,33.3
1.0,2.15,12.95
1.0,3.16,18.96
2.0,0.0,8.3
1.0,0.0,7.8
6.0,1.56,9.36
6.0,0.0,25.3
3.0,2.26,13.56
4.0,5.0,15.3
1.0,3.56,21.36
1.0,3.06,18.36
1.0,0.0,12.8
3.0,0.0,8.3
5.0,2.7,13.5
1.0,1.95,11.75
1.0,2.05,12.35
1.0,2.96,17.76
1.0,1.66,9.96
1.0,0.0,7.3
1.0,2.26,13.56
1.0,1.66,9.96
2.0,0.0,10.8
3.0,2.35,14.15
2.0,0.0,12.8
1.0,2.75,12.05
4.0,2.2,11.0
1.0,2.45,12.25
1.0,4.36,26.16
1.0,5.16,30.96
1.0,0.0,13.3
1.0,2.55,15.35
1.0,1.0,21.8
1.0,3.55,21.35
2.0,10.0,71.42
0.0,3.65,21.95
0.0,2.05,12.35
0.0,2.65,15.95
3.0,2.26,13.56
3.0,2.36,14.16
1.0,1.66,9.96
1.0,1.86,11.16
1.0,2.66,15.96
1.0,2.0,13.8
1.0,0.0,12.3
1.0,3.2,16.0
1.0,2.36,14.16
2.0,2.0,27.92
2.0,3.2,16.0
2.0,0.98,10.78
1.0,2.19,9.49
1.0,0.0,18.3
1.0,4.08,20.38
1.0,2.64,11.44
1.0,0.0,11.8
2.0,1.0,7.8
1.0,3.36,20.16
1.0,1.56,9.36
2.0,3.55,21.35
1.0,0.0,29.3
1.0,0.0,17.3
1.0,0.0,13.3
1.0,2.16,12.96
1.0,1.77,13.57
1.0,0.73,8.03
1.0,0.0,8.8
1.0,0.0,14.3
1.0,2.66,15.96
1.0,1.2,14.0
1.0,1.78,17.08
1.0,1.66,9.96
1.0,2.58,12.88
1.0,2.26,13.56
1.0,3.36,20.16
1.0,0.0,14.3
1.0,2.0,11.3
1.0,3.26,19.56
1.0,1.86,11.16
1.0,1.7,16.0
1.0,2.75,16.55
1.0,5.0,16.3
1.0,2.05,12.35
1.0,0.0,7.8
1.0,1.7,10.0
1.0,0.0,14.8
1.0,1.0,8.8
1.0,1.66,9.96
1.0,4.29,18.59
1.0,1.0,14.3
1.0,2.76,16.56
1.0,0.0,8.3
1.0,1.0,19.3
1.0,0.0,7.8
1.0,3.26,19.56
1.0,5.06,30.36
5.0,1.86,11.16
5.0,3.46,20.76
5.0,0.0,15.3
1.0,2.16,12.96
1.0,2.76,16.56
1.0,5.0,46.42
6.0,3.95,19.75
5.0,4.0,14.3
5.0,2.82,14.12
2.0,1.76,10.56
2.0,2.46,14.76
2.0,2.56,15.36
2.0,2.16,12.96
1.0,0.0,23.3
1.0,2.45,14.75
2.0,1.95,11.75
1.0,4.55,27.35
2.0,4.15,24.95
1.0,0.0,11.8
1.0,0.0,21.3
1.0,3.08,15.38
1.0,0.0,11.3
2.0,0.0,12.8
2.0,0.0,22.8
1.0,0.0,14.8
1.0,1.56,9.36
1.0,1.82,9.12
1.0,3.95,19.75
1.0,1.7,8.5
4.0,3.16,18.96
2.0,1.16,6.96
2.0,2.85,17.15
1.0,5.7,28.5
1.0,0.0,12.8
1.0,2.0,14.8
1.0,0.0,51.42
1.0,3.56,21.36
1.0,1.0,8.3
1.0,1.0,15.3
1.0,0.0,25.8
1.0,3.99,17.29
1.0,4.45,22.25
1.0,0.0,8.3
1.0,2.0,29.8
1.0,0.0,8.8
1.0,3.46,20.76
0.0,1.0,14.8
0.0,0.0,14.3
0.0,0.0,12.3
2.0,2.0,18.8
1.0,4.0,31.8
1.0,3.0,15.8
2.0,1.45,8.75
1.0,0.0,14.8
1.0,1.0,14.8
1.0,2.2,11.0
1.0,1.56,9.36
1.0,1.56,9.36
1.0,2.94,12.74
1.0,2.0,25.3
1.0,0.0,12.3
1.0,1.0,11.3
1.0,3.2,17.0
1.0,0.0,8.8
1.0,3.08,15.38
1.0,1.0,15.3
1.0,0.96,5.76
1.0,1.55,9.35
1.0,3.15,18.95
1.0,0.0,11.3
1.0,2.05,12.35
4.0,0.0,8.8
3.0,2.46,14.76
2.0,0.0,15.8
1.0,2.7,14.0
1.0,0.0,14.8
2.0,1.0,11.3
5.0,0.0,12.8
2.0,3.3,16.6
1.0,0.0,16.8
1.0,4.1,31.4
1.0,0.0,10.3
5.0,0.0,25.8
5.0,3.76,22.56
1.0,0.0,13.8
1.0,1.7,10.0
1.0,0.0,6.3
3.0,2.7,19.0
3.0,1.0,9.3
3.0,4.0,30.3
3.0,3.16,18.96
2.0,1.96,11.76
3.0,2.56,15.36
1.0,2.36,14.16
1.0,3.39,14.69
1.0,2.26,13.56
1.0,1.0,13.8
1.0,2.56,15.36
1.0,0.0,10.8
1.0,0.0,23.3
1.0,1.95,11.75
1.0,5.0,17.3
1.0,2.76,16.56
1.0,2.85,17.15
1.0,3.7,18.5
3.0,0.0,23.3
1.0,0.0,13.8
1.0,0.0,16.8
1.0,5.0,38.8
1.0,3.46,20.76
1.0,1.76,10.56
1.0,3.85,23.15
1.0,1.26,7.56
1.0,4.0,30.3
3.0,1.7,14.0
2.0,1.76,10.56
2.0,2.0,14.3
1.0,2.76,16.56
1.0,1.0,14.3
1.0,2.0,25.8
1.0,0.78,8.58
1.0,4.89,21.19
1.0,3.56,21.36
1.0,0.0,12.8
1.0,2.95,14.75
1.0,0.0,10.8
1.0,0.0,11.3
1.0,1.76,10.56
1.0,6.66,39.96
1.0,2.2,11.0
1.0,2.45,12.25
1.0,0.0,11.8
1.0,1.5,13.3
1.0,2.7,13.5
5.0,1.56,9.36
5.0,1.96,11.76
5.0,1.66,9.96
5.0,0.0,39.3
1.0,0.0,11.3
2.0,2.34,10.14
2.0,0.0,6.8
2.0,1.15,6.95
1.0,1.25,7.55
1.0,4.36,26.16
1.0,6.26,37.56
1.0,2.96,17.76
2.0,0.0,10.3
1.0,2.45,10.75
1.0,2.2,11.0
2.0,0.0,10.3
2.0,2.75,16.55
1.0,2.06,12.36
1.0,1.66,9.96
1.0,0.0,8.3
1.0,8.18,49.1
3.0,2.3,11.6
1.0,2.56,15.36
1.0,2.46,14.76
1.0,1.76,10.56
1.0,1.0,17.3
1.0,4.56,27.36
1.0,3.0,14.3
2.0,2.75,16.55
1.0,0.0,5.8
1.0,2.82,14.12
1.0,1.0,21.3
2.0,2.95,14.75
2.0,0.0,23.3
2.0,2.2,11.0
1.0,3.0,27.3
0.0,0.0,17.8
3.0,1.5,12.3
2.0,2.0,34.3
1.0,2.46,14.76
1.0,2.56,15.36
1.0,0.0,8.8
1.0,0.0,8.3
1.0,0.0,12.3
1.0,0.0,8.3
1.0,1.46,8.76
2.0,0.0,7.8
1.0,0.0,11.3
1.0,1.65,9.95
3.0,1.85,11.15
2.0,2.75,12.05
1.0,4.16,24.96
1.0,1.66,9.96
1.0,2.58,12.88
2.0,1.0,12.8
1.0,4.16,24.96
1.0,1.0,16.8
6.0,3.58,17.88
1.0,1.85,11.15
1.0,1.2,16.0
1.0,1.0,10.3
2.0,3.96,23.76
2.0,1.0,9.3
1.0,1.96,11.76
2.0,1.13,12.43
2.0,3.56,21.36
1.0,0.0,13.3
1.0,0.0,12.8
5.0,1.86,11.16
5.0,3.16,18.96
1.0,0.0,8.3
1.0,0.0,8.3
0.0,4.55,27.35
2.0,3.2,16.0
1.0,1.96,11.76
1.0,0.0,19.3
2.0,3.0,26.8
5.0,1.76,10.56
1.0,2.46,14.76
1.0,2.0,12.3
1.0,0.0,14.3
1.0,2.0,17.3
2.0,1.0,11.3
1.0,2.46,14.76
1.0,3.84,16.64
1.0,1.57,7.87
1.0,3.06,18.36
1.0,1.0,10.3
1.0,1.46,8.76
1.0,1.7,14.0
2.0,2.0,11.3
1.0,1.0,8.3
1.0,2.46,14.76
1.0,1.66,9.96
1.0,0.0,8.8
1.0,2.16,12.96
1.0,1.49,9.79
1.0,1.73,19.03
2.0,3.36,20.16
2.0,2.36,14.16
2.0,5.64,24.44
4.0,2.82,14.12
4.0,2.56,15.36
5.0,1.0,8.8
1.0,1.3,14.1
2.0,5.0,14.8
2.0,4.96,29.76
1.0,3.16,18.96
1.0,1.56,9.36
5.0,3.46,20.76
5.0,1.96,11.76
1.0,3.75,22.55
2.0,10.0,71.42
1.0,1.46,8.76
1.0,0.0,35.8
1.0,2.0,22.3
1.0,0.0,12.8
2.0,1.7,13.0
1.0,1.17,8.97
1.0,2.65,15.95
1.0,0.0,7.3
1.0,0.0,17.3
3.0,0.0,21.8
1.0,0.2,15.0
1.0,4.0,25.3
2.0,0.82,17.12
1.0,4.5,31.3
1.0,3.66,21.96
1.0,0.0,40.8
1.0,2.2,11.0
1.0,2.55,12.85
1.0,2.55,12.85
1.0,2.0,11.3
1.0,0.0,9.8
1.0,2.05,10.35
1.0,0.0,16.3
2.0,0.0,-7.3
2.0,0.0,7.3
1.0,0.0,-5.8
1.0,0.0,5.8
1.0,0.0,5.8
2.0,0.0,13.3
3.0,3.16,18.96
3.0,2.7,13.5
3.0,4.06,24.36
1.0,4.95,24.75
1.0,2.66,15.96
2.0,0.0,18.3
6.0,0.0,8.8
6.0,3.56,21.36
6.0,2.86,17.16
3.0,0.0,33.3
1.0,1.95,11.75
1.0,0.0,8.8
1.0,0.0,15.8
2.0,0.0,18.3
2.0,0.0,9.3
2.0,2.06,12.36
1.0,1.0,13.8
2.0,1.0,12.3
2.0,0.0,15.3
2.0,2.05,12.35
1.0,1.0,12.3
1.0,0.0,7.8
2.0,2.46,14.76
1.0,1.96,11.76
1.0,0.0,8.3
3.0,2.86,17.16
3.0,3.84,16.64
1.0,0.0,27.3
1.0,1.66,9.96
1.0,1.38,15.18
1.0,0.0,8.8
2.0,2.46,14.76
3.0,0.0,20.3
1.0,0.0,11.3
1.0,3.36,20.16
1.0,4.06,24.36
1.0,2.0,17.3
1.0,2.15,12.95
1.0,5.55,33.35
2.0,3.39,14.69
1.0,0.0,18.3
1.0,3.86,23.16
1.0,1.96,11.76
1.0,2.0,11.8
1.0,2.0,17.3
1.0,5.86,35.16
1.0,0.0,12.8
1.0,1.84,14.14
1.0,2.36,14.16
4.0,0.0,-16.8
4.0,0.0,16.8
1.0,0.0,22.8
1.0,0.0,52.42
1.0,0.0,-7.8
1.0,0.0,7.8
1.0,3.66,21.96
1.0,2.56,15.36
1.0,0.0,46.3
3.0,0.0,8.8
1.0,0.0,12.3
1.0,1.5,14.3
1.0,1.66,9.96
2.0,1.0,8.3
1.0,1.0,11.3
1.0,3.05,18.35
1.0,0.0,23.3
1.0,0.0,7.8
1.0,1.2,14.0
1.0,2.7,13.5
1.0,1.2,9.0
1.0,0.0,10.3
1.0,0.0,15.3
1.0,2.26,13.56
1.0,0.0,19.8
1.0,1.0,10.8
2.0,2.16,12.96
1.0,5.45,23.75
1.0,1.0,13.8
1.0,2.9,12.7
2.0,4.46,26.76
2.0,12.28,73.7
1.0,2.45,12.25
1.0,3.45,17.25
1.0,0.0,8.8
1.0,1.45,8.75
1.0,1.75,10.55
1.0,7.1,30.9
1.0,2.86,17.16
1.0,2.56,15.36
1.0,2.5,21.3
2.0,2.05,12.35
2.0,2.05,12.35
2.0,1.75,15.05
2.0,7.45,37.25
1.0,1.86,11.16
1.0,1.0,11.3
1.0,1.33,14.63
5.0,2.0,12.8
5.0,0.0,9.8
5.0,2.58,12.88
5.0,2.26,13.56
1.0,3.84,16.64
1.0,4.0,17.3
1.0,1.84,14.14
1.0,2.16,12.96
1.0,0.0,57.3
1.0,0.0,23.3
1.0,1.25,7.55
1.0,0.0,5.8
2.0,0.0,12.3
1.0,0.0,18.3
2.0,2.06,12.36
2.0,0.0,15.3
2.0,1.25,8.55
1.0,0.0,35.3
1.0,0.0,11.3
2.0,2.15,12.95
1.0,1.75,10.55
3.0,2.95,17.75
1.0,2.46,14.76
1.0,1.0,10.8
1.0,0.0,8.8
1.0,2.0,19.3
1.0,2.0,13.3
1.0,0.0,10.8
1.0,3.26,19.56
1.0,5.26,31.56
1.0,3.06,18.36
2.0,2.06,12.36
1.0,1.55,9.35
0.0,2.75,18.05
1.0,1.0,9.8
1.0,2.86,17.16
1.0,5.19,22.49
2.0,3.0,21.8
2.0,3.46,20.76
2.0,4.96,29.76
1.0,0.01,10.81
1.0,1.66,9.96
1.0,0.0,12.3
1.0,6.06,36.36
1.0,2.16,12.96
1.0,0.0,44.1
6.0,2.36,14.16
6.0,2.26,13.56
2.0,0.0,14.8
3.0,0.0,42.42
1.0,0.0,12.8
1.0,2.08,10.38
1.0,1.0,11.8
1.0,2.56,15.36
1.0,0.0,50.3
1.0,5.7,28.5
1.0,2.36,14.16
1.0,1.62,12.42
1.0,0.0,15.8
1.0,2.7,13.0
1.0,0.0,10.3
1.0,0.0,13.8
1.0,5.06,30.36
1.0,3.0,11.8
1.0,0.0,31.3
2.0,0.0,28.8
1.0,0.0,8.3
1.0,0.0,11.3
1.0,1.36,8.16
1.0,1.96,11.76
1.0,2.08,10.38
1.0,2.76,16.56
1.0,4.74,20.54
1.0,0.0,8.3
5.0,0.0,13.3
5.0,1.76,10.56
5.0,7.29,31.59
1.0,2.95,17.75
1.0,0.0,26.3
1.0,3.06,18.36
1.0,5.46,32.76
1.0,3.26,19.56
1.0,2.46,14.76
1.0,2.05,10.35
2.0,2.85,17.15
1.0,0.0,11.3
1.0,1.78,19.58
1.0,0.0,6.3
