passenger_count,tip_amount,total_amount
"",0.0,16.71
"",0.0,53.05
"",0.0,51.16
"",0.0,49.67
"",0.0,32.5
"",0.0,50.12
"",9.06,49.56
"",11.6,67.38
"",0.0,50.51
"",0.0,29.45
"",0.0,59.79
"",0.0,21.64
"",0.0,59.31
"",0.0,26.67
"",1.0,35.63
"",3.32,16.65
"",15.74,80.15
"",0.0,48.82
"",0.0,41.24
"",0.0,23.51
"",0.0,55.2
"",3.0,35.86
"",0.0,33.96
"",0.0,41.84
"",0.0,42.54
"",10.1,55.03
"",0.0,57.58
"",0.0,53.49
"",11.32,65.98
"",11.41,76.2
"",0.0,55.46
"",0.0,42.96
"",3.15,29.94
"",0.0,64.7
"",0.0,21.63
"",0.0,35.86
"",0.0,48.82
"",0.0,21.14
"",0.0,40.7
"",0.0,57.35
"",9.32,73.44
"",0.0,67.56
"",0.0,44.1
"",3.17,18.32
"",0.0,50.12
"",0.0,26.26
"",0.0,12.98
"",2.1,18.1
"",0.0,67.38
"",5.98,33.68
"",3.17,30.95
"",0.0,26.36
"",0.0,19.72
"",0.0,29.36
"",1.65,14.65
"",2.33,15.93
"",0.0,55.46
"",0.0,41.99
"",4.97,52.89
"",4.0,36.4
"",0.0,34.04
"",4.05,29.12
"",0.0,27.11
"",2.63,12.93
"",4.27,46.1
"",3.99,22.87
"",9.03,52.54
"",3.62,20.85
"",0.0,37.9
"",0.0,41.79
"",0.0,21.31
"",2.64,19.17
"",0.0,68.1
"",12.0,30.76
"",2.2,16.28
"",5.05,27.52
"",2.46,14.38
"",0.0,15.06
"",2.95,29.07
"",0.0,43.0
"",0.0,34.04
"",3.08,18.49
"",0.0,24.31
"",0.0,23.12
"",0.0,37.13
"",0.0,30.74
"",7.73,31.9
"",10.0,55.89
"",0.0,17.18
"",3.7,57.3
"",0.0,38.84
"",2.94,16.78
"",0.0,48.51
"",3.0,28.0
"",0.0,33.44
"",0.0,36.01
"",0.0,36.88
"",2.4,14.07
"",0.0,55.18
"",2.0,22.53
"",0.0,28.46
"",0.0,17.86
"",6.0,38.0
"",10.09,59.09
"",0.0,73.5
"",3.94,21.68
"",0.0,31.95
"",0.0,25.84
"",0.0,43.37
"",0.0,32.11
"",4.05,29.18
"",3.28,18.94
"",0.0,46.1
"",0.0,31.31
"",0.0,25.5
"",0.0,35.82
"",0.0,27.91
"",4.0,40.11
"",0.0,23.39
"",10.72,62.36
"",0.0,37.67
"",0.0,36.11
"",0.0,26.88
"",0.0,38.86
"",0.0,28.97
"",1.0,25.3
"",0.0,56.21
"",0.0,61.94
"",2.71,19.9
"",0.0,20.74
"",0.0,50.78
"",0.0,15.93
"",2.12,9.92
