passenger_count,tip_amount,total_amount
2.0,2.75,16.55
2.0,1.25,11.55
2.0,3.46,20.76
1.0,0.98,10.78
1.0,3.8,19.1
1.0,2.0,10.3
1.0,0.0,13.8
1.0,2.36,14.16
1.0,0.0,9.3
1.0,0.0,11.8
1.0,2.06,12.36
1.0,1.66,9.96
1.0,0.0,10.3
1.0,0.0,12.3
1.0,2.0,16.8
0.0,0.0,14.8
0.0,6.8,29.6
1.0,3.26,19.56
1.0,2.45,12.25
1.0,1.0,18.3
1.0,3.0,27.8
5.0,1.0,16.8
1.0,0.0,20.3
2.0,2.46,14.76
2.0,4.08,20.38
2.0,2.34,10.14
1.0,3.05,18.35
2.0,4.0,17.8
1.0,8.35,50.27
1.0,0.0,36.92
1.0,3.58,17.88
1.0,2.56,15.36
1.0,0.0,10.3
1.0,0.0,14.8
1.0,0.0,13.8
1.0,2.76,16.56
1.0,2.36,14.16
1.0,0.0,9.8
1.0,2.0,17.3
1.0,0.0,8.8
1.0,0.0,10.8
1.0,0.0,11.3
2.0,0.0,13.8
1.0,2.44,18.74
1.0,5.36,32.16
1.0,1.96,11.76
1.0,1.46,8.76
1.0,0.0,15.8
1.0,0.0,8.3
1.0,0.7,9.0
1.0,1.7,13.0
2.0,0.0,19.3
1.0,0.0,10.3
1.0,0.0,43.3
1.0,8.25,49.67
1.0,0.0,22.3
1.0,0.0,12.3
1.0,1.36,8.16
1.0,2.36,14.16
1.0,0.0,7.8
1.0,2.16,12.96
1.0,0.0,22.3
0.0,2.05,12.35
1.0,1.96,11.76
1.0,0.0,23.3
3.0,4.16,24.96
1.0,3.16,18.96
1.0,5.0,23.8
1.0,2.76,16.56
0.0,0.0,12.8
0.0,1.0,10.3
1.0,2.95,17.75
1.0,0.0,11.3
2.0,2.66,15.96
2.0,3.5,20.8
1.0,1.75,10.55
1.0,1.0,9.8
1.0,0.0,9.3
1.0,0.0,7.8
1.0,0.0,14.8
1.0,0.0,9.8
1.0,0.0,14.8
1.0,3.95,17.25
1.0,4.1,17.9
1.0,1.95,11.75
2.0,2.75,16.55
1.0,2.15,12.95
1.0,0.0,11.8
1.0,0.0,10.3
1.0,1.86,11.16
1.0,0.0,12.8
1.0,2.25,13.55
1.0,2.16,12.96
2.0,4.0,24.8
2.0,0.0,10.3
1.0,2.94,12.74
0.0,0.0,8.3
1.0,2.0,17.3
1.0,2.08,10.38
1.0,3.06,18.36
1.0,0.0,8.3
1.0,3.25,19.55
1.0,1.0,14.8
2.0,3.45,20.75
1.0,2.26,13.56
1.0,1.5,9.8
1.0,0.0,10.3
6.0,4.56,27.36
6.0,2.45,12.25
1.0,6.76,40.56
1.0,2.0,13.8
1.0,2.0,11.3
1.0,5.19,22.49
3.0,1.8,16.6
4.0,0.0,9.3
3.0,2.0,22.3
1.0,0.0,9.3
1.0,2.0,17.8
1.0,2.46,14.76
1.0,1.96,11.76
1.0,2.06,12.36
1.0,2.56,15.36
1.0,0.0,5.3
