passenger_count,tip_amount,total_amount
1.0,2.86,17.16
1.0,2.26,13.56
1.0,4.46,26.76
1.0,5.7,51.0
1.0,1.0,9.8
1.0,5.75,25.05
1.0,1.0,11.8
2.0,3.0,13.3
1.0,2.7,16.0
1.0,1.0,9.8
1.0,5.7,28.5
1.0,10.0,46.85
2.0,0.0,34.55
3.0,2.86,17.16
2.0,3.95,19.75
1.0,2.0,12.3
1.0,2.86,17.16
1.0,2.06,12.36
1.0,1.7,13.5
1.0,0.0,12.3
1.0,2.96,17.76
1.0,1.83,20.13
1.0,0.89,18.69
1.0,2.94,12.74
1.0,2.76,16.56
1.0,8.0,46.85
1.0,2.16,12.96
1.0,2.76,16.56
1.0,2.96,17.76
2.0,3.36,20.16
1.0,2.06,12.36
1.0,0.0,19.3
1.0,4.46,26.76
3.0,1.76,10.56
2.0,0.0,7.3
4.0,3.0,16.8
3.0,1.0,12.8
3.0,3.06,18.36
2.0,0.0,8.8
1.0,2.0,16.3
1.0,0.0,29.8
1.0,0.0,8.3
1.0,0.0,10.3
1.0,4.06,24.36
1.0,0.0,11.8
1.0,6.08,30.38
1.0,2.86,17.16
1.0,2.26,13.56
1.0,1.66,9.96
3.0,2.0,15.3
2.0,0.0,14.3
1.0,0.0,12.8
1.0,2.55,15.35
1.0,2.05,12.35
1.0,2.85,17.15
1.0,2.95,14.75
3.0,3.45,20.75
1.0,3.25,19.55
1.0,1.85,11.15
1.0,1.11,19.91
2.0,0.0,8.8
2.0,2.55,15.35
1.0,2.36,14.16
1.0,2.36,14.16
1.0,3.0,18.3
1.0,4.16,24.96
3.0,0.0,12.8
2.0,1.0,8.8
1.0,1.0,9.3
1.0,10.11,60.66
1.0,3.16,18.96
1.0,1.25,9.05
2.0,11.06,66.36
2.0,2.0,16.3
1.0,2.2,11.0
3.0,1.5,11.3
1.0,1.84,14.14
1.0,0.0,8.3
2.0,9.0,55.1
1.0,0.0,12.3
1.0,0.0,8.3
1.0,0.0,7.8
1.0,6.7,33.5
1.0,5.55,19.1
1.0,6.86,41.16
1.0,6.95,34.75
1.0,3.36,20.16
1.0,3.26,19.56
0.0,3.0,18.3
0.0,1.85,11.15
0.0,4.05,20.35
1.0,0.0,20.3
1.0,3.45,20.75
2.0,0.0,9.8
0.0,3.95,23.75
0.0,0.0,9.3
1.0,1.62,12.42
1.0,0.0,15.3
1.0,3.0,22.8
1.0,2.5,24.3
1.0,0.0,12.3
1.0,2.07,15.87
1.0,1.32,10.12
1.0,2.46,14.76
1.0,0.0,10.3
1.0,3.45,17.25
1.0,1.0,11.3
2.0,2.26,13.56
3.0,5.86,35.16
1.0,2.06,12.36
1.0,2.06,12.36
2.0,12.37,75.47
1.0,2.76,16.56
1.0,2.06,12.36
1.0,5.0,35.8
2.0,2.25,13.55
1.0,2.95,17.75
2.0,2.8,14.1
1.0,1.95,11.75
2.0,3.75,22.55
1.0,3.0,23.8
3.0,0.0,53.3
1.0,1.95,11.75
1.0,1.0,9.3
1.0,0.0,236.1
2.0,5.0,17.8
1.0,7.57,46.67
1.0,0.0,16.8
5.0,0.0,26.8
6.0,0.08,10.38
5.0,3.86,23.16
5.0,0.0,27.3
1.0,0.0,24.8
2.0,1.76,10.56
0.0,3.8,19.1
0.0,4.85,29.15
2.0,1.0,10.3
2.0,4.36,26.16
2.0,1.96,11.76
1.0,0.0,14.3
2.0,2.95,14.75
1.0,2.55,15.35
1.0,0.0,36.05
0.0,0.0,22.3
0.0,0.88,9.68
3.0,0.0,63.1
1.0,1.75,10.55
2.0,1.67,10.97
1.0,2.35,14.15
1.0,0.0,7.3
1.0,1.0,10.3
1.0,3.16,18.96
1.0,6.0,19.8
1.0,3.05,18.35
1.0,3.0,12.3
1.0,1.5,10.3
1.0,1.76,10.56
1.0,2.05,12.35
4.0,3.05,15.35
2.0,1.95,11.75
1.0,2.3,10.1
1.0,0.0,8.3
1.0,3.39,14.69
1.0,3.08,15.38
1.0,1.96,11.76
1.0,0.0,18.3
1.0,4.46,26.76
0.0,2.36,14.16
0.0,5.35,32.15
4.0,5.2,21.0
1.0,0.0,8.8
1.0,1.5,11.8
3.0,0.0,8.8
4.0,0.0,19.8
2.0,0.0,30.05
1.0,0.0,22.0
1.0,1.96,11.76
1.0,2.25,13.55
1.0,0.0,12.8
1.0,0.0,20.8
2.0,3.85,23.15
1.0,6.05,26.35
1.0,2.06,12.36
1.0,1.5,24.8
3.0,2.06,12.36
4.0,1.7,12.0
4.0,1.46,8.76
3.0,1.66,9.96
4.0,2.56,15.36
1.0,0.0,33.0
2.0,0.0,28.05
1.0,0.0,20.55
2.0,2.76,16.56
1.0,0.0,12.3
1.0,0.0,19.8
1.0,0.0,7.3
1.0,0.0,8.8
1.0,2.0,16.8
1.0,0.0,13.3
1.0,1.84,14.14
1.0,0.0,53.3
1.0,0.0,33.0
2.0,0.0,28.55
1.0,4.5,29.85
1.0,3.95,17.25
2.0,3.86,23.16
3.0,1.84,14.14
3.0,3.16,18.96
6.0,1.03,11.33
1.0,2.16,12.96
1.0,3.36,20.16
1.0,0.7,10.0
1.0,3.2,16.0
1.0,0.0,7.8
2.0,2.85,17.15
1.0,2.79,12.09
1.0,1.96,11.76
1.0,5.79,25.09
1.0,0.0,14.8
3.0,0.0,9.8
2.0,2.58,12.88
3.0,3.86,23.16
3.0,0.0,7.8
3.0,1.86,11.16
2.0,0.0,8.8
1.0,2.45,14.75
1.0,2.2,11.0
1.0,1.65,9.95
1.0,2.0,12.8
2.0,4.05,24.35
1.0,5.25,31.55
1.0,2.0,14.8
1.0,0.0,27.8
1.0,15.78,78.88
1.0,1.96,11.76
1.0,9.58,47.88
1.0,2.55,15.35
1.0,0.0,16.3
1.0,0.0,8.3
1.0,1.86,11.16
4.0,0.0,15.8
1.0,2.15,12.95
2.0,0.0,8.8
2.0,2.26,13.56
2.0,1.7,13.0
2.0,8.19,35.49
1.0,0.0,55.0
1.0,1.88,15.68
1.0,0.0,10.3
1.0,1.46,8.76
1.0,3.32,16.62
1.0,0.0,6.3
1.0,9.0,39.8
1.0,3.56,21.36
1.0,2.21,14.51
1.0,11.4,49.45
2.0,3.99,17.29
1.0,0.0,8.8
2.0,1.0,13.8
1.0,2.0,15.8
2.0,4.86,29.16
1.0,5.49,23.79
1.0,0.0,9.8
1.0,5.05,25.35
1.0,3.26,19.56
1.0,3.36,20.16
1.0,0.0,9.3
4.0,3.16,18.96
0.0,0.0,21.05
2.0,1.8,11.1
1.0,1.76,10.56
1.0,9.55,47.85
1.0,2.0,11.3
2.0,2.75,16.55
2.0,1.0,10.8
1.0,0.0,11.8
1.0,2.95,17.75
1.0,0.0,9.3
1.0,3.06,18.36
1.0,1.96,11.76
1.0,1.53,16.83
1.0,2.3,11.6
2.0,2.2,11.0
3.0,0.0,7.3
1.0,1.0,14.3
1.0,1.95,9.75
1.0,2.33,11.63
1.0,2.56,15.36
1.0,5.0,40.55
1.0,0.0,41.55
1.0,3.65,21.95
3.0,2.05,12.35
1.0,6.45,32.25
2.0,1.85,11.15
2.0,0.75,10.05
2.0,1.85,11.15
1.0,2.79,12.09
1.0,0.0,9.3
4.0,0.0,63.1
1.0,1.0,9.8
1.0,1.0,9.8
