passenger_count,tip_amount,total_amount
0.0,8.55,42.85
1.0,1.95,11.75
1.0,2.45,10.75
1.0,2.0,9.8
1.0,1.5,14.8
1.0,2.0,17.3
1.0,0.0,63.42
1.0,1.76,10.56
1.0,2.0,14.3
1.0,3.8,16.6
1.0,2.08,10.38
1.0,2.06,12.36
1.0,0.0,12.3
1.0,3.45,17.25
1.0,7.5,16.3
1.0,1.85,11.15
1.0,2.48,27.28
1.0,1.5,11.3
1.0,1.66,9.96
1.0,2.37,18.17
1.0,0.0,16.3
1.0,1.0,12.3
1.0,0.0,19.8
2.0,0.0,10.8
1.0,3.26,19.56
1.0,1.7,13.0
1.0,2.75,16.55
1.0,5.46,32.76
1.0,1.86,11.16
1.0,3.45,20.75
1.0,0.0,12.8
1.0,3.76,22.56
2.0,2.26,13.56
2.0,1.0,23.3
1.0,0.0,16.3
1.0,0.0,16.8
1.0,0.0,43.12
0.0,1.75,10.55
0.0,0.0,10.8
5.0,1.96,11.76
5.0,2.0,15.3
1.0,2.08,10.38
1.0,3.56,21.36
1.0,0.0,30.3
2.0,1.0,31.3
1.0,3.05,15.35
2.0,0.0,13.8
1.0,2.36,14.16
1.0,0.0,11.3
1.0,2.79,12.09
1.0,2.2,11.0
1.0,3.3,16.6
1.0,2.75,16.55
1.0,5.3,26.6
1.0,0.0,36.3
1.0,1.06,9.86
1.0,0.0,10.3
1.0,2.26,13.56
1.0,0.0,9.8
1.0,2.25,13.55
1.0,1.5,11.3
1.0,3.26,19.56
1.0,1.66,9.96
2.0,2.85,17.15
1.0,0.0,12.3
2.0,5.76,34.56
1.0,0.0,5.8
1.0,4.0,13.3
1.0,3.45,17.25
1.0,1.5,11.8
1.0,3.26,19.56
2.0,0.0,13.8
2.0,1.96,11.76
1.0,0.0,12.3
1.0,0.0,12.8
1.0,2.3,15.1
1.0,0.1,15.4
1.0,2.0,42.8
1.0,3.06,18.36
1.0,1.03,11.33
1.0,1.0,13.3
2.0,0.0,15.8
2.0,1.86,11.16
1.0,2.16,12.96
1.0,3.09,13.39
1.0,4.45,22.25
1.0,2.15,12.95
1.0,4.45,26.75
1.0,4.45,22.25
1.0,3.24,14.04
1.0,0.0,11.8
1.0,4.32,21.62
1.0,3.36,20.16
1.0,5.55,33.35
1.0,2.0,17.8
1.0,0.0,15.8
2.0,0.0,26.3
1.0,12.95,64.75
1.0,1.0,10.3
1.0,1.0,13.3
1.0,2.5,17.8
2.0,4.0,67.42
1.0,0.0,11.3
1.0,6.46,38.76
1.0,6.65,39.95
1.0,4.35,26.15
1.0,1.0,12.8
1.0,2.25,19.55
1.0,3.0,13.8
1.0,1.4,10.7
1.0,0.0,15.8
1.0,0.01,14.81
1.0,2.32,11.62
1.0,1.5,13.8
1.0,2.16,12.96
1.0,2.0,13.8
1.0,1.5,15.3
1.0,0.0,9.3
1.0,2.6,19.9
4.0,2.06,12.36
4.0,7.68,46.1
1.0,1.75,10.55
1.0,2.07,15.87
2.0,2.66,15.96
2.0,2.16,12.96
2.0,2.0,16.3
1.0,2.86,17.16
1.0,3.58,17.88
