passenger_count,tip_amount,total_amount
1.0,1.5,15.8
1.0,2.96,17.76
1.0,2.32,11.62
1.0,2.0,8.3
1.0,2.0,10.8
1.0,1.38,16.68
1.0,0.0,7.8
1.0,3.05,15.35
2.0,1.95,11.75
1.0,1.0,14.3
1.0,2.06,12.36
1.0,1.0,18.3
1.0,0.0,25.8
1.0,0.0,7.8
1.0,0.0,23.8
1.0,1.66,9.96
1.0,0.0,9.3
1.0,3.06,18.36
1.0,8.0,59.6
2.0,2.55,15.35
1.0,2.55,15.35
1.0,0.0,12.3
1.0,3.08,15.38
2.0,1.66,9.96
1.0,2.06,12.36
1.0,0.0,14.3
1.0,4.0,50.92
1.0,0.0,15.8
1.0,1.76,10.56
1.0,2.5,26.8
1.0,2.76,16.56
1.0,1.2,15.5
1.0,2.0,16.8
1.0,3.38,22.18
0.0,2.0,18.3
1.0,0.5,10.8
1.0,0.0,10.8
6.0,0.0,9.8
6.0,2.56,15.36
6.0,0.0,12.3
1.0,1.75,10.55
1.0,0.0,7.8
1.0,0.0,14.3
2.0,0.0,-10.3
2.0,0.0,10.3
1.0,3.06,18.36
1.0,3.69,15.99
1.0,0.0,12.8
1.0,3.05,15.35
1.0,0.0,14.8
1.0,3.66,21.96
1.0,0.0,20.3
3.0,1.5,12.8
1.0,3.58,17.88
1.0,2.0,18.8
1.0,0.0,17.8
1.0,3.09,13.39
1.0,2.66,15.96
1.0,2.0,13.8
1.0,0.0,10.8
1.0,2.26,13.56
1.0,3.05,15.35
1.0,8.05,40.35
1.0,1.95,11.75
1.0,0.0,53.12
2.0,0.0,49.8
1.0,1.0,10.3
1.0,0.0,6.8
1.0,0.0,8.8
1.0,7.74,33.54
2.0,8.35,50.27
1.0,3.45,20.75
1.0,3.05,13.35
1.0,1.86,11.16
1.0,2.0,9.8
1.0,3.8,42.1
1.0,1.0,15.3
1.0,2.67,20.47
1.0,1.4,10.7
2.0,2.0,22.8
1.0,2.35,14.15
1.0,2.65,15.95
1.0,5.0,27.8
1.0,7.85,47.27
1.0,5.45,27.25
1.0,2.26,13.56
1.0,1.86,11.16
