passenger_count,tip_amount,total_amount
1.0,1.86,11.16
1.0,2.0,12.3
1.0,0.0,70.3
5.0,1.86,11.16
5.0,2.56,15.36
5.0,0.0,14.8
1.0,2.66,15.96
1.0,2.66,15.96
1.0,2.76,16.56
2.0,2.2,11.0
2.0,4.06,24.36
1.0,0.0,13.3
1.0,2.46,14.76
1.0,0.0,24.3
4.0,3.7,18.5
1.0,2.0,13.8
1.0,1.76,10.56
1.0,5.08,25.38
1.0,0.0,9.8
1.0,3.09,13.39
1.0,2.7,13.5
1.0,0.0,15.3
1.0,0.0,7.3
1.0,2.05,12.35
1.0,10.6,46.02
1.0,9.69,41.99
0.0,1.45,8.75
1.0,1.0,8.3
1.0,2.06,12.36
2.0,2.95,17.75
1.0,0.0,15.3
2.0,3.06,18.36
1.0,0.0,9.3
1.0,0.0,37.3
1.0,1.8,9.1
2.0,2.3,10.1
1.0,1.86,11.16
2.0,0.0,8.3
2.0,2.36,14.16
2.0,0.0,15.3
2.0,2.06,12.36
1.0,3.54,15.34
1.0,2.06,12.36
1.0,0.0,7.3
1.0,0.0,7.8
1.0,2.33,11.63
1.0,0.0,8.3
1.0,0.0,15.3
1.0,1.0,11.8
1.0,0.0,11.3
1.0,3.0,17.3
5.0,3.86,23.16
0.0,2.0,13.8
0.0,1.95,11.75
4.0,1.66,9.96
5.0,6.06,36.36
1.0,0.0,29.8
1.0,0.0,8.3
1.0,0.0,8.8
2.0,3.06,18.36
1.0,3.16,18.96
1.0,7.28,43.7
2.0,5.08,25.38
1.0,2.06,12.36
1.0,4.83,24.13
1.0,6.99,30.29
1.0,2.46,14.76
1.0,0.0,11.3
1.0,3.66,21.96
1.0,0.0,12.8
1.0,7.56,45.36
1.0,5.2,28.0
1.0,3.3,16.6
2.0,3.95,19.75
1.0,0.0,8.8
1.0,1.46,8.76
1.0,1.2,10.0
1.0,5.08,25.38
1.0,2.0,11.8
1.0,0.0,39.8
1.0,0.0,9.3
1.0,2.05,10.35
1.0,2.7,13.5
1.0,1.0,9.3
1.0,1.76,10.56
1.0,2.26,13.56
5.0,3.82,19.12
5.0,0.0,20.8
2.0,0.0,9.3
0.0,3.45,20.75
0.0,1.95,11.75
0.0,3.65,15.95
1.0,1.92,14.72
1.0,3.2,14.0
1.0,0.0,14.8
1.0,0.0,9.8
1.0,1.96,11.76
3.0,2.25,13.55
1.0,2.06,12.36
1.0,1.0,10.3
1.0,4.26,25.56
1.0,0.0,14.3
1.0,4.06,24.36
1.0,8.15,35.45
0.0,2.55,15.35
1.0,4.25,25.55
1.0,5.65,33.95
2.0,2.0,33.8
0.0,2.25,13.55
1.0,15.9,95.45
1.0,3.09,13.39
1.0,2.86,17.16
1.0,7.98,47.9
1.0,2.7,13.5
1.0,2.16,12.96
1.0,0.0,10.3
1.0,1.77,13.57
1.0,2.03,22.33
1.0,12.25,73.67
1.0,0.0,18.3
1.0,1.55,9.35
1.0,2.95,17.75
1.0,0.0,27.3
1.0,7.89,34.19
1.0,0.0,11.8
2.0,2.0,9.8
2.0,2.0,20.3
1.0,0.0,12.3
1.0,3.0,21.3
1.0,0.0,7.3
1.0,1.0,8.3
1.0,0.0,17.8
2.0,0.0,8.3
2.0,1.5,14.3
1.0,1.5,12.3
1.0,0.0,10.8
1.0,2.45,14.75
1.0,1.75,10.55
1.0,2.55,12.85
1.0,5.56,33.36
1.0,2.08,10.38
1.0,0.0,12.8
1.0,1.5,12.3
1.0,2.79,12.09
1.0,11.78,70.7
1.0,0.0,33.0
1.0,7.35,44.15
1.0,0.0,8.8
1.0,0.0,14.3
1.0,2.16,12.96
1.0,1.0,9.3
1.0,0.0,10.3
1.0,3.95,19.75
1.0,2.0,14.8
1.0,1.96,11.76
1.0,1.95,9.75
1.0,2.96,17.76
2.0,1.0,10.8
1.0,3.16,18.96
1.0,1.56,9.36
1.0,1.46,8.76
1.0,0.0,9.8
1.0,1.0,15.3
1.0,2.15,9.45
1.0,1.55,9.35
1.0,1.26,7.56
1.0,12.25,73.67
1.0,2.96,17.76
1.0,2.36,14.16
1.0,0.0,17.3
1.0,2.65,15.95
1.0,1.0,32.42
6.0,0.0,13.3
6.0,0.0,17.3
1.0,0.0,57.3
