passenger_count,tip_amount,total_amount
5.0,5.04,21.84
2.0,2.06,12.36
1.0,0.0,33.8
1.0,0.0,32.8
1.0,8.05,48.35
2.0,4.7,17.0
1.0,0.0,13.8
1.0,4.95,24.75
1.0,0.02,25.32
5.0,10.0,111.3
1.0,2.15,12.95
1.0,0.0,9.3
1.0,0.0,24.3
2.0,0.0,31.3
1.0,6.06,36.36
2.0,0.0,15.8
1.0,3.35,20.15
1.0,4.0,45.92
1.0,0.0,9.8
1.0,0.0,28.3
1.0,4.06,24.36
1.0,0.0,9.8
1.0,0.0,14.3
1.0,0.0,5.8
3.0,3.58,39.38
1.0,0.0,9.8
1.0,0.0,30.3
1.0,0.0,39.8
1.0,0.0,23.0
3.0,0.0,5.3
1.0,3.76,22.56
1.0,1.5,17.8
1.0,1.75,10.55
1.0,4.0,46.3
1.0,2.46,14.76
1.0,0.0,10.8
1.0,2.15,12.95
1.0,0.0,22.8
1.0,0.0,17.3
1.0,2.45,12.25
1.0,2.0,26.8
1.0,0.0,6.8
1.0,2.66,15.96
1.0,4.56,27.36
1.0,1.56,9.36
1.0,1.56,9.36
1.0,0.0,11.8
1.0,0.0,16.3
1.0,0.0,8.8
1.0,7.25,43.67
1.0,0.0,22.3
1.0,0.0,16.8
1.0,8.8,31.1
1.0,0.0,4.8
1.0,0.0,8.3
1.0,0.0,45.3
1.0,4.25,25.55
1.0,0.0,26.3
1.0,0.0,15.8
1.0,0.0,14.8
1.0,2.55,15.35
2.0,11.16,66.96
1.0,0.0,10.8
1.0,4.82,24.12
1.0,0.0,11.8
1.0,1.53,16.83
1.0,5.76,34.56
1.0,0.0,41.8
1.0,7.92,60.72
2.0,0.0,9.3
1.0,5.0,66.42
2.0,2.86,17.16
2.0,4.56,27.36
1.0,3.26,19.56
2.0,9.21,70.63
2.0,0.0,13.8
5.0,1.96,11.76
5.0,0.0,11.8
1.0,2.16,12.96
1.0,2.0,17.8
1.0,5.0,14.3
1.0,4.0,28.8
1.0,1.2,20.0
1.0,0.08,9.38
1.0,1.76,10.56
1.0,7.2,36.0
1.0,1.0,13.8
2.0,0.0,34.8
1.0,2.26,13.56
1.0,1.86,11.16
1.0,0.0,12.8
1.0,3.82,19.12
1.0,0.0,34.3
5.0,2.0,12.8
5.0,6.76,40.56
2.0,0.0,61.42
1.0,2.49,10.79
1.0,0.0,27.0
2.0,4.26,25.56
2.0,4.26,25.56
1.0,2.0,21.3
1.0,0.0,19.8
1.0,0.0,10.3
1.0,0.0,22.8
1.0,3.0,12.3
1.0,8.45,36.75
3.0,2.95,14.75
3.0,0.0,25.3
1.0,0.0,25.8
3.0,2.82,14.12
6.0,4.76,28.56
2.0,11.78,70.7
1.0,0.0,50.92
0.0,2.5,16.3
1.0,2.95,17.75
1.0,2.7,13.5
0.0,0.0,9.3
1.0,1.85,11.15
1.0,5.16,30.96
1.0,0.0,32.3
1.0,5.0,51.8
1.0,5.26,31.56
1.0,1.56,9.36
2.0,0.0,10.8
1.0,2.5,14.8
1.0,0.0,32.92
1.0,0.0,5.8
1.0,0.0,9.3
2.0,2.15,12.95
2.0,5.0,43.8
6.0,2.06,12.36
5.0,0.0,12.3
5.0,0.0,23.3
1.0,2.95,14.75
1.0,0.0,12.3
1.0,1.95,11.75
1.0,5.0,39.8
1.0,3.26,19.56
1.0,0.0,26.8
1.0,2.06,12.36
1.0,0.0,10.8
6.0,2.2,11.0
6.0,0.0,16.8
1.0,1.96,11.76
1.0,9.76,58.56
1.0,0.0,19.3
1.0,0.0,29.3
1.0,2.56,15.36
1.0,1.2,15.0
0.0,5.15,30.95
1.0,5.0,25.8
1.0,2.25,13.55
2.0,12.25,73.67
1.0,5.0,19.3
3.0,0.2,10.0
2.0,0.0,9.3
3.0,0.0,7.3
2.0,0.0,8.8
3.0,5.76,34.56
1.0,2.26,13.56
1.0,1.17,8.97
1.0,0.0,28.3
1.0,1.96,11.76
1.0,1.56,9.36
1.0,0.0,23.8
2.0,0.0,14.8
1.0,4.75,28.55
1.0,0.0,9.3
1.0,0.0,8.3
1.0,0.2,6.0
1.0,2.0,15.8
1.0,3.76,22.56
1.0,2.9,12.7
1.0,1.5,10.8
1.0,5.0,49.8
1.0,0.0,7.8
2.0,5.2,31.0
1.0,5.7,28.5
1.0,3.92,25.72
1.0,0.0,29.8
5.0,0.0,17.8
1.0,3.16,18.96
5.0,2.16,12.96
5.0,2.66,15.96
1.0,2.8,41.6
1.0,2.26,13.56
1.0,2.06,12.36
1.0,3.36,20.16
1.0,0.0,21.8
1.0,0.0,22.3
1.0,0.0,9.3
2.0,1.4,10.7
1.0,0.0,16.3
1.0,0.0,40.3
1.0,0.0,7.3
1.0,2.2,11.0
2.0,0.0,34.8
1.0,10.0,71.42
4.0,2.76,16.56
1.0,0.0,8.8
1.0,0.0,9.3
1.0,3.2,16.0
1.0,1.76,10.56
1.0,2.96,17.76
1.0,0.0,15.8
1.0,12.28,73.7
0.0,2.45,14.75
4.0,2.06,12.36
4.0,3.06,18.36
3.0,3.54,15.34
2.0,0.0,13.3
2.0,1.0,24.3
1.0,3.36,20.16
2.0,8.75,52.55
2.0,2.36,14.16
1.0,3.35,20.15
1.0,2.32,11.62
1.0,0.0,10.8
1.0,2.26,13.56
1.0,0.0,6.8
6.0,1.46,8.76
4.0,0.0,12.3
1.0,6.45,38.75
1.0,0.0,11.3
1.0,0.0,36.8
1.0,4.16,24.96
1.0,0.0,20.8
1.0,0.0,11.3
1.0,6.86,41.16
1.0,0.0,32.3
3.0,10.0,43.3
1.0,1.23,13.53
1.0,0.0,13.3
1.0,1.0,12.8
1.0,2.58,12.88
3.0,0.0,12.8
3.0,3.0,29.8
1.0,5.3,26.6
1.0,1.0,13.8
1.0,0.0,10.3
1.0,5.08,25.38
1.0,6.45,32.25
1.0,0.0,9.3
1.0,3.7,18.5
1.0,3.32,16.62
1.0,2.49,10.79
2.0,0.0,25.8
1.0,0.0,9.3
1.0,3.56,23.31
1.0,0.0,23.3
1.0,2.06,12.36
1.0,2.56,15.36
1.0,25.03,150.2
2.0,0.0,23.3
3.0,1.0,8.3
4.0,0.0,12.3
1.0,0.01,9.81
1.0,0.0,24.8
1.0,2.0,60.92
1.0,5.0,50.3
1.0,2.96,17.76
1.0,0.0,10.3
1.0,1.96,11.76
1.0,30.0,55.3
1.0,0.0,16.8
1.0,3.0,29.8
2.0,0.0,24.8
1.0,0.0,12.5
1.0,0.0,9.8
1.0,8.0,69.42
1.0,1.0,12.8
1.0,6.09,26.39
1.0,0.0,9.8
1.0,1.4,10.7
1.0,10.52,63.11
4.0,16.65,83.45
2.0,5.0,180.8
1.0,0.0,7.8
1.0,3.96,23.76
1.0,4.0,32.8
1.0,0.0,-18.8
1.0,0.0,18.8
1.0,2.0,13.3
1.0,2.15,12.95
1.0,5.05,30.35
1.0,2.96,17.76
1.0,0.0,11.3
1.0,0.0,18.8
1.0,3.45,17.25
1.0,0.0,38.8
1.0,4.26,25.56
2.0,6.05,36.47
1.0,1.0,9.8
1.0,0.04,41.84
1.0,5.76,34.56
1.0,2.0,38.42
1.0,0.0,8.8
1.0,9.0,25.8
1.0,2.55,12.85
1.0,7.0,60.8
1.0,12.25,73.67
1.0,0.0,9.8
1.0,2.76,16.56
2.0,0.0,25.8
2.0,0.0,12.8
1.0,6.58,28.5
1.0,3.69,15.99
1.0,0.0,50.8
1.0,4.58,22.88
1.0,0.0,12.8
1.0,0.0,10.8
2.0,4.74,20.54
1.0,0.0,17.3
3.0,9.0,64.3
3.0,5.0,41.8
1.0,0.0,78.8
1.0,9.58,57.5
1.0,0.0,39.3
1.0,0.0,11.3
1.0,2.16,12.96
1.0,0.0,40.3
1.0,0.0,22.3
1.0,0.0,4.3
1.0,25.0,86.42
1.0,0.0,-7.3
1.0,0.0,7.3
1.0,1.66,9.96
4.0,0.0,9.3
1.0,13.8,69.1
1.0,0.0,13.3
1.0,0.0,6.3
1.0,0.7,10.0
1.0,0.0,55.3
1.0,12.28,73.7
1.0,0.0,48.3
2.0,0.0,43.8
1.0,0.0,14.3
2.0,11.26,67.56
1.0,2.06,12.36
1.0,2.16,12.96
1.0,0.0,15.3
1.0,0.0,6.3
1.0,0.0,10.8
2.0,3.56,21.36
2.0,5.0,13.3
1.0,0.0,9.8
1.0,2.36,14.16
1.0,0.0,11.3
1.0,0.0,14.3
3.0,2.16,12.96
5.0,3.56,21.36
1.0,0.0,9.3
1.0,5.0,21.8
1.0,0.0,18.8
2.0,0.0,7.8
1.0,1.0,21.8
1.0,0.0,21.3
1.0,5.96,35.76
1.0,0.0,9.8
1.0,0.0,8.8
2.0,1.2,12.0
2.0,0.0,8.8
1.0,0.0,5.8
2.0,8.96,53.76
2.0,0.0,0.0
1.0,5.86,35.16
5.0,0.0,28.3
1.0,2.46,14.76
1.0,2.66,15.96
1.0,1.0,12.3
1.0,1.65,9.95
1.0,0.0,7.8
2.0,0.0,47.3
5.0,2.0,23.3
5.0,0.0,30.8
1.0,0.0,21.3
1.0,3.0,12.8
1.0,1.0,16.3
1.0,0.0,-6.3
1.0,0.0,6.3
1.0,0.05,36.35
3.0,0.0,11.8
3.0,2.36,14.16
1.0,5.26,31.56
2.0,0.0,16.8
2.0,0.0,-3.8
2.0,0.0,3.8
1.0,2.96,17.76
1.0,1.0,10.3
1.0,0.0,8.8
1.0,0.0,10.3
1.0,0.0,13.3
1.0,1.32,10.12
2.0,1.0,16.3
2.0,0.0,53.8
5.0,0.0,4.3
1.0,2.06,12.36
1.0,0.0,16.3
1.0,1.5,13.3
6.0,0.0,11.8
6.0,3.76,22.56
2.0,0.0,7.8
1.0,1.66,9.96
0.0,0.0,14.8
0.0,2.05,12.35
0.0,0.0,10.8
1.0,2.82,21.62
1.0,1.86,11.16
1.0,1.0,12.8
1.0,5.36,32.16
5.0,0.0,-7.3
5.0,0.0,7.3
1.0,0.0,27.8
4.0,3.16,18.96
1.0,0.0,30.3
1.0,3.0,14.3
1.0,0.0,25.42
5.0,2.08,10.38
1.0,4.0,41.3
2.0,0.0,22.3
1.0,0.0,-13.8
1.0,0.0,13.8
1.0,0.0,12.3
5.0,4.06,24.36
2.0,2.46,14.76
2.0,3.95,17.25
1.0,4.06,24.36
1.0,2.16,12.96
1.0,9.16,54.96
1.0,2.0,46.3
5.0,1.0,9.3
1.0,0.0,50.3
6.0,0.0,14.8
3.0,2.0,18.3
1.0,1.68,18.48
1.0,0.0,10.8
1.0,0.0,10.8
1.0,0.0,15.3
1.0,0.0,13.3
1.0,2.26,13.56
1.0,0.0,29.8
1.0,0.0,9.3
1.0,0.0,-7.3
1.0,0.0,7.3
1.0,0.0,7.8
1.0,2.04,8.84
1.0,0.0,8.3
1.0,1.82,9.12
1.0,0.0,12.3
1.0,1.0,66.8
1.0,1.0,7.3
1.0,1.8,9.6
1.0,30.0,58.8
1.0,3.05,18.35
1.0,0.0,23.3
1.0,1.0,8.8
1.0,2.82,21.62
1.0,2.46,14.76
4.0,6.0,67.42
4.0,1.96,11.76
1.0,0.0,-7.05
1.0,0.0,7.05
1.0,0.0,-6.3
1.0,0.0,6.3
1.0,2.82,14.12
1.0,4.0,25.3
1.0,0.0,5.3
3.0,0.0,10.3
2.0,0.0,9.8
1.0,0.0,12.3
1.0,2.36,14.16
1.0,3.0,21.8
1.0,0.0,11.3
