passenger_count,tip_amount,total_amount
1.0,3.32,16.62
1.0,0.0,9.3
1.0,1.86,11.16
1.0,1.0,12.3
1.0,1.28,14.08
1.0,4.36,26.16
1.0,0.0,18.8
2.0,1.0,7.8
1.0,0.0,8.3
6.0,0.0,13.3
1.0,0.0,10.8
6.0,3.26,19.56
5.0,0.0,11.8
5.0,2.66,15.96
5.0,1.96,11.76
1.0,3.0,9.3
1.0,0.0,10.0
2.0,0.73,8.03
1.0,3.15,18.95
1.0,0.0,7.8
2.0,0.0,34.8
1.0,0.0,6.8
1.0,1.65,9.95
1.0,3.26,19.56
1.0,2.36,14.16
1.0,2.26,13.56
1.0,2.58,12.88
1.0,1.2,11.0
1.0,0.0,5.8
1.0,0.0,8.3
1.0,1.0,8.3
1.0,3.04,23.34
1.0,1.56,9.36
1.0,2.56,15.36
1.0,5.79,25.09
1.0,1.0,12.8
2.0,2.65,15.95
1.0,2.05,10.35
2.0,2.55,15.35
1.0,1.0,12.8
1.0,2.25,13.55
1.0,3.0,34.3
1.0,2.66,15.96
1.0,3.58,17.88
1.0,3.06,18.36
1.0,0.0,8.3
1.0,4.32,21.62
1.0,1.03,11.33
1.0,2.96,17.76
6.0,2.2,11.0
6.0,4.26,25.56
6.0,2.0,12.8
3.0,0.0,8.8
1.0,1.56,9.36
1.0,0.0,24.3
1.0,2.2,11.0
1.0,0.0,6.8
1.0,1.35,8.15
1.0,2.15,12.95
1.0,2.7,9.0
1.0,0.0,7.8
1.0,1.0,12.3
1.0,0.0,8.8
1.0,1.76,10.56
1.0,2.0,23.8
2.0,4.45,22.25
1.0,3.09,13.39
1.0,0.0,49.3
1.0,1.53,16.83
1.0,1.76,10.56
1.0,0.0,9.8
1.0,1.75,10.55
1.0,2.8,14.1
1.0,1.7,19.5
1.0,0.0,6.8
1.0,3.76,22.56
1.0,0.0,7.3
1.0,3.45,20.75
1.0,0.0,12.3
1.0,0.0,6.8
1.0,1.5,11.8
2.0,2.08,10.38
1.0,1.66,9.96
1.0,2.3,17.1
1.0,2.06,12.36
1.0,0.0,6.8
3.0,2.06,12.36
3.0,2.2,11.0
1.0,3.24,14.04
3.0,1.86,11.16
1.0,0.0,16.3
1.0,2.45,12.25
1.0,0.0,7.3
1.0,2.26,13.56
1.0,0.0,27.0
0.0,2.95,14.75
2.0,0.73,8.03
1.0,0.0,6.3
1.0,2.2,11.0
1.0,3.32,16.62
1.0,3.26,19.56
1.0,0.0,9.3
1.0,2.45,12.25
1.0,0.0,13.0
1.0,1.33,14.63
5.0,0.0,13.3
2.0,2.15,12.95
1.0,0.0,10.3
2.0,2.45,14.75
1.0,0.0,15.3
1.0,2.46,14.76
1.0,0.0,21.3
1.0,2.16,12.96
1.0,1.0,11.8
1.0,4.4,19.2
1.0,5.55,27.85
1.0,6.66,39.96
5.0,1.66,9.96
5.0,2.16,12.96
1.0,0.0,15.8
1.0,2.86,17.16
1.0,2.33,11.63
2.0,4.76,28.56
2.0,0.0,14.8
1.0,2.66,15.96
1.0,0.0,10.3
2.0,0.0,23.42
1.0,0.7,9.0
1.0,0.0,24.3
1.0,3.69,15.99
1.0,0.0,7.8
1.0,0.0,9.8
1.0,2.79,12.09
5.0,2.46,14.76
3.0,3.16,18.96
3.0,0.0,9.8
1.0,1.47,11.27
1.0,2.0,12.3
1.0,1.66,9.96
2.0,1.96,11.76
6.0,3.39,14.69
1.0,0.0,18.3
1.0,2.06,12.36
0.0,3.35,20.15
0.0,0.0,9.8
1.0,3.0,11.8
1.0,2.19,9.49
1.0,1.76,10.56
1.0,0.0,11.8
1.0,1.0,8.8
1.0,1.0,10.3
1.0,1.96,11.76
1.0,0.0,10.3
1.0,0.0,26.8
1.0,2.85,17.15
1.0,2.0,20.8
1.0,0.0,7.3
1.0,0.0,6.8
1.0,1.92,14.72
1.0,1.55,9.35
1.0,3.65,15.95
1.0,0.0,10.3
1.0,3.35,14.65
1.0,1.84,14.14
1.0,3.45,17.25
1.0,1.17,8.97
1.0,1.86,11.16
1.0,1.76,10.56
1.0,0.0,7.3
1.0,1.0,10.8
1.0,1.46,8.76
1.0,1.0,12.3
1.0,2.45,12.25
1.0,0.0,7.3
1.0,0.0,49.3
1.0,3.04,23.34
1.0,2.68,24.98
2.0,1.0,11.3
2.0,6.64,61.94
2.0,0.0,22.8
1.0,2.0,18.8
1.0,3.54,15.34
2.0,2.83,14.13
1.0,0.0,18.8
2.0,0.0,33.3
1.0,5.19,22.49
1.0,0.08,59.0
1.0,3.65,15.95
2.0,3.0,15.8
3.0,2.46,14.76
4.0,1.0,14.8
1.0,0.0,11.8
1.0,1.36,8.16
1.0,6.06,36.36
1.0,2.86,17.16
1.0,1.86,11.16
1.0,1.36,8.16
1.0,2.0,15.3
1.0,0.0,13.8
1.0,2.26,13.56
1.0,3.86,23.16
1.0,1.25,13.55
1.0,1.2,10.0
1.0,0.93,10.23
1.0,1.76,10.56
1.0,1.0,7.8
5.0,4.0,18.8
5.0,2.06,12.36
1.0,0.0,26.3
2.0,0.0,12.3
2.0,0.0,9.3
2.0,2.16,12.96
1.0,1.0,11.3
0.0,0.0,15.3
1.0,0.0,7.8
1.0,2.8,14.1
2.0,3.69,15.99
1.0,0.78,8.58
1.0,1.4,10.7
