passenger_count,tip_amount,total_amount
1.0,4.08,20.38
1.0,0.0,13.8
1.0,0.0,7.8
1.0,0.0,7.8
2.0,1.65,9.95
1.0,2.25,13.55
1.0,5.0,11.3
1.0,3.66,21.96
1.0,1.0,14.8
2.0,5.58,27.88
1.0,0.0,33.8
1.0,0.0,8.8
1.0,0.0,33.92
1.0,1.55,9.35
1.0,0.0,13.3
2.0,2.65,15.95
0.0,1.75,15.05
1.0,0.0,9.3
0.0,0.7,10.0
3.0,1.0,9.8
1.0,0.0,14.8
1.0,1.0,18.8
1.0,2.49,10.79
1.0,0.0,13.8
1.0,1.03,11.33
1.0,3.16,18.96
1.0,2.76,16.56
1.0,1.0,9.8
1.0,5.95,29.75
1.0,2.16,12.96
2.0,0.0,7.3
2.0,3.15,18.95
2.0,2.3,11.6
1.0,0.0,9.8
2.0,3.16,18.96
2.0,3.39,37.31
3.0,3.64,27.94
1.0,2.26,13.56
1.0,2.0,25.3
1.0,1.0,12.8
1.0,1.0,10.3
3.0,2.46,14.76
3.0,0.0,12.8
3.0,0.0,10.3
1.0,0.0,8.3
1.0,2.38,20.68
1.0,1.0,10.8
1.0,1.66,9.96
1.0,0.0,10.8
1.0,2.76,16.56
1.0,2.86,17.16
1.0,6.25,37.67
0.0,0.0,19.3
1.0,0.0,21.8
1.0,4.8,24.1
1.0,2.65,15.95
2.0,1.86,11.16
1.0,0.0,10.3
1.0,3.99,17.29
1.0,2.66,15.96
1.0,3.05,15.35
1.0,2.25,13.55
1.0,2.7,21.0
1.0,4.0,13.3
1.0,2.96,17.76
1.0,3.46,20.76
1.0,4.2,21.0
1.0,0.0,10.8
1.0,2.05,12.35
1.0,2.32,11.62
1.0,5.95,29.75
2.0,1.96,11.76
2.0,3.7,18.5
1.0,1.96,11.76
1.0,1.96,11.76
1.0,2.95,17.75
1.0,0.0,11.8
1.0,0.83,9.13
1.0,1.2,11.0
1.0,0.2,12.0
1.0,0.0,11.3
1.0,0.0,11.3
1.0,4.83,24.13
2.0,0.0,9.8
1.0,2.6,11.4
1.0,2.45,12.25
1.0,1.76,10.56
1.0,0.0,17.8
1.0,3.26,19.56
1.0,3.0,17.3
1.0,0.93,10.23
1.0,0.0,50.42
1.0,1.86,11.16
1.0,1.5,9.8
1.0,3.36,20.16
1.0,1.85,12.15
2.0,7.08,42.5
1.0,0.0,7.3
1.0,3.0,26.3
1.0,0.0,8.8
0.0,0.0,7.8
1.0,0.0,6.8
1.0,2.0,18.8
2.0,1.0,21.3
1.0,7.74,33.54
1.0,6.36,48.78
2.0,0.0,19.3
1.0,0.0,8.8
1.0,1.7,18.0
1.0,1.2,10.0
1.0,5.0,71.8
1.0,0.0,32.8
1.0,0.0,22.3
1.0,6.75,40.55
1.0,2.2,11.0
1.0,0.0,17.3
1.0,5.0,66.42
1.0,3.26,19.56
1.0,0.0,9.8
1.0,5.0,46.3
1.0,2.86,17.16
1.0,0.0,8.3
1.0,0.0,8.8
1.0,1.36,8.16
1.0,2.76,16.56
1.0,1.26,7.56
2.0,2.86,17.16
2.0,1.0,9.8
2.0,3.04,23.34
1.0,10.0,32.3
1.0,0.0,10.0
1.0,0.0,10.8
1.0,2.75,18.05
1.0,2.66,15.96
1.0,1.76,10.56
2.0,2.48,27.28
3.0,2.06,12.36
1.0,0.0,38.0
1.0,0.0,16.0
2.0,0.0,9.3
2.0,2.0,24.3
5.0,1.0,8.8
5.0,0.0,25.3
1.0,0.0,14.3
1.0,5.19,22.49
1.0,1.56,9.36
1.0,0.0,-3.8
1.0,0.0,3.8
4.0,2.26,13.56
4.0,2.08,10.38
5.0,3.32,16.62
5.0,0.0,15.3
5.0,1.96,11.76
0.0,0.0,8.3
0.0,3.15,18.95
1.0,1.0,16.8
1.0,1.77,13.57
1.0,0.0,23.8
1.0,0.0,15.3
1.0,0.0,14.3
2.0,0.0,8.8
3.0,0.0,8.3
2.0,0.0,12.8
1.0,4.14,17.94
1.0,1.66,9.96
1.0,2.45,12.25
1.0,1.85,11.15
1.0,0.0,5.3
1.0,2.76,16.56
1.0,2.0,13.3
1.0,1.0,11.8
1.0,3.86,23.16
1.0,1.56,9.36
1.0,1.56,9.36
1.0,3.0,11.8
1.0,1.55,9.35
1.0,0.0,18.3
1.0,0.0,11.3
2.0,0.0,7.3
1.0,2.15,12.95
1.0,1.0,9.8
2.0,2.45,12.25
1.0,2.56,15.36
1.0,4.32,21.62
1.0,0.0,8.8
2.0,2.76,16.56
3.0,0.0,7.8
1.0,4.46,26.76
2.0,1.66,9.96
1.0,0.0,8.3
1.0,2.46,14.76
1.0,4.66,27.96
1.0,4.74,20.54
4.0,3.06,18.36
2.0,0.0,9.8
1.0,3.0,17.8
1.0,2.86,17.16
1.0,2.0,19.3
1.0,0.0,10.8
1.0,2.82,14.12
2.0,1.76,10.56
1.0,2.0,33.92
1.0,1.76,11.56
1.0,4.75,28.55
1.0,1.65,9.95
1.0,3.05,18.35
1.0,5.95,29.75
3.0,0.0,7.8
1.0,2.0,19.8
2.0,4.96,29.76
3.0,3.65,21.95
1.0,4.06,24.36
1.0,0.0,9.8
1.0,3.58,17.88
1.0,2.26,13.56
1.0,4.05,24.35
1.0,2.16,12.96
1.0,1.95,11.75
1.0,2.26,13.56
1.0,2.14,16.44
2.0,2.06,12.36
1.0,1.5,11.3
1.0,2.37,18.17
1.0,0.0,14.8
1.0,2.0,19.3
2.0,1.0,11.3
1.0,0.0,17.8
1.0,2.05,12.35
1.0,3.05,18.35
1.0,1.48,13.78
1.0,1.86,11.16
1.0,3.0,16.3
1.0,1.33,14.63
1.0,0.08,15.88
1.0,0.0,8.8
1.0,3.2,16.0
1.0,4.0,13.3
5.0,4.16,24.96
4.0,0.0,13.3
1.0,2.82,14.12
1.0,0.0,8.8
1.0,0.0,16.3
1.0,1.86,11.16
1.0,2.06,12.36
1.0,2.2,11.0
1.0,2.26,13.56
1.0,0.0,12.3
2.0,0.0,11.3
1.0,1.92,14.72
2.0,0.0,12.3
1.0,2.0,18.3
1.0,2.56,15.36
1.0,1.5,12.3
1.0,1.17,8.97
1.0,0.0,24.8
1.0,3.56,21.36
1.0,0.88,9.68
1.0,3.0,14.8
2.0,2.15,12.95
1.0,1.5,11.3
2.0,1.65,9.95
1.0,1.0,9.8
1.0,2.96,17.76
1.0,0.0,11.8
1.0,0.0,8.8
1.0,0.0,10.3
1.0,5.16,30.96
1.0,0.0,22.3
1.0,0.0,14.3
1.0,0.0,16.3
1.0,0.0,6.3
1.0,0.0,13.8
1.0,0.0,13.3
1.0,0.0,7.3
1.0,1.24,9.54
1.0,0.0,14.8
1.0,0.0,54.42
1.0,0.0,116.04
1.0,1.0,13.3
1.0,0.0,11.3
0.0,2.95,17.75
4.0,0.0,8.8
1.0,0.0,60.92
5.0,2.96,17.76
4.0,2.26,13.56
5.0,0.0,61.42
1.0,0.0,23.8
1.0,0.0,15.3
3.0,2.76,16.56
3.0,3.09,13.39
1.0,3.16,18.96
1.0,2.05,12.35
1.0,0.0,11.3
2.0,3.55,21.35
1.0,2.0,12.3
1.0,1.0,9.3
1.0,0.0,18.8
1.0,3.0,22.8
1.0,2.86,17.16
1.0,0.0,55.3
1.0,0.0,15.8
1.0,1.0,8.3
1.0,2.76,16.56
1.0,2.79,12.09
1.0,4.08,20.38
1.0,0.0,17.8
1.0,2.2,12.0
2.0,2.45,12.25
2.0,0.0,14.8
2.0,2.0,12.3
1.0,2.35,14.15
1.0,1.76,10.56
2.0,2.76,16.56
1.0,1.0,12.8
6.0,1.32,10.12
6.0,1.46,8.76
6.0,4.56,27.36
1.0,4.2,21.0
2.0,3.06,18.36
1.0,0.0,12.3
5.0,4.29,18.59
1.0,2.55,15.35
1.0,3.35,20.15
1.0,2.05,12.35
1.0,1.5,18.8
1.0,2.0,11.8
1.0,1.17,8.97
1.0,3.65,15.95
1.0,2.15,12.95
1.0,2.2,11.0
0.0,1.2,11.0
1.0,1.0,10.8
1.0,0.0,5.3
1.0,0.0,9.8
1.0,0.0,9.8
1.0,2.2,11.0
1.0,4.7,23.5
3.0,0.0,10.8
3.0,0.0,13.3
3.0,0.83,9.13
3.0,2.06,12.36
3.0,2.16,12.96
1.0,3.46,20.76
1.0,0.0,61.8
2.0,0.0,11.8
1.0,1.96,11.76
1.0,5.04,21.84
1.0,3.2,16.0
1.0,2.5,20.8
1.0,0.0,16.8
1.0,3.56,21.36
1.0,2.06,12.36
2.0,2.36,14.16
1.0,1.86,11.16
2.0,3.84,16.64
2.0,1.86,11.16
2.0,2.86,17.16
1.0,0.0,8.8
1.0,0.0,10.3
1.0,3.0,21.8
1.0,4.16,24.96
1.0,2.86,17.16
4.0,2.5,20.3
1.0,1.86,11.16
1.0,1.0,27.8
3.0,0.02,14.82
3.0,0.0,9.3
1.0,1.13,12.43
1.0,0.0,9.3
1.0,0.0,22.8
1.0,0.0,7.8
1.0,3.86,23.16
1.0,4.26,25.56
1.0,6.75,40.67
1.0,1.46,8.76
1.0,0.0,51.8
5.0,10.0,18.3
5.0,0.0,12.8
1.0,0.0,18.8
3.0,2.16,12.96
1.0,2.86,17.16
2.0,1.96,11.76
1.0,2.0,12.8
1.0,2.06,12.36
0.0,2.0,23.3
1.0,2.0,29.3
1.0,0.0,12.3
2.0,3.0,32.3
1.0,2.2,11.0
1.0,9.08,45.38
1.0,2.36,14.16
1.0,0.79,16.59
1.0,1.96,11.76
1.0,0.0,4.3
1.0,0.0,57.92
1.0,6.11,30.53
2.0,1.0,25.8
1.0,0.5,9.8
1.0,1.76,10.56
1.0,0.0,13.8
1.0,1.0,15.3
1.0,0.0,7.8
1.0,0.0,12.3
2.0,1.0,14.3
2.0,0.0,13.8
2.0,0.0,20.8
1.0,0.0,10.8
6.0,0.0,8.3
1.0,6.25,27.17
1.0,1.0,9.8
4.0,1.96,11.76
2.0,3.16,18.96
2.0,3.06,18.36
1.0,3.66,21.96
1.0,0.0,11.3
1.0,2.2,12.0
1.0,1.5,12.8
2.0,1.0,10.8
1.0,3.83,19.13
1.0,2.0,12.8
1.0,2.0,10.8
1.0,4.15,24.95
5.0,3.96,23.76
2.0,1.55,9.35
2.0,2.15,12.95
1.0,2.75,18.05
1.0,5.0,40.92
1.0,0.0,7.3
5.0,0.0,6.3
5.0,4.76,28.56
5.0,2.0,14.3
3.0,1.96,11.76
1.0,0.0,7.8
1.0,2.56,15.36
1.0,2.76,16.56
1.0,0.0,12.3
2.0,1.0,13.3
4.0,6.06,36.36
1.0,7.3,36.6
1.0,1.3,12.1
2.0,1.75,10.55
1.0,0.0,13.3
1.0,0.0,16.3
1.0,1.96,11.76
1.0,0.0,5.8
1.0,0.0,100.3
1.0,4.56,27.36
2.0,2.0,12.3
6.0,2.06,12.36
6.0,2.56,15.36
2.0,0.0,35.3
1.0,2.86,17.16
1.0,2.36,14.16
1.0,2.66,15.96
1.0,2.16,12.96
1.0,1.24,11.54
1.0,0.0,8.8
1.0,1.86,11.16
1.0,3.2,16.0
2.0,4.66,27.96
1.0,1.62,12.42
1.0,0.0,10.0
3.0,2.07,15.87
1.0,1.66,9.96
1.0,0.0,15.8
1.0,2.36,14.16
1.0,0.0,93.1
5.0,2.06,12.36
5.0,0.0,15.3
1.0,4.46,26.76
1.0,0.0,17.3
2.0,3.16,18.96
1.0,0.0,11.8
1.0,0.0,9.8
1.0,4.36,26.16
1.0,4.89,21.19
1.0,5.19,22.49
1.0,0.0,9.3
1.0,5.65,33.95
2.0,2.86,17.16
1.0,0.0,10.3
1.0,4.59,19.89
1.0,2.56,15.36
1.0,4.32,21.62
1.0,2.26,13.56
1.0,2.56,15.36
1.0,3.83,19.13
1.0,2.66,15.96
1.0,2.76,16.56
1.0,0.0,18.3
1.0,0.0,6.3
1.0,0.0,34.3
1.0,3.0,13.8
2.0,2.85,17.15
3.0,0.0,11.3
1.0,1.0,10.3
1.0,2.35,14.15
1.0,2.9,12.7
1.0,2.25,13.55
1.0,4.08,20.38
1.0,2.2,10.5
1.0,6.36,38.16
2.0,2.86,17.16
1.0,1.75,10.55
0.0,0.0,9.3
2.0,0.0,17.8
1.0,5.33,26.63
2.0,2.76,16.56
3.0,1.32,10.12
1.0,1.86,11.16
1.0,2.32,11.62
1.0,3.24,14.04
1.0,1.63,17.93
1.0,1.18,12.98
2.0,1.0,12.3
1.0,0.0,38.92
1.0,3.24,14.04
1.0,1.5,14.8
1.0,0.0,7.3
1.0,1.0,10.3
1.0,2.35,14.15
1.0,2.0,11.3
1.0,2.06,12.36
3.0,2.26,13.56
5.0,0.0,9.8
5.0,3.54,15.34
5.0,2.45,12.25
1.0,0.0,27.8
1.0,3.0,24.3
1.0,0.0,12.8
1.0,0.0,18.8
2.0,2.6,19.9
1.0,4.2,21.0
1.0,2.36,14.16
1.0,0.0,16.3
1.0,2.56,15.36
1.0,3.08,15.38
1.0,2.95,14.75
3.0,1.95,11.75
1.0,2.25,13.55
2.0,0.0,14.8
1.0,2.22,17.02
1.0,2.22,17.02
1.0,2.04,8.84
