passenger_count,tip_amount,total_amount
2.0,3.06,18.36
3.0,3.08,15.38
2.0,0.0,8.3
1.0,2.0,16.8
1.0,2.7,27.0
1.0,2.66,15.96
1.0,2.46,14.76
1.0,2.26,13.56
1.0,2.58,12.88
1.0,1.96,11.76
1.0,2.45,12.25
1.0,2.58,12.88
1.0,3.06,18.36
1.0,2.0,12.8
1.0,2.05,12.35
1.0,1.84,17.14
1.0,2.36,14.16
1.0,0.0,7.8
1.0,2.0,22.8
1.0,0.0,9.8
1.0,2.0,18.8
1.0,0.0,7.8
1.0,2.86,17.16
3.0,7.95,39.75
1.0,3.76,22.56
1.0,10.0,65.05
1.0,1.96,11.76
1.0,2.0,13.8
1.0,1.96,11.76
1.0,2.26,13.56
1.0,0.0,24.3
1.0,2.15,12.95
1.0,4.36,26.16
1.0,0.0,41.3
1.0,7.72,46.32
1.0,2.25,14.55
1.0,5.04,21.84
1.0,2.82,21.62
1.0,5.08,25.38
1.0,2.15,12.95
0.0,1.85,11.15
1.0,2.0,10.3
1.0,2.55,15.35
0.0,0.0,15.8
1.0,0.0,10.3
1.0,0.0,16.3
2.0,2.32,11.62
2.0,1.4,10.7
2.0,1.22,16.52
2.0,3.56,21.36
1.0,3.7,18.5
1.0,3.95,19.75
1.0,13.06,56.61
1.0,2.16,12.96
1.0,2.16,12.96
1.0,0.0,7.8
2.0,0.0,10.3
1.0,0.93,10.23
1.0,3.06,18.36
1.0,4.06,24.36
1.0,2.7,13.5
1.0,3.26,19.56
1.0,0.0,8.8
1.0,0.0,9.8
1.0,2.0,16.8
1.0,2.76,16.56
1.0,1.0,20.8
1.0,7.36,45.41
1.0,0.0,64.1
2.0,0.0,27.8
1.0,0.0,8.3
1.0,2.7,13.5
1.0,2.26,13.56
1.0,0.0,-22.8
1.0,0.0,22.8
1.0,3.45,17.25
1.0,1.46,8.76
1.0,2.36,14.16
1.0,0.0,37.05
0.0,1.5,12.3
0.0,5.0,38.3
1.0,2.0,17.05
1.0,0.0,13.8
1.0,4.05,24.35
1.0,2.0,18.3
2.0,2.85,17.15
1.0,0.0,14.3
1.0,0.0,10.8
1.0,7.31,43.86
1.0,6.92,41.52
1.0,0.0,61.85
1.0,2.25,13.55
1.0,1.0,11.3
1.0,11.11,66.66
1.0,2.0,15.8
1.0,2.0,25.3
1.0,3.0,19.3
1.0,2.66,15.96
1.0,0.0,11.3
0.0,13.7,68.55
2.0,0.0,7.3
3.0,2.56,15.36
2.0,2.37,18.17
1.0,2.05,12.35
