passenger_count,tip_amount,total_amount
1.0,1.7,13.0
1.0,3.5,15.3
1.0,0.0,8.3
1.0,3.36,20.16
1.0,2.06,12.36
1.0,3.54,15.34
1.0,1.46,8.76
1.0,2.5,20.3
1.0,3.33,16.63
1.0,2.44,18.74
1.0,3.36,20.16
1.0,2.0,12.3
0.0,0.0,12.8
1.0,0.0,52.8
1.0,0.0,21.8
2.0,0.0,10.8
1.0,1.75,10.55
1.0,1.0,10.8
1.0,0.0,19.3
6.0,2.06,12.36
6.0,3.36,20.16
1.0,0.0,13.3
1.0,1.66,9.96
1.0,2.2,23.0
1.0,0.0,10.3
1.0,4.06,24.36
1.0,3.36,20.16
1.0,0.0,9.3
1.0,5.34,23.14
3.0,7.98,69.4
1.0,5.79,25.09
1.0,0.0,12.8
1.0,1.86,11.16
1.0,2.16,12.96
1.0,1.7,12.0
1.0,5.0,18.3
1.0,1.0,12.8
1.0,3.16,18.96
1.0,1.46,8.76
0.0,0.0,7.8
1.0,2.0,10.3
1.0,0.0,10.3
1.0,1.66,9.96
1.0,1.0,17.8
2.0,1.76,10.56
1.0,1.0,16.3
1.0,2.16,12.96
1.0,2.08,10.38
1.0,0.0,-10.8
1.0,0.0,10.8
1.0,2.08,10.38
1.0,0.0,8.3
1.0,1.86,11.16
1.0,1.66,9.96
1.0,1.2,13.5
1.0,1.75,10.55
1.0,0.0,9.3
2.0,1.7,13.0
1.0,3.0,13.8
1.0,2.5,14.3
1.0,1.0,8.8
1.0,1.86,11.16
1.0,2.46,14.76
0.0,1.34,11.64
1.0,2.15,9.45
1.0,0.54,11.34
1.0,2.79,12.09
1.0,1.66,9.96
1.0,2.96,17.76
1.0,0.0,12.8
1.0,1.0,11.3
1.0,0.0,58.92
1.0,1.0,13.8
1.0,0.0,27.8
1.0,1.7,11.0
6.0,1.33,14.63
6.0,1.96,11.76
1.0,2.05,12.35
1.0,1.76,10.56
1.0,0.0,7.3
1.0,0.0,37.3
1.0,1.43,15.73
2.0,0.0,9.8
1.0,2.34,10.14
1.0,0.0,8.8
1.0,1.0,12.8
1.0,1.46,8.76
1.0,1.5,11.8
1.0,4.2,21.0
1.0,2.33,11.63
