passenger_count,tip_amount,total_amount
1.0,2.36,14.16
1.0,0.0,7.3
1.0,2.8,14.1
1.0,3.5,23.3
1.0,3.58,17.88
1.0,1.11,19.91
1.0,4.7,20.5
1.0,3.55,21.35
2.0,2.14,16.44
2.0,3.86,23.16
3.0,2.96,17.76
3.0,3.76,22.56
1.0,0.0,28.8
1.0,0.0,10.8
1.0,1.0,11.8
1.0,0.0,8.3
1.0,4.15,24.95
2.0,4.2,21.0
0.0,1.0,7.8
1.0,0.0,5.8
0.0,0.75,15.55
1.0,2.16,12.96
1.0,2.06,12.36
5.0,1.95,9.75
5.0,2.82,14.12
5.0,1.76,10.56
5.0,3.7,18.5
2.0,1.0,8.3
2.0,2.08,10.38
1.0,1.5,10.3
1.0,2.2,11.0
1.0,2.05,12.35
1.0,1.75,10.55
1.0,0.0,19.3
1.0,2.95,14.75
1.0,0.0,15.8
1.0,1.86,11.16
1.0,0.0,8.8
1.0,3.26,19.56
1.0,0.5,7.8
1.0,5.36,32.16
1.0,1.95,11.75
1.0,0.0,7.3
1.0,3.8,16.6
1.0,0.0,16.3
1.0,1.95,11.75
1.0,1.96,11.76
1.0,0.0,11.8
1.0,0.0,12.8
0.0,1.95,11.75
0.0,0.5,9.3
0.0,3.35,14.65
2.0,0.0,10.3
2.0,2.94,12.74
1.0,1.0,17.3
1.0,2.55,15.35
1.0,4.2,13.0
1.0,0.0,18.8
1.0,3.46,20.76
1.0,2.33,11.63
1.0,2.94,12.74
1.0,5.0,13.8
1.0,3.66,21.96
1.0,1.75,10.55
1.0,1.85,11.15
2.0,1.0,9.8
1.0,1.0,16.3
1.0,4.46,26.76
1.0,0.99,4.29
1.0,1.66,10.46
1.0,0.0,9.8
1.0,0.0,21.8
1.0,0.0,7.3
1.0,0.0,5.3
2.0,0.0,7.8
2.0,2.64,11.44
1.0,1.0,9.3
1.0,0.0,7.8
1.0,3.16,18.96
2.0,0.9,14.2
1.0,2.45,14.75
1.0,1.35,8.15
0.0,1.95,11.75
6.0,2.45,12.25
6.0,1.32,10.12
6.0,2.06,12.36
6.0,1.17,8.97
1.0,2.45,10.75
1.0,2.5,25.3
2.0,1.85,11.15
1.0,0.0,25.0
1.0,2.86,17.16
1.0,1.46,8.76
1.0,2.15,12.95
1.0,1.65,9.95
1.0,3.15,18.95
3.0,2.9,20.7
1.0,1.5,12.8
1.0,0.0,9.8
1.0,1.0,11.8
1.0,0.0,11.3
2.0,3.06,18.36
1.0,2.56,15.36
1.0,3.82,19.12
1.0,0.0,41.0
1.0,4.76,28.56
1.0,5.16,30.96
0.0,0.0,62.92
1.0,1.96,11.76
1.0,2.06,12.36
1.0,3.7,18.5
1.0,3.05,13.35
3.0,5.75,25.05
1.0,2.32,11.62
6.0,0.0,12.3
6.0,0.0,28.3
2.0,0.0,9.3
1.0,0.0,5.8
2.0,0.0,10.8
1.0,0.75,4.55
3.0,0.0,11.3
1.0,3.55,21.35
1.0,2.15,12.95
1.0,1.0,9.8
1.0,2.16,12.96
1.0,4.56,27.36
1.0,0.0,-8.3
1.0,0.0,8.3
0.0,9.55,47.85
3.0,3.66,21.96
1.0,2.8,16.6
1.0,3.26,19.56
1.0,2.66,15.96
1.0,1.76,10.56
1.0,2.56,15.36
2.0,2.66,15.96
1.0,0.0,10.3
1.0,0.0,15.8
1.0,2.05,12.35
1.0,0.0,8.3
1.0,1.0,11.8
1.0,2.75,18.05
1.0,1.7,17.0
1.0,0.0,10.8
1.0,1.95,9.75
1.0,0.0,14.3
2.0,1.0,9.8
1.0,0.0,8.8
1.0,2.0,9.3
1.0,2.95,14.75
1.0,5.86,35.16
1.0,2.46,14.76
2.0,2.26,13.56
1.0,4.59,19.89
1.0,2.0,11.3
5.0,2.32,11.62
1.0,1.65,9.95
1.0,0.0,5.3
1.0,3.95,23.75
1.0,1.18,12.98
1.0,4.89,21.19
1.0,0.0,11.3
1.0,1.7,8.5
1.0,0.0,10.8
1.0,15.35,76.77
1.0,0.0,7.8
1.0,2.0,18.3
1.0,2.79,12.09
1.0,1.8,9.1
1.0,0.0,7.8
1.0,0.0,11.3
1.0,2.55,12.85
1.0,6.66,39.96
1.0,0.0,9.8
1.0,4.74,20.54
1.0,1.96,11.76
1.0,1.75,10.55
1.0,2.65,15.95
5.0,4.0,15.3
3.0,0.0,14.8
1.0,4.13,15.93
1.0,5.0,13.3
1.0,2.06,12.36
1.0,1.0,9.8
1.0,0.0,7.8
1.0,1.96,11.76
1.0,0.0,8.8
1.0,9.0,70.42
