passenger_count,tip_amount,total_amount
1.0,2.19,9.49
0.0,2.56,15.36
0.0,1.96,11.76
0.0,3.05,18.35
1.0,1.5,16.3
1.0,0.0,12.3
1.0,3.05,18.35
1.0,0.0,16.3
1.0,1.0,10.3
1.0,1.0,13.3
1.0,2.0,13.8
1.0,4.2,21.0
2.0,1.77,13.57
1.0,0.0,10.3
1.0,2.06,12.36
1.0,2.26,13.56
1.0,0.0,12.3
1.0,4.32,21.62
1.0,1.66,9.96
1.0,0.0,8.3
1.0,0.0,10.3
1.0,1.86,11.16
1.0,2.0,12.3
1.0,0.0,10.8
1.0,1.77,13.57
1.0,4.16,24.96
1.0,2.0,10.8
5.0,1.66,9.96
5.0,2.49,10.79
5.0,2.06,12.36
5.0,2.94,12.74
1.0,1.48,16.28
1.0,2.0,10.3
2.0,2.36,14.16
2.0,2.86,17.16
1.0,0.0,10.3
1.0,2.16,12.96
1.0,1.66,9.96
1.0,2.16,12.96
1.0,2.79,12.09
1.0,1.93,21.23
1.0,2.66,15.96
1.0,1.86,11.16
1.0,2.86,17.16
1.0,3.56,21.36
5.0,1.0,17.3
4.0,2.0,15.8
2.0,2.37,18.17
2.0,2.06,12.36
2.0,2.82,14.12
1.0,2.0,17.8
1.0,2.05,12.35
2.0,0.0,10.3
1.0,1.65,9.95
1.0,1.0,13.8
1.0,1.66,9.96
1.0,0.0,14.3
1.0,0.0,9.8
1.0,1.5,14.8
1.0,4.84,53.26
1.0,0.0,14.8
1.0,2.0,15.3
1.0,2.2,11.0
1.0,0.0,13.3
1.0,3.46,20.76
1.0,3.06,18.36
1.0,2.19,9.49
1.0,7.28,43.7
1.0,2.7,13.5
1.0,1.96,11.76
1.0,0.0,12.8
1.0,0.0,12.3
1.0,2.66,15.96
1.0,0.0,28.42
1.0,0.0,7.3
1.0,1.55,9.35
1.0,3.55,17.85
1.0,3.06,18.36
1.0,2.16,12.96
1.0,0.0,10.8
1.0,1.98,21.78
1.0,1.86,11.16
1.0,0.0,7.8
1.0,2.26,13.56
1.0,1.7,14.0
1.0,3.46,20.76
1.0,1.5,11.3
1.0,14.98,64.9
1.0,0.0,21.8
1.0,0.0,20.3
1.0,0.0,8.8
1.0,3.29,21.59
1.0,3.0,29.3
1.0,0.0,15.3
1.0,1.0,7.8
1.0,2.85,17.15
1.0,5.0,29.3
1.0,0.78,8.58
4.0,3.39,14.69
1.0,1.0,9.3
1.0,3.45,17.25
1.0,9.24,40.04
1.0,1.96,11.76
3.0,2.82,14.12
3.0,2.66,15.96
1.0,0.0,8.3
1.0,1.45,8.75
1.0,2.95,14.75
1.0,0.0,23.8
0.0,2.8,14.1
1.0,3.0,22.3
1.0,1.0,10.3
1.0,0.0,17.8
3.0,2.46,14.76
3.0,4.14,17.94
1.0,4.55,22.85
2.0,2.35,14.15
1.0,1.0,19.3
1.0,0.0,24.3
1.0,3.04,23.34
1.0,2.36,14.16
1.0,1.76,10.56
1.0,1.76,10.56
1.0,0.0,18.3
5.0,2.0,14.3
5.0,0.0,8.8
5.0,1.66,9.96
4.0,5.7,28.5
1.0,5.0,14.8
1.0,3.0,15.3
1.0,1.85,11.15
1.0,1.86,11.16
1.0,3.96,23.76
1.0,3.7,18.5
1.0,0.0,9.8
1.0,2.0,14.3
1.0,0.0,17.8
1.0,2.49,10.79
1.0,1.76,10.56
1.0,3.24,14.04
1.0,1.54,11.84
1.0,2.7,37.0
1.0,0.0,9.8
1.0,3.58,17.88
1.0,1.56,9.36
1.0,2.2,11.0
1.0,3.66,21.96
1.0,3.46,20.76
6.0,2.46,14.76
1.0,2.56,15.36
1.0,2.06,12.36
1.0,3.99,17.29
