passenger_count,tip_amount,total_amount
1.0,0.0,14.8
1.0,5.04,21.84
1.0,4.66,27.96
1.0,4.5,49.91
1.0,2.08,10.38
1.0,2.0,14.8
1.0,2.76,16.56
1.0,3.76,22.56
1.0,1.0,18.3
1.0,0.0,10.8
1.0,0.0,8.8
1.0,2.86,17.16
1.0,3.56,21.36
1.0,0.0,15.3
2.0,4.3,21.6
1.0,4.15,24.95
5.0,2.35,14.15
2.0,4.15,24.95
1.0,5.45,23.75
1.0,3.0,19.8
2.0,1.96,11.76
2.0,0.0,10.3
2.0,0.0,13.8
2.0,5.58,27.88
1.0,0.0,15.0
1.0,2.76,16.56
1.0,5.95,29.75
1.0,2.0,17.8
1.0,4.86,29.16
1.0,2.0,20.8
1.0,3.09,13.39
1.0,2.0,11.3
1.0,1.0,21.8
1.0,3.7,18.5
1.0,1.78,19.58
1.0,2.85,17.15
2.0,1.33,14.63
3.0,0.0,12.3
3.0,2.2,21.0
1.0,2.0,14.3
1.0,2.65,15.95
1.0,2.3,11.6
1.0,2.3,17.6
1.0,8.82,44.12
1.0,0.0,10.8
1.0,6.76,40.56
3.0,3.58,17.88
4.0,0.0,9.3
3.0,1.0,12.3
1.0,0.0,11.8
1.0,1.86,11.16
1.0,4.0,31.8
1.0,4.66,27.96
1.0,5.95,29.75
1.0,2.45,12.25
1.0,0.0,22.8
3.0,2.66,15.96
1.0,2.75,21.05
1.0,2.16,12.96
1.0,4.7,23.5
1.0,1.56,9.36
1.0,5.06,30.36
1.0,2.74,21.04
1.0,1.86,11.16
1.0,2.56,15.36
1.0,2.76,16.56
1.0,2.06,12.36
1.0,2.08,10.38
0.0,2.15,12.95
0.0,3.0,12.3
0.0,2.0,13.3
0.0,4.0,30.3
5.0,2.0,19.3
1.0,4.0,20.3
1.0,0.0,9.8
2.0,2.86,17.16
1.0,0.0,15.3
1.0,6.56,39.36
1.0,5.06,30.36
1.0,10.0,76.35
1.0,3.76,22.56
1.0,1.76,10.56
1.0,2.56,15.36
3.0,0.0,13.8
2.0,10.0,77.6
1.0,2.36,14.16
1.0,2.66,15.96
3.0,1.86,11.16
3.0,2.56,15.36
3.0,1.0,11.8
3.0,2.0,15.3
3.0,3.46,20.76
3.0,2.26,13.56
1.0,0.0,34.3
2.0,2.97,22.77
1.0,0.5,19.3
1.0,1.96,11.76
1.0,3.86,23.16
1.0,2.58,12.88
1.0,3.27,25.07
2.0,4.46,26.76
1.0,0.0,15.8
1.0,0.93,10.23
1.0,0.0,20.3
1.0,2.48,16.28
1.0,3.0,25.8
1.0,1.0,14.8
1.0,3.26,19.56
1.0,5.0,17.8
1.0,3.56,21.36
1.0,1.76,10.56
1.0,2.26,13.56
1.0,1.25,13.05
1.0,5.19,22.49
1.0,1.5,16.3
1.0,1.85,11.15
1.0,2.75,16.55
1.0,0.0,12.8
1.0,1.08,24.88
1.0,0.0,14.3
1.0,2.56,15.36
1.0,5.36,35.16
1.0,1.62,12.42
1.0,1.86,11.16
1.0,3.2,16.0
1.0,2.58,12.88
1.0,3.08,15.38
1.0,1.86,11.16
1.0,2.32,11.62
1.0,5.64,24.44
1.0,2.0,15.8
1.0,3.42,26.22
1.0,1.86,11.16
1.0,2.0,19.3
1.0,3.76,22.56
1.0,3.56,21.36
1.0,2.76,16.56
1.0,2.76,16.56
1.0,2.5,17.8
1.0,1.85,11.15
1.0,2.95,14.75
1.0,0.0,10.3
1.0,2.46,14.76
2.0,4.36,26.16
1.0,2.96,17.76
1.0,4.0,17.8
1.0,2.7,13.5
1.0,2.0,19.3
1.0,4.16,24.96
1.0,2.16,12.96
1.0,0.0,18.8
1.0,1.7,20.0
1.0,1.66,9.96
1.0,2.36,14.16
1.0,4.08,20.38
1.0,1.0,10.8
1.0,3.66,21.96
1.0,1.0,13.3
1.0,2.26,13.56
1.0,0.0,10.8
1.0,4.36,26.16
1.0,4.56,27.36
2.0,0.0,-15.3
2.0,0.0,15.3
1.0,3.85,23.15
5.0,1.17,8.97
5.0,2.0,17.8
5.0,5.04,21.84
5.0,0.0,12.8
1.0,2.0,17.8
1.0,1.68,18.48
3.0,1.76,10.56
1.0,4.0,23.8
1.0,8.77,52.62
5.0,1.13,12.43
5.0,1.8,23.6
1.0,1.5,25.3
1.0,2.0,22.8
1.0,12.4,80.0
1.0,2.7,25.0
3.0,3.2,16.0
1.0,3.7,18.5
2.0,2.46,14.76
2.0,1.96,11.76
2.0,4.86,29.16
1.0,2.75,16.55
1.0,2.8,14.1
1.0,3.75,22.55
1.0,4.1,31.4
3.0,5.0,17.8
1.0,1.0,11.8
1.0,1.96,11.76
1.0,3.56,21.36
3.0,13.5,81.1
1.0,2.76,16.56
1.0,1.0,13.8
2.0,1.86,11.16
2.0,2.28,25.08
2.0,3.58,17.88
2.0,2.06,12.36
2.0,2.96,17.76
1.0,5.35,32.15
1.0,3.05,18.35
1.0,2.06,12.36
1.0,2.45,12.25
1.0,3.2,16.0
1.0,4.25,25.55
1.0,2.76,16.56
1.0,0.0,12.3
1.0,3.06,18.36
1.0,2.46,14.76
1.0,3.0,20.8
1.0,0.0,10.3
1.0,2.26,13.56
1.0,0.0,10.3
1.0,2.2,20.0
1.0,1.96,11.76
1.0,3.36,20.16
1.0,0.0,24.3
1.0,3.58,17.88
1.0,2.56,15.36
2.0,0.0,-13.8
2.0,0.0,13.8
1.0,2.0,13.8
2.0,1.56,9.36
4.0,2.02,10.82
3.0,1.96,11.76
1.0,2.0,17.3
1.0,1.7,11.0
1.0,4.7,23.5
1.0,1.48,16.28
1.0,0.0,21.3
1.0,1.95,9.75
1.0,1.0,11.3
1.0,3.24,14.04
1.0,0.0,27.3
1.0,2.76,16.56
1.0,2.44,18.74
1.0,0.0,32.85
1.0,2.0,9.8
1.0,1.46,8.76
1.0,3.26,19.56
1.0,2.0,15.3
6.0,3.46,20.76
2.0,2.06,12.36
1.0,2.0,17.3
2.0,3.56,21.36
1.0,1.4,10.7
1.0,3.85,23.15
2.0,2.45,14.75
1.0,0.0,22.8
1.0,0.0,12.8
1.0,2.06,12.36
1.0,2.06,12.36
1.0,2.36,14.16
1.0,0.0,10.3
1.0,5.45,27.25
1.0,4.36,26.16
1.0,2.25,13.55
1.0,3.86,23.16
1.0,5.0,16.8
1.0,0.0,10.3
1.0,2.45,14.75
1.0,4.95,29.75
1.0,2.0,14.3
5.0,3.36,20.16
5.0,1.33,14.63
5.0,1.0,13.3
5.0,0.0,13.8
3.0,2.37,18.17
1.0,1.0,10.8
1.0,0.0,8.3
1.0,1.63,17.93
1.0,4.35,26.15
1.0,1.85,11.15
1.0,3.99,17.29
1.0,2.66,15.96
1.0,3.16,18.96
1.0,1.0,29.8
