passenger_count,tip_amount,total_amount
"",2.31,13.42
"",0.0,25.96
"",0.0,43.0
"",1.77,13.57
"",2.86,17.16
"",0.0,59.53
"",0.56,11.51
"",0.0,37.67
"",0.0,18.5
"",0.0,44.0
"",0.0,26.91
"",0.0,77.0
"",0.0,32.82
"",1.96,11.76
"",1.38,15.18
"",2.22,17.02
"",1.62,12.42
"",4.47,34.27
"",5.0,36.79
"",0.0,32.5
"",0.0,52.6
"",0.0,33.44
"",1.4,10.7
"",0.0,37.13
"",0.0,37.9
"",0.0,32.08
"",0.0,48.17
"",1.55,11.85
"",0.0,58.79
"",0.0,22.29
"",1.33,14.63
"",1.7,13.0
"",0.0,38.0
"",0.0,26.0
"",0.0,54.6
"",1.99,14.31
"",0.0,36.36
"",1.43,15.73
"",2.4,18.03
"",3.34,19.97
"",2.15,16.45
"",0.0,27.18
"",0.0,21.57
"",0.0,20.74
"",0.0,32.5
"",0.0,60.78
"",1.1,8.4
"",5.82,24.62
"",0.0,17.0
"",0.0,51.9
"",2.4,20.4
"",1.76,10.56
"",1.7,13.0
"",2.54,15.09
"",5.83,34.37
"",2.26,13.56
"",2.86,17.16
"",0.0,31.79
"",3.4,19.96
"",4.04,23.59
"",0.0,51.07
"",1.12,9.76
"",0.0,26.69
"",0.0,45.44
"",0.0,51.16
"",0.0,21.63
"",0.0,36.14
"",0.0,44.89
"",2.55,21.55
"",0.0,17.6
"",0.0,26.88
"",0.0,53.97
"",0.0,17.6
"",0.0,29.32
"",0.0,46.1
"",2.16,12.96
"",1.92,14.72
"",10.4,60.78
"",0.0,24.69
"",0.0,18.5
"",2.16,12.96
"",3.27,25.07
"",5.38,22.8
"",0.0,22.06
"",0.0,36.12
"",0.0,15.52
"",2.1,26.74
"",1.77,13.57
"",0.0,96.0
"",2.0,15.3
"",0.0,34.46
"",5.15,29.86
"",0.0,25.3
"",6.22,36.49
"",0.0,13.98
"",0.0,31.08
"",0.0,28.41
"",0.0,17.7
"",0.0,39.2
"",0.0,49.57
"",0.0,52.0
"",2.16,12.96
"",5.63,32.57
"",5.16,30.96
"",2.93,32.23
"",4.54,25.87
"",0.0,58.79
"",0.0,38.0
"",0.0,35.59
"",0.0,22.0
"",0.0,88.5
"",0.0,59.45
"",0.0,29.88
"",0.0,20.8
"",2.96,17.76
"",0.0,36.0
"",0.0,20.64
"",0.0,39.0
"",0.0,32.47
"",0.0,42.37
"",1.17,8.97
"",2.67,20.47
"",5.77,42.38
"",6.72,32.74
"",0.0,38.41
"",0.0,32.5
"",0.0,20.65
"",0.0,43.76
"",0.0,28.78
"",3.0,17.7
"",0.0,57.73
"",1.96,11.76
"",0.0,70.8
