passenger_count,tip_amount,total_amount
1.0,1.06,6.36
1.0,0.0,12.3
1.0,3.56,21.36
1.0,0.0,12.3
1.0,0.0,7.3
1.0,8.34,36.14
1.0,0.0,9.3
1.0,0.0,11.8
1.0,1.76,11.56
1.0,1.25,10.55
1.0,1.55,7.85
1.0,0.0,13.8
1.0,0.0,8.3
1.0,2.34,10.14
1.0,0.0,17.8
1.0,2.46,14.76
1.0,12.08,60.38
0.0,2.55,15.35
0.0,3.45,17.25
1.0,2.56,15.36
1.0,0.0,12.3
1.0,0.0,11.8
1.0,3.0,39.92
1.0,1.75,10.55
1.0,1.0,13.8
1.0,1.1,8.4
1.0,0.0,8.3
1.0,0.0,11.3
1.0,2.45,14.75
1.0,2.16,12.96
1.0,3.95,19.75
1.0,2.0,19.3
1.0,1.66,9.96
2.0,4.89,21.19
1.0,1.66,9.96
2.0,0.0,10.3
1.0,5.2,30.0
4.0,7.14,30.94
3.0,1.5,10.8
3.0,1.38,15.18
1.0,0.0,33.92
1.0,2.66,15.96
1.0,2.76,16.56
2.0,0.0,6.8
1.0,7.55,32.85
1.0,0.0,9.8
1.0,0.0,7.3
1.0,1.65,9.95
1.0,2.16,12.96
2.0,0.0,7.8
1.0,2.06,12.36
1.0,0.0,10.3
2.0,2.2,11.0
2.0,3.45,17.25
2.0,2.03,13.33
2.0,0.0,37.3
1.0,3.85,23.15
1.0,2.75,12.05
2.0,0.0,14.3
1.0,0.0,41.3
1.0,1.75,15.05
1.0,4.14,17.94
1.0,0.0,7.8
1.0,0.0,19.8
5.0,2.26,13.56
5.0,0.0,7.8
5.0,2.76,16.56
2.0,13.18,79.1
2.0,1.76,10.56
2.0,3.95,19.75
1.0,0.0,13.8
1.0,5.16,30.96
1.0,2.46,14.76
1.0,1.96,11.76
2.0,0.0,39.3
1.0,5.7,28.5
1.0,0.0,4.3
1.0,0.0,58.92
1.0,0.0,31.3
1.0,0.0,10.8
1.0,0.0,9.3
6.0,1.77,13.57
6.0,3.96,23.76
1.0,2.35,14.15
1.0,0.0,55.3
1.0,3.76,22.56
1.0,1.47,11.27
1.0,2.85,17.15
3.0,1.13,12.43
1.0,2.46,14.76
1.0,0.0,11.8
1.0,0.0,9.3
1.0,0.0,18.8
1.0,12.28,73.7
1.0,1.35,8.15
1.0,3.0,14.8
2.0,5.95,29.75
1.0,0.0,14.3
1.0,2.16,12.96
1.0,1.56,9.36
1.0,8.95,44.75
2.0,1.66,9.96
3.0,1.46,8.76
1.0,3.06,18.36
1.0,0.0,11.8
1.0,6.14,67.56
1.0,4.7,23.5
1.0,1.35,8.15
2.0,0.0,17.3
1.0,4.0,13.3
1.0,2.0,9.3
1.0,2.0,7.3
1.0,4.16,24.96
1.0,1.66,9.96
1.0,0.0,10.3
1.0,0.0,13.3
1.0,0.0,8.8
2.0,2.36,14.16
1.0,2.2,11.0
1.0,0.0,25.0
1.0,9.08,59.5
2.0,2.46,14.76
3.0,1.66,9.96
2.0,2.76,16.56
2.0,1.66,9.96
1.0,1.85,11.15
2.0,1.25,9.55
3.0,1.55,9.35
1.0,1.76,10.56
1.0,1.2,10.0
1.0,0.0,6.8
1.0,1.25,12.05
1.0,2.25,13.55
5.0,2.36,14.16
5.0,2.49,10.79
5.0,2.76,16.56
5.0,2.19,9.49
1.0,1.86,11.16
1.0,2.36,14.16
1.0,2.2,11.0
1.0,1.0,8.8
1.0,2.65,15.95
3.0,0.0,5.8
2.0,2.96,17.76
2.0,1.5,14.3
5.0,2.0,13.8
5.0,0.0,16.3
3.0,3.56,21.36
2.0,1.56,9.36
1.0,1.56,9.36
1.0,0.0,13.3
1.0,0.0,27.3
1.0,0.0,8.3
1.0,3.08,15.38
3.0,1.86,11.16
1.0,2.0,15.3
1.0,1.66,9.96
1.0,11.95,71.75
1.0,1.95,11.75
1.0,0.0,13.8
1.0,2.46,14.76
1.0,0.0,16.8
2.0,2.26,13.56
2.0,2.56,15.36
3.0,0.0,10.3
1.0,2.58,12.88
1.0,3.36,20.16
1.0,0.0,8.3
1.0,3.35,20.15
1.0,1.56,9.36
1.0,2.0,21.3
1.0,13.34,80.04
1.0,4.95,24.75
3.0,3.16,18.96
1.0,4.82,24.12
1.0,1.05,6.35
1.0,0.0,10.8
1.0,3.0,38.92
2.0,1.86,11.16
1.0,3.99,17.29
1.0,1.4,9.2
1.0,1.96,11.76
1.0,0.0,8.3
1.0,8.06,48.36
3.0,8.78,52.7
1.0,0.0,10.3
1.0,5.0,20.8
1.0,1.0,10.3
1.0,0.0,9.3
2.0,2.06,12.36
2.0,2.96,17.76
3.0,2.56,15.36
2.0,2.14,16.44
1.0,1.02,7.82
1.0,3.66,21.96
1.0,2.46,14.76
1.0,2.0,11.8
1.0,2.26,13.56
1.0,0.0,12.3
1.0,7.56,45.36
1.0,2.16,12.96
2.0,3.32,16.62
1.0,0.0,7.8
2.0,1.75,18.05
1.0,2.36,14.16
1.0,0.0,7.8
1.0,1.46,8.76
1.0,0.0,8.8
1.0,2.0,22.8
1.0,1.4,10.7
1.0,1.5,9.3
1.0,3.46,20.76
1.0,2.0,9.3
1.0,1.28,14.08
2.0,12.28,73.7
2.0,10.0,108.8
6.0,6.76,40.56
1.0,0.0,65.92
1.0,1.1,9.9
1.0,2.5,17.3
1.0,1.0,10.3
1.0,2.0,15.8
1.0,2.46,14.76
1.0,2.33,11.63
2.0,2.0,16.3
1.0,0.0,12.3
1.0,3.7,18.5
1.0,2.05,12.35
1.0,0.0,12.3
