passenger_count,tip_amount,total_amount
"",0.0,38.51
"",3.66,20.86
"",3.98,22.61
"",5.04,28.23
"",0.0,45.44
"",2.23,24.53
"",0.0,16.46
"",0.0,45.9
"",0.0,66.16
"",1.17,8.97
"",0.0,32.61
"",3.21,18.39
"",0.0,40.11
"",3.92,22.3
"",0.0,30.74
"",2.16,12.96
"",0.0,47.57
"",0.0,28.01
"",0.0,24.42
"",0.0,19.78
"",0.0,49.8
"",2.26,13.56
"",3.01,17.31
"",4.26,24.16
"",2.0,16.3
"",7.82,56.07
"",3.18,18.25
"",0.0,45.37
"",0.0,75.38
"",0.0,51.07
"",0.0,40.99
"",0.0,31.75
"",0.0,31.08
"",0.0,26.36
"",0.0,31.3
"",1.18,12.98
"",3.34,19.11
"",0.0,64.85
"",0.0,32.83
"",0.0,23.41
"",0.0,34.95
"",0.0,44.14
"",0.0,30.32
"",0.0,16.0
"",0.0,39.71
"",4.33,20.65
"",0.0,11.8
"",0.0,56.64
"",9.14,53.06
"",13.0,75.41
"",4.55,25.76
"",3.06,17.36
"",0.0,25.5
"",0.0,76.0
"",0.98,10.78
"",9.11,51.48
"",11.58,66.93
"",0.0,29.4
"",3.22,18.48
"",2.07,15.87
"",3.43,19.61
"",0.0,34.45
"",0.0,57.58
"",0.88,9.68
"",2.15,16.45
"",3.69,21.05
"",3.01,17.31
"",0.0,40.19
"",3.01,17.31
"",0.0,27.72
"",0.0,30.74
"",0.0,26.26
"",0.0,62.7
"",2.96,17.76
"",1.92,14.72
"",0.0,28.51
"",0.0,56.64
"",0.0,62.68
"",0.0,27.13
"",1.55,11.85
"",0.0,54.6
"",0.0,34.85
"",2.72,23.66
"",0.0,47.69
"",5.4,30.44
"",0.0,36.0
"",0.0,21.14
"",0.0,40.4
"",3.08,15.38
"",2.07,15.87
"",2.5,16.81
"",1.32,10.12
"",0.0,20.55
"",0.0,43.0
"",6.01,33.76
"",6.99,50.3
"",1.85,14.15
"",0.0,46.1
"",1.74,18.12
"",2.11,33.69
"",1.56,9.36
"",4.63,26.22
