passenger_count,tip_amount,total_amount
"",2.15,16.45
"",0.0,43.11
"",0.0,29.0
"",0.0,22.2
"",0.0,34.07
"",2.56,15.36
"",2.73,28.3
"",2.39,17.4
"",0.0,45.37
"",0.0,101.25
"",0.0,18.5
"",0.0,43.73
"",2.0,15.3
"",0.0,17.64
"",0.0,43.0
"",0.0,24.62
"",0.0,20.74
"",0.0,33.68
"",0.0,36.01
"",2.15,16.45
"",0.0,26.12
"",0.0,31.89
"",0.0,32.5
"",0.0,39.79
"",0.0,36.04
"",2.07,15.87
"",0.0,36.0
"",3.35,25.65
"",0.0,48.0
"",3.12,23.92
"",0.0,44.14
"",0.0,35.29
"",0.0,18.5
"",0.0,29.0
"",2.66,15.96
"",0.0,43.08
"",0.0,31.0
"",0.0,25.84
"",0.0,44.14
"",0.0,37.67
"",2.47,17.96
"",6.69,36.72
"",0.0,33.66
"",2.76,16.56
"",0.0,57.3
"",0.0,26.88
"",0.0,26.22
"",0.0,22.11
"",0.0,25.44
"",0.0,39.21
"",0.0,24.42
"",0.0,27.98
"",0.0,25.5
"",3.7,18.5
"",0.0,22.45
"",0.0,38.84
"",0.0,26.26
"",0.0,22.1
"",0.0,22.37
"",0.0,35.36
"",0.0,40.7
"",0.0,23.58
"",0.0,33.34
"",0.0,55.2
"",0.0,63.89
"",0.0,38.97
"",0.0,18.57
"",0.0,15.0
"",0.0,30.97
"",0.0,36.0
"",0.0,42.99
"",0.0,26.74
"",0.0,22.06
"",0.93,10.23
"",0.0,29.0
"",0.0,96.0
"",10.0,58.34
"",0.0,24.5
"",0.0,19.78
"",0.0,19.78
"",0.0,44.09
"",0.0,38.45
"",0.0,43.0
"",0.0,32.5
"",2.58,12.88
"",0.0,31.57
"",0.0,12.48
"",2.66,15.96
"",0.88,9.68
"",0.0,43.11
"",0.0,27.13
"",0.0,23.61
"",0.0,29.0
"",0.0,41.41
"",0.0,21.63
"",0.0,16.71
"",0.0,29.0
"",0.0,8.8
"",3.88,16.38
"",0.0,37.9
"",0.0,46.5
"",0.0,27.02
"",0.0,28.64
"",0.0,31.0
"",7.12,39.63
"",0.0,23.28
"",0.0,57.3
"",0.0,16.39
"",0.0,27.97
"",0.0,17.18
"",0.0,27.67
"",0.0,46.5
"",0.0,20.67
"",0.0,30.25
"",0.0,21.2
"",0.0,22.69
"",0.0,21.89
"",0.0,55.51
"",0.0,33.0
"",1.85,14.15
"",0.0,62.7
"",0.0,31.0
"",0.0,25.94
"",0.0,46.84
"",0.0,30.68
"",0.0,39.2
"",9.52,62.85
"",0.0,60.29
"",0.0,43.0
"",0.0,68.1
"",0.0,22.01
"",0.0,20.67
"",1.4,10.7
"",0.0,29.26
"",0.0,22.62
"",1.85,14.15
"",0.0,35.4
"",0.0,22.2
"",0.0,34.72
"",0.0,39.11
"",0.0,21.66
"",0.0,15.0
"",0.0,37.75
"",0.0,57.67
"",3.2,16.0
"",0.0,25.39
"",0.0,30.11
"",1.96,11.76
"",0.0,29.67
"",2.1,9.9
"",0.0,19.78
"",0.0,27.68
"",0.0,22.2
"",0.0,57.3
"",0.0,24.5
"",1.05,11.35
"",1.05,11.35
"",0.0,26.89
"",1.62,12.42
"",0.0,39.5
"",2.98,31.48
"",0.0,35.59
"",0.0,15.87
"",0.0,37.07
"",0.0,25.41
"",0.0,31.0
"",2.07,15.87
"",0.0,19.92
"",0.0,26.93
"",3.7,37.7
"",0.0,19.63
"",0.0,70.45
"",0.0,27.91
"",0.0,24.21
"",0.0,23.85
"",0.0,37.42
"",0.0,61.3
"",3.08,15.38
"",0.0,26.36
"",0.0,78.5
"",0.0,24.31
"",0.0,38.0
"",0.0,60.0
"",0.0,19.78
"",0.0,23.11
"",0.0,19.78
"",0.0,17.41
"",0.0,16.46
"",0.0,17.6
"",0.0,41.32
"",0.0,43.0
"",0.0,18.5
"",0.0,42.96
"",0.0,23.98
"",0.0,46.5
"",0.0,60.0
"",0.0,29.52
"",0.0,34.04
"",0.0,39.5
"",0.0,39.0
"",0.0,23.98
"",0.0,57.3
"",1.9,19.6
"",0.0,66.38
"",2.96,17.76
"",0.0,33.98
"",0.0,31.08
"",0.0,25.5
"",0.0,18.5
"",0.0,54.6
"",0.0,45.13
"",0.0,39.5
"",1.79,13.19
"",0.0,21.12
"",0.0,37.9
"",0.0,37.42
"",0.0,28.64
"",0.0,41.0
"",0.0,24.23
"",0.0,38.0
"",0.0,38.98
"",0.0,31.7
"",0.0,55.74
"",0.0,29.0
"",0.0,39.67
"",4.56,27.36
"",0.0,49.2
"",0.0,23.98
"",0.0,19.78
"",2.63,12.93
"",0.0,62.7
"",0.0,55.0
"",0.0,30.16
"",4.2,14.5
"",0.0,37.9
"",0.0,44.14
"",0.0,18.48
"",0.0,19.78
"",0.0,55.61
"",0.0,38.84
"",0.0,48.02
"",0.0,29.0
"",0.0,42.29
"",0.0,47.26
"",0.0,15.0
"",0.0,19.71
"",0.0,37.9
"",0.0,37.11
"",0.0,42.0
"",10.0,36.4
"",0.0,42.92
"",0.0,24.42
"",0.0,45.0
"",0.0,24.42
"",0.0,50.0
"",0.0,57.3
"",0.0,19.72
"",0.0,25.84
"",11.04,63.84
"",0.0,39.02
"",1.77,13.57
"",0.0,59.84
"",0.0,47.31
"",0.0,37.06
"",0.0,16.0
"",0.0,36.0
"",1.53,16.83
"",0.0,27.02
"",0.0,25.84
"",0.0,19.78
"",0.0,26.36
"",0.0,18.48
"",0.0,32.36
"",0.0,73.5
"",0.0,46.5
"",0.0,26.88
"",0.0,37.67
"",0.0,42.54
"",0.0,44.14
"",0.0,29.91
"",0.0,22.2
"",0.0,24.42
"",0.0,22.44
"",4.26,24.39
"",0.0,25.74
"",0.0,30.74
"",3.16,18.96
"",0.0,76.0
"",0.0,31.48
"",0.0,21.3
"",0.0,20.99
"",2.0,50.34
"",0.0,61.94
"",3.26,19.56
"",0.0,23.51
"",0.0,32.5
"",1.73,34.4
"",1.55,11.85
"",2.06,12.36
"",2.1,12.4
"",0.0,15.87
"",0.0,39.67
"",0.0,39.2
"",0.0,39.5
"",0.98,10.78
"",0.0,15.0
"",0.0,49.0
"",0.0,26.23
"",0.0,19.14
"",0.0,22.71
"",0.0,30.26
"",0.0,17.66
"",2.96,17.76
"",0.0,49.2
"",0.0,36.0
"",0.0,31.0
"",0.0,20.99
"",0.0,27.97
"",0.0,39.79
"",2.15,22.48
"",0.0,36.0
"",10.0,67.54
"",0.0,24.42
"",0.0,11.27
"",0.0,57.3
"",0.0,37.64
"",0.0,32.11
"",0.0,32.31
"",5.77,53.22
"",0.18,8.71
"",0.0,31.06
"",0.0,25.5
"",0.0,28.33
"",2.66,15.96
"",0.0,21.89
"",0.0,31.0
"",0.0,30.75
"",0.0,63.89
"",0.0,31.08
"",0.0,16.71
"",1.32,24.85
"",0.0,34.85
"",3.79,21.76
"",2.26,13.56
"",0.0,54.0
"",0.0,23.51
"",0.0,35.88
"",0.0,18.5
"",0.0,49.2
"",0.0,18.5
"",0.0,23.85
"",1.62,12.42
"",0.0,36.0
"",1.77,17.81
"",0.0,76.0
"",10.0,46.37
"",0.0,32.79
"",0.0,60.0
"",0.0,19.25
"",0.0,35.59
"",0.0,25.5
"",0.0,24.5
"",0.0,27.04
"",0.0,42.0
"",0.0,57.3
"",0.0,22.37
"",4.98,27.15
"",0.0,21.64
"",0.0,34.21
"",0.0,29.0
"",0.0,20.18
"",0.0,26.81
"",0.0,46.0
"",0.0,44.09
"",0.0,49.2
"",0.0,38.79
"",0.0,34.36
"",0.0,26.48
"",0.0,31.09
"",0.0,66.03
"",0.0,39.5
"",0.0,57.3
"",0.0,62.7
"",0.0,18.48
"",0.0,26.36
"",0.0,27.84
"",2.56,15.36
"",3.06,18.36
"",0.0,68.0
"",0.0,29.0
"",0.0,28.97
"",2.07,15.87
"",0.0,17.18
"",0.0,21.64
"",3.2,32.5
"",0.0,18.5
"",0.0,43.08
"",1.46,15.52
"",4.53,19.02
"",0.0,32.61
"",0.0,29.0
"",0.0,31.28
"",0.0,57.67
"",0.0,43.0
"",0.0,36.0
"",0.0,22.1
"",3.7,42.7
"",0.0,36.0
"",0.0,44.14
"",0.0,20.67
"",0.0,49.0
"",1.62,12.42
"",0.0,36.0
"",0.0,18.5
"",0.0,25.63
"",0.0,22.44
"",0.0,26.48
"",0.0,19.78
"",0.0,22.46
"",0.0,47.0
"",0.0,23.7
"",1.73,17.87
"",2.07,15.87
"",0.0,18.5
"",0.0,52.0
"",0.0,31.0
"",0.0,26.36
"",0.0,26.12
"",0.0,44.0
"",0.0,25.84
"",0.0,68.1
"",0.0,36.0
"",0.0,37.89
"",0.0,39.79
"",3.36,20.16
"",0.0,23.7
"",0.0,26.41
"",0.0,24.21
"",0.0,48.21
"",0.0,18.94
"",0.0,19.88
"",0.0,29.86
"",0.0,28.41
"",0.0,48.17
"",0.0,62.7
"",1.55,11.85
"",1.62,12.42
"",0.0,25.88
"",0.0,22.0
"",0.0,31.88
"",0.0,23.98
"",0.0,26.12
"",0.0,25.5
"",0.0,60.0
"",0.98,10.78
"",0.0,28.45
"",0.0,49.2
"",0.76,30.75
"",0.0,38.84
"",0.0,28.02
"",0.0,49.2
"",0.0,21.11
"",0.0,16.71
"",0.0,31.31
"",0.0,41.89
"",0.0,32.1
"",0.0,24.42
"",0.0,19.78
"",0.0,21.3
"",0.0,32.94
"",0.0,18.5
"",0.0,31.14
"",2.1,12.4
"",0.0,42.54
"",0.0,15.44
"",0.0,25.5
"",0.0,24.31
"",0.0,51.16
"",0.0,27.11
"",0.0,43.83
"",0.0,23.12
"",0.0,28.3
"",0.0,35.59
"",0.93,10.23
"",3.56,21.36
"",0.0,25.84
"",0.0,17.66
"",0.0,24.42
"",0.0,23.7
"",1.62,12.42
"",0.0,24.23
"",0.0,31.57
"",0.0,23.98
"",0.0,29.29
"",0.0,42.0
"",3.15,13.45
"",2.22,17.02
"",1.62,12.42
"",0.0,46.5
"",4.88,26.47
"",0.0,38.13
"",0.0,21.64
"",0.0,26.48
"",0.0,49.15
"",0.0,32.5
"",1.58,10.88
"",0.0,43.0
"",0.0,34.86
"",0.0,28.64
"",1.03,11.33
"",0.62,12.92
"",0.0,49.29
"",1.38,15.18
"",0.0,25.5
"",0.0,68.1
"",0.0,24.66
"",0.0,46.5
"",5.65,16.95
"",0.0,29.45
"",1.86,11.16
"",0.0,68.1
"",0.0,36.26
"",0.0,39.67
"",5.35,30.19
"",0.0,88.0
"",0.0,36.11
"",0.0,60.0
"",0.0,32.5
"",0.0,25.5
"",0.0,23.98
"",0.0,51.8
"",0.0,39.2
"",0.0,27.84
"",0.0,26.36
"",3.54,15.34
"",0.0,44.73
"",0.0,54.6
"",0.0,62.7
"",0.0,34.82
"",0.0,51.53
"",10.0,49.71
"",0.0,45.0
"",1.48,16.28
"",0.0,31.0
"",0.0,41.0
"",0.0,26.88
"",0.0,31.08
"",0.0,58.0
"",0.0,36.0
"",0.0,18.5
"",0.0,26.0
"",0.0,44.82
"",0.0,41.14
"",0.0,21.0
"",0.0,26.0
"",0.0,20.99
"",0.0,43.08
"",0.0,31.31
"",0.0,76.41
"",0.0,0.8
"",0.0,36.0
"",0.0,41.15
"",9.43,54.91
"",2.0,23.21
"",0.0,49.0
"",0.0,30.32
"",0.0,17.6
"",0.0,15.87
"",0.0,23.27
"",0.0,46.75
"",3.71,21.1
"",0.0,44.77
"",0.0,46.5
"",0.0,14.1
"",0.0,35.0
"",0.0,31.27
"",0.0,55.61
"",0.0,15.67
"",2.86,17.16
"",0.0,31.89
"",0.0,18.5
"",0.0,26.48
"",0.0,22.11
"",0.0,57.3
"",0.0,29.45
"",0.0,30.97
"",0.0,39.76
"",3.69,21.0
"",0.0,0.8
"",0.0,19.35
"",0.0,22.87
"",0.0,19.88
"",0.0,39.76
"",10.28,46.12
"",2.66,15.96
"",7.03,36.17
"",0.0,26.26
"",1.25,9.55
"",0.0,26.0
"",0.0,36.86
"",3.06,18.36
"",0.0,16.22
"",0.0,26.26
"",2.36,14.16
"",2.69,15.65
"",3.46,20.76
"",2.36,14.16
"",0.0,29.0
"",0.0,32.5
"",0.0,33.68
"",0.0,22.0
"",0.0,32.22
"",0.0,45.44
"",10.0,19.95
"",0.0,42.9
"",0.0,18.5
"",3.75,30.75
"",0.0,35.34
"",2.0,15.3
"",0.0,78.5
"",4.54,46.18
"",0.0,33.44
"",2.19,16.02
"",0.0,42.92
"",0.0,61.55
"",1.86,11.16
"",2.3,17.6
"",0.0,21.11
"",0.0,58.79
"",5.86,34.92
"",0.0,23.87
"",0.0,35.96
"",1.53,16.83
"",0.0,36.0
"",0.0,24.5
"",0.0,60.0
"",0.0,44.48
"",0.0,41.53
"",1.92,14.72
"",2.1,-12.4
"",1.86,11.16
"",0.0,44.73
"",2.0,12.3
"",0.0,27.67
"",0.0,32.5
"",0.0,38.84
"",0.0,36.0
"",0.0,52.98
"",0.0,54.6
"",0.0,37.67
"",2.1,12.4
"",0.0,26.12
"",0.0,16.39
"",0.0,32.2
"",0.0,49.77
"",0.0,21.89
"",0.0,18.5
"",0.0,39.76
"",0.0,57.3
"",0.0,41.99
"",0.0,40.7
"",0.0,29.0
"",0.0,32.31
"",0.0,61.0
"",0.0,61.0
"",0.0,47.26
"",0.0,36.0
"",0.0,34.32
"",0.0,36.71
"",0.0,54.34
"",0.0,23.98
"",3.16,18.96
"",10.0,19.95
"",0.0,15.94
"",0.0,25.96
"",0.0,49.2
"",0.0,43.0
"",4.74,20.54
