passenger_count,tip_amount,total_amount
1.0,3.35,20.15
1.0,1.0,9.8
1.0,1.0,15.3
1.0,0.0,7.3
1.0,3.96,23.76
1.0,1.46,8.76
1.0,2.66,15.96
1.0,1.76,10.56
1.0,0.0,14.3
1.0,0.0,7.8
1.0,3.33,16.63
1.0,0.0,9.3
1.0,0.0,31.3
5.0,1.88,20.68
6.0,3.09,13.39
6.0,0.0,13.3
2.0,2.46,14.76
2.0,1.86,11.16
2.0,0.0,7.3
1.0,0.7,11.0
1.0,5.0,18.3
1.0,1.0,14.8
1.0,2.76,16.56
1.0,2.76,16.56
1.0,1.17,8.97
1.0,2.16,12.96
1.0,2.0,31.3
1.0,2.55,12.85
4.0,1.26,7.56
2.0,3.45,17.25
2.0,1.0,10.8
1.0,4.3,21.6
1.0,6.32,22.12
1.0,0.0,16.8
1.0,3.56,21.36
1.0,3.32,16.62
1.0,2.86,17.16
1.0,2.75,16.55
1.0,2.35,14.15
3.0,2.08,22.88
1.0,1.24,9.54
1.0,2.86,17.16
1.0,1.96,11.76
1.0,2.05,12.35
1.0,2.95,17.75
1.0,3.15,18.95
1.0,2.58,12.88
1.0,3.86,23.16
1.0,2.36,14.16
1.0,0.0,12.8
1.0,2.0,18.3
1.0,2.94,12.74
1.0,2.37,18.17
1.0,0.0,10.8
1.0,0.0,12.3
1.0,0.0,8.3
3.0,3.06,18.36
4.0,3.06,18.36
1.0,4.3,21.6
1.0,0.0,10.8
1.0,2.06,12.36
1.0,2.86,17.16
1.0,0.0,6.8
1.0,2.26,13.56
1.0,0.0,8.8
1.0,2.0,25.3
1.0,2.6,19.9
1.0,3.06,18.36
1.0,0.42,8.72
1.0,0.93,10.23
1.0,1.76,10.56
1.0,2.06,12.36
1.0,1.95,9.75
1.0,1.95,11.75
1.0,2.0,13.3
1.0,0.0,9.8
1.0,5.38,32.3
1.0,2.7,13.5
1.0,2.0,15.8
1.0,0.0,8.8
1.0,3.0,23.8
1.0,2.0,16.8
1.0,2.0,12.3
1.0,1.4,10.7
1.0,1.76,10.56
1.0,9.24,40.04
1.0,3.45,20.75
1.0,0.0,20.3
1.0,2.36,14.16
2.0,1.0,9.8
1.0,1.0,22.3
1.0,3.55,17.85
1.0,3.06,18.36
1.0,2.74,21.04
1.0,2.0,14.8
1.0,2.76,16.56
1.0,2.7,13.5
1.0,4.16,24.96
1.0,0.0,8.8
1.0,1.46,8.76
1.0,2.96,17.76
1.0,3.72,28.52
1.0,4.15,24.95
2.0,1.86,11.16
1.0,2.06,12.36
1.0,2.0,15.3
1.0,4.45,22.25
1.0,3.26,19.56
1.0,2.3,15.1
1.0,0.0,6.8
1.0,3.06,18.36
1.0,3.45,17.25
1.0,1.46,8.76
1.0,1.67,11.47
1.0,3.26,19.56
1.0,3.0,19.3
1.0,3.33,16.63
1.0,3.33,16.63
1.0,3.35,20.15
1.0,2.0,26.3
1.0,4.95,24.75
5.0,3.86,23.16
5.0,1.06,9.86
5.0,1.5,14.3
2.0,2.06,12.36
2.0,2.26,13.56
1.0,1.7,15.0
1.0,1.96,11.76
1.0,3.09,13.39
1.0,0.0,17.3
1.0,0.0,13.8
1.0,2.5,25.3
1.0,0.0,45.92
1.0,0.0,14.8
1.0,1.76,10.56
0.0,1.55,9.35
0.0,2.2,11.0
0.0,0.0,13.8
5.0,2.0,6.8
5.0,1.18,12.98
5.0,3.2,16.0
5.0,5.64,24.44
1.0,8.0,56.42
1.0,1.25,13.55
1.0,3.06,18.36
1.0,1.96,11.76
1.0,0.0,15.3
2.0,3.25,19.55
1.0,1.85,11.15
1.0,2.45,10.75
1.0,1.0,10.8
2.0,1.5,10.3
2.0,2.0,14.8
2.0,2.26,13.56
2.0,1.56,9.36
1.0,0.0,9.8
1.0,0.0,7.3
1.0,0.0,12.3
1.0,2.0,15.8
1.0,2.96,17.76
1.0,0.0,17.8
1.0,2.0,16.3
2.0,0.0,8.3
2.0,0.0,9.8
1.0,1.46,8.76
1.0,0.0,8.3
1.0,1.86,11.16
1.0,1.38,15.18
1.0,1.66,9.96
1.0,1.32,10.12
1.0,3.56,21.36
2.0,0.0,7.3
1.0,7.06,42.36
1.0,0.0,15.3
1.0,2.25,13.55
1.0,1.35,8.15
3.0,0.82,11.12
3.0,2.19,9.49
2.0,2.45,12.25
3.0,2.2,11.0
2.0,0.0,8.3
1.0,5.46,32.76
1.0,1.0,9.8
1.0,3.76,22.56
1.0,2.56,15.36
1.0,1.17,8.97
1.0,4.5,24.3
1.0,3.95,19.75
1.0,2.65,15.95
1.0,1.0,9.3
1.0,2.5,17.8
1.0,1.66,9.96
1.0,0.75,12.05
1.0,1.0,10.8
1.0,0.0,18.8
1.0,1.96,11.76
1.0,0.0,10.8
2.0,4.14,17.94
2.0,3.16,18.96
2.0,3.46,20.76
2.0,0.0,20.8
2.0,0.0,16.3
1.0,1.0,10.8
1.0,0.0,-7.3
