passenger_count,tip_amount,total_amount
1.0,2.26,13.56
3.0,2.95,17.75
1.0,5.0,15.8
2.0,3.5,15.3
1.0,4.36,26.16
1.0,4.08,20.38
1.0,4.06,24.36
1.0,2.14,16.44
1.0,4.96,29.76
1.0,0.0,14.3
1.0,2.76,16.56
1.0,2.0,12.8
1.0,3.36,20.16
1.0,2.16,12.96
1.0,0.0,25.8
1.0,1.86,11.16
2.0,3.16,18.96
1.0,2.36,14.16
1.0,0.0,20.8
1.0,1.65,9.95
1.0,1.65,9.95
2.0,1.36,8.16
1.0,0.0,9.3
1.0,1.55,9.35
2.0,0.0,11.3
2.0,2.14,16.44
1.0,2.7,13.5
1.0,1.55,9.35
1.0,3.35,20.15
1.0,0.0,41.55
1.0,13.0,78.1
1.0,0.0,16.8
1.0,3.06,18.36
1.0,0.0,8.3
1.0,1.5,13.3
1.0,1.7,11.0
1.0,2.46,14.76
1.0,2.76,16.56
1.0,0.0,14.8
1.0,4.25,18.55
1.0,1.86,11.16
1.0,3.16,18.96
1.0,0.0,30.0
1.0,6.65,28.95
0.0,0.0,20.55
1.0,9.06,55.61
1.0,4.0,27.55
1.0,0.0,16.3
1.0,0.0,8.8
1.0,1.75,10.55
1.0,5.0,50.3
1.0,3.16,18.96
1.0,3.06,18.36
1.0,3.96,23.76
1.0,2.86,17.16
1.0,3.61,39.71
1.0,2.0,13.3
1.0,5.83,29.13
2.0,1.66,9.96
2.0,3.8,29.1
1.0,4.56,27.36
1.0,0.0,21.8
1.0,2.35,14.15
1.0,2.0,17.8
1.0,3.25,19.55
1.0,3.2,14.0
2.0,4.2,21.0
1.0,6.0,33.3
1.0,3.76,22.56
1.0,2.76,16.56
1.0,2.25,13.55
1.0,3.95,19.75
1.0,3.36,20.16
1.0,2.52,19.32
1.0,1.2,15.0
3.0,1.95,11.75
2.0,4.08,20.38
1.0,3.05,15.35
1.0,0.0,12.8
1.0,0.0,8.8
1.0,2.86,17.16
1.0,2.06,12.36
1.0,0.0,17.3
1.0,1.0,11.8
1.0,2.0,10.3
1.0,3.69,15.99
1.0,3.26,19.56
1.0,3.76,22.56
1.0,2.76,16.56
1.0,1.0,10.3
2.0,2.86,17.16
1.0,7.0,25.3
1.0,2.06,12.36
1.0,0.0,-9.3
1.0,0.0,9.3
1.0,0.0,12.3
2.0,2.16,12.96
2.0,2.96,17.76
1.0,2.16,12.96
1.0,0.0,14.8
1.0,3.0,29.8
1.0,2.06,12.36
1.0,1.38,15.18
1.0,2.16,12.96
1.0,0.0,27.55
2.0,9.16,70.21
1.0,2.0,14.8
1.0,2.0,15.3
1.0,1.95,11.75
1.0,1.0,12.3
3.0,3.05,18.35
2.0,3.05,18.35
1.0,0.0,17.8
1.0,2.56,15.36
1.0,4.86,29.16
1.0,0.0,14.3
1.0,2.86,17.16
1.0,3.96,23.76
1.0,2.66,15.96
1.0,2.33,11.63
3.0,5.45,32.75
1.0,3.65,21.95
1.0,3.46,20.76
2.0,10.5,52.6
1.0,0.0,8.8
1.0,0.0,10.3
1.0,2.86,17.16
1.0,2.7,13.5
1.0,3.26,19.56
1.0,1.26,7.56
1.0,3.56,21.36
1.0,2.36,14.16
1.0,2.7,15.0
1.0,3.76,22.56
1.0,0.0,24.3
1.0,3.58,17.88
1.0,5.0,22.3
2.0,0.0,14.3
2.0,1.48,16.28
1.0,0.0,14.05
1.0,1.0,7.3
1.0,0.0,-17.3
1.0,0.0,17.3
1.0,2.5,14.8
1.0,1.56,9.36
1.0,3.2,16.0
1.0,3.09,13.39
1.0,1.5,12.3
1.0,0.0,14.8
1.0,2.06,12.36
1.0,3.66,21.96
1.0,2.0,13.3
1.0,0.0,11.3
1.0,1.54,32.34
1.0,2.49,10.79
1.0,3.25,19.55
1.0,4.3,21.6
1.0,2.7,13.5
1.0,5.66,33.96
1.0,2.66,15.96
1.0,1.76,10.56
1.0,1.96,11.76
1.0,3.0,13.8
1.0,2.45,12.25
1.0,2.86,17.16
1.0,3.06,18.36
1.0,2.46,14.76
1.0,0.0,11.8
3.0,2.32,11.62
3.0,8.0,23.3
3.0,2.76,16.56
1.0,0.0,14.8
1.0,1.76,10.56
1.0,2.86,17.16
1.0,3.06,18.36
6.0,3.26,19.56
6.0,2.16,12.96
6.0,1.08,12.38
6.0,2.35,16.15
1.0,2.16,12.96
1.0,2.32,11.62
1.0,4.16,24.96
1.0,1.46,8.76
1.0,2.16,12.96
1.0,2.86,17.16
2.0,1.96,11.76
2.0,0.0,10.3
1.0,4.0,24.8
1.0,2.46,14.76
1.0,3.2,16.0
1.0,3.05,18.35
1.0,0.0,11.3
1.0,1.5,11.3
1.0,2.25,13.55
2.0,2.35,14.15
2.0,0.0,82.85
1.0,10.0,80.05
0.0,2.15,12.95
1.0,4.2,21.0
1.0,3.46,20.76
1.0,2.5,11.8
1.0,2.5,17.3
2.0,2.56,15.36
2.0,2.76,16.56
2.0,4.7,23.5
2.0,3.65,15.95
2.0,3.36,20.16
2.0,5.0,23.3
1.0,3.26,19.56
1.0,2.0,24.3
1.0,2.7,13.5
1.0,4.14,17.94
1.0,2.7,23.0
1.0,13.52,81.12
1.0,1.95,11.75
1.0,2.6,11.4
1.0,2.65,15.95
1.0,3.3,16.6
2.0,2.5,15.3
2.0,9.77,58.62
1.0,0.0,22.3
1.0,2.96,17.76
1.0,1.76,10.56
2.0,3.06,18.36
2.0,3.06,18.36
1.0,2.45,14.75
1.0,14.56,88.61
2.0,0.0,12.3
3.0,2.76,16.56
2.0,2.36,14.16
2.0,1.86,11.16
2.0,0.78,8.58
1.0,4.66,27.96
1.0,2.96,17.76
1.0,1.2,13.0
1.0,0.0,10.8
1.0,2.65,15.95
1.0,0.0,11.3
1.0,2.26,13.56
1.0,2.36,14.16
1.0,0.0,46.85
2.0,4.14,17.94
3.0,5.0,14.3
1.0,0.0,-9.3
1.0,0.0,9.3
5.0,4.16,24.96
1.0,0.0,14.3
1.0,0.0,10.3
1.0,0.0,12.3
2.0,1.77,13.57
2.0,1.0,10.3
2.0,2.16,12.96
2.0,10.82,54.12
1.0,2.86,17.16
1.0,2.0,16.3
1.0,2.56,15.36
1.0,0.0,12.3
2.0,3.45,20.75
5.0,11.0,76.8
1.0,0.0,42.55
1.0,1.0,11.3
1.0,2.52,19.32
1.0,0.0,-8.3
1.0,0.0,8.3
1.0,2.06,12.36
1.0,2.56,15.36
1.0,1.76,10.56
2.0,4.56,27.36
1.0,6.31,37.86
2.0,4.62,35.42
1.0,3.76,22.56
4.0,0.2,17.0
3.0,5.56,33.36
1.0,2.7,13.5
1.0,2.16,12.96
1.0,2.28,25.08
6.0,3.82,19.12
6.0,1.32,10.12
6.0,0.0,-7.8
6.0,0.0,7.8
1.0,2.0,22.3
1.0,0.0,14.8
1.0,4.59,19.89
1.0,2.76,16.56
1.0,2.7,13.0
1.0,1.97,14.27
1.0,3.0,15.8
2.0,3.15,18.95
1.0,4.3,21.6
1.0,3.5,38.55
