passenger_count,tip_amount,total_amount
1.0,1.56,9.36
2.0,1.0,12.3
1.0,0.0,11.8
3.0,0.0,10.3
2.0,0.0,14.3
1.0,0.0,25.8
1.0,0.0,9.3
3.0,1.24,9.54
4.0,0.0,8.8
4.0,3.16,18.96
6.0,0.0,17.8
6.0,0.0,12.8
1.0,0.0,10.8
1.0,0.0,22.8
1.0,2.0,15.3
1.0,2.95,14.75
1.0,0.0,10.8
1.0,8.47,50.82
1.0,0.0,9.3
2.0,0.0,10.8
1.0,0.0,61.85
1.0,4.0,60.55
2.0,0.0,10.8
2.0,3.06,18.36
2.0,2.06,12.36
2.0,0.0,16.3
1.0,13.1,78.65
1.0,0.0,12.3
2.0,2.34,10.14
1.0,7.37,44.22
3.0,2.52,19.32
2.0,0.0,20.3
1.0,0.0,19.8
1.0,3.26,19.56
0.0,3.05,15.35
1.0,2.32,11.62
1.0,2.06,12.36
5.0,0.0,11.3
5.0,0.0,14.8
5.0,0.0,6.8
1.0,0.0,12.8
1.0,0.0,11.8
1.0,2.96,17.76
1.0,2.16,12.96
1.0,7.76,51.56
1.0,3.66,21.96
1.0,5.16,30.96
2.0,10.14,77.74
1.0,2.56,15.36
1.0,2.36,14.16
1.0,1.5,22.3
1.0,0.0,6.8
1.0,1.0,10.8
2.0,1.66,9.96
2.0,1.17,8.97
1.0,2.79,12.09
1.0,1.36,8.16
5.0,7.52,45.12
1.0,0.0,10.8
1.0,1.86,11.16
1.0,3.06,18.36
3.0,3.45,20.75
3.0,3.25,19.55
1.0,0.0,12.3
2.0,0.0,7.3
1.0,10.0,71.85
1.0,1.0,10.3
2.0,3.26,19.56
2.0,2.26,13.56
3.0,3.06,18.36
1.0,5.0,28.3
1.0,0.0,9.8
1.0,0.0,17.8
3.0,0.0,17.3
2.0,3.16,18.96
1.0,12.37,75.47
1.0,8.0,75.6
1.0,13.27,79.62
1.0,7.29,31.59
1.0,1.76,10.56
1.0,5.96,35.76
2.0,0.0,14.8
1.0,0.0,18.8
1.0,2.14,16.44
1.0,1.96,11.76
2.0,3.96,23.76
1.0,0.0,8.3
1.0,3.08,15.38
1.0,0.0,8.3
1.0,5.79,25.09
1.0,2.2,15.0
1.0,1.45,8.75
1.0,0.0,10.3
1.0,2.55,12.85
1.0,15.46,77.31
2.0,1.13,12.43
1.0,2.15,12.95
1.0,2.35,14.15
2.0,6.55,39.35
1.0,6.31,37.86
1.0,2.46,14.76
2.0,0.0,5.3
1.0,0.0,10.3
1.0,0.0,12.3
1.0,5.0,19.3
1.0,2.56,15.36
1.0,0.0,8.8
1.0,1.96,11.76
1.0,1.13,12.43
1.0,5.0,80.3
1.0,4.2,30.0
1.0,3.36,20.16
1.0,12.62,75.72
1.0,0.0,10.3
