passenger_count,tip_amount,total_amount
1.0,3.15,18.95
1.0,3.3,16.6
1.0,3.95,17.25
1.0,0.0,7.8
1.0,0.0,17.8
1.0,1.55,9.35
1.0,0.0,11.8
4.0,0.0,12.3
1.0,2.06,12.36
1.0,0.0,11.8
1.0,0.0,18.8
1.0,1.76,10.56
1.0,0.0,10.3
1.0,1.0,10.8
1.0,3.96,23.76
1.0,2.46,14.76
1.0,2.76,16.56
1.0,0.0,7.3
2.0,4.2,21.0
2.0,1.0,15.8
1.0,2.95,17.75
1.0,0.0,12.3
1.0,3.86,23.16
1.0,3.36,20.16
1.0,1.66,9.96
1.0,2.52,19.32
1.0,2.26,13.56
1.0,2.06,12.36
3.0,0.0,9.3
2.0,0.0,11.3
2.0,0.0,12.3
3.0,3.86,23.16
3.0,1.76,10.56
2.0,0.0,13.3
3.0,3.7,18.5
1.0,1.0,9.8
1.0,2.26,13.56
2.0,6.06,36.36
1.0,2.35,14.15
1.0,2.5,19.8
1.0,2.0,15.8
3.0,2.0,26.3
2.0,1.85,11.15
1.0,2.16,12.96
1.0,2.76,16.56
1.0,2.0,36.3
1.0,1.76,10.56
1.0,2.45,12.25
1.0,3.08,15.38
1.0,0.0,-6.3
1.0,0.0,6.3
1.0,3.45,17.25
1.0,3.45,17.25
1.0,1.0,14.8
1.0,2.55,15.35
1.0,6.92,41.52
1.0,0.0,17.3
1.0,2.6,19.9
0.0,3.65,15.95
0.0,3.54,15.34
1.0,2.26,13.56
3.0,1.56,9.36
1.0,2.45,14.75
1.0,1.0,14.8
1.0,3.66,21.96
1.0,2.86,17.16
1.0,1.86,11.16
1.0,2.58,12.88
1.0,1.0,19.3
1.0,2.08,23.38
2.0,2.46,14.76
2.0,0.0,17.3
2.0,1.03,11.33
1.0,3.56,21.36
1.0,0.0,14.8
2.0,0.0,15.8
2.0,2.0,11.3
1.0,2.26,13.56
1.0,4.0,29.3
1.0,3.26,19.56
1.0,3.16,18.96
1.0,1.0,9.3
1.0,0.0,39.3
1.0,1.24,9.54
1.0,0.0,8.3
1.0,2.28,25.08
1.0,0.0,11.3
1.0,0.0,11.3
1.0,0.0,15.8
1.0,2.56,15.36
3.0,1.0,10.3
1.0,1.7,13.0
1.0,2.86,17.16
1.0,3.08,15.38
1.0,1.85,12.15
1.0,2.36,14.16
1.0,0.0,51.3
1.0,4.06,24.36
1.0,0.0,15.3
1.0,5.0,44.3
1.0,2.06,12.36
1.0,1.4,10.7
1.0,2.56,15.36
1.0,0.0,8.8
1.0,7.4,44.45
1.0,0.0,18.8
1.0,0.0,15.3
1.0,1.0,12.8
1.0,2.55,15.35
1.0,6.25,37.55
2.0,1.56,9.36
1.0,3.96,23.76
1.0,2.76,16.56
1.0,3.36,20.16
1.0,1.76,10.56
1.0,1.7,8.5
2.0,2.45,14.75
1.0,0.0,12.8
1.0,1.86,11.16
1.0,2.0,15.8
1.0,1.25,12.05
1.0,3.69,15.99
1.0,2.46,14.76
1.0,2.0,15.3
4.0,0.0,10.8
4.0,2.46,14.76
2.0,3.36,20.16
1.0,12.37,75.47
2.0,4.08,20.38
2.0,4.0,25.8
1.0,2.0,11.8
1.0,1.24,9.54
1.0,3.0,12.8
1.0,2.55,15.35
1.0,1.66,9.96
1.0,0.0,8.8
1.0,1.0,15.3
1.0,0.0,9.8
1.0,2.33,11.63
1.0,3.56,21.36
1.0,2.0,22.8
1.0,0.0,14.3
1.0,7.29,31.59
1.0,0.0,9.3
2.0,5.16,30.96
1.0,3.46,20.76
1.0,4.26,25.56
1.0,1.4,10.7
2.0,2.86,17.16
1.0,0.8,10.6
1.0,3.76,22.56
2.0,1.86,11.16
2.0,1.0,13.3
2.0,2.0,15.8
2.0,0.0,17.8
0.0,5.65,33.95
0.0,2.25,13.55
0.0,1.32,10.12
1.0,0.0,17.3
1.0,3.45,17.25
1.0,0.0,13.8
2.0,1.28,14.08
1.0,0.0,16.8
1.0,0.0,15.3
1.0,2.0,19.8
1.0,3.95,23.75
1.0,0.0,22.8
1.0,2.83,14.13
3.0,4.14,17.94
2.0,0.0,13.3
2.0,1.86,11.16
2.0,2.66,15.96
2.0,3.96,23.76
4.0,9.4,56.5
1.0,3.16,18.96
1.0,2.5,18.3
1.0,0.0,27.3
1.0,0.0,22.8
2.0,2.56,15.36
1.0,1.76,10.56
1.0,2.46,14.76
1.0,1.43,15.73
1.0,0.0,8.8
1.0,1.0,7.8
1.0,0.0,10.3
1.0,0.0,13.3
1.0,2.06,12.36
2.0,3.0,27.3
1.0,0.0,15.8
2.0,2.65,15.95
1.0,1.77,13.57
1.0,1.78,19.58
1.0,4.16,24.96
4.0,2.66,17.46
2.0,1.0,11.3
4.0,0.0,6.8
1.0,16.56,99.36
1.0,0.0,7.8
1.0,0.0,7.8
1.0,2.66,15.96
2.0,1.58,17.38
2.0,3.86,23.16
1.0,3.2,16.0
1.0,4.96,29.76
1.0,4.0,44.8
3.0,1.76,10.56
1.0,2.96,17.76
1.0,0.0,8.8
1.0,2.96,17.76
1.0,2.95,14.75
1.0,2.82,14.12
1.0,5.16,30.96
2.0,1.58,12.38
1.0,4.16,24.96
1.0,4.16,24.96
1.0,4.96,29.76
1.0,1.92,14.72
1.0,3.45,20.75
1.0,0.0,13.3
1.0,2.0,18.8
1.0,1.0,22.3
1.0,3.66,21.96
1.0,0.0,17.3
2.0,0.0,18.8
1.0,12.62,75.72
1.0,2.45,14.75
1.0,2.0,13.8
1.0,0.0,10.8
1.0,2.05,12.35
1.0,0.0,10.3
1.0,2.55,15.35
2.0,4.0,15.3
0.0,1.46,8.76
0.0,0.0,8.8
0.0,1.85,11.15
1.0,5.04,21.84
1.0,2.0,16.8
1.0,1.0,11.3
1.0,0.0,13.3
1.0,1.0,22.8
1.0,3.95,19.75
1.0,0.0,20.55
1.0,0.0,29.8
1.0,0.0,34.3
1.0,0.0,6.8
2.0,1.65,9.95
2.0,4.74,20.54
1.0,5.95,35.75
1.0,0.8,11.6
1.0,2.7,13.5
1.0,2.26,13.56
1.0,0.0,11.3
1.0,1.7,12.0
1.0,1.28,14.08
1.0,1.08,15.38
1.0,4.06,24.36
1.0,2.0,40.85
1.0,3.66,21.96
1.0,0.0,24.3
2.0,1.96,11.76
2.0,7.89,34.19
2.0,0.0,15.3
2.0,2.27,11.57
2.0,3.0,12.8
2.0,0.0,13.3
0.0,2.95,17.75
0.0,0.0,11.8
0.0,4.3,21.6
0.0,0.0,12.3
2.0,0.0,11.3
2.0,0.0,9.8
2.0,3.05,18.35
2.0,3.45,17.25
1.0,0.0,25.55
2.0,3.3,16.6
3.0,2.46,14.76
1.0,1.5,14.8
2.0,1.92,14.72
4.0,3.7,18.5
5.0,2.66,15.96
4.0,2.56,15.36
2.0,0.0,14.8
2.0,0.0,9.3
2.0,1.32,10.12
1.0,5.16,30.96
1.0,0.0,7.8
1.0,1.76,10.56
1.0,2.0,18.3
1.0,2.06,12.36
2.0,1.08,11.88
2.0,1.5,13.3
2.0,4.15,24.95
1.0,1.0,14.3
1.0,0.0,19.3
1.0,2.06,12.36
1.0,3.46,20.76
1.0,2.94,12.74
3.0,1.2,11.0
2.0,2.16,12.96
0.0,0.78,8.58
0.0,0.0,13.3
0.0,4.55,22.85
0.0,0.0,15.8
1.0,0.0,11.3
1.0,3.08,15.38
2.0,0.0,42.05
1.0,2.15,12.95
1.0,5.45,32.75
1.0,2.95,17.75
1.0,1.0,26.8
1.0,2.26,13.56
1.0,1.0,13.8
1.0,1.08,11.88
1.0,1.77,13.57
1.0,4.08,20.38
1.0,1.66,9.96
1.0,1.96,11.76
1.0,2.86,17.16
1.0,2.15,12.95
2.0,1.76,10.56
2.0,2.76,16.56
2.0,4.95,29.75
2.0,6.7,33.5
1.0,1.5,6.8
1.0,0.0,8.8
2.0,1.08,11.88
1.0,0.0,18.8
1.0,2.76,16.56
1.0,0.0,15.8
2.0,3.56,21.36
2.0,3.46,20.76
1.0,3.36,20.16
1.0,1.77,13.57
1.0,3.24,14.04
1.0,3.06,18.36
1.0,2.85,17.15
1.0,1.0,12.3
2.0,2.55,15.35
3.0,1.66,9.96
3.0,4.25,25.55
0.0,1.4,10.7
0.0,1.5,11.3
0.0,3.55,21.35
2.0,1.0,12.3
2.0,2.0,17.3
2.0,4.54,34.84
1.0,1.86,11.16
1.0,2.76,16.56
3.0,1.0,14.3
2.0,2.95,17.75
2.0,1.55,9.35
2.0,3.0,17.3
1.0,2.76,16.56
1.0,2.46,14.76
1.0,4.56,27.36
1.0,0.0,16.8
1.0,0.0,14.3
3.0,0.0,30.55
1.0,1.65,9.95
1.0,2.96,17.76
1.0,3.46,20.76
5.0,4.76,28.56
5.0,5.56,33.36
6.0,3.58,17.88
1.0,1.85,11.15
1.0,2.0,22.3
1.0,1.0,12.8
1.0,2.0,13.3
2.0,3.05,18.35
1.0,2.75,12.05
3.0,2.82,14.12
0.0,2.28,25.08
3.0,0.0,12.8
1.0,5.3,23.1
1.0,8.82,52.92
1.0,2.22,17.02
1.0,0.0,11.3
2.0,2.65,15.95
1.0,0.0,136.85
1.0,2.19,9.49
1.0,2.36,14.16
1.0,2.26,13.56
1.0,2.86,17.16
1.0,2.46,14.76
1.0,3.46,20.76
1.0,0.0,11.8
1.0,3.27,25.07
1.0,2.26,13.56
1.0,0.0,11.8
1.0,5.06,30.36
2.0,1.0,12.8
2.0,4.16,24.96
2.0,3.06,18.36
3.0,3.96,23.76
1.0,3.35,20.15
1.0,4.65,27.95
2.0,3.26,19.56
1.0,4.56,27.36
1.0,2.26,13.56
1.0,2.0,12.3
2.0,2.56,15.36
1.0,0.78,8.58
1.0,1.7,25.0
5.0,3.0,21.3
5.0,1.76,10.56
5.0,1.0,22.3
1.0,3.76,22.56
1.0,1.0,17.8
2.0,2.96,17.76
2.0,2.56,15.36
2.0,0.0,14.3
1.0,2.76,16.56
1.0,3.86,23.16
2.0,12.62,75.72
1.0,1.46,8.76
1.0,1.66,9.96
1.0,1.4,10.7
1.0,2.16,12.96
1.0,2.65,15.95
2.0,0.0,92.05
1.0,0.0,18.8
1.0,0.0,14.8
1.0,0.0,12.8
2.0,4.3,25.85
2.0,2.95,17.75
2.0,2.75,16.55
1.0,7.45,44.75
1.0,1.86,11.16
1.0,3.34,25.64
1.0,2.66,15.96
1.0,1.96,11.76
6.0,4.24,32.54
1.0,5.58,27.88
1.0,2.06,12.36
2.0,0.0,20.3
1.0,0.0,12.8
1.0,3.06,18.36
3.0,8.36,50.16
1.0,2.0,13.3
1.0,3.46,20.76
2.0,2.16,12.96
1.0,1.76,10.56
1.0,6.96,41.76
1.0,4.56,27.36
1.0,1.55,9.35
2.0,3.0,19.3
1.0,8.15,35.45
1.0,0.0,-14.8
1.0,0.0,14.8
1.0,2.0,29.3
1.0,2.15,12.95
2.0,1.0,10.3
1.0,2.26,13.56
1.0,11.49,49.79
1.0,1.0,10.8
1.0,1.0,14.3
1.0,3.45,17.25
1.0,3.0,18.8
1.0,2.0,14.8
1.0,0.0,9.8
