passenger_count,tip_amount,total_amount
1.0,5.08,25.38
2.0,0.0,14.3
2.0,8.17,49.02
1.0,8.26,49.56
1.0,2.37,18.17
1.0,0.0,14.3
1.0,1.0,12.3
2.0,0.0,16.8
2.0,1.1,8.4
2.0,2.0,16.3
1.0,12.16,72.96
0.0,2.05,12.35
0.0,0.0,12.3
0.0,2.66,15.96
1.0,0.0,7.3
1.0,1.5,9.8
1.0,0.0,13.3
1.0,0.0,14.3
1.0,5.6,24.4
2.0,0.0,18.3
1.0,0.0,12.8
1.0,0.0,11.8
1.0,1.96,11.76
1.0,1.0,12.8
1.0,1.85,14.15
1.0,1.36,8.16
1.0,2.16,12.96
1.0,3.08,15.38
1.0,1.86,11.16
1.0,1.0,18.8
1.0,5.65,33.95
2.0,1.0,18.8
0.0,6.65,28.95
0.0,0.0,8.8
1.0,0.0,18.3
1.0,2.8,29.1
1.0,0.0,8.3
1.0,0.96,5.76
1.0,0.0,12.8
1.0,3.82,19.12
1.0,0.0,0.0
0.0,0.0,4.8
0.0,0.0,6.3
0.0,4.0,17.3
0.0,0.0,14.8
0.0,2.14,16.44
1.0,0.0,6.3
1.0,0.0,3.3
1.0,0.0,3.3
1.0,0.0,3.8
1.0,0.0,3.3
0.0,0.0,3.3
1.0,0.0,3.8
1.0,0.13,3.43
1.0,0.0,3.5
1.0,-0.01,-3.31
1.0,0.01,3.31
1.0,0.0,5.3
1.0,0.0,3.3
1.0,0.0,3.3
1.0,0.0,3.3
1.0,0.95,4.75
2.0,0.33,4.13
1.0,2.45,14.75
1.0,1.75,10.55
1.0,1.95,11.75
1.0,3.05,18.35
2.0,6.55,39.35
1.0,0.0,44.0
1.0,2.25,13.55
1.0,12.35,74.2
6.0,0.0,10.3
6.0,4.26,25.56
2.0,6.25,37.55
5.0,0.0,8.3
5.0,0.0,9.8
5.0,3.82,19.12
1.0,0.0,17.3
1.0,2.86,17.16
1.0,0.0,3.3
1.0,0.0,20.8
1.0,4.14,17.94
1.0,0.0,12.8
2.0,4.35,26.15
1.0,0.0,13.3
1.0,2.6,11.4
2.0,3.55,17.85
1.0,5.0,19.8
1.0,0.0,19.0
1.0,0.0,19.0
1.0,0.0,19.0
1.0,2.75,16.55
1.0,4.25,25.55
1.0,0.0,16.3
1.0,3.46,20.76
1.0,2.75,16.55
1.0,0.0,23.8
1.0,0.0,23.3
1.0,5.15,30.95
1.0,0.0,12.3
1.0,2.0,22.3
2.0,2.35,14.15
1.0,2.0,17.3
1.0,5.0,43.6
0.0,0.0,13.3
0.0,0.0,11.8
1.0,0.7,9.0
6.0,0.0,23.8
1.0,2.86,17.16
1.0,21.61,129.66
1.0,0.0,8.8
1.0,4.0,26.8
0.0,3.45,20.75
0.0,0.93,10.23
2.0,3.06,18.36
2.0,2.0,9.8
0.0,3.85,23.15
1.0,0.0,9.8
1.0,0.0,15.3
1.0,2.76,16.56
1.0,0.0,9.3
1.0,4.45,26.75
4.0,0.0,19.3
1.0,0.0,23.8
1.0,0.0,43.6
2.0,2.46,14.76
1.0,1.0,9.8
2.0,1.96,11.76
2.0,1.54,11.84
1.0,0.95,4.75
0.0,10.73,73.83
1.0,2.35,14.15
1.0,4.05,24.35
1.0,0.0,10.3
1.0,0.0,6.3
1.0,3.33,16.63
0.0,0.0,21.55
5.0,0.0,56.55
1.0,0.0,22.8
1.0,0.0,13.3
1.0,1.46,8.76
1.0,0.0,9.3
1.0,3.5,15.3
1.0,0.0,8.3
1.0,1.0,10.3
1.0,0.0,9.8
1.0,1.0,10.3
1.0,2.0,13.8
1.0,1.2,13.0
2.0,5.0,50.1
2.0,3.25,19.55
1.0,0.0,7.8
1.0,0.0,22.8
1.0,0.0,42.1
1.0,5.16,39.58
1.0,1.86,11.16
1.0,0.0,10.3
1.0,1.55,7.85
1.0,0.0,11.3
1.0,2.76,16.56
1.0,3.5,24.3
1.0,0.0,18.8
1.0,2.15,12.95
1.0,0.0,11.3
2.0,0.0,7.8
1.0,0.0,12.8
2.0,1.0,13.3
2.0,1.76,10.56
1.0,3.46,20.76
1.0,3.85,23.15
1.0,8.22,49.32
1.0,1.0,13.8
1.0,3.15,18.95
1.0,0.0,8.8
1.0,1.85,11.15
2.0,4.26,25.56
2.0,5.04,21.84
1.0,0.0,7.3
1.0,1.5,18.8
1.0,0.0,11.3
1.0,0.0,15.8
1.0,3.96,23.76
1.0,2.0,17.8
2.0,1.63,12.93
1.0,0.0,13.8
2.0,0.0,16.8
1.0,0.0,13.3
1.0,2.46,14.76
1.0,3.66,21.96
1.0,2.0,17.8
1.0,1.95,11.75
1.0,0.0,9.3
1.0,1.55,9.35
1.0,2.79,12.09
1.0,1.0,9.8
1.0,0.0,10.8
3.0,0.0,16.8
1.0,2.55,15.35
1.0,7.06,42.36
1.0,1.0,12.3
1.0,5.34,23.14
2.0,4.96,29.76
1.0,0.0,35.05
1.0,0.0,9.3
1.0,2.75,16.55
3.0,0.0,8.3
3.0,2.21,14.51
3.0,4.06,24.36
1.0,0.0,52.0
1.0,2.66,15.96
1.0,0.0,10.3
1.0,0.0,11.3
1.0,3.36,20.16
