passenger_count,tip_amount,total_amount
"",2.63,19.13
"",4.28,26.51
"",6.34,35.58
"",4.59,26.0
"",5.27,29.73
"",3.5,20.0
"",4.88,31.21
"",2.0,22.6
"",3.5,20.0
"",4.38,58.46
"",3.5,20.0
"",3.5,20.0
"",3.5,20.0
"",9.24,50.04
"",3.5,19.5
"",3.26,23.58
"",3.5,20.0
"",4.88,27.6
"",5.11,22.75
"",6.21,34.63
"",1.76,18.05
"",5.0,31.43
"",3.5,20.0
"",7.72,43.17
"",7.3,41.85
"",1.32,10.12
"",3.95,30.25
"",3.89,21.92
"",3.0,25.13
"",8.81,41.02
"",3.5,20.0
"",3.5,24.5
"",2.36,14.16
"",6.55,36.54
"",1.47,28.71
"",8.0,44.44
"",3.15,19.65
"",5.05,28.49
"",2.0,21.79
"",3.1,17.55
"",3.5,20.0
"",4.0,29.37
"",0.0,38.43
"",10.31,57.4
"",0.0,61.91
"",0.0,20.64
"",6.38,35.82
"",8.71,48.61
"",8.37,46.72
"",3.0,35.18
"",0.0,22.0
"",1.75,18.25
"",6.23,35.01
"",0.0,14.7
"",3.5,20.0
"",5.39,30.14
"",1.32,25.84
"",4.96,28.03
"",4.46,25.01
"",11.96,60.58
"",5.31,29.95
"",0.0,21.95
"",3.5,20.0
"",0.0,66.78
"",5.28,37.65
"",3.0,35.0
"",0.0,46.5
"",4.24,24.04
"",5.27,29.7
"",2.0,19.03
"",6.05,28.14
"",0.0,51.9
"",5.19,29.26
"",4.2,42.72
"",4.33,24.32
"",0.0,26.36
"",3.0,17.0
"",3.39,19.13
"",0.0,19.71
"",2.39,24.62
"",0.0,18.78
"",4.09,29.12
"",3.5,20.0
"",4.86,21.57
"",2.17,22.4
"",2.82,28.66
"",5.93,33.35
"",3.67,20.95
"",3.97,32.21
"",4.42,25.06
"",5.64,40.83
"",5.01,28.36
"",3.5,20.0
"",3.58,20.42
"",0.0,44.61
"",5.77,32.45
"",4.47,25.34
"",3.76,21.43
"",2.0,25.99
"",1.75,18.25
"",7.16,42.96
"",0.0,16.5
"",2.0,24.64
"",3.88,22.09
"",3.76,21.43
"",6.27,35.2
"",3.5,20.0
"",6.17,43.89
"",3.5,20.0
"",0.0,27.28
"",3.5,20.0
"",3.5,20.0
"",1.75,18.25
"",3.5,20.0
"",2.59,26.61
"",3.19,20.54
"",7.04,28.91
"",0.0,62.7
"",1.68,18.48
"",3.5,20.0
"",0.0,20.12
"",3.65,37.17
"",4.07,28.98
"",3.56,20.32
"",3.5,20.0
"",0.0,18.16
"",0.0,43.0
"",7.66,40.5
"",2.0,24.06
"",3.15,19.65
"",3.92,22.31
"",3.5,20.0
"",2.0,18.5
"",6.36,35.72
"",3.5,20.0
"",3.5,20.0
"",5.24,29.55
"",3.5,20.0
"",5.28,29.78
"",3.5,20.0
"",4.16,23.61
"",0.0,51.16
"",0.0,59.06
"",3.5,20.0
"",4.71,26.62
"",7.78,43.48
"",16.1,85.81
"",8.78,48.97
"",3.75,21.36
"",0.0,26.94
"",5.95,33.47
"",0.0,43.32
"",0.0,32.11
"",6.09,34.23
"",1.75,18.25
"",3.5,20.0
"",1.0,32.88
"",9.94,55.83
"",3.61,34.74
"",1.13,12.43
"",7.54,42.19
"",0.0,78.81
"",0.0,50.94
"",1.18,12.98
"",1.61,31.33
"",0.0,46.5
"",3.5,20.0
"",15.18,83.09
"",5.87,26.89
"",3.5,19.5
"",6.69,37.53
"",3.15,19.65
"",2.41,24.87
"",0.0,58.04
"",1.0,24.9
"",2.09,21.68
"",5.28,29.77
"",6.52,36.59
"",0.0,34.04
"",5.32,29.99
