passenger_count,tip_amount,total_amount
1.0,0.0,-13.8
1.0,0.0,13.8
1.0,10.0,53.35
1.0,2.0,14.3
1.0,4.33,21.63
1.0,6.86,42.41
3.0,0.0,28.8
1.0,1.86,11.16
1.0,2.95,14.75
1.0,0.0,6.8
1.0,0.0,9.3
1.0,0.0,11.3
1.0,1.86,11.16
1.0,3.84,16.64
1.0,0.0,58.85
1.0,1.86,11.16
1.0,0.0,10.8
1.0,2.0,17.8
1.0,3.66,21.96
2.0,8.5,51.05
1.0,0.0,68.0
2.0,0.0,10.3
1.0,1.02,7.82
2.0,2.0,15.3
1.0,0.0,34.8
5.0,0.0,21.3
2.0,0.0,8.8
1.0,3.2,16.0
1.0,2.45,12.25
1.0,2.08,19.38
3.0,2.95,14.75
2.0,2.76,16.56
2.0,2.56,15.36
3.0,1.66,9.96
1.0,2.26,13.56
1.0,0.0,19.3
1.0,0.0,11.8
2.0,3.2,16.0
2.0,2.03,13.33
2.0,0.0,9.3
2.0,1.92,14.72
1.0,0.0,13.3
1.0,0.0,6.3
1.0,0.98,10.78
1.0,1.62,12.42
1.0,0.0,9.8
1.0,0.0,13.3
1.0,1.86,11.16
1.0,0.0,8.8
1.0,0.0,12.8
1.0,2.7,13.5
2.0,2.96,17.76
2.0,5.46,32.76
1.0,3.3,16.6
1.0,2.75,16.55
1.0,2.55,15.35
1.0,2.2,11.0
1.0,1.96,11.76
1.0,3.36,20.16
1.0,3.66,21.96
1.0,1.96,11.76
1.0,2.76,16.56
1.0,2.36,14.16
1.0,0.0,15.8
1.0,0.0,63.1
1.0,3.55,17.85
1.0,2.95,14.75
1.0,4.0,21.3
1.0,2.26,13.56
1.0,2.0,9.3
2.0,0.0,16.8
1.0,1.0,9.8
1.0,5.06,30.36
1.0,0.0,13.8
1.0,0.0,15.8
1.0,0.0,15.3
2.0,0.0,11.8
3.0,21.32,127.92
1.0,12.6,75.7
6.0,2.0,17.3
6.0,1.0,17.3
2.0,0.46,9.76
2.0,8.52,51.12
2.0,0.0,16.3
1.0,0.0,8.8
1.0,2.05,10.35
1.0,0.0,14.8
1.0,0.0,11.3
6.0,8.07,48.42
1.0,1.36,8.16
1.0,2.16,12.96
1.0,30.0,56.3
1.0,7.29,31.59
1.0,0.0,17.8
1.0,0.0,5.3
1.0,1.46,8.76
1.0,2.66,15.96
1.0,2.16,12.96
1.0,0.0,8.3
4.0,0.0,9.3
2.0,0.0,38.1
2.0,7.08,35.38
1.0,2.86,17.16
2.0,1.66,9.96
1.0,0.0,24.3
1.0,2.7,13.5
1.0,0.0,15.8
1.0,1.62,12.42
1.0,0.0,14.8
1.0,0.0,7.8
3.0,2.16,12.96
2.0,1.0,9.8
2.0,2.16,12.96
1.0,3.65,15.95
2.0,3.85,23.15
1.0,9.16,54.96
1.0,2.0,13.3
2.0,3.35,14.65
1.0,0.0,8.8
1.0,7.74,33.54
2.0,0.93,10.23
1.0,1.0,13.8
5.0,3.54,15.34
5.0,0.0,25.3
1.0,1.23,13.53
3.0,1.76,10.56
3.0,3.26,19.56
3.0,2.36,14.16
1.0,0.0,39.55
1.0,0.0,10.3
1.0,0.0,7.3
1.0,3.0,19.8
1.0,3.26,19.56
1.0,3.96,23.76
1.0,1.66,9.96
1.0,3.0,17.3
1.0,2.75,16.55
1.0,4.05,24.35
1.0,2.07,15.87
1.0,4.29,18.59
2.0,0.0,14.3
1.0,1.32,10.12
1.0,33.86,203.16
2.0,1.2,9.0
2.0,1.86,11.16
1.0,3.56,21.36
1.0,2.36,14.16
1.0,3.36,20.16
2.0,0.0,15.8
2.0,0.0,23.8
2.0,5.0,68.1
1.0,1.4,6.2
2.0,2.0,14.8
1.0,2.2,11.0
1.0,3.06,18.36
1.0,0.0,9.8
1.0,2.34,10.14
1.0,3.0,23.8
1.0,2.15,12.95
1.0,2.0,11.3
1.0,0.0,9.3
1.0,1.0,11.3
1.0,0.0,18.3
4.0,0.0,19.3
1.0,1.66,9.96
1.0,3.06,18.36
1.0,0.0,10.3
1.0,0.0,7.3
1.0,1.28,14.08
3.0,3.56,21.36
4.0,11.06,66.36
1.0,1.0,12.8
1.0,2.46,14.76
1.0,2.56,15.36
1.0,2.36,14.16
1.0,2.16,12.96
5.0,2.45,12.25
5.0,0.0,8.8
5.0,2.66,15.96
5.0,4.2,21.0
5.0,3.54,15.34
1.0,3.85,23.15
1.0,1.5,14.3
2.0,1.56,9.36
2.0,0.0,8.3
1.0,3.69,15.99
1.0,1.54,11.84
1.0,3.46,20.76
1.0,3.26,19.56
2.0,1.0,8.3
1.0,2.26,13.56
1.0,5.05,30.35
1.0,4.46,26.76
1.0,13.82,69.12
1.0,0.0,8.3
1.0,0.0,12.3
1.0,3.16,18.96
1.0,1.56,9.36
1.0,1.96,11.76
1.0,2.86,17.16
1.0,1.96,11.76
1.0,4.0,32.3
1.0,2.56,15.36
1.0,2.96,17.76
2.0,0.0,13.3
1.0,0.0,15.3
1.0,0.0,5.8
1.0,2.96,17.76
1.0,0.0,-12.3
1.0,0.0,12.3
1.0,3.46,20.76
1.0,4.74,20.54
1.0,7.97,47.82
1.0,1.85,11.15
1.0,1.5,14.3
1.0,1.5,10.8
2.0,0.0,15.3
1.0,1.0,9.8
1.0,2.33,11.63
1.0,0.0,7.3
1.0,0.0,8.8
1.0,2.0,17.3
1.0,0.0,8.3
1.0,2.0,12.8
1.0,0.0,8.3
2.0,0.0,9.3
3.0,2.32,11.62
4.0,1.96,11.76
3.0,1.96,11.76
3.0,3.24,14.04
1.0,2.85,17.15
1.0,0.0,16.3
2.0,1.5,12.3
1.0,0.0,11.3
5.0,3.06,18.36
5.0,0.0,16.3
2.0,3.2,16.0
2.0,1.96,11.76
2.0,2.0,17.8
2.0,4.16,24.96
2.0,12.62,75.72
2.0,2.36,14.16
