passenger_count,tip_amount,total_amount
"",3.5,20.0
"",0.0,68.09
"",5.0,23.14
"",0.0,18.5
"",7.97,44.55
"",16.07,91.12
"",3.5,20.0
"",0.0,36.0
"",5.74,39.04
"",1.03,11.33
"",5.73,32.23
"",8.57,47.82
"",3.5,20.0
"",1.13,12.43
"",4.26,25.56
"",3.5,20.0
"",2.34,24.18
"",3.15,19.65
"",0.0,15.0
"",5.91,53.84
"",4.19,23.79
"",0.0,18.8
"",0.0,43.0
"",17.75,97.06
"",3.87,27.59
"",3.5,20.0
"",0.0,34.82
"",4.7,26.59
"",14.22,79.5
"",0.0,50.25
"",4.76,26.91
"",3.5,20.0
"",0.0,45.37
"",9.85,67.87
"",2.0,21.83
"",11.2,56.38
"",0.0,27.68
"",12.58,72.74
"",4.5,46.14
"",3.94,22.43
"",2.0,21.21
"",3.75,26.96
"",0.0,62.7
"",2.0,36.08
"",3.0,22.02
"",0.0,62.7
"",4.51,25.62
"",2.0,18.5
"",5.52,31.08
"",0.0,68.1
"",0.0,41.84
"",0.0,39.5
"",13.69,76.59
"",11.97,81.2
"",3.5,20.0
"",3.33,24.04
"",1.93,21.23
"",15.95,109.34
"",0.0,33.96
"",0.39,36.71
"",3.36,20.16
"",3.5,20.0
"",3.72,21.19
"",3.17,45.32
"",0.0,36.0
"",3.55,20.05
"",0.0,29.0
"",0.0,18.5
"",11.04,62.04
"",5.54,31.19
"",3.15,19.65
"",3.5,20.0
"",4.68,26.48
"",3.35,24.21
"",0.0,35.28
"",0.0,70.1
"",9.36,52.49
"",4.03,28.92
"",0.0,44.16
"",3.5,20.0
"",0.0,51.9
"",2.15,47.15
"",12.59,89.43
"",16.49,-91.32
"",18.43,102.09
"",8.9,56.18
"",3.5,20.0
"",4.9,27.7
"",6.5,39.73
"",0.0,32.5
"",0.0,56.21
"",5.84,32.83
"",3.0,20.48
"",5.28,29.54
"",2.63,19.13
"",4.87,27.53
"",2.0,24.18
"",15.77,103.36
"",2.76,16.56
"",7.44,52.79
"",5.89,33.1
"",0.0,62.7
"",8.97,52.95
"",10.78,60.65
"",1.43,15.73
"",3.5,20.0
"",6.25,63.81
"",0.0,48.11
"",1.96,11.76
"",14.01,78.38
"",4.68,26.46
"",3.0,106.14
"",18.69,101.58
"",9.77,60.96
"",1.76,10.56
"",0.0,76.0
"",11.55,33.08
"",5.23,29.51
"",0.0,62.7
"",1.77,18.42
"",6.37,35.51
"",10.92,93.98
"",9.41,51.28
"",3.15,22.81
"",13.25,73.94
"",2.63,19.13
"",19.56,102.29
"",3.5,17.5
"",0.0,54.6
"",0.0,57.58
"",3.0,31.06
"",1.78,19.58
"",13.29,86.73
"",0.0,39.5
"",7.86,85.78
"",24.39,151.32
"",0.0,37.67
"",9.02,50.11
