passenger_count,tip_amount,total_amount
"",5.08,28.68
"",2.63,19.13
"",2.0,34.53
"",6.47,36.29
"",3.5,20.0
"",4.76,26.9
"",7.49,41.68
"",7.27,40.68
"",1.0,31.21
"",1.7,20.7
"",0.0,29.72
"",5.56,31.32
"",0.0,25.98
"",1.8,18.71
"",5.93,33.13
"",3.25,33.2
"",2.0,18.5
"",2.26,23.33
"",12.88,65.63
"",0.0,18.33
"",2.2,22.69
"",3.5,20.0
"",4.47,25.3
"",3.5,20.0
"",3.86,33.56
"",3.5,20.0
"",2.0,18.5
"",0.0,18.33
"",0.0,24.31
"",0.0,32.08
"",7.89,44.78
"",0.0,51.9
"",0.83,9.13
"",3.5,20.0
"",0.0,46.5
"",5.87,33.03
"",0.18,16.68
"",4.53,25.64
"",10.17,62.96
"",3.83,21.79
"",4.64,26.26
"",3.65,18.11
"",3.5,20.0
"",5.88,32.85
"",2.91,29.86
"",3.5,20.0
"",0.0,52.4
"",0.0,36.0
"",5.88,27.55
"",6.29,35.32
"",4.59,26.0
"",4.98,25.64
"",5.57,28.88
"",5.02,34.67
"",0.0,15.0
"",10.78,76.52
"",3.03,24.94
"",3.0,35.49
"",3.0,17.0
"",4.73,26.53
"",8.05,45.43
"",0.53,17.03
"",2.0,18.5
"",3.75,26.99
"",0.0,32.99
"",0.0,32.5
"",10.78,60.37
"",4.93,27.84
"",2.0,27.03
"",5.18,29.24
"",6.83,32.39
"",5.37,33.33
"",4.52,22.89
"",9.86,48.87
"",6.38,35.07
"",0.0,26.9
"",4.2,23.82
"",8.59,51.99
"",3.0,50.97
"",2.27,20.04
"",3.5,20.0
"",0.0,18.01
"",5.44,38.81
"",1.0,17.5
"",3.5,20.0
"",6.45,35.95
"",0.0,24.29
"",4.67,26.43
"",0.0,22.31
"",3.84,29.86
"",5.87,33.0
"",5.8,33.05
"",3.5,20.0
"",6.25,35.11
"",2.0,32.01
"",5.35,30.13
"",2.0,24.5
"",5.09,28.72
"",4.19,29.82
"",3.55,20.05
"",0.0,33.84
"",4.79,27.07
"",3.5,20.01
"",6.17,34.42
"",3.0,17.0
"",9.64,54.12
"",8.59,48.35
"",3.5,20.0
"",3.5,20.0
"",2.0,20.25
"",2.0,18.5
"",3.5,20.0
"",3.5,20.0
"",0.0,32.27
"",3.0,26.44
"",3.95,24.45
"",9.67,54.31
"",0.0,47.12
"",0.0,23.0
"",0.0,14.0
"",7.31,40.9
"",7.4,41.15
"",11.44,63.57
"",0.0,16.5
"",6.03,33.68
"",3.5,20.0
"",4.62,26.14
"",2.63,19.13
"",9.36,50.13
"",1.75,18.25
"",1.89,19.63
"",4.19,36.48
"",3.0,25.21
"",3.0,22.14
"",6.04,33.73
"",4.6,26.03
"",3.9,22.22
"",0.0,18.54
"",7.06,37.07
"",4.55,25.76
"",1.81,18.82
"",1.0,24.57
"",4.72,45.86
"",2.0,16.0
"",4.0,23.59
"",7.22,45.32
"",6.01,33.57
"",0.0,76.0
"",10.35,58.04
"",1.92,14.72
"",4.13,23.5
"",3.07,31.22
"",3.5,20.0
"",3.5,20.0
"",5.66,31.63
"",0.0,16.5
"",0.0,52.02
"",0.0,54.6
"",3.41,19.26
"",0.0,104.0
"",0.0,98.5
"",0.0,29.68
"",6.31,35.21
"",0.0,45.1
"",4.97,28.08
"",3.89,21.91
"",3.5,20.0
"",1.75,18.25
"",0.0,41.56
"",4.33,24.32
"",4.86,27.49
"",7.86,43.93
"",4.55,34.8
"",3.5,20.0
"",2.27,23.58
"",1.75,18.25
"",6.53,36.41
"",7.76,44.07
"",3.58,20.42
"",3.5,20.0
"",4.84,33.97
"",6.03,33.66
"",4.49,22.96
"",3.67,20.7
"",3.71,32.06
"",6.88,42.38
"",6.63,36.94
"",0.0,81.45
"",5.16,43.09
"",7.1,36.11
"",0.0,31.52
"",3.5,20.0
"",8.6,47.98
"",4.03,22.92
"",3.51,21.81
"",0.0,19.13
"",7.85,41.14
"",5.0,32.05
"",3.76,21.42
"",2.0,23.88
"",0.0,26.42
"",4.88,27.62
"",3.53,20.17
"",3.55,20.05
"",3.0,17.0
"",4.37,24.53
"",7.16,75.16
"",7.08,39.42
"",2.63,19.13
"",5.64,25.87
"",6.55,36.75
"",0.0,20.28
"",7.03,39.15
"",2.49,25.44
"",7.56,42.96
"",2.25,16.25
"",4.78,24.68
"",2.75,19.97
"",0.0,16.83
"",3.0,21.0
"",3.64,20.5
"",3.57,20.4
"",0.0,49.2
"",0.0,25.89
"",3.89,22.14
"",2.18,22.55
"",0.0,70.45
"",3.36,24.24
"",3.0,19.5
"",0.0,29.76
"",20.0,53.32
"",0.0,16.85
"",3.66,20.9
"",2.8,18.75
"",0.0,26.37
"",5.85,32.92
"",3.5,20.0
"",5.38,30.31
"",5.27,24.97
"",1.75,18.25
"",0.0,57.3
"",5.34,30.12
"",0.0,25.3
"",3.98,22.63
"",3.5,20.0
"",3.5,20.0
"",1.3,25.51
"",2.56,15.36
"",3.5,20.0
"",8.77,48.69
"",8.6,47.99
"",1.78,18.28
"",4.07,23.12
"",3.0,20.88
"",4.07,23.11
"",3.95,28.37
"",4.05,23.03
"",1.0,28.97
"",3.01,19.57
"",7.65,42.77
"",0.0,70.8
"",5.16,29.11
"",0.0,41.12
"",1.0,21.24
"",2.0,25.02
"",5.26,29.65
"",6.64,37.22
"",4.72,26.69
"",5.64,31.52
"",7.76,43.16
"",1.0,16.46
"",3.5,20.0
"",2.98,30.5
"",0.0,39.5
"",3.0,20.69
"",3.5,20.0
"",3.5,20.0
"",3.15,20.32
"",5.59,31.21
"",5.56,39.39
"",3.5,20.0
"",2.63,19.13
"",3.0,23.23
"",3.5,20.0
"",3.5,20.0
"",2.63,19.13
"",6.26,35.15
"",2.63,19.13
"",3.5,20.0
"",6.07,42.96
"",3.5,17.5
"",0.0,16.5
"",4.7,26.59
"",4.91,31.0
"",3.93,22.09
"",9.76,45.6
"",2.86,20.77
"",1.0,17.5
"",7.45,41.67
"",4.95,27.94
"",3.5,20.0
"",4.62,26.15
"",2.63,19.13
"",12.86,52.8
"",6.05,34.0
"",4.76,26.91
"",5.42,30.53
"",2.63,19.13
"",6.48,36.36
"",3.5,20.0
"",4.38,20.88
"",0.93,10.23
"",4.88,27.62
"",3.99,22.71
"",3.5,20.0
"",4.48,27.65
"",2.98,30.51
"",3.8,21.64
"",5.95,27.59
"",3.73,21.25
"",7.99,44.65
"",6.43,36.09
"",0.0,41.4
"",3.99,28.63
"",5.4,30.44
"",0.0,17.39
"",2.63,19.13
"",3.5,20.0
"",0.0,69.04
"",3.21,23.23
"",5.8,32.64
"",1.82,18.94
"",0.0,26.76
"",4.47,25.32
"",3.5,20.0
"",4.9,27.68
"",0.0,73.5
"",7.28,40.73
"",1.0,24.71
"",3.0,26.45
"",0.0,29.85
"",7.23,46.52
"",3.76,29.3
"",1.75,18.25
"",6.75,37.86
"",0.0,16.5
"",1.9,19.46
"",3.37,24.07
"",0.0,51.9
"",0.0,32.5
"",1.0,24.11
"",3.71,21.17
"",0.0,49.2
"",1.28,24.99
"",2.75,19.97
"",2.63,19.13
"",3.55,17.55
"",3.5,20.0
"",0.0,36.0
"",4.84,27.36
"",0.0,40.14
"",0.0,23.23
"",3.5,20.0
"",2.82,32.95
"",0.0,46.27
"",5.0,41.56
"",5.26,29.44
"",4.78,27.04
"",3.5,20.0
"",4.81,27.2
"",3.5,20.0
"",1.82,18.95
"",3.5,20.0
"",6.94,38.9
"",0.0,30.47
"",2.63,19.13
"",3.5,20.0
"",3.29,33.61
"",2.63,19.13
"",3.0,19.5
"",3.67,20.95
"",2.73,27.81
"",1.0,19.49
"",4.68,26.49
"",0.0,30.12
"",3.5,20.0
"",11.94,80.35
"",3.5,20.0
"",0.0,30.07
"",2.41,18.92
"",3.59,20.23
"",0.0,28.75
"",0.0,32.11
"",3.55,20.05
"",0.0,88.5
"",1.0,24.72
"",3.5,20.0
"",1.0,26.1
"",3.5,20.0
"",4.05,23.0
"",0.0,23.67
"",3.55,20.27
"",3.66,20.88
"",3.0,29.98
"",5.28,37.7
"",3.5,20.0
"",0.0,28.4
"",1.15,26.15
"",4.54,25.73
"",6.19,34.52
"",3.5,20.0
"",2.63,19.13
"",6.8,38.1
"",6.34,29.9
"",6.15,34.32
"",0.0,57.67
"",3.5,20.0
"",2.63,19.13
"",6.37,35.51
"",2.19,22.43
"",8.16,44.8
"",5.02,28.34
"",4.41,24.76
"",5.85,32.92
"",4.97,27.86
"",7.25,40.59
"",4.32,21.99
"",3.66,20.89
"",1.92,19.97
"",4.41,25.0
"",3.15,19.65
"",4.58,28.23
"",3.52,20.12
"",3.67,20.93
"",4.03,22.91
"",5.72,32.18
"",7.23,40.46
"",3.56,20.12
"",2.0,26.24
"",4.83,27.03
"",3.71,26.45
"",2.63,19.13
"",3.15,19.67
"",5.6,31.52
"",4.44,31.73
"",4.31,24.43
"",0.91,18.08
"",5.84,32.85
"",2.0,21.15
"",4.37,24.76
"",3.5,20.0
"",5.81,32.68
"",5.22,29.42
"",5.0,19.0
"",3.65,26.28
"",3.2,17.2
"",2.63,19.13
"",5.25,21.75
"",2.21,22.87
"",3.0,19.5
"",3.5,20.0
"",0.0,51.9
"",2.16,12.96
"",4.97,28.09
"",4.55,25.82
"",3.0,21.72
"",0.0,43.0
"",0.0,16.61
"",3.5,20.0
"",3.5,20.0
"",5.7,31.86
"",3.5,20.0
"",4.86,27.48
"",0.0,43.0
"",3.0,19.5
"",5.6,31.52
"",3.5,20.0
"",4.38,20.88
"",3.5,20.0
"",3.6,20.53
"",3.0,19.5
"",3.5,20.0
"",5.15,35.63
"",4.36,26.9
"",5.6,35.6
"",0.0,20.55
"",0.0,21.52
"",9.61,53.98
"",0.0,70.8
"",3.54,20.23
"",3.5,20.0
"",3.5,20.0
"",3.52,20.11
"",6.96,37.96
"",4.85,34.66
"",5.01,28.28
"",0.0,39.85
"",5.0,21.5
"",5.75,32.34
"",3.15,19.65
"",4.14,23.51
"",4.51,25.59
"",6.24,35.03
"",2.63,19.13
"",3.11,41.19
"",0.0,55.74
"",3.58,38.79
"",3.5,20.0
"",0.0,19.81
"",3.5,20.0
"",3.0,17.0
"",0.0,16.2
"",3.5,20.0
"",3.09,22.38
"",4.22,30.25
"",3.5,20.0
"",4.05,22.79
"",5.0,28.22
"",0.0,22.33
"",3.74,21.32
"",3.0,17.0
"",4.94,27.92
"",4.97,28.05
"",3.5,19.5
"",6.46,36.25
"",0.0,16.5
"",4.32,24.3
"",2.77,22.58
"",0.0,33.53
"",10.08,56.1
"",5.15,29.05
"",0.0,49.2
"",2.87,20.86
"",5.82,32.75
"",0.0,58.13
"",4.38,20.88
"",1.75,18.25
"",3.0,24.81
"",3.5,20.0
"",4.59,25.99
"",1.75,18.25
"",5.0,28.33
"",3.57,31.1
"",5.1,28.78
"",3.34,24.14
"",0.0,30.57
"",7.14,39.99
"",0.0,18.5
"",4.42,25.05
"",3.0,19.5
"",0.0,29.14
"",0.0,14.87
"",0.0,68.1
"",7.31,40.94
"",1.02,11.32
"",3.86,21.96
"",3.5,20.0
"",3.5,20.0
