passenger_count,tip_amount,total_amount
1.0,2.58,12.88
1.0,0.0,34.55
1.0,2.0,16.3
1.0,6.84,29.64
1.0,1.92,14.72
3.0,0.0,17.8
3.0,3.32,16.62
3.0,2.26,13.56
1.0,12.62,75.72
1.0,0.0,63.1
2.0,8.67,53.27
2.0,2.5,16.8
1.0,2.0,12.3
1.0,2.45,12.25
1.0,2.66,15.96
1.0,9.12,54.72
1.0,2.2,15.0
2.0,0.0,7.8
2.0,0.0,9.3
2.0,1.0,8.8
1.0,0.1,7.9
1.0,0.0,10.8
1.0,5.0,65.1
1.0,1.7,13.0
1.0,2.45,14.75
1.0,2.55,15.35
1.0,0.0,6.3
2.0,0.0,12.8
2.0,2.66,15.96
1.0,4.86,29.16
2.0,0.0,44.1
1.0,1.96,11.76
1.0,6.0,36.05
1.0,0.0,25.8
1.0,1.96,11.76
1.0,0.0,37.3
1.0,8.26,49.56
1.0,2.05,10.35
1.0,3.45,20.75
1.0,3.0,20.3
2.0,8.37,50.22
3.0,6.2,31.0
3.0,1.66,9.96
3.0,1.96,11.76
3.0,2.66,15.96
1.0,0.0,15.3
1.0,1.66,9.96
1.0,3.58,17.88
1.0,2.56,15.36
1.0,0.0,8.8
1.0,2.0,14.3
3.0,0.0,7.8
2.0,0.0,9.8
1.0,0.0,19.3
1.0,0.0,24.8
1.0,5.46,32.76
1.0,2.46,14.76
1.0,2.76,16.56
1.0,0.0,11.8
1.0,1.46,8.76
1.0,1.0,14.8
1.0,0.0,10.8
5.0,3.86,23.16
6.0,10.16,44.01
1.0,3.46,20.76
3.0,15.46,92.76
2.0,0.0,14.3
1.0,1.0,15.8
1.0,1.55,9.35
2.0,1.0,13.8
1.0,0.0,8.3
1.0,1.4,10.7
1.0,1.63,17.93
1.0,5.0,16.8
1.0,1.95,11.75
2.0,0.0,11.8
1.0,0.98,10.78
1.0,2.16,12.96
1.0,2.32,11.62
1.0,0.0,9.3
1.0,3.69,15.99
1.0,0.0,18.3
1.0,1.54,11.84
1.0,2.16,12.96
1.0,3.0,21.3
1.0,0.0,41.55
1.0,0.0,19.3
6.0,0.0,9.8
1.0,3.95,17.25
1.0,2.16,12.96
2.0,2.05,12.35
1.0,2.2,11.0
1.0,2.35,14.15
1.0,0.0,27.05
1.0,4.59,19.89
1.0,0.0,11.3
2.0,0.0,17.3
1.0,1.84,17.14
1.0,2.76,16.56
1.0,0.0,16.3
6.0,0.0,62.67
1.0,2.15,12.95
2.0,2.03,13.33
1.0,3.95,23.75
1.0,0.0,9.8
1.0,2.7,13.5
1.0,1.8,14.6
1.0,3.0,20.3
6.0,2.26,13.56
5.0,3.06,18.36
5.0,3.32,16.62
1.0,1.46,8.76
1.0,0.0,12.3
1.0,2.36,14.16
1.0,0.0,9.8
1.0,3.15,18.95
1.0,2.35,14.15
1.0,2.65,15.95
1.0,0.0,73.35
1.0,1.0,7.3
1.0,0.0,10.3
1.0,0.0,10.3
1.0,1.0,11.8
1.0,0.0,11.3
1.0,0.0,8.8
1.0,2.66,15.96
0.0,2.35,14.15
1.0,1.55,9.35
1.0,1.0,9.3
