passenger_count,tip_amount,total_amount
4.0,4.96,29.76
6.0,2.08,10.38
6.0,0.0,29.3
2.0,0.0,48.85
1.0,2.7,13.5
1.0,4.14,17.94
1.0,1.0,8.8
1.0,2.26,13.56
1.0,1.56,9.36
1.0,0.0,8.8
1.0,0.0,15.8
1.0,2.0,16.8
1.0,0.0,23.3
1.0,0.0,11.3
2.0,11.46,57.31
1.0,0.0,11.8
1.0,0.0,22.8
1.0,0.0,8.3
1.0,1.5,12.3
1.0,0.0,20.8
2.0,0.0,17.8
1.0,4.28,28.08
1.0,2.0,17.3
1.0,2.86,17.16
1.0,1.86,11.16
1.0,1.76,10.56
1.0,1.0,13.3
1.0,2.36,14.16
1.0,5.0,42.3
1.0,7.86,47.16
1.0,2.66,15.96
1.0,2.2,11.0
1.0,2.25,13.55
1.0,0.0,8.8
1.0,1.7,11.0
1.0,3.26,19.56
1.0,2.36,14.16
1.0,1.95,9.75
1.0,5.36,32.16
1.0,1.0,13.3
1.0,3.15,18.95
1.0,4.7,23.5
2.0,0.0,17.3
1.0,2.65,15.95
1.0,1.0,11.8
1.0,3.05,18.35
1.0,0.0,38.85
1.0,2.0,15.3
1.0,0.0,10.3
1.0,3.5,26.8
1.0,2.46,14.76
1.0,2.66,15.96
1.0,0.0,7.8
1.0,2.06,12.36
1.0,2.7,13.5
1.0,0.0,16.3
1.0,0.0,9.8
1.0,2.26,13.56
1.0,2.44,18.74
1.0,0.0,57.8
1.0,0.0,27.8
1.0,1.46,8.76
3.0,0.0,33.8
1.0,0.0,25.55
2.0,0.0,15.8
2.0,1.5,11.8
1.0,0.0,-16.8
1.0,0.0,16.8
1.0,2.95,14.75
1.0,3.96,23.76
0.0,0.0,16.8
2.0,2.55,15.35
1.0,0.0,49.8
1.0,2.2,11.0
1.0,2.66,15.96
1.0,1.76,10.56
1.0,3.06,18.36
2.0,0.0,21.3
0.0,2.33,11.63
1.0,2.85,17.15
1.0,0.0,18.8
1.0,2.26,13.56
2.0,3.32,16.62
1.0,1.2,12.0
1.0,0.0,13.3
1.0,4.2,21.0
1.0,1.0,13.8
2.0,1.96,11.76
1.0,13.56,81.36
1.0,3.86,23.16
3.0,0.0,10.8
2.0,0.0,15.8
1.0,0.0,39.55
1.0,0.0,7.8
1.0,2.56,15.36
1.0,2.86,17.16
1.0,3.16,18.96
1.0,0.0,6.8
1.0,1.5,13.3
1.0,1.86,11.16
1.0,12.1,72.7
1.0,1.5,13.3
1.0,1.86,11.16
2.0,4.29,18.59
2.0,2.36,14.16
2.0,1.76,10.56
2.0,2.36,14.16
2.0,5.07,30.42
2.0,0.0,10.8
1.0,2.0,20.3
1.0,0.0,17.8
1.0,2.0,10.3
0.0,3.55,21.35
1.0,1.86,11.16
1.0,1.0,11.3
1.0,0.0,4.3
1.0,0.0,25.8
1.0,9.2,40.0
1.0,1.86,11.16
1.0,2.0,9.8
1.0,0.0,59.35
2.0,10.0,73.1
3.0,2.75,16.55
0.0,5.0,63.1
1.0,0.0,10.8
1.0,0.0,16.8
1.0,0.0,3.3
1.0,0.0,3.3
1.0,0.0,3.3
1.0,0.82,4.12
1.0,1.0,15.3
2.0,0.0,7.8
2.0,0.0,14.3
1.0,0.0,10.8
2.0,0.0,7.8
1.0,1.0,15.3
1.0,2.25,13.55
1.0,5.0,28.55
6.0,2.26,13.56
6.0,7.32,36.62
1.0,0.0,12.8
2.0,4.36,27.41
1.0,2.04,8.84
1.0,0.0,11.8
1.0,0.0,10.3
1.0,2.0,12.3
1.0,2.45,14.75
5.0,0.0,7.3
1.0,1.0,8.8
3.0,0.0,11.8
1.0,2.0,14.3
1.0,2.2,11.0
1.0,0.0,11.3
1.0,2.95,14.75
1.0,0.0,24.55
2.0,0.0,22.05
1.0,1.5,16.8
1.0,8.05,48.4
1.0,0.0,6.8
0.0,1.86,11.16
0.0,1.56,9.36
0.0,2.55,15.35
1.0,0.0,29.8
2.0,0.0,11.3
3.0,0.0,9.3
