passenger_count,tip_amount,total_amount
"",2.34,10.14
"",1.66,9.96
"",4.01,24.56
"",2.63,19.13
"",4.12,26.0
"",11.83,66.38
"",2.1,18.6
"",2.46,14.76
"",2.1,21.74
"",0.0,38.86
"",3.55,17.55
"",5.03,28.16
"",4.45,25.23
"",2.72,19.77
"",1.78,18.28
"",5.41,30.47
"",5.34,27.6
"",1.0,18.63
"",0.0,47.16
"",2.3,17.6
"",3.66,20.89
"",4.28,24.27
"",0.0,63.26
"",2.72,27.72
"",0.0,49.11
"",5.64,31.73
"",0.0,70.12
"",2.63,19.13
"",3.5,20.0
"",3.83,19.13
"",2.56,15.36
"",2.63,19.13
"",7.44,30.51
"",1.62,16.68
"",1.25,9.55
"",1.54,11.84
"",0.0,25.5
"",9.0,99.62
"",4.06,23.01
"",2.86,17.16
"",3.5,20.0
"",0.0,38.0
"",4.12,23.41
"",8.75,48.58
"",0.0,46.5
"",0.0,27.84
"",3.69,20.55
"",7.43,53.38
"",3.56,20.31
"",2.26,13.56
"",9.39,53.02
"",3.5,20.0
"",4.62,26.14
"",1.23,13.53
"",3.0,23.86
"",4.44,25.18
"",0.0,22.0
"",5.23,29.28
"",9.69,66.69
"",0.0,55.73
"",1.7,13.0
"",1.86,11.16
"",17.04,114.59
"",3.5,20.0
"",1.23,13.53
"",2.46,14.76
"",0.0,26.26
"",2.63,19.13
"",5.9,33.17
"",0.0,36.0
"",2.01,20.85
"",1.75,18.25
"",3.55,20.05
"",0.0,15.87
"",11.27,78.67
"",5.56,31.32
"",0.95,7.25
"",4.25,43.16
"",0.0,35.18
"",5.01,28.3
"",3.0,19.5
"",3.89,22.15
"",0.83,9.13
"",3.5,20.0
"",2.0,18.5
"",0.0,18.5
"",3.5,20.0
"",1.96,11.76
"",5.22,29.44
"",2.66,15.96
"",0.0,39.5
"",3.87,22.02
"",10.0,37.81
"",3.0,24.97
"",3.5,20.0
"",11.34,66.56
"",5.63,31.6
"",2.84,20.62
"",4.97,28.05
"",2.45,18.75
"",0.0,34.07
"",4.11,23.37
"",4.38,20.88
"",13.72,76.78
"",3.5,20.0
"",2.0,20.72
"",3.5,20.0
"",0.64,13.44
"",3.5,20.0
"",0.18,16.68
"",9.58,53.14
"",6.23,35.01
"",3.5,20.0
"",2.74,28.1
"",12.62,72.97
"",1.13,12.43
"",3.66,20.89
"",3.78,27.19
"",3.61,20.59
"",2.9,21.06
"",5.51,31.03
"",3.5,20.0
"",2.63,19.13
"",4.25,24.13
"",6.44,36.14
"",4.83,29.72
"",3.5,20.0
"",3.5,20.0
"",1.0,17.5
"",2.63,19.13
"",2.63,19.13
"",4.95,27.94
"",4.57,21.77
"",5.18,29.0
"",4.26,24.16
"",0.0,73.0
"",0.0,48.25
"",1.32,10.12
"",5.05,31.05
"",3.75,21.38
"",0.0,52.0
"",14.86,83.03
"",0.0,25.17
"",2.63,19.13
"",1.13,12.43
"",1.14,22.5
"",0.0,30.14
"",3.5,20.0
"",3.5,20.0
"",3.0,19.5
"",9.11,50.56
"",1.75,18.25
"",3.5,20.0
"",4.68,26.48
"",10.52,42.79
"",3.6,20.56
"",4.88,27.57
"",1.1,8.4
"",1.66,9.96
"",3.87,29.67
"",2.0,21.07
"",0.0,30.55
"",4.83,27.29
"",3.0,90.65
"",0.0,16.8
"",0.0,49.57
"",4.3,24.41
"",8.9,63.61
"",3.0,17.0
"",0.0,32.5
"",5.44,41.74
"",4.36,26.16
"",5.46,55.94
"",3.88,22.11
"",3.5,20.0
"",2.0,19.86
"",8.37,47.16
"",1.4,10.7
"",4.29,24.33
"",1.86,11.16
"",2.63,19.13
"",4.15,23.57
"",2.66,15.96
"",5.98,33.37
"",3.5,20.0
"",3.55,20.05
"",3.5,17.5
"",6.34,35.61
"",0.0,34.45
"",1.99,20.38
"",0.0,38.46
"",6.71,49.77
"",0.0,37.67
"",6.82,38.25
"",0.0,29.21
"",5.18,29.0
"",1.9,19.73
