passenger_count,tip_amount,total_amount
1.0,0.0,8.8
2.0,0.0,11.8
1.0,3.06,18.36
1.0,1.32,10.12
1.0,2.46,14.76
1.0,0.0,30.05
1.0,2.86,17.16
3.0,1.84,14.14
1.0,3.35,14.65
1.0,1.08,11.88
2.0,0.0,8.3
1.0,2.15,12.95
0.0,3.15,18.95
1.0,1.0,14.8
1.0,2.45,12.25
2.0,3.85,23.15
2.0,0.0,24.3
1.0,4.3,21.6
1.0,4.56,27.36
1.0,3.0,13.3
1.0,2.22,20.02
1.0,4.59,19.89
1.0,2.26,13.56
1.0,2.46,14.76
2.0,0.0,12.8
1.0,2.26,13.56
1.0,1.46,8.76
2.0,12.6,75.7
1.0,0.0,27.55
1.0,1.0,12.8
1.0,2.96,17.76
1.0,15.15,75.75
2.0,2.66,15.96
2.0,1.26,7.56
2.0,0.0,16.3
1.0,1.0,13.8
1.0,0.0,-6.8
1.0,0.0,6.8
2.0,1.0,9.8
2.0,3.26,19.56
1.0,2.0,30.3
1.0,2.05,12.35
1.0,0.0,12.8
1.0,5.26,31.56
2.0,1.7,15.0
0.0,3.5,15.3
0.0,1.7,13.0
1.0,3.86,23.16
1.0,0.0,33.8
1.0,1.03,11.33
0.0,3.5,27.8
0.0,3.5,15.3
0.0,3.0,13.8
1.0,0.0,0.0
2.0,0.0,33.6
1.0,1.0,10.3
1.0,0.0,13.3
1.0,2.16,12.96
1.0,0.0,9.8
1.0,2.66,15.96
1.0,0.0,12.8
1.0,4.7,23.5
1.0,1.85,11.15
2.0,0.0,8.8
1.0,1.65,9.95
1.0,2.75,16.55
1.0,1.0,15.8
1.0,1.96,11.76
5.0,1.0,14.3
5.0,2.12,13.92
5.0,2.0,23.8
3.0,2.06,12.36
3.0,4.26,25.56
3.0,0.0,8.3
1.0,2.36,14.16
2.0,1.66,9.96
1.0,0.0,28.3
1.0,3.16,18.96
2.0,2.76,16.56
1.0,0.0,6.8
1.0,0.0,11.3
1.0,1.0,7.8
1.0,2.46,14.76
1.0,1.76,10.56
1.0,0.0,20.3
1.0,2.2,15.0
1.0,0.0,63.1
1.0,2.16,12.96
1.0,2.96,17.76
1.0,4.06,24.36
1.0,2.0,17.8
1.0,0.0,8.3
1.0,0.0,29.8
1.0,4.36,26.16
1.0,2.35,14.15
1.0,2.66,15.96
1.0,1.4,10.7
1.0,1.66,9.96
1.0,0.0,14.3
1.0,1.95,11.75
1.0,2.15,12.95
1.0,3.2,14.0
1.0,2.26,13.56
1.0,0.0,8.3
1.0,5.0,47.6
1.0,0.0,13.3
2.0,2.46,14.76
2.0,5.06,30.36
2.0,2.06,12.36
1.0,0.0,5.3
1.0,0.0,7.3
1.0,0.0,10.8
2.0,7.26,43.56
3.0,0.0,8.3
1.0,0.0,7.3
1.0,12.35,74.2
1.0,3.86,23.16
1.0,0.0,6.3
2.0,6.5,39.05
1.0,4.46,26.76
1.0,3.66,21.96
1.0,20.0,76.55
3.0,0.0,8.3
3.0,0.0,27.8
2.0,2.0,14.8
2.0,8.48,65.03
0.0,0.0,21.8
2.0,4.89,21.19
1.0,2.56,15.36
2.0,0.88,9.68
1.0,2.55,15.35
1.0,0.0,22.8
1.0,0.0,45.05
1.0,7.27,43.62
1.0,4.51,42.11
1.0,5.5,47.8
1.0,1.47,11.27
1.0,2.83,14.13
1.0,1.7,17.0
5.0,3.2,16.0
4.0,0.0,20.3
1.0,3.39,14.69
1.0,3.08,15.38
1.0,3.0,19.3
2.0,3.65,15.95
