passenger_count,tip_amount,total_amount
5.0,2.46,14.76
5.0,2.86,17.16
1.0,3.0,25.3
1.0,2.35,14.15
1.0,2.2,11.0
1.0,2.0,25.8
1.0,1.96,11.76
1.0,1.5,10.8
1.0,1.5,20.8
1.0,0.0,17.8
1.0,0.0,8.3
2.0,4.59,19.89
2.0,2.46,14.76
2.0,3.26,19.56
2.0,0.0,10.3
6.0,1.5,14.3
6.0,2.86,17.16
6.0,0.0,15.3
1.0,1.7,20.5
1.0,2.56,15.36
2.0,4.15,24.95
3.0,1.95,11.75
1.0,1.85,12.15
1.0,4.06,24.36
1.0,2.64,11.44
1.0,0.0,9.8
1.0,2.79,12.09
1.0,4.36,26.16
1.0,3.95,19.75
1.0,2.0,26.3
1.0,0.0,7.3
1.0,3.05,18.35
1.0,0.0,9.8
1.0,2.36,14.16
1.0,2.15,12.95
1.0,3.0,18.3
1.0,2.16,12.96
1.0,3.16,18.96
1.0,2.26,13.56
1.0,0.0,16.8
1.0,1.0,8.3
6.0,2.76,16.56
6.0,0.0,15.8
1.0,1.5,17.8
1.0,3.0,11.8
1.0,1.0,12.3
1.0,0.0,7.3
1.0,2.36,14.16
6.0,4.06,24.36
1.0,4.2,21.0
1.0,1.95,9.75
3.0,3.25,19.55
1.0,0.0,9.3
1.0,0.0,14.8
2.0,2.65,15.95
1.0,2.0,14.3
1.0,3.95,19.75
1.0,2.56,15.36
1.0,1.96,11.76
1.0,1.86,11.16
1.0,0.0,19.3
1.0,3.0,22.3
1.0,3.95,23.75
1.0,4.05,24.35
2.0,2.2,11.0
2.0,2.35,14.15
2.0,0.0,10.3
1.0,10.0,37.8
2.0,3.76,22.56
1.0,0.0,19.3
1.0,5.16,30.96
1.0,0.0,3.8
1.0,2.06,12.36
1.0,1.85,11.15
1.0,2.75,12.05
1.0,4.15,24.95
1.0,1.0,8.3
1.0,3.25,19.55
1.0,1.28,14.08
1.0,0.0,9.8
4.0,3.0,14.8
2.0,3.15,18.95
1.0,5.0,15.8
1.0,0.0,18.8
1.0,0.0,6.3
1.0,2.2,13.0
1.0,0.0,8.3
1.0,2.25,13.55
1.0,2.05,12.35
3.0,1.0,12.3
1.0,1.45,8.76
2.0,2.05,12.35
2.0,3.45,20.75
1.0,0.0,18.3
1.0,3.08,15.38
1.0,0.0,10.3
5.0,5.2,26.0
3.0,1.76,10.56
2.0,1.0,11.8
1.0,2.46,14.76
2.0,1.95,11.75
1.0,0.08,11.88
1.0,2.56,23.86
1.0,1.38,15.18
1.0,7.75,46.55
2.0,2.5,20.3
1.0,2.06,12.36
1.0,3.86,23.16
1.0,3.96,23.76
1.0,2.56,15.36
1.0,2.06,12.36
1.0,3.76,22.56
3.0,2.46,14.76
2.0,1.0,15.3
1.0,2.46,14.76
2.0,3.36,20.16
1.0,3.76,22.56
1.0,2.0,12.8
1.0,0.0,14.8
4.0,2.26,13.56
2.0,1.5,16.8
1.0,2.96,17.76
2.0,0.0,41.8
2.0,0.0,8.3
2.0,1.75,10.55
1.0,0.0,11.8
4.0,0.0,8.8
1.0,0.98,10.78
1.0,2.36,14.16
1.0,0.0,8.8
1.0,2.0,33.3
1.0,1.56,9.36
1.0,2.64,11.44
0.0,3.5,15.3
0.0,0.5,10.3
0.0,5.15,30.95
1.0,2.66,15.96
1.0,5.16,30.96
1.0,2.0,15.8
1.0,2.85,17.15
1.0,2.75,16.55
1.0,1.0,12.8
4.0,5.6,24.4
1.0,3.15,18.95
2.0,3.15,18.95
4.0,11.06,67.61
1.0,2.32,11.62
1.0,2.06,12.36
1.0,4.0,16.3
1.0,0.0,12.3
1.0,4.06,24.36
2.0,3.36,20.16
4.0,0.0,7.3
5.0,3.08,15.38
5.0,1.7,14.0
6.0,2.76,16.56
6.0,0.0,13.3
6.0,10.08,50.38
4.0,0.0,14.8
4.0,2.85,17.15
2.0,1.0,13.8
1.0,3.36,20.16
1.0,1.86,11.16
1.0,2.95,14.75
1.0,0.0,28.3
3.0,0.0,11.8
1.0,2.35,14.15
2.0,2.16,12.96
1.0,3.76,22.56
2.0,6.46,38.76
1.0,2.0,15.3
1.0,2.95,17.75
1.0,0.0,13.3
1.0,3.26,19.56
3.0,2.0,13.8
1.0,4.55,27.35
2.0,2.66,15.96
2.0,2.96,17.76
1.0,7.67,46.02
1.0,3.76,22.56
1.0,2.06,12.36
1.0,1.66,9.96
1.0,10.42,62.52
3.0,2.26,13.56
2.0,3.56,21.36
3.0,2.0,16.8
0.0,2.15,12.95
2.0,2.15,12.95
1.0,1.0,10.3
1.0,3.26,19.56
4.0,3.26,19.56
2.0,1.0,19.8
2.0,2.0,11.3
1.0,4.76,28.56
1.0,1.0,13.3
1.0,3.39,14.69
1.0,3.35,20.15
1.0,2.0,11.3
2.0,1.85,11.15
1.0,0.0,24.3
1.0,2.37,18.17
1.0,3.76,22.56
1.0,2.66,15.96
1.0,8.04,34.84
1.0,0.0,13.8
1.0,0.0,9.8
1.0,0.78,8.58
1.0,3.06,18.36
1.0,1.18,12.98
1.0,2.3,11.6
1.0,3.15,18.95
1.0,0.0,11.3
2.0,5.26,31.56
5.0,1.76,10.56
5.0,2.86,17.16
5.0,3.16,18.96
1.0,1.0,8.8
1.0,2.0,14.3
1.0,3.56,21.36
1.0,1.32,6.62
2.0,2.0,14.3
3.0,2.56,15.36
1.0,0.0,9.8
2.0,3.24,14.04
2.0,2.05,12.35
2.0,3.05,13.35
1.0,2.0,16.8
1.0,1.0,10.3
1.0,0.0,8.3
2.0,36.1,156.45
2.0,5.0,23.8
1.0,0.0,13.8
2.0,3.7,18.5
2.0,2.32,11.62
2.0,2.16,12.96
2.0,2.86,17.16
1.0,0.0,16.3
3.0,1.0,11.8
5.0,5.0,30.8
1.0,3.06,18.36
1.0,4.06,24.36
1.0,3.46,20.76
3.0,2.38,26.18
2.0,2.0,15.8
1.0,2.25,13.55
1.0,2.55,15.35
2.0,3.86,23.16
1.0,2.3,15.6
1.0,0.0,40.85
1.0,1.66,9.96
1.0,12.62,75.72
6.0,2.56,15.36
6.0,2.26,13.56
1.0,0.0,8.8
1.0,2.33,11.63
1.0,2.76,16.56
1.0,2.7,15.0
1.0,1.75,10.55
1.0,3.86,23.16
1.0,2.0,17.8
1.0,1.36,8.16
1.0,2.36,14.16
1.0,5.56,33.36
1.0,2.46,14.76
3.0,2.56,15.36
1.0,2.46,14.76
2.0,4.85,29.15
1.0,0.0,56.55
1.0,0.0,16.3
1.0,2.95,17.75
5.0,0.0,15.3
5.0,0.0,20.8
1.0,4.0,23.3
1.0,1.86,11.16
1.0,1.96,11.76
1.0,2.95,14.75
1.0,2.26,13.56
2.0,0.0,9.8
2.0,6.95,34.75
2.0,5.96,35.76
1.0,2.76,16.56
1.0,1.55,15.35
1.0,0.0,23.3
2.0,3.65,21.95
1.0,1.56,9.36
1.0,2.76,16.56
1.0,3.16,18.96
1.0,3.36,20.16
4.0,0.0,10.3
2.0,2.16,12.96
2.0,3.56,21.36
1.0,0.0,12.3
2.0,0.0,40.8
1.0,3.76,22.56
2.0,1.75,10.55
2.0,6.0,14.3
1.0,5.85,35.15
1.0,2.0,14.3
1.0,2.46,14.76
1.0,0.0,8.3
1.0,0.0,11.8
1.0,2.66,15.96
1.0,2.46,14.76
1.0,2.0,13.8
1.0,1.86,11.16
1.0,0.0,12.3
1.0,1.66,9.96
2.0,0.0,10.8
1.0,3.06,18.36
2.0,1.96,11.76
2.0,3.26,19.56
1.0,0.0,33.35
1.0,1.86,11.16
1.0,0.0,9.3
2.0,3.66,21.96
2.0,2.16,12.96
1.0,7.29,31.59
2.0,3.39,14.69
1.0,2.76,16.56
2.0,2.0,24.3
1.0,0.0,13.3
2.0,1.85,11.15
2.0,0.0,12.3
1.0,1.96,11.76
1.0,2.0,16.3
1.0,2.56,15.36
1.0,2.16,12.96
2.0,7.95,39.75
1.0,0.0,13.8
1.0,0.07,9.37
1.0,3.16,18.96
1.0,0.0,10.8
1.0,2.96,17.76
3.0,0.0,38.8
2.0,5.32,26.62
1.0,8.58,42.88
1.0,4.76,28.56
1.0,3.46,20.76
1.0,1.5,10.8
1.0,3.26,19.56
1.0,2.0,13.3
1.0,2.26,13.56
1.0,3.66,21.96
1.0,5.5,36.8
1.0,5.64,24.44
2.0,1.0,16.3
2.0,2.5,20.8
1.0,0.0,15.8
1.0,0.0,12.8
1.0,0.0,13.3
1.0,2.36,14.16
2.0,2.0,22.3
2.0,3.66,21.96
1.0,4.85,29.15
2.0,4.65,27.95
1.0,2.16,12.96
1.0,1.0,9.8
1.0,5.66,33.96
2.0,1.0,9.3
2.0,0.0,11.3
1.0,3.7,18.5
1.0,2.26,13.56
1.0,2.8,21.6
1.0,2.66,15.96
2.0,0.0,13.3
2.0,6.15,36.95
1.0,3.39,14.69
1.0,3.56,21.36
1.0,2.16,12.96
1.0,4.56,27.36
1.0,5.08,25.38
2.0,2.65,15.95
2.0,1.95,11.75
2.0,2.0,16.8
1.0,1.66,9.96
1.0,0.0,8.3
1.0,2.06,12.36
1.0,2.46,14.76
1.0,1.0,8.8
1.0,2.56,15.36
1.0,1.0,11.8
1.0,2.56,15.36
1.0,0.0,11.8
1.0,1.0,9.3
1.0,1.0,24.3
1.0,2.56,15.36
1.0,2.36,14.16
1.0,4.36,26.16
3.0,3.99,17.29
3.0,3.96,23.76
2.0,3.96,23.76
4.0,0.0,10.3
3.0,2.0,12.8
1.0,4.85,21.15
2.0,1.0,13.3
1.0,3.05,13.35
1.0,2.25,13.55
1.0,0.0,40.3
2.0,2.0,17.8
3.0,3.16,18.96
1.0,2.0,16.3
1.0,3.0,19.8
1.0,3.35,14.65
1.0,1.66,9.96
1.0,2.26,13.56
1.0,0.0,8.3
1.0,0.44,9.24
1.0,0.0,12.3
1.0,2.66,15.96
1.0,1.86,11.16
1.0,2.86,17.16
0.0,0.0,9.3
2.0,2.15,12.95
1.0,3.0,18.3
2.0,1.0,10.3
1.0,1.45,8.75
1.0,3.06,18.36
1.0,5.56,33.36
2.0,2.55,15.35
1.0,5.15,30.95
1.0,3.26,19.56
1.0,3.86,23.16
1.0,1.0,11.8
1.0,2.0,26.3
1.0,0.0,8.8
2.0,0.0,11.8
1.0,3.55,21.35
1.0,1.95,11.75
1.0,1.86,11.16
1.0,1.96,11.76
1.0,2.66,15.96
1.0,5.85,35.15
2.0,0.0,7.8
2.0,0.0,43.35
2.0,1.0,12.8
1.0,3.46,20.76
2.0,1.0,20.3
1.0,3.46,20.76
2.0,3.96,23.76
2.0,3.76,22.56
1.0,0.0,15.8
1.0,2.36,14.16
1.0,1.5,10.3
1.0,0.0,10.8
1.0,4.08,20.38
1.0,4.46,26.76
2.0,3.46,20.76
1.0,0.0,17.3
2.0,3.58,17.88
2.0,2.82,14.12
3.0,2.56,15.36
2.0,4.7,20.5
1.0,0.0,35.85
1.0,2.86,17.16
2.0,4.76,28.56
1.0,3.46,20.76
1.0,1.0,12.8
2.0,2.0,11.3
1.0,10.0,66.35
2.0,1.85,11.15
1.0,2.0,22.3
6.0,2.0,14.3
6.0,1.0,25.8
5.0,5.0,37.05
1.0,2.75,16.55
1.0,0.0,13.8
1.0,1.2,15.0
1.0,5.3,26.6
1.0,2.35,14.15
1.0,2.05,12.35
1.0,7.35,44.15
1.0,0.0,4.8
1.0,0.0,15.3
1.0,1.0,14.3
2.0,2.96,17.76
1.0,5.0,40.8
1.0,3.56,21.36
1.0,0.0,26.3
2.0,4.55,19.85
1.0,3.36,20.16
3.0,2.0,19.3
1.0,3.0,34.8
1.0,1.86,11.16
1.0,1.96,11.76
1.0,4.36,26.16
1.0,5.0,28.8
1.0,4.05,20.35
1.0,2.0,15.3
2.0,2.25,13.55
1.0,4.35,26.15
2.0,0.0,12.8
1.0,5.05,25.35
2.0,0.0,22.8
1.0,2.06,12.36
1.0,0.0,18.8
1.0,3.32,16.62
1.0,0.0,41.3
1.0,1.96,11.76
1.0,1.76,10.56
1.0,1.96,11.76
1.0,0.0,7.3
1.0,1.0,21.3
1.0,4.19,27.49
1.0,2.0,18.8
1.0,2.66,15.96
1.0,1.0,15.8
1.0,2.14,16.44
1.0,2.06,12.36
1.0,1.0,12.3
1.0,1.0,10.8
1.0,0.0,8.8
1.0,0.0,32.3
1.0,0.0,7.8
1.0,1.76,10.56
3.0,2.96,17.76
3.0,2.16,12.96
2.0,2.86,17.16
2.0,3.36,20.16
1.0,3.56,21.36
1.0,1.76,10.56
1.0,2.0,17.3
1.0,4.0,25.8
1.0,1.96,11.76
1.0,4.16,24.96
1.0,3.66,21.96
1.0,11.41,68.46
1.0,0.0,11.3
1.0,2.74,21.04
2.0,1.66,9.96
2.0,0.0,-6.3
2.0,0.0,6.3
2.0,1.76,10.56
2.0,2.06,12.36
1.0,0.0,8.3
1.0,2.5,20.3
1.0,2.7,13.5
1.0,1.0,11.8
1.0,23.79,103.09
1.0,3.95,23.75
1.0,3.25,19.55
1.0,3.46,20.76
1.0,2.36,14.16
1.0,3.0,13.3
1.0,3.0,23.8
1.0,3.36,20.16
2.0,2.06,12.36
2.0,2.84,18.64
5.0,2.56,15.36
5.0,0.0,11.3
5.0,1.0,20.8
2.0,3.39,14.69
2.0,3.16,18.96
1.0,0.0,15.8
2.0,0.0,34.8
1.0,1.55,11.85
1.0,3.45,20.75
1.0,0.03,11.33
1.0,1.95,11.75
1.0,1.0,14.8
1.0,1.76,10.56
1.0,3.5,23.8
1.0,3.06,18.36
1.0,3.0,30.8
1.0,3.45,17.25
1.0,3.0,30.8
3.0,2.16,12.96
3.0,2.16,12.96
4.0,0.02,12.32
1.0,5.66,33.96
1.0,3.58,17.88
0.0,2.65,15.95
0.0,2.0,13.3
0.0,2.35,14.15
0.0,1.0,15.3
2.0,2.36,14.16
2.0,2.36,14.16
2.0,2.76,16.56
2.0,0.0,21.8
2.0,2.0,26.8
2.0,2.56,15.36
1.0,2.0,11.3
1.0,2.36,14.16
1.0,2.0,32.8
2.0,1.75,10.55
2.0,2.35,14.15
1.0,5.05,30.35
1.0,0.0,11.8
1.0,1.66,9.96
1.0,1.96,11.76
1.0,1.96,11.76
1.0,2.56,15.36
1.0,4.16,24.96
1.0,0.0,25.8
1.0,3.32,16.62
1.0,1.56,9.36
1.0,2.66,15.96
1.0,4.96,29.76
1.0,1.86,11.16
1.0,1.5,14.3
1.0,3.36,20.16
1.0,2.97,22.77
1.0,1.0,12.3
1.0,1.5,11.3
1.0,1.0,13.8
1.0,3.86,23.16
2.0,1.96,11.76
4.0,2.96,17.76
4.0,1.7,15.0
2.0,5.36,32.16
1.0,7.87,48.47
1.0,3.36,20.16
1.0,2.66,15.96
1.0,0.0,10.3
1.0,0.0,15.3
1.0,3.7,18.5
1.0,6.58,32.88
1.0,2.15,12.95
1.0,2.45,14.75
1.0,4.8,24.1
1.0,2.96,17.76
1.0,1.38,15.18
1.0,2.26,13.56
1.0,2.06,12.36
1.0,4.26,25.56
1.0,1.96,11.76
1.0,0.83,9.13
1.0,2.56,15.36
1.0,2.66,15.96
1.0,2.26,13.56
1.0,2.36,14.16
1.0,5.33,26.63
1.0,2.52,19.32
1.0,0.0,13.8
3.0,1.0,13.3
2.0,1.86,11.16
1.0,2.55,15.35
2.0,2.0,32.35
2.0,2.15,12.95
3.0,9.75,58.55
1.0,0.0,17.3
1.0,5.26,31.56
1.0,1.7,13.0
1.0,1.86,11.16
2.0,0.0,10.8
2.0,0.0,11.3
2.0,2.36,14.16
2.0,2.52,19.32
2.0,7.74,33.54
0.0,2.25,13.55
0.0,2.35,14.15
0.0,4.85,29.15
1.0,2.7,13.5
1.0,2.86,17.16
1.0,1.08,13.88
1.0,1.0,8.8
1.0,3.7,18.5
1.0,1.56,9.36
1.0,2.95,14.75
1.0,2.86,17.16
2.0,1.0,27.8
1.0,1.66,9.96
1.0,0.0,12.3
1.0,1.25,12.05
1.0,4.06,24.36
1.0,3.0,19.8
1.0,0.0,10.8
1.0,0.0,12.3
1.0,3.0,26.8
1.0,3.35,20.15
1.0,3.45,20.75
1.0,4.05,20.35
1.0,0.0,77.8
1.0,1.56,9.36
1.0,0.0,-6.3
1.0,0.0,6.3
1.0,2.86,17.16
1.0,1.86,11.16
1.0,0.0,10.8
1.0,3.45,20.75
1.0,3.25,19.55
1.0,2.96,17.76
2.0,0.0,10.8
2.0,2.95,14.75
1.0,0.15,16.95
1.0,0.0,10.3
1.0,2.0,24.3
2.0,3.46,20.76
1.0,0.0,22.8
1.0,4.76,28.56
2.0,2.0,26.8
1.0,2.15,12.95
3.0,3.35,20.15
1.0,2.0,16.8
2.0,0.0,16.8
1.0,2.36,14.16
1.0,2.07,15.87
1.0,2.7,13.5
1.0,1.0,8.8
0.0,3.2,16.0
0.0,0.0,15.8
0.0,0.0,13.3
1.0,2.96,17.76
1.0,2.52,19.32
6.0,2.36,14.16
1.0,0.0,28.8
1.0,4.55,22.85
4.0,2.15,12.95
2.0,2.85,17.15
2.0,1.95,11.75
1.0,3.05,18.35
2.0,2.95,17.75
2.0,2.45,14.75
2.0,2.0,22.8
1.0,2.75,16.55
1.0,6.95,41.75
