passenger_count,tip_amount,total_amount
2.0,1.5,14.3
1.0,1.11,12.91
1.0,4.95,29.75
1.0,0.0,11.3
1.0,4.26,25.56
1.0,2.0,21.8
1.0,1.16,6.96
1.0,0.0,31.8
1.0,9.55,47.9
1.0,1.75,10.55
1.0,3.06,18.36
1.0,1.76,10.56
1.0,1.46,8.76
1.0,1.56,9.36
1.0,5.04,21.84
1.0,1.56,9.36
1.0,0.0,27.3
1.0,1.86,11.16
1.0,1.7,8.5
4.0,0.0,44.05
4.0,2.66,15.96
1.0,2.0,40.3
1.0,4.14,17.94
1.0,2.16,12.96
1.0,2.67,20.47
6.0,16.86,101.16
2.0,8.06,49.61
2.0,7.0,70.1
1.0,4.36,26.16
1.0,0.0,8.3
1.0,1.7,8.5
1.0,0.0,55.3
1.0,9.07,45.37
5.0,0.0,4.8
5.0,0.0,15.3
3.0,2.56,15.36
3.0,1.96,11.76
1.0,1.76,10.56
1.0,0.0,10.8
1.0,0.0,11.8
2.0,12.37,75.47
2.0,10.9,47.25
2.0,2.2,11.0
4.0,2.56,15.36
1.0,0.0,11.05
1.0,0.0,7.8
1.0,2.56,15.36
1.0,5.0,63.3
1.0,3.46,20.76
1.0,1.96,11.76
1.0,3.8,19.1
1.0,4.16,24.96
4.0,0.0,14.3
1.0,0.0,13.3
1.0,2.0,12.8
1.0,1.46,8.76
1.0,3.24,14.04
1.0,0.0,41.55
3.0,0.0,21.8
1.0,0.0,6.8
1.0,2.26,13.56
1.0,0.0,38.35
1.0,0.0,9.3
1.0,0.0,37.3
1.0,2.08,10.38
1.0,1.56,9.36
1.0,6.0,67.85
1.0,0.0,10.8
1.0,4.47,34.27
1.0,2.46,14.76
1.0,1.76,10.56
3.0,15.46,77.31
1.0,2.35,14.15
1.0,2.16,12.96
2.0,1.8,9.1
1.0,1.76,10.56
1.0,0.0,7.3
1.0,1.76,10.56
1.0,0.0,8.8
1.0,0.0,11.8
1.0,0.98,10.78
1.0,2.49,10.79
1.0,2.55,12.85
1.0,9.21,55.26
1.0,0.0,8.3
1.0,0.0,9.8
1.0,0.0,8.3
1.0,2.64,11.44
1.0,7.47,44.82
1.0,0.0,8.3
1.0,0.0,5.3
1.0,2.76,16.56
1.0,8.0,69.85
1.0,1.96,11.76
1.0,1.56,9.36
1.0,0.0,9.8
1.0,2.3,17.6
1.0,12.62,75.72
1.0,5.0,37.35
1.0,3.0,8.8
1.0,10.7,46.5
1.0,6.0,37.3
6.0,0.0,5.8
2.0,5.15,22.45
2.0,2.05,12.35
2.0,3.35,14.65
1.0,0.0,21.3
