passenger_count,tip_amount,total_amount
1.0,5.26,31.56
1.0,0.0,13.8
1.0,0.0,8.3
1.0,1.33,14.63
1.0,2.16,12.96
1.0,2.96,17.76
1.0,1.0,14.3
1.0,1.76,10.56
1.0,2.76,16.56
1.0,2.45,12.25
1.0,7.55,32.85
1.0,2.15,12.95
1.0,0.0,11.8
1.0,2.56,15.36
5.0,2.0,17.3
5.0,1.66,9.96
5.0,2.0,15.3
2.0,0.0,19.3
1.0,2.2,20.0
1.0,0.88,8.18
2.0,1.55,9.35
1.0,0.0,8.8
1.0,2.16,12.96
1.0,3.75,22.55
1.0,2.85,14.15
1.0,2.7,13.5
1.0,3.56,21.36
1.0,1.96,11.76
1.0,2.86,17.16
1.0,2.76,16.56
2.0,6.0,69.1
1.0,1.0,14.3
1.0,2.46,14.76
1.0,1.8,14.6
1.0,0.0,9.3
1.0,1.0,11.8
1.0,1.5,10.8
1.0,9.06,54.36
1.0,3.96,23.76
1.0,3.16,18.96
1.0,0.0,48.1
1.0,2.0,19.35
1.0,2.9,22.2
1.0,4.65,27.95
1.0,1.86,11.16
2.0,2.25,13.55
1.0,5.0,48.55
1.0,4.06,24.36
1.0,1.66,9.96
0.0,3.2,16.0
0.0,2.95,17.75
0.0,2.45,14.75
1.0,0.0,9.8
1.0,3.16,18.96
1.0,1.56,9.36
1.0,0.0,12.3
1.0,2.0,15.3
1.0,2.16,12.96
1.0,4.0,20.3
1.0,2.75,16.55
1.0,2.0,11.3
1.0,4.95,24.75
1.0,10.0,56.1
1.0,2.36,14.16
1.0,1.0,11.8
1.0,2.26,13.56
1.0,4.26,25.56
2.0,2.35,14.15
1.0,0.0,12.8
1.0,1.28,14.08
2.0,0.0,12.3
1.0,3.46,20.76
1.0,0.0,11.8
1.0,1.7,17.0
1.0,3.0,14.8
1.0,0.0,7.3
3.0,2.26,13.56
3.0,3.26,19.56
1.0,0.0,11.8
1.0,2.16,12.96
1.0,2.06,12.36
1.0,2.0,12.8
1.0,1.5,12.3
0.0,2.75,16.55
0.0,0.92,19.22
1.0,2.36,14.16
2.0,12.37,74.22
1.0,2.65,15.95
1.0,1.0,10.3
2.0,4.0,24.8
2.0,0.0,5.8
2.0,3.76,22.56
1.0,0.01,13.31
1.0,0.0,5.8
1.0,1.56,9.36
1.0,2.0,13.8
1.0,1.46,8.76
1.0,1.0,9.8
1.0,1.24,9.54
1.0,4.76,28.56
1.0,3.36,20.16
1.0,0.0,14.3
1.0,2.36,14.16
1.0,6.33,31.63
2.0,8.91,53.46
1.0,5.96,37.01
1.0,1.76,10.56
1.0,0.0,9.8
1.0,1.66,9.96
1.0,2.66,15.96
1.0,1.92,14.72
1.0,2.7,13.5
1.0,6.06,36.36
1.0,3.42,26.22
1.0,3.39,14.69
1.0,2.0,17.3
1.0,1.56,9.36
1.0,3.76,22.56
1.0,1.76,10.56
1.0,2.16,12.96
1.0,2.5,22.8
1.0,0.0,9.8
1.0,3.06,18.36
1.0,1.5,14.3
1.0,2.86,17.16
1.0,1.96,11.76
1.0,0.0,10.3
1.0,3.16,18.96
1.0,1.96,11.76
1.0,0.0,45.35
1.0,3.55,21.35
2.0,0.0,16.8
1.0,2.0,22.3
1.0,3.84,16.64
1.0,12.0,75.1
1.0,2.45,14.75
1.0,2.55,15.35
2.0,3.58,17.88
1.0,2.96,17.76
1.0,0.0,18.3
1.0,0.0,9.8
1.0,2.0,12.8
1.0,2.5,19.3
1.0,2.05,12.35
1.0,2.36,14.16
1.0,1.75,10.55
1.0,1.5,18.8
1.0,1.83,20.13
3.0,1.0,12.3
2.0,0.0,14.8
1.0,0.0,-55.3
1.0,0.0,55.3
1.0,0.0,10.3
1.0,2.06,12.36
1.0,2.06,12.36
1.0,0.0,12.3
2.0,11.17,68.27
1.0,1.0,24.3
1.0,0.0,8.8
2.0,2.56,15.36
2.0,7.9,47.45
1.0,5.0,66.85
1.0,1.96,11.76
1.0,3.36,20.16
1.0,2.46,14.76
1.0,1.86,11.16
1.0,7.77,46.62
1.0,0.0,15.3
1.0,3.95,23.75
1.0,2.0,15.3
1.0,2.46,14.76
