passenger_count,tip_amount,total_amount
1.0,3.46,20.76
3.0,0.0,17.3
2.0,4.95,24.75
2.0,0.0,27.3
1.0,0.0,8.8
1.0,7.0,17.8
3.0,0.0,12.8
1.0,0.0,13.3
1.0,2.32,11.62
1.0,0.0,10.3
1.0,2.46,14.76
2.0,0.0,8.8
2.0,2.06,12.36
2.0,0.0,16.8
2.0,25.56,153.36
1.0,3.16,18.96
1.0,1.5,17.3
1.0,0.0,8.3
1.0,0.0,10.3
1.0,1.5,11.3
1.0,0.0,11.3
1.0,1.0,9.3
2.0,1.0,11.8
1.0,1.0,12.3
1.0,12.3,53.4
3.0,4.55,19.85
1.0,6.45,33.5
1.0,2.45,12.25
1.0,3.16,18.96
1.0,0.0,9.3
1.0,3.36,20.16
1.0,0.0,12.3
1.0,0.0,23.3
1.0,0.0,16.3
1.0,1.0,20.3
1.0,0.0,10.8
1.0,1.86,11.16
1.0,3.05,13.35
2.0,1.0,10.8
2.0,13.27,80.87
1.0,3.26,19.56
2.0,3.46,20.76
5.0,7.72,46.32
5.0,0.0,13.3
1.0,2.26,13.56
1.0,9.54,42.59
1.0,0.0,5.3
1.0,0.0,11.8
2.0,0.0,8.8
5.0,2.26,13.56
1.0,2.56,15.36
1.0,0.0,6.3
1.0,1.0,13.3
1.0,2.95,17.75
1.0,2.25,13.55
0.0,2.8,14.1
0.0,2.35,14.15
1.0,10.0,43.05
3.0,0.0,101.8
1.0,1.66,9.96
1.0,0.0,24.3
1.0,1.0,11.3
1.0,2.58,12.88
5.0,2.8,14.1
0.0,1.1,10.9
1.0,1.0,12.8
1.0,0.0,26.8
1.0,13.27,80.87
1.0,1.95,9.75
2.0,1.0,17.8
1.0,2.6,19.9
1.0,1.46,8.76
1.0,10.0,50.05
1.0,3.08,15.38
2.0,0.0,16.3
3.0,1.58,10.38
1.0,1.86,11.16
5.0,0.0,43.85
1.0,0.0,6.8
1.0,0.0,17.8
1.0,2.36,14.16
2.0,0.0,15.8
1.0,6.77,40.62
1.0,1.0,10.8
1.0,0.0,9.3
1.0,0.0,10.3
1.0,3.05,18.35
1.0,0.0,10.3
1.0,2.5,16.8
1.0,4.46,26.76
2.0,5.0,99.14
1.0,3.45,17.25
1.0,0.0,29.8
1.0,2.76,16.56
1.0,3.75,22.55
1.0,1.0,16.3
1.0,3.36,20.16
2.0,3.06,18.36
1.0,1.0,10.8
1.0,4.76,28.56
1.0,0.0,9.8
2.0,2.15,12.95
2.0,1.95,11.75
1.0,0.0,14.8
4.0,0.0,10.3
1.0,3.45,17.25
2.0,2.25,13.55
0.0,2.0,18.8
1.0,4.86,29.16
1.0,4.96,29.76
4.0,0.0,15.3
2.0,3.24,14.04
2.0,0.0,9.3
2.0,0.0,8.8
1.0,1.96,11.76
1.0,2.08,10.38
1.0,4.0,13.3
1.0,3.85,23.15
5.0,2.97,22.77
5.0,1.0,12.8
1.0,0.0,9.3
1.0,3.96,23.76
1.0,0.0,45.55
1.0,0.0,11.3
1.0,3.0,19.8
1.0,0.0,18.8
1.0,2.16,12.96
1.0,1.96,11.76
1.0,2.06,12.36
1.0,2.46,14.76
2.0,3.46,20.76
1.0,5.0,59.42
2.0,2.45,18.75
2.0,0.0,10.8
2.0,0.0,13.3
1.0,8.56,52.61
1.0,2.7,13.5
1.0,3.09,13.39
3.0,7.88,47.3
1.0,3.16,18.96
1.0,2.36,14.16
1.0,2.32,11.62
1.0,4.15,24.95
1.0,0.0,-5.8
1.0,0.0,5.8
1.0,16.59,82.94
1.0,0.0,20.8
1.0,2.36,14.16
5.0,0.0,21.8
5.0,2.95,14.75
1.0,6.26,38.81
1.0,0.0,11.3
2.0,3.82,19.12
1.0,3.26,19.56
1.0,4.08,37.38
0.0,0.0,40.3
1.0,0.0,15.3
1.0,5.08,25.38
1.0,1.96,11.76
1.0,1.66,9.96
2.0,0.0,7.3
1.0,1.76,10.56
1.0,1.92,14.72
1.0,0.0,8.3
3.0,0.0,6.3
1.0,2.0,15.8
3.0,4.0,25.8
1.0,3.56,21.36
1.0,2.0,19.8
3.0,1.95,9.75
2.0,2.94,12.74
2.0,2.79,12.09
2.0,2.86,17.16
1.0,0.0,29.55
3.0,2.49,10.79
3.0,0.0,19.3
2.0,1.86,11.16
2.0,0.0,16.8
1.0,1.26,7.56
1.0,2.26,13.56
1.0,2.35,14.15
1.0,5.25,31.55
1.0,2.26,13.56
1.0,0.0,7.3
1.0,0.0,66.35
1.0,4.9,42.0
2.0,0.0,9.8
2.0,2.36,14.16
1.0,0.0,31.1
1.0,3.09,13.39
1.0,2.7,13.5
1.0,2.16,12.96
1.0,1.2,13.0
1.0,0.0,8.8
1.0,2.56,15.36
1.0,1.0,10.8
1.0,2.0,27.8
2.0,7.0,50.6
1.0,4.2,21.0
2.0,0.0,26.8
1.0,0.0,15.8
1.0,10.57,63.42
1.0,0.0,18.8
1.0,0.0,9.8
1.0,2.95,14.75
4.0,0.0,9.8
3.0,3.69,15.99
2.0,8.0,32.3
1.0,0.0,17.3
1.0,2.0,21.3
1.0,0.0,14.3
1.0,0.0,18.8
1.0,0.0,15.8
2.0,1.96,11.76
0.0,16.9,84.5
1.0,0.0,48.05
1.0,0.0,9.8
1.0,3.95,19.75
1.0,0.0,9.3
1.0,0.0,11.8
1.0,0.0,10.3
1.0,7.5,37.3
1.0,2.56,15.36
2.0,3.15,18.95
1.0,2.65,15.95
1.0,0.0,15.3
2.0,4.35,26.15
1.0,2.0,15.8
1.0,1.76,10.56
1.0,1.66,9.96
1.0,2.46,14.76
1.0,7.77,47.87
1.0,2.56,15.36
1.0,0.0,10.8
2.0,5.55,27.85
1.0,8.37,51.47
1.0,0.0,13.8
1.0,13.46,82.01
1.0,0.0,31.85
1.0,2.0,14.3
1.0,3.86,23.16
1.0,8.64,37.44
2.0,5.06,30.36
4.0,3.0,31.3
1.0,0.0,11.8
1.0,3.05,18.35
1.0,4.55,22.85
2.0,0.0,12.8
1.0,1.46,8.76
1.0,3.36,20.16
1.0,0.0,7.3
1.0,0.0,9.8
1.0,7.44,32.24
1.0,7.0,48.55
1.0,2.7,13.5
1.0,0.0,59.8
1.0,1.85,11.15
1.0,0.0,10.3
1.0,1.7,11.0
4.0,0.0,63.85
1.0,1.75,10.55
2.0,10.0,76.35
1.0,1.5,12.3
2.0,5.2,26.0
2.0,1.62,12.42
2.0,5.06,30.36
1.0,0.0,8.3
1.0,0.0,8.8
1.0,0.0,12.8
2.0,1.85,11.15
2.0,1.0,15.3
1.0,4.66,27.96
1.0,2.66,15.96
1.0,1.25,21.55
1.0,4.56,27.36
1.0,0.0,28.8
1.0,2.66,15.96
1.0,2.49,10.79
1.0,3.96,23.76
2.0,15.0,51.85
1.0,1.86,11.16
1.0,0.0,15.8
2.0,1.66,9.96
1.0,2.0,15.3
2.0,3.06,18.36
