passenger_count,tip_amount,total_amount
1.0,3.85,23.15
1.0,2.15,12.95
1.0,10.0,51.1
1.0,0.0,9.8
1.0,1.86,11.16
5.0,7.62,45.72
1.0,1.46,8.76
1.0,2.0,25.8
1.0,0.0,-5.8
1.0,0.0,5.8
1.0,5.0,60.3
1.0,1.45,7.25
2.0,3.95,19.75
1.0,1.53,16.83
1.0,0.0,11.3
4.0,2.8,14.1
2.0,12.37,75.47
1.0,22.75,113.8
1.0,1.96,11.76
1.0,2.0,17.8
1.0,0.0,8.3
1.0,1.76,10.56
1.0,2.46,14.76
1.0,2.36,14.16
4.0,0.0,19.3
1.0,2.85,17.15
1.0,1.96,11.76
3.0,0.0,11.8
2.0,2.16,12.96
1.0,0.0,10.3
1.0,3.85,23.15
1.0,1.85,11.15
1.0,2.25,13.55
0.0,0.0,7.3
1.0,0.0,8.8
4.0,4.25,25.55
1.0,2.36,14.16
1.0,3.16,18.96
1.0,0.0,18.3
1.0,0.0,63.1
3.0,3.0,16.8
2.0,2.55,15.35
2.0,1.95,11.75
1.0,4.55,27.35
1.0,3.05,18.35
3.0,0.0,9.3
1.0,4.66,27.96
4.0,0.0,8.3
1.0,3.2,14.0
1.0,0.0,9.3
1.0,1.36,8.16
1.0,0.0,36.17
4.0,1.46,8.76
1.0,0.0,7.8
1.0,2.35,14.15
1.0,5.0,49.85
1.0,0.0,63.1
2.0,0.0,49.85
1.0,0.0,14.8
1.0,0.0,8.8
1.0,2.35,14.15
1.0,1.86,11.16
1.0,3.0,9.8
1.0,1.0,7.8
1.0,0.0,18.05
1.0,1.56,9.36
1.0,3.66,21.96
1.0,15.46,77.31
1.0,1.0,15.8
0.0,0.0,17.3
0.0,0.0,4.3
0.0,4.0,12.8
2.0,0.0,34.1
2.0,1.55,6.85
1.0,3.76,22.56
1.0,4.0,14.8
1.0,1.66,9.96
1.0,3.76,22.56
1.0,1.82,9.12
1.0,3.95,19.75
1.0,4.46,26.76
2.0,1.95,11.75
1.0,3.75,16.3
1.0,3.55,21.35
1.0,2.55,15.35
1.0,2.36,14.16
2.0,0.0,20.3
3.0,1.0,10.8
1.0,2.3,10.1
1.0,2.9,12.7
1.0,0.0,8.8
2.0,0.0,61.85
4.0,0.0,16.8
2.0,12.37,74.22
1.0,1.55,9.35
1.0,2.75,16.55
1.0,1.4,10.7
1.0,12.62,75.72
2.0,0.0,23.3
4.0,0.0,11.8
3.0,0.0,8.3
1.0,3.7,18.5
1.0,3.86,23.16
1.0,0.0,14.8
1.0,8.0,34.8
2.0,3.85,23.15
1.0,0.0,15.8
1.0,4.66,27.96
1.0,2.46,14.76
2.0,7.86,47.16
1.0,0.0,55.3
1.0,24.05,144.35
1.0,3.26,19.56
1.0,4.0,22.3
0.0,1.08,11.88
2.0,0.0,12.3
1.0,3.25,19.55
1.0,2.0,20.8
1.0,0.0,10.8
1.0,1.0,13.8
1.0,0.0,11.8
0.0,1.45,8.75
0.0,2.45,12.25
0.0,3.0,14.8
1.0,0.0,6.8
1.0,0.0,8.8
1.0,0.0,10.3
1.0,0.0,10.8
1.0,2.56,15.36
1.0,2.82,14.12
0.0,2.0,11.3
3.0,2.06,12.36
3.0,4.82,24.12
3.0,0.98,10.78
1.0,2.0,15.8
1.0,0.0,9.8
1.0,1.5,11.3
1.0,2.55,12.85
1.0,0.0,8.3
1.0,0.0,24.05
1.0,7.06,42.36
1.0,0.0,16.8
1.0,4.31,25.86
2.0,23.05,79.6
1.0,0.0,19.3
1.0,4.45,26.75
1.0,2.95,17.75
1.0,9.59,47.94
2.0,2.16,12.96
2.0,8.75,52.6
3.0,2.15,12.95
2.0,3.25,19.55
3.0,3.65,15.95
1.0,1.95,11.75
1.0,3.25,19.55
2.0,1.0,14.8
1.0,2.85,17.15
1.0,2.95,17.75
2.0,10.0,113.05
2.0,5.35,32.15
1.0,0.0,35.05
1.0,1.0,9.8
1.0,0.0,37.05
4.0,0.0,63.1
1.0,2.95,14.75
1.0,0.0,16.3
3.0,5.04,21.84
3.0,8.17,49.02
2.0,1.2,10.0
2.0,0.0,8.3
1.0,0.0,8.3
0.0,0.0,15.8
0.0,0.0,21.8
2.0,2.0,11.8
1.0,1.0,13.3
1.0,1.0,17.8
4.0,5.26,31.56
2.0,0.0,17.3
1.0,0.0,25.3
0.0,10.15,60.95
2.0,14.14,70.69
1.0,3.45,17.25
1.0,0.0,5.8
1.0,0.0,10.8
1.0,3.96,23.76
1.0,3.26,19.56
0.0,1.95,11.75
1.0,0.0,11.3
0.0,0.0,9.3
3.0,0.0,10.8
4.0,10.0,73.1
2.0,0.0,13.8
1.0,0.0,12.8
1.0,0.0,7.8
1.0,2.7,13.5
1.0,3.66,21.96
1.0,0.0,22.3
1.0,2.26,13.56
1.0,0.0,23.3
1.0,0.0,12.3
1.0,1.0,10.8
1.0,2.06,12.36
1.0,0.0,9.3
2.0,3.46,20.76
2.0,3.84,16.64
2.0,5.09,33.39
1.0,12.37,75.47
1.0,5.79,25.09
1.0,0.0,11.3
1.0,1.95,11.75
1.0,15.78,78.88
3.0,0.0,20.3
3.0,0.0,8.3
2.0,0.0,14.8
1.0,0.0,13.8
2.0,0.0,28.05
2.0,2.66,15.96
3.0,0.0,14.3
1.0,0.0,16.8
1.0,0.0,6.8
1.0,0.0,23.8
1.0,1.86,11.16
1.0,2.76,16.56
1.0,0.0,16.3
1.0,2.19,9.49
1.0,2.0,18.8
1.0,7.92,47.52
1.0,3.26,19.56
1.0,3.96,23.76
0.0,0.0,69.65
2.0,3.65,15.95
1.0,2.55,15.35
3.0,2.0,14.8
1.0,0.0,13.3
1.0,0.0,19.8
2.0,3.75,22.55
1.0,2.05,10.35
3.0,3.25,19.55
1.0,4.0,19.3
1.0,3.86,23.16
1.0,0.0,12.3
1.0,2.46,14.76
1.0,3.55,21.35
1.0,2.75,16.55
1.0,0.0,15.8
1.0,2.08,10.38
1.0,3.16,18.96
2.0,1.56,9.36
1.0,6.26,37.56
1.0,4.55,22.85
1.0,0.0,43.85
1.0,8.5,51.05
1.0,5.56,33.36
1.0,0.0,11.8
1.0,1.0,15.8
2.0,2.25,13.55
2.0,1.0,9.3
2.0,0.0,7.8
2.0,3.32,16.62
2.0,0.0,-16.3
2.0,0.0,16.3
2.0,0.0,9.8
1.0,1.89,8.19
1.0,1.86,11.16
1.0,0.0,94.55
2.0,0.15,63.25
2.0,7.6,45.65
1.0,4.06,24.36
1.0,1.86,11.16
1.0,0.0,14.8
1.0,3.06,18.36
1.0,2.0,17.3
1.0,1.4,10.7
1.0,2.06,12.36
1.0,2.36,14.16
1.0,4.08,20.38
1.0,2.0,14.8
1.0,2.05,12.35
1.0,6.31,69.41
1.0,0.0,5.8
1.0,0.0,5.8
1.0,12.37,74.22
1.0,1.0,10.3
1.0,0.0,20.3
1.0,2.76,16.56
1.0,0.0,5.8
1.0,5.26,31.56
1.0,3.34,25.64
1.0,4.46,26.76
2.0,2.22,17.02
2.0,2.0,18.8
2.0,0.0,16.3
6.0,3.42,26.22
3.0,12.6,75.7
1.0,2.0,11.3
1.0,3.0,10.8
3.0,2.46,14.76
3.0,1.96,11.76
2.0,2.26,13.56
2.0,0.0,8.3
3.0,5.79,25.09
1.0,0.0,63.1
0.0,4.25,18.55
1.0,3.0,17.3
1.0,0.0,61.85
1.0,0.0,7.3
2.0,3.2,16.0
1.0,0.0,7.8
4.0,1.17,8.97
1.0,0.0,30.3
1.0,1.96,11.76
1.0,3.45,17.25
1.0,0.0,46.85
2.0,1.56,9.36
3.0,0.0,10.3
1.0,1.95,9.75
1.0,2.79,12.09
1.0,2.96,17.76
1.0,3.46,20.76
1.0,4.2,21.0
1.0,2.16,12.96
1.0,3.36,20.16
1.0,0.0,9.3
1.0,2.16,12.96
2.0,6.7,33.5
1.0,0.0,11.8
2.0,1.66,9.96
2.0,0.0,12.3
1.0,0.0,7.3
1.0,3.58,17.88
1.0,9.27,55.62
1.0,0.0,49.8
1.0,0.0,9.3
1.0,0.0,13.8
1.0,1.0,15.3
1.0,0.0,9.8
2.0,2.95,17.75
3.0,2.55,15.35
2.0,2.0,23.3
1.0,5.58,27.88
1.0,1.0,11.3
1.0,1.0,8.3
1.0,4.76,28.56
1.0,3.0,13.8
1.0,0.0,61.85
2.0,4.55,27.35
2.0,0.0,12.3
1.0,7.67,46.02
1.0,2.15,12.95
1.0,0.0,12.8
1.0,0.0,25.8
1.0,12.6,75.7
1.0,2.86,17.16
1.0,3.46,20.76
4.0,4.95,29.75
3.0,2.05,12.35
1.0,5.66,33.96
2.0,0.0,8.8
3.0,2.9,22.2
1.0,10.0,61.05
1.0,8.0,50.1
2.0,0.0,12.8
4.0,5.0,21.3
1.0,2.55,15.35
1.0,1.0,18.8
1.0,2.35,14.15
1.0,2.45,12.25
