passenger_count,tip_amount,total_amount
6.0,8.52,51.12
1.0,3.56,21.36
1.0,2.66,15.96
2.0,2.05,12.35
1.0,11.31,67.86
1.0,2.26,13.56
1.0,1.76,10.56
1.0,0.0,11.3
2.0,1.13,12.43
1.0,2.66,15.96
1.0,1.0,10.8
1.0,0.0,11.3
1.0,2.95,14.75
1.0,7.64,38.19
1.0,5.56,61.11
1.0,6.0,54.55
1.0,2.3,15.1
1.0,2.06,12.36
1.0,3.76,22.56
2.0,3.86,23.16
1.0,2.89,45.94
1.0,2.83,14.13
1.0,5.86,35.16
1.0,0.0,10.8
1.0,0.0,9.8
1.0,2.96,17.76
1.0,2.06,12.36
1.0,3.65,21.95
1.0,0.0,9.3
1.0,1.0,14.3
1.0,0.0,8.3
1.0,2.76,16.56
1.0,2.45,12.25
1.0,2.0,26.8
2.0,15.46,78.56
1.0,2.0,15.8
1.0,0.0,28.3
1.0,1.86,11.16
1.0,1.75,18.55
2.0,1.28,14.08
2.0,1.5,18.8
1.0,3.54,15.34
1.0,0.0,12.8
1.0,2.85,17.15
1.0,2.0,19.3
1.0,7.31,43.86
1.0,7.0,68.85
1.0,10.14,50.69
1.0,0.0,11.8
1.0,2.16,12.96
2.0,5.06,30.36
2.0,3.36,20.16
2.0,2.46,14.76
1.0,11.0,66.05
1.0,7.78,38.88
1.0,1.5,12.8
1.0,0.0,9.3
1.0,1.96,11.76
1.0,2.46,14.76
1.0,0.0,12.55
1.0,5.0,50.05
1.0,2.81,16.86
1.0,4.1,31.4
1.0,0.0,37.55
1.0,5.16,30.96
1.0,0.0,16.3
1.0,3.76,22.56
1.0,3.84,16.64
1.0,3.2,16.0
1.0,13.0,78.0
1.0,3.7,18.5
1.0,1.56,9.36
1.0,0.0,38.85
1.0,0.0,10.8
1.0,2.08,14.88
1.0,2.16,12.96
1.0,0.0,11.3
1.0,2.35,14.15
2.0,0.0,13.8
1.0,2.96,17.76
1.0,6.36,39.41
1.0,2.0,20.3
1.0,3.24,14.04
1.0,12.32,61.62
1.0,2.0,15.8
1.0,3.99,17.29
1.0,0.0,7.8
1.0,0.0,11.8
1.0,0.0,17.0
1.0,0.0,-40.35
1.0,0.0,40.35
2.0,2.56,15.36
2.0,2.26,13.56
1.0,2.16,12.96
1.0,1.86,11.16
1.0,2.06,12.36
1.0,3.46,20.76
1.0,2.0,13.8
1.0,2.56,15.36
1.0,3.26,19.56
2.0,6.86,42.41
1.0,0.0,7.8
1.0,2.46,14.76
1.0,1.86,11.16
2.0,0.0,37.85
1.0,0.0,20.8
2.0,3.46,20.76
1.0,7.06,42.36
1.0,0.0,6.55
1.0,2.5,11.3
1.0,2.76,16.56
3.0,0.0,6.8
2.0,1.7,17.0
3.0,0.0,8.3
3.0,2.66,15.96
1.0,13.82,70.37
1.0,3.68,29.98
1.0,2.08,10.38
1.0,3.06,18.36
1.0,1.0,10.3
3.0,0.0,12.3
2.0,0.0,10.3
3.0,1.0,12.8
1.0,6.01,36.06
1.0,8.72,52.32
1.0,2.7,14.0
1.0,0.0,8.3
1.0,2.16,12.96
1.0,0.0,17.8
1.0,2.96,17.76
3.0,2.36,14.16
4.0,1.0,12.3
2.0,2.16,12.96
3.0,0.0,9.3
1.0,0.0,8.8
1.0,0.0,11.8
1.0,5.08,25.38
5.0,0.0,39.3
5.0,5.31,31.86
1.0,1.0,17.8
1.0,0.0,43.6
1.0,4.26,25.56
1.0,2.95,14.75
1.0,2.26,13.56
1.0,0.0,43.6
1.0,2.0,15.3
1.0,0.0,32.05
1.0,0.0,41.3
1.0,0.0,20.3
1.0,8.21,49.26
