passenger_count,tip_amount,total_amount
2.0,0.0,16.3
1.0,0.83,9.13
4.0,0.0,18.3
1.0,3.36,20.16
2.0,17.11,102.66
1.0,0.0,10.3
1.0,1.56,9.36
1.0,12.62,75.72
0.0,2.0,12.3
0.0,4.0,21.8
1.0,12.37,75.47
1.0,2.0,11.8
1.0,2.7,13.5
1.0,1.96,11.76
1.0,2.36,14.16
2.0,2.16,12.96
1.0,3.0,18.8
1.0,0.0,8.8
1.0,0.0,8.8
1.0,1.0,9.3
1.0,0.0,15.8
1.0,0.0,82.05
1.0,0.0,9.3
1.0,0.0,15.8
1.0,2.46,14.76
1.0,0.0,26.3
2.0,5.33,26.63
1.0,3.06,18.36
4.0,0.0,26.3
1.0,12.62,75.72
1.0,3.95,19.75
1.0,3.26,19.56
1.0,1.86,11.16
1.0,0.0,10.3
4.0,0.0,16.8
1.0,2.35,14.15
1.0,3.95,23.75
1.0,0.0,8.8
1.0,1.2,9.5
1.0,3.99,17.29
1.0,2.16,12.96
1.0,1.8,9.1
2.0,0.0,11.8
1.0,7.0,70.1
1.0,1.0,12.3
2.0,2.05,12.35
2.0,0.0,61.85
2.0,1.0,9.3
1.0,0.0,17.3
1.0,1.86,11.16
1.0,2.76,16.56
1.0,1.0,12.3
1.0,0.0,11.3
1.0,0.0,7.8
1.0,2.76,16.56
2.0,11.43,49.53
2.0,2.96,17.76
1.0,0.0,8.3
1.0,1.76,10.56
4.0,10.0,50.1
1.0,0.0,64.55
1.0,1.96,11.76
2.0,2.0,15.8
3.0,6.84,29.64
1.0,0.0,10.3
1.0,2.15,12.95
1.0,1.0,14.3
1.0,1.76,10.56
1.0,2.66,15.96
1.0,1.66,9.96
2.0,5.0,68.1
1.0,0.0,15.8
1.0,1.56,9.36
1.0,0.0,7.8
1.0,2.76,16.56
2.0,1.5,20.8
1.0,1.5,12.8
2.0,0.0,10.3
2.0,2.0,22.3
2.0,1.95,9.75
2.0,0.49,10.29
1.0,0.0,17.3
1.0,0.0,29.3
1.0,0.0,28.3
1.0,8.6,37.4
3.0,0.0,17.8
1.0,0.0,18.8
1.0,0.0,8.8
1.0,0.0,15.8
1.0,2.16,12.96
1.0,0.0,8.3
1.0,1.0,12.8
1.0,0.0,13.8
1.0,1.13,12.43
1.0,0.0,-12.3
1.0,0.0,12.3
2.0,1.0,10.3
1.0,0.0,9.8
1.0,0.0,21.3
1.0,30.0,47.8
1.0,2.46,14.76
2.0,1.0,8.8
2.0,1.0,12.3
1.0,0.0,11.8
3.0,0.0,13.3
1.0,1.0,19.3
1.0,2.0,11.8
1.0,5.06,30.36
1.0,7.52,45.12
1.0,3.45,17.25
1.0,1.7,12.0
1.0,2.36,14.16
4.0,12.37,74.22
2.0,1.5,9.8
4.0,2.55,12.85
2.0,0.0,9.3
1.0,3.2,16.0
1.0,2.0,15.3
1.0,0.0,11.8
1.0,0.0,12.8
1.0,2.35,14.15
1.0,0.0,26.3
2.0,3.06,18.36
1.0,3.0,77.55
1.0,1.76,10.56
1.0,5.46,32.76
2.0,2.76,16.56
1.0,0.0,9.8
1.0,2.0,10.3
1.0,4.8,24.1
4.0,4.06,24.36
1.0,0.0,14.8
1.0,3.36,20.16
1.0,3.66,21.96
1.0,4.36,26.16
1.0,2.35,14.15
3.0,0.0,9.3
1.0,1.95,11.75
1.0,0.0,12.3
3.0,7.08,35.38
1.0,4.08,20.38
1.0,1.66,9.96
1.0,0.0,12.8
2.0,0.0,21.3
1.0,4.15,24.95
1.0,2.05,12.35
1.0,2.46,14.76
1.0,1.56,9.36
